participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
15,0.0,1.0,0.5,11,39,19.818181818181817,0,0,0.0,0,0.0,0.0,0.0
25,0.0,1.0,0.5,11,40,20.09090909090909,1,19,19.0,0,0.0,0.0,0.0
3,0.0,1.0,0.5,11,40,22.181818181818183,2,20,10.5,0,0.0,0.0,0.0
24,1.0,1.0,1.0,9,58,24.88888888888889,1,36,36.0,0,0.0,0.0,0.0
4,0.0,1.0,0.5,8,92,23.0,0,0,0.0,0,0.0,0.0,0.0
17,1.0,1.0,0.5,15,35,13.733333333333333,0,0,0.0,0,0.0,0.0,0.0
19,1.0,1.0,1.0,9,95,30.333333333333332,1,63,63.0,0,0.0,0.0,0.0
6,1.0,1.0,0.5,10,50,28.2,1,86,86.0,0,0.0,0.0,0.0
26,1.0,1.0,1.0,17,21,11.823529411764707,0,0,0.0,1,10.0,3.4301595774440505,21.577477384796133
18,1.0,1.0,0.5,13,33,16.23076923076923,0,0,0.0,1,8.0,3.1472864971168666,18.11620673981796
23,1.0,1.0,1.0,9,57,19.333333333333332,0,0,0.0,0,0.0,0.0,0.0
16,1.0,1.0,0.5,15,31,16.466666666666665,0,0,0.0,0,0.0,0.0,0.0
18,1.0,1.0,0.5,11,29,16.90909090909091,2,33,24.5,0,0.0,0.0,0.0
26,1.0,1.0,1.0,2,142,108.0,0,0,0.0,0,0.0,0.0,0.0
5,1.0,1.0,0.5,16,55,18.6875,1,67,67.0,0,0.0,0.0,0.0
10,1.0,1.0,1.0,12,83,23.166666666666668,1,28,28.0,3,9.166666666666666,3.3510058581545272,15.868180772618063
13,1.0,1.0,1.0,7,168,37.0,1,10,10.0,0,0.0,0.0,0.0
22,1.0,1.0,1.0,10,84,31.3,1,30,30.0,3,8.666666666666666,3.373211248441906,15.871555875669927
24,0.0,1.0,0.5,15,36,16.666666666666668,2,26,25.5,0,0.0,0.0,0.0
16,1.0,1.0,1.0,15,45,12.133333333333333,0,0,0.0,0,0.0,0.0,0.0
23,1.0,1.0,1.0,5,130,45.4,1,47,47.0,2,9.5,4.414586548978747,14.8594579039497
9,0.0,1.0,0.5,18,29,14.166666666666666,2,19,18.0,1,7.0,4.361183130175707,17.778558533684475
6,1.0,1.0,1.0,11,52,20.636363636363637,1,126,126.0,0,0.0,0.0,0.0
23,0.0,1.0,0.5,9,32,15.222222222222221,0,0,0.0,1,9.0,11.327779860392742,34.03407264199686
14,1.0,1.0,1.0,5,96,42.8,1,264,264.0,0,0.0,0.0,0.0
17,1.0,1.0,1.0,16,30,12.375,0,0,0.0,2,10.5,3.4088415155183225,23.148131826748138
21,1.0,1.0,1.0,13,38,18.615384615384617,1,15,15.0,1,7.5,15.867925553729307,13.341581485804493
17,1.0,1.0,1.0,11,130,29.272727272727273,0,0,0.0,0,0.0,0.0,0.0
16,1.0,1.0,1.0,14,24,13.285714285714286,1,25,25.0,1,7.0,3.8665161805971664,18.58800789270748
14,1.0,1.0,1.0,8,127,40.625,1,26,26.0,0,0.0,0.0,0.0
24,0.0,1.0,0.5,13,87,23.307692307692307,0,0,0.0,0,0.0,0.0,0.0
19,1.0,1.0,1.0,13,30,11.692307692307692,1,18,18.0,1,8.5,3.393367476148435,22.554830298469966
25,1.0,1.0,1.0,11,67,26.90909090909091,1,43,43.0,0,0.0,0.0,0.0
25,1.0,1.0,1.0,8,96,36.375,1,38,38.0,0,0.0,0.0,0.0
19,1.0,1.0,1.0,10,85,31.1,0,0,0.0,0,0.0,0.0,0.0
22,1.0,1.0,0.0,14,45,18.928571428571427,2,36,31.0,0,0.0,0.0,0.0
21,1.0,1.0,0.5,10,32,18.3,1,27,27.0,0,0.0,0.0,0.0
5,1.0,1.0,1.0,10,108,27.6,1,20,20.0,1,11.0,4.210568458071157,15.509759942903374
22,1.0,1.0,1.0,16,28,13.375,1,25,25.0,3,8.333333333333334,3.424768917126379,22.951523467815196
5,1.0,1.0,0.5,14,99,19.285714285714285,0,0,0.0,1,13.0,3.1561741226653477,20.128869997881885
19,1.0,1.0,1.0,5,123,61.6,0,0,0.0,0,0.0,0.0,0.0
24,1.0,1.0,1.0,9,62,34.44444444444444,0,0,0.0,0,0.0,0.0,0.0
21,1.0,1.0,0.5,10,54,20.2,2,14,11.0,0,0.0,0.0,0.0
12,0.0,1.0,0.5,19,98,14.842105263157896,0,0,0.0,0,0.0,0.0,0.0
4,0.0,1.0,0.5,9,36,19.88888888888889,0,0,0.0,0,0.0,0.0,0.0
9,1.0,1.0,1.0,12,69,24.833333333333332,1,20,20.0,0,0.0,0.0,0.0
6,1.0,1.0,0.5,7,67,37.42857142857143,1,219,219.0,0,0.0,0.0,0.0
22,0.0,1.0,0.0,9,70,22.88888888888889,1,21,21.0,0,0.0,0.0,0.0
9,1.0,1.0,0.5,11,90,22.727272727272727,2,131,69.5,1,9.5,10.165511999860382,14.052798176946508
6,0.0,1.0,0.0,12,37,15.333333333333334,2,17,11.0,0,0.0,0.0,0.0
5,0.0,1.0,0.5,6,142,48.833333333333336,1,20,20.0,0,0.0,0.0,0.0
14,0.0,1.0,0.0,18,35,12.5,2,148,78.5,1,8.0,4.823018144181947,17.728780538725733
19,0.0,1.0,0.5,12,32,11.166666666666666,2,19,17.0,0,0.0,0.0,0.0
2,0.0,1.0,0.0,11,37,16.272727272727273,2,90,60.5,0,0.0,0.0,0.0
24,0.0,1.0,0.5,9,48,32.666666666666664,0,0,0.0,0,0.0,0.0,0.0
17,0.0,1.0,0.0,12,45,23.583333333333332,1,25,25.0,0,0.0,0.0,0.0
24,0.0,1.0,0.5,19,33,15.473684210526315,0,0,0.0,0,0.0,0.0,0.0
24,0.0,1.0,0.5,12,77,28.25,0,0,0.0,0,0.0,0.0,0.0
2,1.0,1.0,0.0,19,28,15.631578947368421,2,95,51.0,1,12.5,2.655878876840064,21.130880472012628
7,1.0,1.0,1.0,2,168,149.0,2,24,21.0,0,0.0,0.0,0.0
23,1.0,1.0,0.0,10,33,13.8,2,56,38.0,0,0.0,0.0,0.0
24,0.0,1.0,0.5,14,45,21.071428571428573,0,0,0.0,1,7.0,1.6422516911096054,8.899692262543024
18,1.0,1.0,1.0,6,129,48.0,0,0,0.0,0,0.0,0.0,0.0
16,0.0,1.0,0.5,18,34,16.77777777777778,1,12,12.0,0,0.0,0.0,0.0
26,1.0,1.0,1.0,16,22,10.0,0,0,0.0,0,0.0,0.0,0.0
21,0.0,1.0,0.5,6,57,35.0,1,35,35.0,1,16.0,4.333816513285944,27.868637232810592
7,1.0,1.0,0.5,4,127,76.0,1,27,27.0,1,8.5,3.279837560079944,9.62289469353938
18,1.0,1.0,1.0,5,93,62.4,0,0,0.0,1,10.0,2.116955985091728,5.611459818173628
4,0.0,1.0,0.5,8,29,12.875,0,0,0.0,0,0.0,0.0,0.0
19,1.0,1.0,1.0,7,93,42.857142857142854,1,145,145.0,2,8.75,7.197084949007282,15.43637167442774
6,1.0,1.0,0.0,15,52,17.866666666666667,1,22,22.0,3,7.833333333333333,3.09959537097525,16.840359992600856
6,1.0,1.0,1.0,10,84,31.7,1,22,22.0,1,8.0,3.3026011730691267,8.40630749991994
14,0.0,1.0,0.0,8,56,24.375,1,241,241.0,0,0.0,0.0,0.0
17,1.0,1.0,0.5,7,90,44.57142857142857,0,0,0.0,2,7.75,2.8559939340314755,7.828249848672369
3,1.0,1.0,0.5,17,57,15.705882352941176,2,16,12.0,0,0.0,0.0,0.0
26,1.0,1.0,0.5,11,52,23.818181818181817,0,0,0.0,1,8.5,3.049257757869272,18.134071693641665
1,0.0,1.0,0.0,4,104,77.0,0,0,0.0,2,8.25,4.720934271002412,18.174130857693072
25,1.0,1.0,1.0,10,55,30.3,1,24,24.0,0,0.0,0.0,0.0
24,0.0,1.0,0.5,11,54,23.545454545454547,1,32,32.0,0,0.0,0.0,0.0
23,1.0,1.0,0.5,13,43,13.923076923076923,1,62,62.0,0,0.0,0.0,0.0
22,1.0,1.0,1.0,11,93,22.818181818181817,1,29,29.0,2,8.5,3.2147771080140233,18.738191220587744
4,0.0,1.0,0.5,15,25,12.333333333333334,0,0,0.0,1,8.0,3.726184998520257,18.304355058352847
18,1.0,1.0,1.0,7,56,30.714285714285715,0,0,0.0,0,0.0,0.0,0.0
