participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
7,1.0,1.0,1.0,3,161,76.66666666666667,0,0,0.0,0,0.0,0.0,0.0
23,1.0,1.0,0.0,6,42,26.5,1,56,56.0,0,0.0,0.0,0.0
24,0.0,1.0,0.5,8,57,24.375,0,0,0.0,0,0.0,0.0,0.0
18,1.0,1.0,1.0,5,74,37.6,0,0,0.0,0,0.0,0.0,0.0
16,0.0,1.0,0.5,11,42,19.272727272727273,0,0,0.0,0,0.0,0.0,0.0
26,1.0,1.0,1.0,11,22,10.909090909090908,0,0,0.0,0,0.0,0.0,0.0
21,0.0,1.0,0.5,5,35,22.8,1,35,35.0,1,11.5,6.22401577632031,33.76495363562439
7,1.0,1.0,0.5,7,88,28.285714285714285,0,0,0.0,0,0.0,0.0,0.0
18,1.0,1.0,1.0,4,92,53.0,0,0,0.0,1,11.0,7.041788776086082,6.970892642824137
4,0.0,1.0,0.5,6,34,13.5,0,0,0.0,0,0.0,0.0,0.0
9,1.0,1.0,1.0,7,44,21.142857142857142,1,20,20.0,0,0.0,0.0,0.0
6,1.0,1.0,0.0,7,29,16.285714285714285,1,22,22.0,0,0.0,0.0,0.0
6,1.0,1.0,1.0,10,80,20.1,0,0,0.0,3,7.666666666666667,3.3621515272245155,16.074124835771784
17,1.0,1.0,0.5,4,89,34.25,0,0,0.0,0,0.0,0.0,0.0
3,1.0,1.0,0.5,12,35,15.0,1,16,16.0,0,0.0,0.0,0.0
26,1.0,1.0,0.5,8,56,28.0,0,0,0.0,0,0.0,0.0,0.0
1,0.0,1.0,0.0,4,104,54.0,1,17,17.0,1,12.5,2.4834900222936236,14.837316396593195
25,1.0,1.0,1.0,5,55,39.8,0,0,0.0,0,0.0,0.0,0.0
24,0.0,1.0,0.5,12,25,12.166666666666666,0,0,0.0,0,0.0,0.0,0.0
22,1.0,1.0,1.0,8,36,18.25,1,29,29.0,1,9.0,3.032939900559656,20.071401805934833
4,0.0,1.0,0.5,9,20,12.333333333333334,1,14,14.0,1,9.5,4.02396743601542,17.95204422289609
18,1.0,1.0,1.0,5,32,21.0,0,0,0.0,0,0.0,0.0,0.0
9,1.0,1.0,1.0,10,39,16.2,1,18,18.0,1,8.0,3.1326675118312197,17.653291420233977
24,0.0,1.0,0.5,9,36,20.11111111111111,0,0,0.0,1,9.0,3.3103021120926854,23.670770472304113
24,1.0,1.0,1.0,6,52,35.666666666666664,0,0,0.0,0,0.0,0.0,0.0
25,1.0,1.0,1.0,8,41,19.25,1,40,40.0,0,0.0,0.0,0.0
17,0.0,1.0,0.5,11,51,17.545454545454547,0,0,0.0,3,9.0,3.4997014594019844,25.150208196723952
22,1.0,1.0,1.0,11,26,12.0,2,31,30.0,0,0.0,0.0,0.0
18,0.0,1.0,0.0,7,22,13.571428571428571,0,0,0.0,0,0.0,0.0,0.0
24,1.0,1.0,0.5,7,25,12.571428571428571,0,0,0.0,0,0.0,0.0,0.0
6,0.0,1.0,0.0,4,86,49.5,0,0,0.0,1,7.0,4.624833563566095,20.32864381826947
9,1.0,1.0,1.0,7,27,15.142857142857142,1,16,16.0,0,0.0,0.0,0.0
6,0.0,1.0,0.5,5,90,42.6,1,7,7.0,1,8.0,4.772686047598079,16.31266709195345
9,1.0,1.0,1.0,8,43,19.625,1,60,60.0,0,0.0,0.0,0.0
9,1.0,1.0,0.5,4,93,40.75,1,135,135.0,0,0.0,0.0,0.0
2,1.0,1.0,0.5,12,38,15.0,0,0,0.0,1,7.0,3.5122812729598696,17.321118183890064
21,1.0,1.0,1.0,7,83,28.571428571428573,0,0,0.0,0,0.0,0.0,0.0
7,1.0,1.0,1.0,8,36,23.75,0,0,0.0,0,0.0,0.0,0.0
23,1.0,1.0,0.5,8,67,25.75,0,0,0.0,0,0.0,0.0,0.0
23,0.0,1.0,0.0,7,32,21.142857142857142,1,51,51.0,0,0.0,0.0,0.0
16,1.0,1.0,1.0,13,29,14.923076923076923,1,7,7.0,2,8.5,2.55961016045534,16.44879876938374
24,1.0,1.0,0.5,4,64,48.0,0,0,0.0,0,0.0,0.0,0.0
19,1.0,1.0,1.0,1,183,183.0,0,0,0.0,2,8.5,0.6054511984513604,3.5365175935861726
17,0.0,1.0,0.5,8,52,23.5,0,0,0.0,0,0.0,0.0,0.0
23,1.0,1.0,1.0,9,31,14.0,1,52,52.0,0,0.0,0.0,0.0
14,0.0,1.0,0.5,7,43,25.0,1,57,57.0,0,0.0,0.0,0.0
24,0.0,1.0,0.5,14,22,12.928571428571429,0,0,0.0,0,0.0,0.0,0.0
24,0.0,1.0,0.5,5,56,39.0,1,9,9.0,0,0.0,0.0,0.0
13,1.0,1.0,1.0,6,20,14.166666666666666,1,92,92.0,0,0.0,0.0,0.0
4,1.0,1.0,1.0,8,38,18.5,1,28,28.0,0,0.0,0.0,0.0
13,1.0,1.0,1.0,8,31,17.375,0,0,0.0,0,0.0,0.0,0.0
