participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
25,0.0,0.0,,5,14,11.6,1,16,16.0,0,0.0,0.0,0.0
25,0.0,0.0,,5,57,24.4,1,19,19.0,1,11.5,5.076104902161073,19.969158358993738
22,0.0,0.0,,8,59,24.375,2,34,32.0,0,0.0,0.0,0.0
19,0.0,0.0,,15,34,11.333333333333334,1,17,17.0,0,0.0,0.0,0.0
23,0.0,0.0,,8,65,22.375,0,0,0.0,1,10.0,2.5071485016493233,20.950700766918622
23,0.0,0.0,,3,168,66.33333333333333,0,0,0.0,0,0.0,0.0,0.0
5,0.0,0.0,,3,48,28.333333333333332,1,16,16.0,0,0.0,0.0,0.0
15,1.0,0.0,,9,29,13.11111111111111,1,34,34.0,1,7.0,3.7403221909139535,17.02510062574864
15,0.0,0.0,,11,33,15.636363636363637,0,0,0.0,1,7.0,7.787800571031965,31.077545167268426
10,1.0,0.0,,8,61,25.0,0,0,0.0,0,0.0,0.0,0.0
17,1.0,0.0,,10,53,15.0,1,22,22.0,1,8.0,3.3618746232346113,20.674049182066764
14,0.0,0.0,,12,27,15.833333333333334,1,21,21.0,0,0.0,0.0,0.0
25,0.0,0.0,,7,55,29.428571428571427,0,0,0.0,1,10.5,3.5469122071484187,11.982463594024846
26,0.0,0.0,,12,30,14.5,1,29,29.0,1,8.0,3.414572348788866,15.247644947870276
9,0.0,0.0,,2,117,110.5,1,17,17.0,2,8.0,6.380221053612741,23.34924852088754
23,0.0,0.0,,10,65,19.5,0,0,0.0,1,10.0,2.5071485016493233,20.950700766918622
17,1.0,0.0,,6,57,19.5,0,0,0.0,0,0.0,0.0,0.0
1,1.0,0.0,,7,74,25.857142857142858,1,14,14.0,0,0.0,0.0,0.0
23,0.0,0.0,,7,40,18.857142857142858,0,0,0.0,0,0.0,0.0,0.0
4,0.0,0.0,,13,26,13.615384615384615,0,0,0.0,0,0.0,0.0,0.0
1,1.0,0.0,,13,27,14.0,0,0,0.0,1,10.0,3.0142293244898406,19.651699212562725
5,0.0,0.0,,7,69,24.571428571428573,0,0,0.0,0,0.0,0.0,0.0
4,0.0,0.0,,4,92,54.0,0,0,0.0,1,7.5,4.731848741070685,9.688138465394466
5,0.0,0.0,,11,43,17.454545454545453,1,16,16.0,0,0.0,0.0,0.0
9,0.0,0.0,,9,60,24.0,1,26,26.0,0,0.0,0.0,0.0
25,0.0,0.0,,10,38,14.1,1,68,68.0,0,0.0,0.0,0.0
14,0.0,0.0,,9,35,21.77777777777778,0,0,0.0,0,0.0,0.0,0.0
14,0.0,0.0,,7,27,16.714285714285715,1,21,21.0,0,0.0,0.0,0.0
4,0.0,0.0,,7,9,7.714285714285714,0,0,0.0,0,0.0,0.0,0.0
10,1.0,0.0,,7,47,26.714285714285715,2,16,14.5,0,0.0,0.0,0.0
4,0.0,0.0,,10,21,13.6,0,0,0.0,0,0.0,0.0,0.0
16,1.0,0.0,,3,93,70.0,0,0,0.0,0,0.0,0.0,0.0
17,1.0,0.0,,8,26,14.875,1,46,46.0,2,7.25,3.8774898241552447,20.002845988163152
24,1.0,0.0,,7,30,22.857142857142858,0,0,0.0,0,0.0,0.0,0.0
18,1.0,0.0,,9,33,18.555555555555557,0,0,0.0,0,0.0,0.0,0.0
18,1.0,0.0,,7,26,13.285714285714286,1,5,5.0,0,0.0,0.0,0.0
9,1.0,0.0,,6,55,28.166666666666668,1,63,63.0,0,0.0,0.0,0.0
18,1.0,0.0,,5,104,39.2,0,0,0.0,0,0.0,0.0,0.0
12,0.0,0.0,,4,82,43.25,1,22,22.0,0,0.0,0.0,0.0
13,0.0,0.0,,6,31,16.5,1,104,104.0,0,0.0,0.0,0.0
12,1.0,0.0,,10,47,18.3,0,0,0.0,1,8.5,2.7158198082012595,14.174001384487205
14,0.0,0.0,,8,32,18.25,1,122,122.0,0,0.0,0.0,0.0
26,0.0,0.0,,10,36,18.5,1,20,20.0,0,0.0,0.0,0.0
25,0.0,0.0,,4,55,31.5,1,19,19.0,1,10.5,3.5469122071484187,11.982463594024846
24,1.0,0.0,,8,30,21.25,0,0,0.0,0,0.0,0.0,0.0
1,1.0,0.0,,10,34,19.2,1,18,18.0,0,0.0,0.0,0.0
7,1.0,0.0,,1,190,190.0,0,0,0.0,1,7.5,8.270697486230457,29.775342900120854
6,0.0,0.0,,6,48,33.166666666666664,1,122,122.0,0,0.0,0.0,0.0
19,1.0,0.0,,5,59,40.8,1,16,16.0,1,7.0,2.0552868801726216,9.625571333470456
15,1.0,0.0,,9,36,15.88888888888889,0,0,0.0,1,9.0,3.7403221909139535,22.61579052256323
13,1.0,0.0,,6,47,23.0,1,24,24.0,0,0.0,0.0,0.0
7,1.0,0.0,,9,52,20.666666666666668,0,0,0.0,0,0.0,0.0,0.0
19,0.0,0.0,,3,75,52.333333333333336,2,25,23.0,0,0.0,0.0,0.0
13,0.0,0.0,,6,30,14.833333333333334,1,30,30.0,0,0.0,0.0,0.0
19,1.0,0.0,,3,204,75.66666666666667,1,3,3.0,0,0.0,0.0,0.0
15,1.0,0.0,,11,28,15.0,1,39,39.0,0,0.0,0.0,0.0
19,0.0,0.0,,4,63,44.0,2,27,26.0,1,8.5,3.571697584354953,20.56936469151509
22,0.0,0.0,,8,48,24.0,0,0,0.0,0,0.0,0.0,0.0
23,0.0,0.0,,4,137,41.5,0,0,0.0,1,6.5,3.0795016187115403,15.247944770523912
9,0.0,0.0,,3,88,60.333333333333336,1,22,22.0,0,0.0,0.0,0.0
9,0.0,0.0,,6,40,29.833333333333332,1,18,18.0,0,0.0,0.0,0.0
26,0.0,0.0,,8,33,15.25,0,0,0.0,0,0.0,0.0,0.0
24,1.0,0.0,,7,79,29.714285714285715,0,0,0.0,0,0.0,0.0,0.0
7,1.0,0.0,,8,66,24.25,2,29,26.5,1,13.5,2.139050046771615,19.176734553225415
22,0.0,0.0,,5,59,43.0,1,34,34.0,0,0.0,0.0,0.0
13,0.0,0.0,,6,30,17.5,1,30,30.0,0,0.0,0.0,0.0
3,1.0,0.0,,11,40,16.272727272727273,0,0,0.0,1,9.0,2.427503575238038,17.31488920998055
23,0.0,0.0,,1,145,145.0,0,0,0.0,0,0.0,0.0,0.0
26,0.0,0.0,,11,36,18.90909090909091,1,4,4.0,1,9.0,3.0377942688802078,20.149784165000383
17,1.0,0.0,,7,57,19.285714285714285,0,0,0.0,0,0.0,0.0,0.0
3,0.0,0.0,,12,37,15.583333333333334,1,11,11.0,1,8.0,3.1299262371675636,15.475253290042025
15,1.0,0.0,,9,28,15.88888888888889,1,20,20.0,0,0.0,0.0,0.0
4,0.0,0.0,,10,19,12.5,0,0,0.0,0,0.0,0.0,0.0
1,1.0,0.0,,11,38,16.0,0,0,0.0,1,7.0,3.303674431065903,18.329181875526054
4,0.0,0.0,,9,19,11.444444444444445,0,0,0.0,0,0.0,0.0,0.0
24,0.0,0.0,,7,45,28.571428571428573,1,21,21.0,1,7.5,11.91822685984244,25.05876190429203
1,1.0,0.0,,10,47,16.2,1,14,14.0,0,0.0,0.0,0.0
24,1.0,0.0,,9,35,19.444444444444443,0,0,0.0,0,0.0,0.0,0.0
25,0.0,0.0,,7,20,12.857142857142858,1,18,18.0,0,0.0,0.0,0.0
23,0.0,0.0,,8,51,27.0,1,29,29.0,0,0.0,0.0,0.0
4,0.0,0.0,,10,30,12.7,0,0,0.0,1,11.0,2.940331986132865,23.850175301234238
24,0.0,0.0,,7,45,27.142857142857142,1,21,21.0,1,7.5,11.91822685984244,25.05876190429203
6,0.0,0.0,,5,61,37.8,1,25,25.0,0,0.0,0.0,0.0
26,0.0,0.0,,8,27,14.5,0,0,0.0,0,0.0,0.0,0.0
14,0.0,0.0,,5,60,33.2,1,30,30.0,0,0.0,0.0,0.0
6,0.0,0.0,,8,30,15.5,1,14,14.0,0,0.0,0.0,0.0
5,0.0,0.0,,10,36,20.1,0,0,0.0,0,0.0,0.0,0.0
25,0.0,0.0,,9,22,12.333333333333334,1,138,138.0,0,0.0,0.0,0.0
16,1.0,0.0,,5,84,41.8,1,10,10.0,0,0.0,0.0,0.0
4,0.0,0.0,,12,26,13.75,0,0,0.0,0,0.0,0.0,0.0
25,0.0,0.0,,7,36,20.285714285714285,1,23,23.0,0,0.0,0.0,0.0
16,1.0,0.0,,5,122,39.6,1,16,16.0,0,0.0,0.0,0.0
6,0.0,0.0,,11,40,14.545454545454545,0,0,0.0,0,0.0,0.0,0.0
4,0.0,0.0,,10,21,11.7,0,0,0.0,0,0.0,0.0,0.0
23,0.0,0.0,,6,25,14.5,0,0,0.0,0,0.0,0.0,0.0
19,1.0,0.0,,6,26,13.166666666666666,0,0,0.0,0,0.0,0.0,0.0
21,1.0,0.0,,9,32,16.22222222222222,0,0,0.0,0,0.0,0.0,0.0
23,0.0,0.0,,6,53,21.166666666666668,1,46,46.0,1,7.5,4.136754089167599,8.999315367478555
