participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
14,0.0,0.0,,3,48,33.666666666666664,0,0,0.0,0,0.0,0.0,0.0
3,1.0,0.0,,4,40,18.25,0,0,0.0,0,0.0,0.0,0.0
16,1.0,0.0,,4,44,23.75,0,0,0.0,0,0.0,0.0,0.0
14,0.0,0.0,,5,22,13.4,0,0,0.0,0,0.0,0.0,0.0
21,1.0,0.0,,3,26,14.666666666666666,0,0,0.0,0,0.0,0.0,0.0
2,0.0,0.0,,3,86,35.0,1,11,11.0,0,0.0,0.0,0.0
4,0.0,0.0,,7,23,14.571428571428571,0,0,0.0,0,0.0,0.0,0.0
9,1.0,0.0,,4,35,17.75,0,0,0.0,0,0.0,0.0,0.0
23,0.0,0.0,,3,13,9.333333333333334,0,0,0.0,0,0.0,0.0,0.0
13,0.0,0.0,,3,23,13.333333333333334,0,0,0.0,0,0.0,0.0,0.0
19,1.0,0.0,,2,18,15.0,0,0,0.0,0,0.0,0.0,0.0
7,0.0,0.0,,3,51,37.0,0,0,0.0,0,0.0,0.0,0.0
14,0.0,0.0,,2,88,53.0,0,0,0.0,0,0.0,0.0,0.0
26,0.0,0.0,,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0
6,0.0,0.0,,3,19,13.0,1,14,14.0,0,0.0,0.0,0.0
22,0.0,0.0,,5,15,10.8,1,38,38.0,1,8.5,3.130402768927077,18.98758387914414
4,0.0,0.0,,3,9,8.333333333333334,0,0,0.0,0,0.0,0.0,0.0
4,0.0,0.0,,6,26,15.5,0,0,0.0,0,0.0,0.0,0.0
25,0.0,0.0,,4,38,19.0,1,14,14.0,0,0.0,0.0,0.0
12,1.0,0.0,,5,43,18.2,0,0,0.0,0,0.0,0.0,0.0
17,1.0,0.0,,2,48,31.5,0,0,0.0,0,0.0,0.0,0.0
24,0.0,0.0,,5,26,15.0,0,0,0.0,0,0.0,0.0,0.0
22,0.0,0.0,,2,54,35.5,0,0,0.0,0,0.0,0.0,0.0
17,1.0,0.0,,7,30,13.571428571428571,0,0,0.0,0,0.0,0.0,0.0
6,0.0,0.0,,4,37,22.5,0,0,0.0,0,0.0,0.0,0.0
5,0.0,0.0,,5,39,18.0,0,0,0.0,0,0.0,0.0,0.0
6,0.0,0.0,,4,22,13.75,0,0,0.0,0,0.0,0.0,0.0
3,0.0,0.0,,4,39,17.25,1,18,18.0,0,0.0,0.0,0.0
1,1.0,0.0,,6,29,12.5,0,0,0.0,0,0.0,0.0,0.0
3,0.0,0.0,,2,42,32.5,1,52,52.0,0,0.0,0.0,0.0
1,1.0,0.0,,3,63,31.666666666666668,1,14,14.0,0,0.0,0.0,0.0
26,0.0,0.0,,4,62,21.75,1,26,26.0,0,0.0,0.0,0.0
19,1.0,0.0,,5,18,11.8,1,12,12.0,0,0.0,0.0,0.0
2,1.0,0.0,,1,43,43.0,0,0,0.0,0,0.0,0.0,0.0
17,1.0,0.0,,2,46,34.5,0,0,0.0,0,0.0,0.0,0.0
23,0.0,0.0,,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0
22,0.0,0.0,,6,30,16.833333333333332,0,0,0.0,0,0.0,0.0,0.0
23,0.0,0.0,,1,55,55.0,0,0,0.0,0,0.0,0.0,0.0
7,1.0,0.0,,4,33,18.25,1,31,31.0,0,0.0,0.0,0.0
26,0.0,0.0,,3,58,34.0,0,0,0.0,0,0.0,0.0,0.0
24,0.0,0.0,,1,99,99.0,0,0,0.0,0,0.0,0.0,0.0
17,1.0,0.0,,8,23,13.125,0,0,0.0,2,7.0,3.7631077151223806,18.95864707886738
7,1.0,0.0,,3,51,25.333333333333332,0,0,0.0,0,0.0,0.0,0.0
13,1.0,0.0,,4,36,21.25,1,6,6.0,0,0.0,0.0,0.0
17,1.0,0.0,,3,37,21.333333333333332,0,0,0.0,0,0.0,0.0,0.0
14,0.0,0.0,,5,23,11.0,1,89,89.0,0,0.0,0.0,0.0
1,1.0,0.0,,5,24,14.6,1,11,11.0,0,0.0,0.0,0.0
5,0.0,0.0,,3,48,34.666666666666664,0,0,0.0,0,0.0,0.0,0.0
6,0.0,0.0,,4,33,22.25,1,18,18.0,1,10.5,2.1895456517579683,17.156604675508984
25,0.0,0.0,,8,18,10.625,0,0,0.0,0,0.0,0.0,0.0
21,0.0,0.0,,1,60,60.0,1,28,28.0,0,0.0,0.0,0.0
23,0.0,0.0,,4,16,11.5,0,0,0.0,0,0.0,0.0,0.0
7,0.0,0.0,,3,41,24.0,0,0,0.0,0,0.0,0.0,0.0
22,0.0,0.0,,3,38,29.666666666666668,0,0,0.0,0,0.0,0.0,0.0
2,0.0,0.0,,4,13,10.5,0,0,0.0,0,0.0,0.0,0.0
2,1.0,0.0,,2,68,39.0,0,0,0.0,0,0.0,0.0,0.0
3,0.0,0.0,,6,13,10.5,1,53,53.0,0,0.0,0.0,0.0
23,0.0,0.0,,3,28,23.333333333333332,0,0,0.0,0,0.0,0.0,0.0
7,0.0,0.0,,3,38,28.0,1,20,20.0,1,9.0,6.148493208962679,21.30509141282043
4,0.0,0.0,,6,12,8.833333333333334,0,0,0.0,0,0.0,0.0,0.0
16,0.0,0.0,,3,13,11.666666666666666,1,38,38.0,0,0.0,0.0,0.0
4,0.0,0.0,,2,80,47.5,1,21,21.0,0,0.0,0.0,0.0
9,1.0,0.0,,3,49,21.666666666666668,1,18,18.0,0,0.0,0.0,0.0
25,0.0,0.0,,3,57,27.0,1,23,23.0,0,0.0,0.0,0.0
14,0.0,0.0,,3,40,35.666666666666664,0,0,0.0,0,0.0,0.0,0.0
2,1.0,0.0,,3,37,31.333333333333332,0,0,0.0,0,0.0,0.0,0.0
2,1.0,0.0,,1,105,105.0,0,0,0.0,1,9.0,1.4284186345900864,7.358332478925378
25,0.0,0.0,,2,74,48.5,1,17,17.0,0,0.0,0.0,0.0
23,0.0,0.0,,1,88,88.0,0,0,0.0,0,0.0,0.0,0.0
12,0.0,0.0,,6,43,14.833333333333334,0,0,0.0,1,7.0,3.957454929002113,16.241290204614828
19,0.0,0.0,,2,45,34.0,1,25,25.0,0,0.0,0.0,0.0
6,0.0,0.0,,4,29,18.25,0,0,0.0,0,0.0,0.0,0.0
19,0.0,0.0,,5,39,16.2,0,0,0.0,0,0.0,0.0,0.0
19,1.0,0.0,,1,22,22.0,1,20,20.0,0,0.0,0.0,0.0
4,0.0,0.0,,5,19,13.2,0,0,0.0,0,0.0,0.0,0.0
9,0.0,0.0,,3,28,24.0,0,0,0.0,0,0.0,0.0,0.0
18,1.0,0.0,,5,32,19.2,0,0,0.0,0,0.0,0.0,0.0
13,1.0,0.0,,2,22,19.5,1,24,24.0,0,0.0,0.0,0.0
22,0.0,0.0,,5,20,14.0,0,0,0.0,0,0.0,0.0,0.0
6,0.0,0.0,,5,26,17.4,1,18,18.0,2,8.25,7.656948232491155,28.197251410485823
5,0.0,0.0,,6,27,16.666666666666668,0,0,0.0,0,0.0,0.0,0.0
18,1.0,0.0,,5,31,20.4,0,0,0.0,0,0.0,0.0,0.0
12,0.0,0.0,,6,24,15.5,1,9,9.0,0,0.0,0.0,0.0
24,1.0,0.0,,5,28,19.4,0,0,0.0,0,0.0,0.0,0.0
24,0.0,0.0,,2,65,43.5,1,30,30.0,0,0.0,0.0,0.0
6,0.0,0.0,,4,44,27.5,0,0,0.0,0,0.0,0.0,0.0
12,0.0,0.0,,6,41,14.5,0,0,0.0,1,7.0,3.957454929002113,16.241290204614828
13,0.0,0.0,,4,28,24.0,0,0,0.0,0,0.0,0.0,0.0
18,1.0,0.0,,5,23,13.4,0,0,0.0,1,7.0,4.162568910309647,17.481702749949353
2,0.0,0.0,,6,24,16.0,1,9,9.0,0,0.0,0.0,0.0
14,0.0,0.0,,4,39,19.75,1,20,20.0,0,0.0,0.0,0.0
3,1.0,0.0,,1,86,86.0,1,20,20.0,1,7.5,4.834133612956673,9.42000986835687
15,0.0,0.0,,4,29,14.5,1,16,16.0,0,0.0,0.0,0.0
19,1.0,0.0,,5,28,13.4,0,0,0.0,0,0.0,0.0,0.0
21,1.0,0.0,,3,28,18.0,1,35,35.0,0,0.0,0.0,0.0
25,0.0,0.0,,2,76,49.0,1,16,16.0,0,0.0,0.0,0.0
6,0.0,0.0,,2,59,42.5,1,25,25.0,0,0.0,0.0,0.0
4,0.0,0.0,,5,25,12.6,0,0,0.0,0,0.0,0.0,0.0
3,0.0,0.0,,6,22,14.333333333333334,0,0,0.0,0,0.0,0.0,0.0
24,1.0,0.0,,3,41,26.666666666666668,1,27,27.0,0,0.0,0.0,0.0
16,1.0,0.0,,2,25,17.5,0,0,0.0,0,0.0,0.0,0.0
24,1.0,0.0,,3,41,25.333333333333332,1,27,27.0,0,0.0,0.0,0.0
9,0.0,0.0,,2,51,42.5,0,0,0.0,1,7.5,5.011798522189011,19.2977003626514
24,0.0,0.0,,4,54,24.75,1,4,4.0,1,7.0,4.183331875890571,19.711961189359798
21,0.0,0.0,,5,23,14.4,1,88,88.0,0,0.0,0.0,0.0
3,0.0,0.0,,4,48,19.5,1,3,3.0,0,0.0,0.0,0.0
4,0.0,0.0,,5,13,11.4,0,0,0.0,0,0.0,0.0,0.0
24,0.0,0.0,,2,77,47.0,1,9,9.0,0,0.0,0.0,0.0
18,1.0,0.0,,3,31,23.333333333333332,1,7,7.0,0,0.0,0.0,0.0
24,1.0,0.0,,5,35,19.8,0,0,0.0,0,0.0,0.0,0.0
14,0.0,0.0,,1,85,85.0,1,18,18.0,1,10.5,7.269451842064805,11.405481248120822
17,1.0,0.0,,3,44,29.0,0,0,0.0,0,0.0,0.0,0.0
24,1.0,0.0,,2,27,22.0,1,64,64.0,0,0.0,0.0,0.0
24,1.0,0.0,,3,41,25.0,1,27,27.0,0,0.0,0.0,0.0
18,1.0,0.0,,2,31,30.0,0,0,0.0,0,0.0,0.0,0.0
14,0.0,0.0,,4,25,19.25,1,33,33.0,0,0.0,0.0,0.0
13,0.0,0.0,,4,36,22.25,0,0,0.0,0,0.0,0.0,0.0
16,0.0,0.0,,3,30,20.333333333333332,1,22,22.0,0,0.0,0.0,0.0
10,1.0,0.0,,3,44,30.666666666666668,0,0,0.0,0,0.0,0.0,0.0
3,0.0,0.0,,4,48,25.0,0,0,0.0,0,0.0,0.0,0.0
25,0.0,0.0,,3,55,37.0,0,0,0.0,1,10.5,3.5469122071484187,11.982463594024846
5,0.0,0.0,,4,21,15.5,0,0,0.0,0,0.0,0.0,0.0
22,0.0,0.0,,6,24,13.833333333333334,1,23,23.0,0,0.0,0.0,0.0
22,0.0,0.0,,6,13,10.666666666666666,1,23,23.0,1,8.0,6.307549479088679,14.556600044648615
21,1.0,0.0,,6,27,17.833333333333332,0,0,0.0,1,8.0,3.3206612078933913,18.56360230155083
11,0.0,0.0,,4,20,13.25,0,0,0.0,0,0.0,0.0,0.0
13,0.0,0.0,,2,101,54.0,1,18,18.0,0,0.0,0.0,0.0
19,0.0,0.0,,5,32,18.8,0,0,0.0,0,0.0,0.0,0.0
7,1.0,0.0,,3,37,26.666666666666668,1,23,23.0,0,0.0,0.0,0.0
23,0.0,0.0,,5,14,9.8,0,0,0.0,1,10.0,2.5071485016493233,20.950700766918622
25,0.0,0.0,,1,7,7.0,1,18,18.0,0,0.0,0.0,0.0
17,1.0,0.0,,8,21,13.125,0,0,0.0,1,7.0,3.9265991967694953,22.768128350495964
18,1.0,0.0,,1,23,23.0,0,0,0.0,0,0.0,0.0,0.0
8,1.0,0.0,,2,69,43.0,0,0,0.0,0,0.0,0.0,0.0
25,0.0,0.0,,3,40,22.0,0,0,0.0,0,0.0,0.0,0.0
24,0.0,0.0,,6,24,13.833333333333334,1,7,7.0,1,7.0,4.08260761624911,19.07706036396269
14,0.0,0.0,,6,20,10.666666666666666,0,0,0.0,0,0.0,0.0,0.0
14,0.0,0.0,,2,43,35.5,0,0,0.0,0,0.0,0.0,0.0
21,0.0,0.0,,2,37,27.5,0,0,0.0,0,0.0,0.0,0.0
17,1.0,0.0,,6,10,8.0,0,0,0.0,0,0.0,0.0,0.0
1,1.0,0.0,,4,45,25.25,0,0,0.0,0,0.0,0.0,0.0
23,0.0,0.0,,2,73,41.5,0,0,0.0,1,9.0,3.5094039002293718,22.29514044276533
4,0.0,0.0,,2,9,8.0,0,0,0.0,0,0.0,0.0,0.0
22,0.0,0.0,,3,51,34.333333333333336,1,27,27.0,0,0.0,0.0,0.0
24,1.0,0.0,,3,22,16.666666666666668,1,27,27.0,0,0.0,0.0,0.0
24,1.0,0.0,,4,35,21.25,0,0,0.0,0,0.0,0.0,0.0
10,1.0,0.0,,5,16,11.6,1,20,20.0,2,10.0,3.369609990743708,22.699652056381588
13,0.0,0.0,,2,38,33.5,1,16,16.0,0,0.0,0.0,0.0
17,1.0,0.0,,5,20,12.0,1,22,22.0,0,0.0,0.0,0.0
4,0.0,0.0,,2,12,11.0,1,7,7.0,0,0.0,0.0,0.0
6,0.0,0.0,,1,29,29.0,1,19,19.0,0,0.0,0.0,0.0
4,0.0,0.0,,1,80,80.0,0,0,0.0,0,0.0,0.0,0.0
5,0.0,0.0,,7,26,13.428571428571429,0,0,0.0,0,0.0,0.0,0.0
14,0.0,0.0,,2,53,45.0,0,0,0.0,0,0.0,0.0,0.0
14,0.0,0.0,,5,25,13.2,1,21,21.0,0,0.0,0.0,0.0
16,1.0,0.0,,2,46,39.5,0,0,0.0,0,0.0,0.0,0.0
18,1.0,0.0,,4,24,12.75,0,0,0.0,0,0.0,0.0,0.0
