participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,blink_cnt,peak_blink_duration,avg_blink_duration,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
15,0.0,1.0,0.5,0.4660000801086426,1.4138505458831787,3.676847246940842e-05,0.14384379982948303,0.14384379982948303,0.1336965560913086,85,0,0,0.0,2,32.5,30.132360297413676,172.24634792813657,0,0.0,0.0,0.0
25,0.0,1.0,0.5,0.13880014419555664,16.498230934143066,0.0009431079421439601,-0.08066864311695099,-0.08066864311695099,-0.07186989486217499,185,0,0,0.0,2,37.5,19.399320168044383,121.88499928460081,0,0.0,0.0,0.0
3,0.0,1.0,0.5,0.47784996032714844,3.0049498081207275,-0.00013080624573314888,0.14209376306976448,0.14209376306976448,0.16956672668457032,169,1,1,1.0,3,15.333333333333334,23.83185419797623,153.94837253149907,0,0.0,0.0,0.0
4,1.0,1.0,1.0,0.14534997940063477,105.50824928283691,-0.0032836203124577117,-0.6489264369010925,-0.6489264369010925,-0.6012799739837646,52,0,0,0.0,2,51.0,23.498972742635555,220.50084825506033,0,0.0,0.0,0.0
24,1.0,1.0,1.0,0.06059980392456055,115.96641087532043,-0.009393987933681966,-1.6943168640136719,-1.6943168640136719,-1.6539502143859863,15,0,0,0.0,4,21.5,28.613749832950123,175.5600748323257,0,0.0,0.0,0.0
4,0.0,1.0,0.5,0.10109996795654297,21.77835249900818,-0.00020858781523376118,-0.2238255739212036,-0.2238255739212036,-0.2271200269460678,225,0,0,0.0,3,51.0,31.107209393185922,200.49854487799203,0,0.0,0.0,0.0
17,1.0,1.0,0.5,0.40269994735717773,6.324502944946289,-0.0011842302349750044,0.06457630544900894,0.06457630544900894,0.05642658844590187,124,0,0,0.0,4,17.25,31.21762738396088,157.4104567255427,0,0.0,0.0,0.0
19,1.0,1.0,1.0,0.2283000946044922,63.179107904434204,0.003269374766786543,-0.32106250524520874,-0.32106250524520874,-0.31032001972198486,201,0,0,0.0,2,20.5,20.540655091384163,118.20136365530902,0,0.0,0.0,0.0
6,1.0,1.0,0.5,0.0,237.57741165161133,-0.0031733646696277145,-1.6475181579589844,-1.6475181579589844,-1.5891165733337402,0,0,0,0.0,2,9.0,31.377747291942057,105.6120070872021,0,0.0,0.0,0.0
26,1.0,1.0,1.0,0.3686504364013672,4.367300510406494,0.0006350901876949112,0.08070547878742218,0.08070547878742218,0.07561003416776657,195,0,0,0.0,4,29.75,21.157869381507016,131.58060205944696,1,10.0,3.4301595774440505,21.577477384796133
18,1.0,1.0,0.5,0.6082496643066406,0.9629015922546387,-0.00040333209287668107,0.13972078263759613,0.13972078263759613,0.14857985079288483,136,0,0,0.0,5,18.0,22.63212868809314,142.9064932653197,1,8.0,3.1472864971168666,18.11620673981796
23,1.0,1.0,1.0,0.09924983978271484,193.71118259429932,-0.008270172285945383,-1.4611271619796753,-1.4611271619796753,-1.400166630744934,14,0,0,0.0,5,30.0,27.803323848012763,209.3010245141799,0,0.0,0.0,0.0
