participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,fix_cnt,max_fix_cnt,avg_fix_cnt,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
15,0.0,1.0,0.5,1.0103001594543457,0.0,-6.713421594449111e-05,0.5609790086746216,0.5609790086746216,0.5438022017478943,145,12,39,18.75,4,26.5,23.424687938383453,131.12216448832498,0,0.0,0.0,0.0
25,0.0,1.0,0.5,0.5144548952579502,0.08895015716552734,0.0005131481066027951,0.2196313773884493,0.2196313773884493,0.219443634800289,51,8,81,32.375,2,41.0,19.20754768156067,172.48345278502154,0,0.0,0.0,0.0
3,0.0,1.0,0.5,0.5862998962402344,8.108699321746826,-0.0008444249277452462,0.1621140301728449,0.1621140301728449,0.14002887401405426,229,12,40,18.75,4,29.25,26.156739107226347,168.45769180766118,0,0.0,0.0,0.0
4,1.0,1.0,1.0,0.2739996910095215,109.95940279960632,-0.0018732292111884683,-0.39494481682777405,-0.39494481682777405,-0.3860437273979187,112,8,115,25.375,4,33.75,20.73442269248802,144.11986952532644,1,13.0,3.679839889594338,9.76685447545839
24,1.0,1.0,1.0,0.28064990043640137,193.39725303649902,-0.006383314500030472,-1.2515420449548076,-1.2515420449548076,-1.2186219512507581,33,10,58,19.8,7,20.142857142857142,25.71335433869756,163.94176059191008,0,0.0,0.0,0.0
4,0.0,1.0,0.5,0.0,308.2310814857483,-0.0023105678960491823,-1.8640731573104858,-1.8640731573104858,-1.8224895000457764,0,14,33,12.357142857142858,4,39.75,25.511711877823032,158.2821194687062,0,0.0,0.0,0.0
17,1.0,1.0,0.5,0.7177000045776367,0.037600040435791016,-0.0004504290328571669,0.2873595356941223,0.2873595356941223,0.2812369763851166,184,14,35,17.428571428571427,4,21.0,26.33480032205894,163.61739730630046,0,0.0,0.0,0.0
6,1.0,1.0,0.5,0.09725022315979004,365.9539158344269,-0.005373062191515921,-1.491838056834138,-1.491838056834138,-1.4826025457485863,27,10,43,28.5,3,14.666666666666666,18.660039454037516,86.5180097989123,0,0.0,0.0,0.0
26,1.0,1.0,1.0,0.4939999580383301,1.0974006652832031,0.0008359852184684413,0.17815814912319183,0.17815814912319183,0.18938690423965454,335,16,21,12.8125,6,21.0,24.994275890636697,126.63730540981021,1,10.0,3.4301595774440505,21.577477384796133
18,1.0,1.0,0.5,0.8399496078491211,0.12750005722045898,0.0005914963499116313,0.34370601177215576,0.34370601177215576,0.3533998429775238,196,13,33,17.307692307692307,4,24.5,29.73841379163786,239.39184193854635,1,8.0,3.1472864971168666,18.11620673981796
23,1.0,1.0,1.0,0.14225006103515625,279.45422410964966,-0.006033527097154111,-1.186058521270752,-1.186058521270752,-1.1773978471755981,13,9,57,16.444444444444443,7,26.857142857142858,24.620006174241553,202.44109979764897,0,0.0,0.0,0.0
16,1.0,1.0,0.5,0.393049955368042,2.592452049255371,0.0009707427551143503,0.12225835770368576,0.12225835770368576,0.12204564362764359,240,10,31,20.3,2,66.5,27.528710483152576,116.23898461752238,1,9.0,2.88468171291837,16.958821581270815
18,1.0,1.0,0.5,1.2094557846293732,21.205120226126052,-0.0007399450348125824,0.0508676271478669,0.0508676271478669,0.03256872257797489,59,11,29,13.636363636363637,4,47.0,21.045502590054628,244.2128393634159,0,0.0,0.0,0.0
22,1.0,1.0,1.0,0.21219992637634277,97.70850086212158,-0.007097708940137792,-0.6787312498279646,-0.6787312498279646,-0.679271745710628,178,7,96,45.0,2,16.0,3.5549656614898364,12.792401546294954,1,7.5,5.828131960499238,12.531041917748908
26,1.0,1.0,1.0,0.15429973602294922,183.02701210975647,-0.004358331416253591,-0.6636555790901184,-0.6636555790901184,-0.6453544497489929,128,4,82,52.0,3,48.0,22.316741563720868,149.0486140339863,0,0.0,0.0,0.0
5,1.0,1.0,0.5,1.4537500143051147,0.566501259803772,0.00334234663939855,0.6385262727069587,0.6385262727069587,0.6373341439901072,356,13,60,23.846153846153847,2,11.0,4.417049118636502,16.627420629866474,0,0.0,0.0,0.0
10,1.0,1.0,1.0,0.20895028114318848,142.46519804000854,-0.003418817323281013,-0.639967072243784,-0.639967072243784,-0.6189634706079843,48,12,65,21.0,4,22.5,20.740048467228846,142.10251995511572,2,7.75,3.344945449993785,16.468283516943217
13,1.0,1.0,1.0,0.09619998931884766,193.50883678520955,-0.006750342932584505,-0.9559014434574031,-0.9559014434574031,-0.9913080969945728,108,9,110,26.666666666666668,4,25.5,17.180597556776437,106.99725578648149,0,0.0,0.0,0.0
