participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,fix_cnt,max_fix_cnt,avg_fix_cnt,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
9,0.0,0.0,,0.43144989013671875,347.315993309021,-0.006494188523907511,-1.2912287712097168,-1.2912287712097168,-1.279474139213562,54,14,53,19.928571428571427,4,14.5,12.731366983811851,53.58214016200026,0,0.0,0.0,0.0
17,1.0,0.0,,0.13524985313415527,4.496615409851074,-0.00027960365359472404,-0.026776056736707687,-0.026776056736707687,-0.028391433879733086,98,12,49,23.0,4,15.75,25.636843057675726,136.26942224519962,0,0.0,0.0,0.0
19,1.0,0.0,,0.2232123613357544,17.376550912857056,-0.004268330833688792,-0.2879835644356009,-0.2879835644356009,-0.28868950370163426,232,6,206,44.166666666666664,2,41.0,21.585005659731976,229.62969753930582,0,0.0,0.0,0.0
19,1.0,0.0,,0.16551244258880615,222.13035130500793,-0.006974490792805003,-1.2726719970462703,-1.2726719970462703,-1.265929356865261,62,8,40,18.25,5,40.4,24.701156380822347,231.14482066631905,0,0.0,0.0,0.0
17,1.0,0.0,,0.6810499429702759,1.8984452054855674,-0.0010636813982709142,0.1302598095407673,0.1302598095407673,0.12670943516175545,111,13,26,14.692307692307692,5,27.4,26.555467857264933,163.68678974932567,2,7.25,3.8774898241552447,20.002845988163152
8,1.0,0.0,,0.3271998167037964,71.51263647526503,-0.0004470993145468564,-0.18709279826375283,-0.18709279826375283,-0.1885109543800354,27,15,28,12.2,5,30.0,22.55267167787185,191.24630662129334,0,0.0,0.0,0.0
14,0.0,0.0,,0.8471498489379883,6.073750019073486,-0.0030271144552603785,0.1896000419344221,0.1896000419344221,0.11220438129666037,150,11,56,26.454545454545453,2,17.0,16.83517464418047,135.80088196315754,1,7.0,3.8610098219142417,20.649249378109758
23,0.0,0.0,,0.33659982681274414,0.42789995670318604,-0.000564996637746726,0.07326300771964364,0.07326300771964364,0.061830307244151776,267,9,95,25.22222222222222,6,19.666666666666668,24.791221408129985,143.40674452472214,1,8.0,3.396131543119771,11.939331236308256
23,0.0,0.0,,1.159749984741211,0.24825000762939453,0.0003145363627100316,0.6047630430269642,0.6047630430269642,0.6082865051601244,110,8,27,12.125,7,35.57142857142857,27.02572127361429,270.2904773519327,0,0.0,0.0,0.0
16,0.0,0.0,,0.22295010089874268,37.837417952001914,-0.0008984062904483667,-0.28341697043731434,-0.28341697043731434,-0.27666768742289266,27,12,33,16.083333333333332,5,29.8,19.428637920872355,102.36961657562313,0,0.0,0.0,0.0
19,0.0,0.0,,0.2239999771118164,34.06290149688721,-0.002105165336852075,-0.1970909353063888,-0.1970909353063888,-0.19220625781358242,9,12,39,16.75,6,22.5,26.377753592785044,176.18479433157677,0,0.0,0.0,0.0
24,0.0,0.0,,0.27376255818775697,4.631595969200134,0.0003612532713398965,-0.013418775646626458,-0.013418775646626458,-0.022188412032512407,296,14,42,15.714285714285714,7,15.285714285714286,19.69919460590969,121.25142886366476,0,0.0,0.0,0.0
21,0.0,0.0,,0.5816001892089844,33.58754901091258,0.0015198931315026276,0.04236275107920671,0.04236275107920671,0.04930556228823652,261,7,84,42.57142857142857,4,12.75,16.663898870583417,109.90919286035805,0,0.0,0.0,0.0
3,0.0,0.0,,0.28480005264282227,3.546999931335449,-0.0035250470839107728,-0.2336081660428301,-0.2336081660428301,-0.2560057916503022,124,19,48,15.473684210526315,4,8.75,23.89825977850314,104.55090228795788,1,8.0,3.1299262371675636,15.475253290042025
6,0.0,0.0,,0.4593501091003418,0.4377461097048694,0.0009708235060847219,0.18708816896967528,0.18708816896967528,0.17914015034662334,354,9,48,32.0,4,11.25,2.4886378170981365,11.452207739428175,0,0.0,0.0,0.0
3,0.0,0.0,,0.3893000452142008,14.693663183011507,0.0011012476078345243,0.039395745394944476,0.039395745394944476,0.03187120038984751,219,12,46,21.666666666666668,4,16.75,24.583384848548928,175.59427160872815,0,0.0,0.0,0.0
13,0.0,0.0,,0.39373839818514256,1.3987155723571778,0.00038794505654696904,0.12987957348008783,0.12987957348008783,0.12808422940687533,318,6,100,46.5,2,33.5,22.73197516759688,168.6146584926935,0,0.0,0.0,0.0
16,0.0,0.0,,0.3542499542236328,168.7076050043106,-0.009660616009095119,-0.9276551292056129,-0.9276551292056129,-0.9163831328069884,164,10,56,21.3,6,22.166666666666668,19.968452960353932,115.69288075363075,0,0.0,0.0,0.0
