participant,study_status,scene_familiarity,recall_status,blink_cnt,peak_blink_duration,avg_blink_duration,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude
15,0.0,1.0,0.5,0,0,0.0,2,45.0,30.132360297413676,210.1388440285338
25,0.0,1.0,0.5,0,0,0.0,1,35.0,25.233217701876786,62.558357635216815
3,0.0,1.0,0.5,1,16,16.0,3,24.0,28.132600100734923,158.6488197362267
4,1.0,1.0,1.0,0,0,0.0,4,33.75,20.73442269248802,144.11986952532644
24,1.0,1.0,1.0,0,0,0.0,6,19.333333333333332,29.626179177760466,188.20452922424488
4,0.0,1.0,0.5,0,0,0.0,4,31.25,20.567002238815963,141.8209569947921
17,1.0,1.0,0.5,0,0,0.0,2,27.5,34.19048177065873,219.28881591320152
19,1.0,1.0,1.0,0,0,0.0,2,18.5,20.968363288122532,118.20136365530902
6,1.0,1.0,0.5,0,0,0.0,1,23.0,17.78965755863163,85.04912099451653
26,1.0,1.0,1.0,0,0,0.0,3,28.666666666666668,27.55441758372132,172.5286239774938
18,1.0,1.0,0.5,0,0,0.0,3,23.0,33.26738644696681,254.01742226962037
23,1.0,1.0,1.0,0,0,0.0,5,31.4,26.788989596055057,227.16603183193075
16,1.0,1.0,0.5,0,0,0.0,1,122.0,24.364966471485435,78.9868531153422
18,1.0,1.0,0.5,1,98,98.0,4,28.5,19.545073394431476,176.1457656911434
26,1.0,1.0,1.0,0,0,0.0,3,48.0,22.316741563720868,149.0486140339863
10,1.0,1.0,1.0,1,18,18.0,3,24.666666666666668,26.485458767217114,171.9509387705009
13,1.0,1.0,1.0,1,106,106.0,3,32.0,15.577382623646637,115.85850439030581
22,1.0,1.0,1.0,0,0,0.0,2,8.5,25.966419243527007,117.46403800764872
24,0.0,1.0,0.5,1,26,26.0,2,31.5,5.630671534884679,60.01751917433502
16,1.0,1.0,1.0,0,0,0.0,5,13.6,20.999518580339654,96.48916663618456
2,0.0,1.0,0.5,1,21,21.0,3,13.333333333333334,10.115437613744211,35.002233502426726
23,1.0,1.0,1.0,1,51,51.0,5,28.0,16.913854073935966,139.448597671311
9,0.0,1.0,0.5,1,17,17.0,4,24.5,20.786038435062927,142.23807767223582
6,1.0,1.0,1.0,0,0,0.0,3,26.666666666666668,28.63675484164986,191.98880272742088
23,0.0,1.0,0.5,0,0,0.0,4,37.25,32.470467734787626,196.43663782812476
1,1.0,1.0,0.5,2,19,16.5,2,36.0,10.98269292503834,152.11957770755632
23,0.0,1.0,0.5,0,0,0.0,6,9.5,17.290225703846684,81.2684920369452
14,1.0,1.0,1.0,1,124,124.0,4,29.0,8.21519004122042,57.58963288524383
