participant,study_status,scene_familiarity,recall_status,blink_cnt,peak_blink_duration,avg_blink_duration,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude
25,0.0,0.0,,1,19,19.0,3,39.333333333333336,32.41835433619112,274.1511150241586
25,0.0,0.0,,0,0,0.0,1,23.0,13.94252579174112,39.43831835898401
22,0.0,0.0,,1,26,26.0,5,7.8,12.268297289973418,57.95109083442027
19,0.0,0.0,,1,18,18.0,3,45.333333333333336,28.237670763623157,230.76989039885154
23,0.0,0.0,,0,0,0.0,4,26.75,25.71145266205368,127.90520052694745
23,0.0,0.0,,0,0,0.0,4,22.75,11.375298317446893,54.252522002231
5,0.0,0.0,,1,17,17.0,3,12.666666666666666,37.44799650307146,193.39974121048658
15,1.0,0.0,,0,0,0.0,3,11.333333333333334,14.51818303758324,92.362694495514
15,0.0,0.0,,1,16,16.0,4,20.5,27.43187322447294,229.26107521674183
10,1.0,0.0,,0,0,0.0,4,16.75,24.17540673185081,107.55648273657745
17,1.0,0.0,,0,0,0.0,4,10.25,22.281594087292433,93.33785766947749
14,0.0,0.0,,1,33,33.0,4,14.5,16.74726979209232,84.86366382033337
25,0.0,0.0,,2,19,17.5,3,57.333333333333336,32.41835433619112,302.2145018888241
26,0.0,0.0,,1,19,19.0,2,13.5,2.004170575084319,21.65277816091796
9,0.0,0.0,,1,22,22.0,2,11.0,8.368532647165408,29.302333224313934
23,0.0,0.0,,0,0,0.0,2,37.5,34.7623128623379,239.71602887545862
17,1.0,0.0,,0,0,0.0,5,19.6,20.22653915391028,87.13380962422586
1,1.0,0.0,,1,14,14.0,4,13.25,8.484015839776541,49.76421413130387
23,0.0,0.0,,1,42,42.0,2,18.5,3.711653177136269,28.66261611450416
4,0.0,0.0,,1,85,85.0,2,15.0,7.382331691012349,21.06820803381359
1,1.0,0.0,,1,11,11.0,1,16.0,10.324500381130385,120.81855717904791
5,0.0,0.0,,0,0,0.0,1,122.0,2.846391416901172,36.659528449764295
4,0.0,0.0,,1,88,88.0,5,33.2,14.472567824539913,94.74461480945524
5,0.0,0.0,,1,16,16.0,3,10.666666666666666,18.530778146244952,98.44615029593943
9,0.0,0.0,,1,22,22.0,2,27.5,8.368532647165408,33.4117584073052
25,0.0,0.0,,1,58,58.0,4,21.25,15.249138951618022,132.25995537108443
14,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
14,0.0,0.0,,1,20,20.0,3,17.666666666666668,16.60116721778049,120.35921433237836
4,0.0,0.0,,0,0,0.0,4,12.0,18.20395929027467,74.99988975262123
10,1.0,0.0,,1,18,18.0,1,20.0,4.934805588039438,79.08492043816673
4,0.0,0.0,,0,0,0.0,5,15.8,19.214325320703946,97.74484246613744
16,1.0,0.0,,0,0,0.0,2,23.5,24.505836037776504,114.62265244552935
17,1.0,0.0,,1,15,15.0,2,23.5,12.050047382896778,30.192311105806166
24,1.0,0.0,,0,0,0.0,3,12.333333333333334,32.898247082441316,154.43217459334434
18,1.0,0.0,,1,9,9.0,2,57.0,16.61752922915048,165.32899988263316
