participant,study_status,scene_familiarity,recall_status,blink_cnt,peak_blink_duration,avg_blink_duration,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude
18,1.0,0.0,,0,0,0.0,3,14.666666666666666,23.194272496111136,181.53171009017538
23,0.0,0.0,,1,47,47.0,3,20.333333333333332,15.32618861035896,89.24027918223094
19,1.0,0.0,,0,0,0.0,1,8.0,26.539564786167613,156.0590870296636
7,1.0,0.0,,0,0,0.0,1,25.0,13.392423101374977,58.5530561600985
3,1.0,0.0,,0,0,0.0,1,7.0,25.927898561748943,78.92401334601644
13,1.0,0.0,,0,0,0.0,4,16.5,15.229046210305299,80.09958478840858
18,1.0,0.0,,1,5,5.0,1,89.0,37.64380087579974,502.4721110182955
9,1.0,0.0,,0,0,0.0,2,24.0,10.734448725444631,23.717352428095495
19,0.0,0.0,,0,0,0.0,2,25.5,21.311049378274735,175.31538169447361
1,1.0,0.0,,0,0,0.0,3,20.0,9.635022587583128,44.38790617747954
24,1.0,0.0,,0,0,0.0,1,11.0,30.41068048418851,215.2649302385904
14,0.0,0.0,,0,0,0.0,1,11.0,2.3705917949146578,10.357416620348497
22,0.0,0.0,,1,21,21.0,2,16.0,3.2154310687956604,23.773362892186363
26,0.0,0.0,,0,0,0.0,1,43.0,30.245379278072896,229.54370432477748
16,1.0,0.0,,1,5,5.0,1,7.0,15.800282978581775,70.85456921151044
22,0.0,0.0,,1,38,38.0,2,9.0,11.607460387587006,67.79840749023805
3,1.0,0.0,,1,13,13.0,2,15.5,11.747055139633758,77.2459791772421
12,1.0,0.0,,0,0,0.0,1,14.0,20.45408270141322,57.86075910254641
5,0.0,0.0,,0,0,0.0,1,16.0,43.34691930386927,181.64703886874187
9,0.0,0.0,,1,22,22.0,1,88.0,4.003526414788191,38.32784651870113
21,1.0,0.0,,0,0,0.0,3,8.0,21.19321977785673,106.50262136051508
5,0.0,0.0,,0,0,0.0,1,27.0,28.33710845533708,141.14583774172652
7,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
24,0.0,0.0,,1,7,7.0,1,17.0,13.247314853077313,60.87451310625199
12,1.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
3,1.0,0.0,,1,7,7.0,1,12.0,58.28526340440494,423.3217787438216
15,0.0,0.0,,0,0,0.0,1,41.0,14.687151066576792,197.57690382892733
12,1.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
26,0.0,0.0,,0,0,0.0,1,16.0,27.11794225749278,163.51714223430264
18,1.0,0.0,,1,5,5.0,2,54.0,38.24777092108588,349.22941756289123
15,0.0,0.0,,1,16,16.0,3,23.666666666666668,16.429090347083704,101.65698300928999
25,0.0,0.0,,1,23,23.0,3,15.0,10.398396002029768,81.16848344694995
14,0.0,0.0,,0,0,0.0,3,13.666666666666666,19.284083749648943,85.74109783232355
7,1.0,0.0,,0,0,0.0,1,87.0,24.373131175491125,67.77905781448206
9,0.0,0.0,,0,0,0.0,1,46.0,1.3088947316908703,7.508405717809933
18,1.0,0.0,,0,0,0.0,2,6.5,5.487271969387432,19.545308510005256
21,1.0,0.0,,0,0,0.0,1,38.0,24.782729890282493,217.88247755441515
5,0.0,0.0,,1,16,16.0,4,10.25,20.475969961790728,115.03169075351161
17,1.0,0.0,,0,0,0.0,1,29.0,30.033314258148785,77.4672346053935
14,0.0,0.0,,0,0,0.0,1,31.0,22.53682786834066,173.3651243030945
19,1.0,0.0,,0,0,0.0,3,23.0,18.640358374863524,137.73854893308274
9,0.0,0.0,,1,16,16.0,1,51.0,32.87604227623835,124.83573734057798
6,0.0,0.0,,1,30,30.0,2,33.5,6.047186147384395,75.22586282662911
13,1.0,0.0,,1,24,24.0,1,77.0,22.61266450408739,286.4019732243697
12,1.0,0.0,,0,0,0.0,1,7.0,2.316484450979065,5.271389617647752
14,0.0,0.0,,1,30,30.0,2,17.5,27.386195356756865,263.2596226860797
4,0.0,0.0,,1,4,4.0,3,9.0,7.638162813172283,29.584826271021615
