participant,study_status,scene_familiarity,recall_status,blink_cnt,peak_blink_duration,avg_blink_duration,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude
9,0.0,0.0,,1,16,16.0,2,16.0,40.02937799836327,342.5261682949294
17,1.0,0.0,,0,0,0.0,4,29.0,27.15999219359171,156.10287455134952
19,1.0,0.0,,0,0,0.0,8,25.25,18.380242884367618,161.030257253105
19,1.0,0.0,,0,0,0.0,1,20.0,14.260237003054822,76.80603473363723
17,1.0,0.0,,0,0,0.0,4,27.75,28.881773392623295,209.1543930867403
8,1.0,0.0,,1,19,19.0,6,24.5,25.719066894132823,168.36178552225275
14,0.0,0.0,,2,41,31.0,3,37.0,16.78573237595612,129.15361001347094
23,0.0,0.0,,0,0,0.0,1,186.0,5.685066628180629,30.015328587585607
23,0.0,0.0,,0,0,0.0,1,18.0,33.84047189768523,166.7608901220949
16,0.0,0.0,,1,38,38.0,3,22.666666666666668,18.12548189222974,97.99468320199686
19,0.0,0.0,,1,18,18.0,5,24.6,22.207520231794568,147.11342073764624
24,0.0,0.0,,1,27,27.0,7,14.285714285714286,14.312128526969103,71.12693445590644
21,0.0,0.0,,1,28,28.0,2,32.0,8.197636909502405,94.3708576934522
3,0.0,0.0,,1,11,11.0,4,8.25,23.882977092192917,116.24823763006454
6,0.0,0.0,,1,25,25.0,4,27.25,21.91942980978397,130.75582407294525
3,0.0,0.0,,2,136,76.0,9,15.444444444444445,15.886972300236335,90.14926318200956
13,0.0,0.0,,1,24,24.0,4,27.0,28.124455625833754,171.20632851215314
16,0.0,0.0,,0,0,0.0,4,41.5,21.429942560620226,169.00080025135793
25,0.0,0.0,,2,23,20.5,4,42.0,22.466152413730875,201.48671817000135
19,0.0,0.0,,1,18,18.0,2,35.5,28.688250141112185,217.29329974343148
3,0.0,0.0,,2,18,9.5,8,11.875,23.640516494614864,140.5993140383705
13,0.0,0.0,,0,0,0.0,2,25.5,17.075370709913898,120.94491883538956
14,0.0,0.0,,1,44,44.0,2,27.5,4.451654809221241,17.964244871506338
18,1.0,0.0,,1,17,17.0,4,43.0,27.4146950004018,249.41657826374933
24,0.0,0.0,,1,30,30.0,2,16.5,15.176189034016005,92.42000991369832
7,0.0,0.0,,0,0,0.0,1,33.0,5.797206202142647,11.66046440972894
12,1.0,0.0,,1,27,27.0,3,15.0,11.94927183965975,46.858184823310246
4,0.0,0.0,,0,0,0.0,10,19.2,20.512997036946423,107.01842035724238
8,1.0,0.0,,1,67,67.0,4,19.0,25.062545446471464,150.9380615787976
9,1.0,0.0,,2,16,15.5,5,13.0,17.747448580106003,91.35178257167897
15,1.0,0.0,,2,63,46.5,1,16.0,28.36137260706471,133.3584352678762
26,0.0,0.0,,2,28,23.5,3,28.333333333333332,5.456346921597241,27.28819259817587
16,1.0,0.0,,2,16,10.5,4,27.75,25.86745708366478,140.73994943793863
22,0.0,0.0,,2,23,17.0,5,8.0,13.619625173687322,66.16731630850796
26,0.0,0.0,,0,0,0.0,5,20.6,28.626041003798196,118.90908342226969
7,0.0,0.0,,0,0,0.0,2,9.0,20.909648393799543,79.97061326805533
24,1.0,0.0,,0,0,0.0,3,21.0,32.4818125842969,175.45153775404333
21,1.0,0.0,,1,32,32.0,5,27.8,20.306349306975587,183.47684757562806
22,0.0,0.0,,2,26,22.5,5,7.0,12.268297289973418,55.760206562315055
21,1.0,0.0,,0,0,0.0,6,21.5,21.217131325514984,131.94050715864628
5,0.0,0.0,,0,0,0.0,4,21.0,24.635314087044957,127.76487363584299
21,0.0,0.0,,1,24,24.0,2,12.0,16.156024523663287,87.6384239973014
24,0.0,0.0,,1,13,13.0,2,17.0,25.66140941110227,151.39667402296607
9,1.0,0.0,,1,155,155.0,4,34.0,7.007656309153412,25.140451851318552
22,0.0,0.0,,1,16,16.0,4,21.25,21.385986629105275,173.65291123905521
21,1.0,0.0,,1,32,32.0,6,24.0,17.666259383357612,156.3679347203271
24,0.0,0.0,,0,0,0.0,4,22.5,23.999072445914276,127.8648491454862
16,0.0,0.0,,1,145,145.0,5,33.6,18.433059619708068,94.47105847074882
14,0.0,0.0,,1,23,23.0,3,15.0,16.29206861050511,87.84142293543555
6,0.0,0.0,,1,16,16.0,2,31.5,27.705571635361885,86.14966294475047
23,0.0,0.0,,1,56,56.0,5,29.2,27.70084365397046,174.57961336995783
4,0.0,0.0,,1,85,85.0,7,14.428571428571429,15.494346584941514,75.82433710687766
1,1.0,0.0,,1,11,11.0,6,7.666666666666667,8.924308341466407,36.41142948809634
13,1.0,0.0,,1,120,120.0,3,34.333333333333336,16.53885186922443,128.763854836873
19,0.0,0.0,,0,0,0.0,3,21.333333333333332,20.138822200044796,93.69959694956388
22,0.0,0.0,,2,34,32.0,2,26.5,16.914841676470743,105.22759631522476
24,1.0,0.0,,0,0,0.0,2,33.5,33.51737863435109,155.817561471825
22,0.0,0.0,,1,28,28.0,1,94.0,15.768817157755675,107.15916228501729
17,1.0,0.0,,0,0,0.0,5,29.6,25.85249893513411,192.20464122466964
14,0.0,0.0,,2,41,31.0,3,37.0,11.03795906187365,106.03487376555442
15,1.0,0.0,,1,20,20.0,4,19.5,23.242540515948576,105.60403481074948
21,0.0,0.0,,1,102,102.0,4,14.0,3.198389185575276,25.200882515722196
6,0.0,0.0,,1,72,72.0,6,18.5,19.282252307555762,137.283970372254
24,0.0,0.0,,2,30,18.5,4,11.25,12.490337002173488,64.23821002547315
4,0.0,0.0,,0,0,0.0,6,27.666666666666668,25.729347736477447,169.40460882023092
23,0.0,0.0,,1,46,46.0,5,22.0,19.273742289513635,115.80452100419139
7,0.0,0.0,,0,0,0.0,2,18.5,35.129406639163705,130.87520276047834
6,0.0,0.0,,1,16,16.0,4,23.25,22.260469484414358,108.83810841176643
18,1.0,0.0,,1,8,8.0,4,35.25,32.2071864776881,242.40403804671706
25,0.0,0.0,,0,0,0.0,2,12.5,26.226484552839295,114.32931768424942
23,0.0,0.0,,1,47,47.0,6,21.166666666666668,20.80670014869368,131.31641940577322
24,1.0,0.0,,0,0,0.0,4,13.5,30.989626362408266,177.52872709793573
26,0.0,0.0,,1,20,20.0,3,16.333333333333332,19.869940271300504,95.17002108707845
24,1.0,0.0,,0,0,0.0,4,14.0,27.32262662800944,114.31081892141243
14,0.0,0.0,,2,35,28.0,2,49.5,19.003277296372104,148.33190019402912
22,0.0,0.0,,1,38,38.0,3,14.333333333333334,10.136152549230228,45.10281393778487
4,0.0,0.0,,0,0,0.0,6,32.5,28.2206161224627,208.86887147232264
23,0.0,0.0,,1,47,47.0,7,29.428571428571427,20.85412264093897,146.9059268519706
6,0.0,0.0,,1,25,25.0,5,19.4,17.753750814646228,101.5564648353075
24,1.0,0.0,,0,0,0.0,6,12.0,24.4617705329762,101.32622991591569
19,1.0,0.0,,0,0,0.0,4,25.75,15.69899416047949,118.63884047077146
14,0.0,0.0,,1,21,21.0,3,44.0,26.072753758486716,161.4053834740857
1,1.0,0.0,,1,11,11.0,1,33.0,9.326754315682955,148.8030666820045
9,1.0,0.0,,2,16,15.5,5,12.4,17.747448580106003,91.30667810958565
7,1.0,0.0,,1,142,142.0,2,14.0,0.749352533947911,2.7720994619457793
12,1.0,0.0,,0,0,0.0,4,8.25,21.142685775014286,54.768195034947986
25,0.0,0.0,,1,162,162.0,6,36.166666666666664,15.012443918070607,143.8294906565725
17,1.0,0.0,,0,0,0.0,6,14.166666666666666,19.699332666141583,106.3901015587462
14,0.0,0.0,,0,0,0.0,1,39.0,9.831455619278097,25.541957015616955
22,0.0,0.0,,1,39,39.0,1,6.0,2.737162275178774,12.46715337780539
14,0.0,0.0,,1,21,21.0,4,7.5,14.475610741501713,66.34304806841571
7,1.0,0.0,,0,0,0.0,5,8.0,18.6547196204763,93.2376511481577
8,1.0,0.0,,1,67,67.0,5,24.8,24.867998126886484,164.54043416612353
26,0.0,0.0,,0,0,0.0,3,28.666666666666668,28.98035700599617,222.41633921775642
21,1.0,0.0,,1,32,32.0,3,41.0,27.46742562654383,283.0867622592611
5,0.0,0.0,,1,3,3.0,5,22.2,23.447766808024333,166.10460553707634
5,0.0,0.0,,1,16,16.0,7,13.285714285714286,20.584758721182332,122.73682770016919
23,0.0,0.0,,1,37,37.0,2,39.0,18.53148478133655,140.56573912791882
14,0.0,0.0,,1,21,21.0,5,17.2,12.634581608278403,48.268229868508236
25,0.0,0.0,,1,162,162.0,6,33.0,12.482755785872067,140.15038064185296
5,0.0,0.0,,1,17,17.0,5,9.6,16.93738197363977,92.01676384590903
6,0.0,0.0,,1,30,30.0,4,23.5,13.606840846264074,160.97028808662827
23,0.0,0.0,,0,0,0.0,4,32.75,18.961796178337543,96.13691950922751
21,1.0,0.0,,2,152,93.5,6,23.0,15.260690548450336,81.08980513591787
24,0.0,0.0,,0,0,0.0,1,43.0,1.9606240278907539,19.606323955939516
18,1.0,0.0,,1,5,5.0,7,25.142857142857142,23.704405276476027,150.1500003354384
25,0.0,0.0,,1,19,19.0,4,30.5,30.569036484761334,192.83882824790638
14,0.0,0.0,,1,20,20.0,6,14.833333333333334,13.149540707853298,72.58557539775236
1,1.0,0.0,,0,0,0.0,4,15.0,19.47057567671177,101.27598124128944
21,0.0,0.0,,1,102,102.0,5,13.2,3.5017149211716943,22.56001430039794
22,0.0,0.0,,2,30,25.5,1,11.0,2.9506992793601015,29.50699279360083
15,0.0,0.0,,1,51,51.0,4,32.25,32.028135333715554,226.7316057915447
26,0.0,0.0,,0,0,0.0,4,51.0,24.71815075090702,207.5348419325004
2,1.0,0.0,,2,23,14.5,2,19.5,8.295656684756372,70.69464683375382
17,1.0,0.0,,1,15,15.0,3,25.333333333333332,22.92505792160257,101.13151521936827
2,0.0,0.0,,2,50,46.0,4,17.0,5.55486871394265,56.084539983681786
25,0.0,0.0,,1,252,252.0,6,16.666666666666668,7.304971227360205,44.832119687732956
21,1.0,0.0,,1,152,152.0,5,21.2,16.77649154183115,92.05253138504881
25,0.0,0.0,,1,42,42.0,4,25.25,18.122069900334136,124.3941402835507
15,0.0,0.0,,1,30,30.0,5,13.2,14.232707375117965,80.67445460316677
15,1.0,0.0,,1,34,34.0,6,19.5,20.551306125447393,107.56634225247814
14,0.0,0.0,,1,44,44.0,2,29.0,9.656854807529676,30.545945034181848
17,1.0,0.0,,0,0,0.0,3,24.0,20.807725836856626,130.95696449558864
24,0.0,0.0,,1,30,30.0,2,16.5,15.176189034016005,92.42000991369832
24,1.0,0.0,,0,0,0.0,3,14.666666666666666,19.59164232998388,96.3072763658471
3,1.0,0.0,,1,17,17.0,2,26.0,21.263549799412704,120.59515048203619
12,1.0,0.0,,1,39,39.0,4,18.25,19.81414802730986,99.97576378269667
14,0.0,0.0,,1,20,20.0,4,14.75,17.09389452446608,101.3481411731093
7,1.0,0.0,,0,0,0.0,1,26.0,17.64890121403371,39.21567454076938
15,0.0,0.0,,2,45,37.0,5,22.0,19.55817551312192,149.69502476668887
24,0.0,0.0,,1,21,21.0,5,10.4,18.99314237934313,118.2748869761627
25,0.0,0.0,,1,18,18.0,2,52.5,24.31987937130328,213.62834225077154
1,1.0,0.0,,1,39,39.0,6,28.166666666666668,16.487414349287224,78.29222367693875
18,1.0,0.0,,0,0,0.0,1,7.0,5.2842722377769,19.179484182550407
26,0.0,0.0,,0,0,0.0,5,31.0,27.29185487542707,124.73885957685081
7,1.0,0.0,,1,22,22.0,1,22.0,20.67624527160342,51.029944118488
23,0.0,0.0,,1,28,28.0,2,45.0,34.84979056861202,247.56559647060428
23,0.0,0.0,,0,0,0.0,4,33.25,29.015873038531417,218.99276078862113
6,0.0,0.0,,2,108,62.0,3,22.333333333333332,15.65249847421174,57.02474350413019
3,0.0,0.0,,2,16,15.0,4,23.0,25.78587579202931,157.1650129999562
24,0.0,0.0,,0,0,0.0,7,9.285714285714286,23.05450355527705,130.92305426391334
22,0.0,0.0,,0,0,0.0,2,15.5,4.357295247916715,10.58943247772635
15,0.0,0.0,,2,51,48.0,6,25.666666666666668,21.313798139790162,155.9715040241762
25,0.0,0.0,,2,17,16.0,4,35.75,18.85692318224318,216.6727844721509
25,0.0,0.0,,0,0,0.0,2,22.5,14.93481810252861,34.951783367311116
13,1.0,0.0,,1,120,120.0,4,33.25,19.173306870076775,145.42078817150275
5,0.0,0.0,,0,0,0.0,1,27.0,30.079986572265625,95.3570867289998
9,1.0,0.0,,2,16,15.5,4,13.75,14.00019323138591,101.3493435231303
1,1.0,0.0,,1,14,14.0,3,24.0,10.141161735706559,73.79163891678803
24,0.0,0.0,,0,0,0.0,2,21.5,19.174018931986176,138.02117102672696
22,0.0,0.0,,1,23,23.0,4,7.0,9.916848724396178,42.08406917219126
6,0.0,0.0,,1,99,99.0,6,22.5,17.55513199734921,113.09372703549907
3,0.0,0.0,,2,18,16.0,5,15.4,20.43494704895893,143.87497183215976
7,1.0,0.0,,2,143,87.0,2,12.0,1.3770165744547218,8.056024511052902
25,0.0,0.0,,1,42,42.0,3,21.0,12.448524021762736,74.81972709505577
4,0.0,0.0,,0,0,0.0,6,29.833333333333332,29.051207180756695,185.8913225520483
6,0.0,0.0,,2,93,55.5,5,11.4,7.327883927246026,41.03882248943303
15,1.0,0.0,,1,63,63.0,1,6.0,21.3880399174601,102.16282403931771
4,0.0,0.0,,0,0,0.0,9,21.333333333333332,23.852519406841143,114.85637037464251
5,0.0,0.0,,1,17,17.0,4,12.75,28.63462990673132,147.25299630386354
24,0.0,0.0,,2,30,18.5,5,13.0,13.353801366730659,70.63245528424207
19,0.0,0.0,,1,18,18.0,4,28.25,22.007773459965883,159.81588013033917
24,1.0,0.0,,1,27,27.0,4,15.25,14.480197219231245,109.83120391899685
26,0.0,0.0,,0,0,0.0,4,26.0,16.581829859715885,99.42784804580597
26,0.0,0.0,,2,28,23.5,2,30.0,6.763668611672727,36.10671892033873
6,0.0,0.0,,1,99,99.0,6,21.166666666666668,19.146317005752607,123.82004664035026
26,0.0,0.0,,0,0,0.0,3,50.333333333333336,21.076075123321996,137.9840810249141
22,0.0,0.0,,2,28,27.0,3,38.333333333333336,3.761736038365072,20.65199406563359
21,0.0,0.0,,2,23,15.5,4,13.25,18.49517448645599,123.01496966595396
7,0.0,0.0,,1,21,21.0,2,14.0,8.789009925872907,55.02436004211545
24,1.0,0.0,,0,0,0.0,3,21.0,32.4818125842969,175.45153775404333
3,1.0,0.0,,1,17,17.0,4,33.5,16.53613582150532,88.402353644987
23,0.0,0.0,,0,0,0.0,4,36.0,19.6483265276263,97.38345152747722
8,1.0,0.0,,1,19,19.0,5,31.6,26.723062787815945,166.6895889750646
9,1.0,0.0,,1,16,16.0,6,16.0,22.83911009350192,110.6103999570284
14,0.0,0.0,,1,33,33.0,4,10.5,16.324123462256043,80.30588778130591
14,0.0,0.0,,1,20,20.0,4,14.5,15.1520208537831,89.39045757240615
9,1.0,0.0,,1,15,15.0,4,23.5,11.815018945455602,34.38134764098787
24,0.0,0.0,,1,27,27.0,6,19.0,20.403357108725245,134.97857720180477
23,0.0,0.0,,1,46,46.0,5,18.6,27.14931702993865,154.62008052607396
8,1.0,0.0,,0,0,0.0,6,24.0,23.89890792873953,142.6633397196347
10,1.0,0.0,,1,16,16.0,1,9.0,1.3007728055495855,10.40618244439645
11,0.0,0.0,,2,17,13.5,7,26.857142857142858,28.752387538344916,172.4635275348144
19,0.0,0.0,,1,79,79.0,3,46.333333333333336,25.608142520712693,252.733446546723
4,0.0,0.0,,0,0,0.0,7,17.285714285714285,19.479283944210476,96.98551925296029
2,0.0,0.0,,2,124,79.5,4,14.5,5.864725554155093,38.67691140262978
9,0.0,0.0,,1,26,26.0,4,9.25,9.044524685552588,47.60344383290127
2,0.0,0.0,,2,50,46.5,4,16.5,5.739307163392786,54.76487194556641
12,0.0,0.0,,0,0,0.0,5,8.4,23.307315743113747,94.66934006783407
22,0.0,0.0,,1,38,38.0,1,11.0,3.019263909486121,30.19263909486103
8,1.0,0.0,,0,0,0.0,7,19.857142857142858,21.788307684692295,137.3890470046219
23,0.0,0.0,,1,56,56.0,5,34.2,27.70084365397046,244.8452624860808
15,0.0,0.0,,1,51,51.0,5,33.2,29.809045102454206,216.17387158503698
24,0.0,0.0,,2,30,18.5,5,10.2,10.537499788958272,53.85378489255861
22,0.0,0.0,,2,23,17.0,6,9.333333333333334,11.686162561128805,58.26889988879936
12,0.0,0.0,,1,33,33.0,6,19.5,23.018087685771334,136.20419440917593
12,0.0,0.0,,0,0,0.0,6,8.666666666666666,19.247815770281395,82.44073690116302
18,1.0,0.0,,0,0,0.0,4,42.75,34.76175938534632,244.94792868034466
18,1.0,0.0,,0,0,0.0,5,24.2,21.045640395382794,109.01423740164839
3,1.0,0.0,,1,191,191.0,4,12.25,5.1913644818412,14.537268306673422
23,0.0,0.0,,1,46,46.0,5,16.4,23.64298493289935,128.68064285375903
16,0.0,0.0,,0,0,0.0,5,44.4,27.619675624986513,178.34865746541286
18,1.0,0.0,,1,3,3.0,5,14.6,29.83278523820122,206.2709978320613
14,0.0,0.0,,1,21,21.0,6,8.666666666666666,14.733071004708231,51.8058523654791
26,0.0,0.0,,0,0,0.0,5,25.4,26.70227371484423,145.70761507794396
19,0.0,0.0,,1,17,17.0,2,26.5,16.1084288059018,139.81971027817792
6,0.0,0.0,,1,15,15.0,4,18.25,22.0863308170097,124.34715525807006
