participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,fix_cnt,max_fix_cnt,avg_fix_cnt
25,0.0,0.0,,0.46338178894736526,0.3340495824813843,0.0003675604378353141,0.05072349385370181,0.05072349385370181,0.05229335271950927,194,3,55,44.333333333333336
25,0.0,0.0,,0.1370999813079834,105.58060276508331,-0.010346709825874725,-0.9326656599085039,-0.9326656599085039,-0.9000843212419286,75,7,45,17.428571428571427
22,0.0,0.0,,0.4939999580383301,0.12020015716552734,-0.0007954229765360689,0.17397233655181113,0.17397233655181113,0.15799039200393442,85,8,54,24.375
19,0.0,0.0,,0.3995499610900879,12.341854572296143,-0.0001901618549202585,-0.0037664924492815843,-0.0037664924492815843,-0.007478245517663792,114,7,33,14.285714285714286
23,0.0,0.0,,0.0,122.73670816421507,-0.0059081277996851055,-1.4202921284904964,-1.4202921284904964,-1.401435329697349,0,4,48,29.25
23,0.0,0.0,,0.4349493980407715,36.420472383499146,0.0046263771664554485,-0.1228390485048294,-0.1228390485048294,-0.11318356543779373,205,6,15,9.833333333333334
5,0.0,0.0,,0.2241499423980713,6.347799897193909,-0.005394371782051011,-0.20794354008219917,-0.20794354008219917,-0.15913371217661892,169,5,129,43.2
15,1.0,0.0,,0.03904986381530762,8.18190312385559,-0.00025570621652685625,-0.17015808694976292,-0.17015808694976292,-0.15476672649383544,128,7,45,26.857142857142858
15,0.0,0.0,,0.1715998649597168,10.066520518862198,0.0003339872489773954,-0.049334445583166464,-0.049334445583166464,-0.05166390710172089,234,8,34,22.75
10,1.0,0.0,,0.6198000907897949,8.180701235930124,0.0028482564440467204,0.14549430110786535,0.14549430110786535,0.12851329909430612,173,11,50,14.545454545454545
17,1.0,0.0,,0.3535001277923584,0.11700010299682617,0.0003456863878463014,0.16821135580539703,0.16821135580539703,0.16298995912075043,216,7,68,27.714285714285715
14,0.0,0.0,,0.37400007247924805,15.02274775505066,-0.0010896662825801474,-0.01687984828707538,-0.01687984828707538,0.005510006528912174,27,6,125,33.166666666666664
25,0.0,0.0,,0.4732999801635742,0.0,0.00032443275577760124,0.2657128870487213,0.2657128870487213,0.26171985268592834,92,7,34,25.714285714285715
26,0.0,0.0,,0.23539996147155762,6.230600118637085,-0.005173269372767516,-0.09795064413094823,-0.09795064413094823,0.020769790737456263,38,6,99,34.5
9,0.0,0.0,,1.0940499305725098,0.026399970054626465,0.0020220908184912624,0.8959253558629676,0.8959253558629676,0.8590667168299357,54,2,109,74.0
23,0.0,0.0,,0.041100502014160156,78.11623907089233,-0.012398952793111855,-0.8648741245269775,-0.8648741245269775,-0.8100430369377136,9,1,132,132.0
17,1.0,0.0,,0.11634993553161621,0.24254989624023438,0.0001775814480511173,-0.053716085851192474,-0.053716085851192474,-0.04505001753568649,158,5,50,33.8
1,1.0,0.0,,0.2740001678466797,0.12405061721801758,0.0006655374776471131,0.1092059537768364,0.1092059537768364,0.09698988497257233,234,7,54,31.142857142857142
23,0.0,0.0,,0.06679964065551758,0.05579996109008789,-0.00013971388140224884,0.004462523851543665,0.004462523851543665,0.01037012692540884,107,1,132,132.0
4,0.0,0.0,,0.3448500633239746,14.19324016571045,0.0008806051463735246,-0.03304316848516464,-0.03304316848516464,-0.017209958285093307,236,13,19,11.692307692307692
1,1.0,0.0,,0.3917999267578125,0.34105002880096436,0.0007235082961570233,0.06298255970709435,0.06298255970709435,0.06808907945950829,235,7,55,28.714285714285715
5,0.0,0.0,,0.37710046768188477,2.6379971504211426,-0.0012268092741264248,0.00014272922999225557,0.00014272922999225557,-0.007473246194422245,31,12,28,14.666666666666666
4,0.0,0.0,,0.5571999549865723,2.34615159034729,0.0021760163872585067,0.1675296425819397,0.1675296425819397,0.14411991834640503,189,8,19,12.125
5,0.0,0.0,,1.2067500352859497,0.25614988803863525,0.002999377064837726,0.520832797394523,0.520832797394523,0.5103750103716963,164,10,27,19.2
9,0.0,0.0,,0.23744964599609375,0.7222003936767578,0.0002775966372438031,0.1209423840045929,0.1209423840045929,0.11529003828763962,30,2,122,70.5
25,0.0,0.0,,0.3763999938964844,4.537200093269348,-0.019899302289482116,-1.035164862242429,-1.035164862242429,-0.948666553559646,24,8,36,18.75
14,0.0,0.0,,0.31060004234313965,0.5324478149414062,0.0011927814491414217,0.12907181680202484,0.12907181680202484,0.1264668107032776,188,6,39,35.333333333333336
14,0.0,0.0,,0.12220001220703125,22.431408405303955,0.0012300710985750773,-0.10477685928344727,-0.10477685928344727,-0.08922004699707031,193,8,39,25.625
4,0.0,0.0,,0.5467500686645508,3.972996711730957,0.0015739707563319316,0.10168569535017014,0.10168569535017014,0.08122672885656357,233,14,19,11.357142857142858
10,1.0,0.0,,0.05620002746582031,78.16240025783071,-0.0013553801649118678,-0.43217995750250193,-0.43217995750250193,-0.42561343752202535,25,7,36,19.714285714285715
4,0.0,0.0,,0.9882001876831055,12.701993823051453,0.001081319588746698,0.3919613316089292,0.3919613316089292,0.43146944770517265,118,10,36,16.6
16,1.0,0.0,,0.5075998306274414,0.7344026565551758,0.0018555731768037764,0.20864921808242798,0.20864921808242798,0.19928328692913055,236,3,140,72.0
17,1.0,0.0,,0.11634993553161621,0.24254989624023438,0.0001775814480511173,-0.053716085851192474,-0.053716085851192474,-0.04505001753568649,158,5,50,33.8
24,1.0,0.0,,0.12650012969970703,7.457580327987671,0.0003339317536353592,-0.031551092863082886,-0.031551092863082886,-0.026219813153147697,155,8,54,19.625
18,1.0,0.0,,0.2160499095916748,23.32904541492462,-0.0014194191001756574,-0.20878306773141467,-0.20878306773141467,-0.22400329113006592,9,6,44,21.0
18,1.0,0.0,,0.42930030822753906,13.378031969070435,0.0012875230233612312,-0.09820040315389633,-0.09820040315389633,-0.10683641582727432,173,8,16,11.75
9,1.0,0.0,,0.1322002410888672,52.832298278808594,-0.012693373509102072,-1.1300454049170772,-1.1300454049170772,-1.0996150515018366,53,9,57,17.666666666666668
18,1.0,0.0,,0.36715006828308105,17.54775905609131,-0.0016231658988744182,-0.1883475800606772,-0.1883475800606772,-0.15073342323303224,16,10,26,11.2
12,0.0,0.0,,0.5644497871398926,0.6724962856458578,0.0017005937807359134,0.22752568691591674,0.22752568691591674,0.23275712925454842,157,4,48,39.75
13,0.0,0.0,,0.08234977722167969,2.223801612854004,-0.0008322774801144763,-0.1557381580650555,-0.1557381580650555,-0.15034035514382751,31,7,38,25.0
12,1.0,0.0,,0.4432997703552246,0.5866005420684814,-2.305463050376993e-05,0.18432734906673431,0.18432734906673431,0.15766988694667816,125,9,47,19.666666666666668
14,0.0,0.0,,0.6595001220703125,0.09369993209838867,0.0019784849722297945,0.34902056661839226,0.34902056661839226,0.32472335497538246,234,7,119,30.285714285714285
26,0.0,0.0,,0.03300046920776367,2.2417495250701904,-0.0018593253641953386,-0.26817408204078674,-0.26817408204078674,-0.24374651908874512,14,8,53,22.875
25,0.0,0.0,,0.32940006256103516,3.618453025817871,0.0014732026260593114,0.038385141640901566,0.038385141640901566,0.0454365573823452,177,9,36,19.77777777777778
