participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,fix_cnt,max_fix_cnt,avg_fix_cnt
15,0.0,1.0,0.5,0.44555044174194336,10.89788818359375,-0.0027619392479977956,0.04853823781013489,0.04853823781013489,0.03528696671128273,25,7,39,18.857142857142858
25,0.0,1.0,0.5,0.23215007781982422,3.6803441047668457,0.0007098450290375071,0.037595853209495544,0.037595853209495544,0.03715011104941368,125,5,81,39.0
3,0.0,1.0,0.5,0.3719499111175537,13.253098964691162,-0.0027721327309497053,-0.06112802028656006,-0.06112802028656006,-0.042306189443550815,109,8,40,19.375
4,1.0,1.0,1.0,0.04470014572143555,86.60705256462097,0.0027277417365598796,-0.5117324590682983,-0.5117324590682983,-0.4770100712776184,1,7,35,12.571428571428571
24,1.0,1.0,1.0,0.16729974746704102,38.14129328727722,0.0018943772314061887,-0.4717247784137726,-0.4717247784137726,-0.450693279504776,216,8,26,13.5
4,0.0,1.0,0.5,0.33514976501464844,7.967860221862793,0.001025825542090606,-0.010352048091590405,-0.010352048091590405,-0.024936802685260773,227,11,12,8.727272727272727
17,1.0,1.0,0.5,0.21219992637634277,8.403051853179932,-0.0023838686936477537,-0.2104625105857849,-0.2104625105857849,-0.2022567093372345,64,9,35,18.22222222222222
19,1.0,1.0,1.0,0.9712502956390381,0.0003497600555419922,0.0017097988837290893,0.4926896095275879,0.4926896095275879,0.47389012575149536,141,9,72,20.88888888888889
6,1.0,1.0,0.5,0.10710000991821289,44.776145935058594,0.00045028538773802986,-0.22585946321487427,-0.22585946321487427,-0.21510332822799683,173,7,43,27.428571428571427
26,1.0,1.0,1.0,0.346099853515625,2.7852015495300293,0.0015657885001597348,0.06028938293457031,0.06028938293457031,0.032109834253787994,215,9,21,14.777777777777779
18,1.0,1.0,0.5,0.4589996337890625,7.859856128692627,-0.00019776199599017452,0.008320130407810211,0.008320130407810211,-0.03343680873513222,76,9,32,16.22222222222222
23,1.0,1.0,1.0,0.0,104.47801446914673,0.0010392826312075204,-0.6538545489311218,-0.6538545489311218,-0.6404066681861877,0,6,15,11.0
16,1.0,1.0,0.5,0.21670007705688477,3.6406476497650146,0.0016891027442593881,-0.014860684052109718,-0.014860684052109718,-0.015559911727905273,120,4,31,26.0
18,1.0,1.0,0.5,0.2567000389099121,13.28880197700456,0.0009452459059827234,-0.07165403708123957,-0.07165403708123957,-0.06613577356639411,209,9,26,12.0
26,1.0,1.0,1.0,0.14619970321655273,184.3149173259735,-0.0012138889394188136,-1.029638648033142,-1.029638648033142,-0.997876763343811,8,3,45,29.666666666666668
10,1.0,1.0,1.0,0.0,133.03769826889038,0.001544077829261777,-0.916984592308978,-0.916984592308978,-0.8985061603679991,0,9,28,17.0
13,1.0,1.0,1.0,0.034799814224243164,181.73863629425801,-0.004024171948011889,-1.3555312413203566,-1.3555312413203566,-1.2811548625197366,3,8,32,15.875
22,1.0,1.0,1.0,0.0,197.71744656562805,-0.0025012004788519367,-1.4247069358825684,-1.4247069358825684,-1.3759434223175049,0,12,56,16.833333333333332
24,0.0,1.0,0.5,0.2735002040863037,43.83314895629883,-0.01371314247354171,-1.042310466243245,-1.042310466243245,-0.993523993757036,4,9,36,18.11111111111111
16,1.0,1.0,1.0,0.2503499984741211,3.6399474143981934,-0.0003062915195401684,-0.012416399084031582,-0.012416399084031582,-0.020649973303079605,233,11,45,14.0
2,0.0,1.0,0.5,0.683249831199646,0.2278003692626953,0.001645765442198182,0.3764569822242994,0.3764569822242994,0.36897021452585854,154,5,50,35.8
23,1.0,1.0,1.0,0.7916001081466675,3.5152969360351562,0.0038066386011413027,0.1593916265270378,0.1593916265270378,0.14176036844066545,197,4,45,23.0
9,0.0,1.0,0.5,0.695600152015686,18.283125936985016,0.003787168075640298,0.0488241360157351,0.0488241360157351,0.04138215829604072,227,10,17,12.2
6,1.0,1.0,1.0,0.0,51.262736320495605,0.000493121502338445,-0.4143108129501343,-0.4143108129501343,-0.42289695143699646,0,11,31,12.454545454545455
23,0.0,1.0,0.5,0.3916001319885254,4.439605712890625,9.546910961499169e-05,0.035052623599767685,0.035052623599767685,0.03032323531806469,230,5,31,16.4
1,1.0,1.0,0.5,0.5153000354766846,0.29375956058502206,-0.0004453471449404613,0.07947680341543528,0.07947680341543528,0.07007822248670786,67,5,69,31.8
