participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude
15,0.0,1.0,0.5,5,39,25.4,2,47.5,30.132360297413676,210.1388440285338
25,0.0,1.0,0.5,7,81,31.0,0,0.0,0.0,0.0
3,0.0,1.0,0.5,8,40,20.75,3,20.666666666666668,23.304405816393068,150.90279942131812
4,1.0,1.0,1.0,7,35,15.142857142857142,3,38.0,26.138632613687424,176.9350196513776
24,1.0,1.0,1.0,8,31,16.125,4,24.0,28.613749832950123,208.06084666911084
4,0.0,1.0,0.5,8,14,9.5,4,38.0,25.511711877823032,157.75040510137325
17,1.0,1.0,0.5,8,28,16.375,3,30.333333333333332,31.898557198171062,182.57835720731717
19,1.0,1.0,1.0,7,95,23.571428571428573,4,15.25,13.830775246059947,70.99788444628479
6,1.0,1.0,0.5,7,42,24.142857142857142,2,24.0,31.377747291942057,105.6120070872021
26,1.0,1.0,1.0,9,21,12.555555555555555,5,22.0,24.18593476114191,144.17166264938265
18,1.0,1.0,0.5,8,33,17.625,4,19.75,31.744560450284,237.11706201216117
23,1.0,1.0,1.0,6,14,10.0,6,28.0,23.269659878917448,193.37834876651598
16,1.0,1.0,0.5,6,31,20.5,2,50.5,27.528710483152576,114.23586103486852
18,1.0,1.0,0.5,7,26,12.714285714285714,3,45.0,26.04241897719847,245.14483648938076
22,1.0,1.0,1.0,4,96,46.0,3,16.0,2.9471896012340864,10.751255562053666
26,1.0,1.0,1.0,2,67,56.0,2,61.0,30.83118543436595,212.11217649728468
5,1.0,1.0,0.5,8,55,21.375,1,46.0,9.799335004948631,21.575198193681445
24,0.0,1.0,0.5,8,38,23.0,1,40.0,9.476274083623874,100.34087486680903
16,1.0,1.0,1.0,10,45,14.2,5,16.2,20.665555658197214,97.60715620353145
2,0.0,1.0,0.5,5,50,34.0,2,25.5,12.725346512580296,68.29900753249213
23,1.0,1.0,1.0,4,42,23.25,5,27.8,18.141181267552263,162.0346159273308
