participant,study_status,scene_familiarity,recall_status,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
9,0.0,0.0,,4,13.75,9.251809821313165,47.82078292267536,0,0.0,0.0,0.0
17,1.0,0.0,,2,18.5,7.936519034852367,69.21583705069081,2,7.5,4.17037705983323,16.300894253577333
19,1.0,0.0,,7,29.714285714285715,18.876103585169982,170.12216126586955,0,0.0,0.0,0.0
19,1.0,0.0,,1,7.0,15.541489883944344,63.037222473137625,1,7.5,3.582308010474411,11.880847602868936
17,1.0,0.0,,4,30.25,25.49331914442566,205.30430820830395,1,10.5,7.91859150945475,34.11428498737356
8,1.0,0.0,,3,25.0,13.381918326667444,107.33001120488184,0,0.0,0.0,0.0
14,0.0,0.0,,2,41.0,19.899315759833847,99.58526229442452,0,0.0,0.0,0.0
23,0.0,0.0,,5,19.6,26.919403232502198,154.62008052607396,2,8.5,4.328126180922704,21.744748935547797
23,0.0,0.0,,6,30.833333333333332,26.22770498419838,253.00586216349686,1,10.0,2.5071485016493233,20.950700766918622
16,0.0,0.0,,6,27.333333333333332,16.606065037532638,121.05965138352138,0,0.0,0.0,0.0
19,0.0,0.0,,3,34.0,28.214014874742915,207.1699404746503,0,0.0,0.0,0.0
24,0.0,0.0,,5,10.4,17.857945138942945,116.79387005197061,1,7.5,11.91822685984244,25.05876190429203
21,0.0,0.0,,3,26.333333333333332,15.134958130426547,125.85973723947188,0,0.0,0.0,0.0
3,0.0,0.0,,5,13.2,21.6641831508613,103.88985967852689,0,0.0,0.0,0.0
6,0.0,0.0,,4,13.75,4.556359050283168,31.31551632111517,0,0.0,0.0,0.0
3,0.0,0.0,,3,9.666666666666666,17.865210567770166,155.11988131252193,0,0.0,0.0,0.0
13,0.0,0.0,,5,26.2,11.896989355806747,84.68681698118681,0,0.0,0.0,0.0
16,0.0,0.0,,4,47.25,27.216451340323996,202.55347651017468,0,0.0,0.0,0.0
25,0.0,0.0,,4,33.75,22.062772125479345,232.0480575356233,0,0.0,0.0,0.0
19,0.0,0.0,,4,37.5,27.899076926844256,205.27008537769012,0,0.0,0.0,0.0
3,0.0,0.0,,4,22.75,23.047442126116877,118.94375056050467,0,0.0,0.0,0.0
13,0.0,0.0,,6,33.0,27.052569958624616,134.21709527051627,0,0.0,0.0,0.0
14,0.0,0.0,,2,29.5,27.666865824617904,149.95738343444532,1,7.5,9.25896316858049,10.231483032142938
18,1.0,0.0,,5,22.6,29.83278523820122,199.76679933035916,0,0.0,0.0,0.0
24,0.0,0.0,,4,12.0,12.490337002173488,66.7373934243587,1,7.0,4.08260761624911,19.07706036396269
7,0.0,0.0,,1,55.0,28.014020904726305,130.19032893086634,1,9.5,3.5334913694876717,14.06372727755522
12,1.0,0.0,,5,14.6,19.83923100399224,106.95526253307446,1,8.5,2.7158198082012595,14.174001384487205
4,0.0,0.0,,7,13.0,16.67822307177711,77.41146227260698,0,0.0,0.0,0.0
8,1.0,0.0,,6,27.666666666666668,22.650255442446937,140.83885305293603,0,0.0,0.0,0.0
9,1.0,0.0,,4,20.75,15.640553289105334,83.72234244413275,0,0.0,0.0,0.0
15,1.0,0.0,,1,18.0,9.215529114052815,24.536454342533602,0,0.0,0.0,0.0
26,0.0,0.0,,3,50.333333333333336,21.076075123321996,137.9840810249141,1,7.0,4.324179415825486,22.62061383915018
16,1.0,0.0,,2,47.0,31.513342483112442,179.91631916583412,0,0.0,0.0,0.0
22,0.0,0.0,,4,9.5,10.447601840867797,44.69685032005542,1,8.0,6.307549479088679,14.556600044648615
26,0.0,0.0,,5,32.0,25.93374550543171,181.20735765603183,2,8.5,6.845303561578309,30.497940402124293
