participant,study_status,scene_familiarity,recall_status,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
15,0.0,1.0,0.5,2,47.0,30.132360297413676,209.9495116590628,0,0.0,0.0,0.0
25,0.0,1.0,0.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0
3,0.0,1.0,0.5,3,20.666666666666668,23.304405816393068,150.90279942131812,0,0.0,0.0,0.0
4,1.0,1.0,1.0,2,34.5,30.71221483350024,154.7224522107552,0,0.0,0.0,0.0
24,1.0,1.0,1.0,2,11.5,22.59983673901107,175.7074984154952,0,0.0,0.0,0.0
4,0.0,1.0,0.5,2,39.5,17.128641397451016,92.27370848088476,0,0.0,0.0,0.0
17,1.0,1.0,0.5,1,37.0,26.490905198429594,121.66399944493688,0,0.0,0.0,0.0
19,1.0,1.0,1.0,3,19.666666666666668,13.734594005077701,69.6203537735944,0,0.0,0.0,0.0
6,1.0,1.0,0.5,1,39.0,28.43417425443492,79.27965274250312,0,0.0,0.0,0.0
26,1.0,1.0,1.0,3,15.666666666666666,22.887909138413036,110.50732713280983,1,10.0,3.4301595774440505,21.577477384796133
18,1.0,1.0,0.5,3,13.333333333333334,26.929100588765237,187.40944567913235,0,0.0,0.0,0.0
23,1.0,1.0,1.0,3,28.0,20.794106337842305,213.12512824958966,0,0.0,0.0,0.0
16,1.0,1.0,0.5,1,92.0,24.364966471485435,78.9868531153422,0,0.0,0.0,0.0
22,1.0,1.0,1.0,2,18.5,7.1368660367720835,19.575554279887687,0,0.0,0.0,0.0
26,1.0,1.0,1.0,2,35.0,29.660352351965116,198.7238462063599,0,0.0,0.0,0.0
5,1.0,1.0,0.5,1,46.0,9.799335004948631,21.575198193681445,0,0.0,0.0,0.0
10,1.0,1.0,1.0,2,12.0,31.310590720698343,141.99658037795717,0,0.0,0.0,0.0
13,1.0,1.0,1.0,3,23.0,10.94184959601859,70.89415663731931,0,0.0,0.0,0.0
22,1.0,1.0,1.0,2,7.0,13.607660134063776,67.27377972102303,2,9.25,3.0070627943130637,19.433085166733342
24,0.0,1.0,0.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0
16,1.0,1.0,1.0,2,23.5,15.631900713896055,85.27418821899583,0,0.0,0.0,0.0
2,0.0,1.0,0.5,1,40.0,24.43887028799045,126.47978769328301,0,0.0,0.0,0.0
23,1.0,1.0,1.0,3,24.0,22.02196264610755,138.02053033678808,0,0.0,0.0,0.0
9,0.0,1.0,0.5,3,16.666666666666668,16.665750452666803,154.66466170143883,0,0.0,0.0,0.0
6,1.0,1.0,1.0,2,10.5,33.15747718176525,99.13484697748245,0,0.0,0.0,0.0
19,1.0,1.0,1.0,3,9.666666666666666,22.86367708827285,82.70983459658257,0,0.0,0.0,0.0
23,0.0,1.0,0.5,3,12.666666666666666,22.341699696822285,101.53142767603786,0,0.0,0.0,0.0
1,1.0,1.0,0.5,1,65.0,1.3655583953202106,21.378917237552027,0,0.0,0.0,0.0
23,0.0,1.0,0.5,4,10.0,17.72715386268527,83.93504684389772,0,0.0,0.0,0.0
17,1.0,1.0,1.0,2,52.5,38.969180995902995,235.28885042025905,0,0.0,0.0,0.0
21,1.0,1.0,1.0,1,11.0,9.66735292498756,37.260296013317436,0,0.0,0.0,0.0
17,1.0,1.0,1.0,1,8.0,4.760506564458017,25.8242265678634,0,0.0,0.0,0.0
14,1.0,1.0,1.0,2,17.5,10.105808133562103,47.980960349541014,0,0.0,0.0,0.0
24,0.0,1.0,0.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0
19,1.0,1.0,1.0,2,31.0,15.30826735850214,134.41381139471244,0,0.0,0.0,0.0
25,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
25,1.0,1.0,1.0,2,16.0,21.31149132561572,237.51299521053443,0,0.0,0.0,0.0
19,1.0,1.0,1.0,1,57.0,27.86258341626865,229.7467237754384,0,0.0,0.0,0.0
22,1.0,1.0,0.0,1,38.0,14.304048648229916,36.50448785423649,0,0.0,0.0,0.0
21,1.0,1.0,0.5,2,35.0,13.992105540071124,160.04951132411352,0,0.0,0.0,0.0
5,1.0,1.0,1.0,3,14.666666666666666,10.900311475741136,49.318251712629085,0,0.0,0.0,0.0
19,1.0,1.0,1.0,4,21.75,16.913801297057653,102.65595425109035,0,0.0,0.0,0.0
22,1.0,1.0,1.0,2,47.5,24.640801745912725,198.1825749445552,0,0.0,0.0,0.0
5,1.0,1.0,0.5,2,21.5,40.35445194260543,203.49932359872008,0,0.0,0.0,0.0
19,1.0,1.0,1.0,1,15.0,3.202024628170219,6.55762612604255,0,0.0,0.0,0.0
24,1.0,1.0,1.0,2,15.5,22.063410926621795,85.55222801193915,0,0.0,0.0,0.0
21,1.0,1.0,0.5,1,47.0,29.25627344189695,420.0656312069734,0,0.0,0.0,0.0
12,0.0,1.0,0.5,3,12.0,15.666355346744128,86.97243618243964,0,0.0,0.0,0.0
4,0.0,1.0,0.5,2,36.0,39.78961249895652,239.28957364971123,0,0.0,0.0,0.0
9,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
6,1.0,1.0,0.5,1,55.0,50.33011534516206,268.5102540369493,0,0.0,0.0,0.0
22,0.0,1.0,0.0,1,18.0,0.6657227042624708,2.433078923426048,1,8.0,6.515590762318357,25.895040863477057
9,1.0,1.0,0.5,2,21.5,7.446648356581459,85.05894273417651,0,0.0,0.0,0.0
6,0.0,1.0,0.0,2,26.0,32.059154896895194,188.4206531187357,0,0.0,0.0,0.0
5,0.0,1.0,0.5,3,21.333333333333332,50.442360169801994,209.90802230835462,0,0.0,0.0,0.0
14,0.0,1.0,0.0,1,42.0,2.1483784591996042,88.08351682718255,0,0.0,0.0,0.0
19,0.0,1.0,0.5,2,34.0,15.649172829313155,152.31613639051992,0,0.0,0.0,0.0
24,0.0,1.0,0.5,1,17.0,29.010738897906087,79.54387031066824,0,0.0,0.0,0.0
6,1.0,1.0,0.0,2,24.5,7.97570621133592,35.20082360187155,1,8.0,4.416799437435534,13.401131791902003
17,0.0,1.0,0.0,2,11.5,20.784651242350954,146.21879152881354,0,0.0,0.0,0.0
13,1.0,1.0,1.0,2,44.5,18.37467520356095,189.68791236907123,0,0.0,0.0,0.0
14,0.0,1.0,0.5,1,10.0,21.3796935861121,71.91782432924137,1,7.0,5.275531256517055,21.566859925567435
24,0.0,1.0,0.5,2,13.5,13.954175161508125,46.98864131008818,0,0.0,0.0,0.0
24,0.0,1.0,0.5,1,12.0,20.613277277373196,86.07371957695645,0,0.0,0.0,0.0
7,1.0,1.0,1.0,1,13.0,14.874255436988982,32.93181710557644,0,0.0,0.0,0.0
23,1.0,1.0,0.0,1,30.0,43.47923682233607,264.96532869260517,0,0.0,0.0,0.0
24,0.0,1.0,0.5,1,56.0,28.46103954312027,91.62515160288586,0,0.0,0.0,0.0
18,1.0,1.0,1.0,1,7.0,18.10544305892673,43.669594193766414,0,0.0,0.0,0.0
16,0.0,1.0,0.5,1,20.0,5.077679613553819,12.2302836140973,0,0.0,0.0,0.0
26,1.0,1.0,1.0,3,10.333333333333334,22.108232309865176,128.50118688164085,0,0.0,0.0,0.0
7,1.0,1.0,0.5,1,13.0,31.348838606819463,117.697698649379,0,0.0,0.0,0.0
18,1.0,1.0,1.0,1,10.0,28.252935590977774,85.47792072243841,1,7.5,4.198479431772142,9.264149393790952
4,0.0,1.0,0.5,2,47.5,21.55609652907664,206.84411128777197,0,0.0,0.0,0.0
9,1.0,1.0,1.0,2,21.0,26.928852143125454,94.59565195127786,0,0.0,0.0,0.0
19,1.0,1.0,1.0,1,45.0,20.923160216882483,87.5450212747731,0,0.0,0.0,0.0
6,1.0,1.0,0.0,2,17.5,4.411794044029016,25.40187071128788,0,0.0,0.0,0.0
6,1.0,1.0,1.0,1,11.0,46.309448504303035,245.29233448855663,2,8.0,3.989810767972656,20.153566220261695
14,0.0,1.0,0.0,3,21.666666666666668,14.828987393258979,106.12806083435538,0,0.0,0.0,0.0
17,1.0,1.0,0.5,3,21.666666666666668,31.774734531424553,180.33440774880697,0,0.0,0.0,0.0
