participant,study_status,scene_familiarity,recall_status,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude
15,0.0,1.0,0.5,5,28.8,24.442142928831764,151.23939806335358
25,0.0,1.0,0.5,1,47.0,13.18187766124455,282.4085479348263
3,0.0,1.0,0.5,4,28.0,24.133710822970652,177.52354777614246
4,1.0,1.0,1.0,3,38.0,26.138632613687424,176.9350196513776
24,1.0,1.0,1.0,5,25.2,23.0889923635076,172.19048607136966
4,0.0,1.0,0.5,4,39.75,25.511711877823032,158.2821194687062
17,1.0,1.0,0.5,6,21.833333333333332,27.844635536446134,158.56053011676832
19,1.0,1.0,1.0,4,15.0,11.530481613789988,67.03653772859683
6,1.0,1.0,0.5,4,20.75,16.091241577625844,59.44507441590519
26,1.0,1.0,1.0,6,22.666666666666668,24.78860574681164,133.3376126572857
18,1.0,1.0,0.5,5,21.6,28.989979289574155,222.84099428844792
23,1.0,1.0,1.0,7,25.857142857142858,26.143847101336938,202.2835954455218
16,1.0,1.0,0.5,2,51.5,27.528710483152576,116.23898461752238
18,1.0,1.0,0.5,3,59.666666666666664,27.545650778808525,322.61999653186257
22,1.0,1.0,1.0,2,20.5,4.200005825049627,14.802211882271594
26,1.0,1.0,1.0,2,61.0,30.83118543436595,212.11217649728468
5,1.0,1.0,0.5,2,26.5,8.810293695663766,20.32509877044865
10,1.0,1.0,1.0,4,15.25,23.36639545116455,121.34115076567326
22,1.0,1.0,1.0,3,7.666666666666667,10.357008909279232,55.13104731774101
16,1.0,1.0,1.0,7,20.428571428571427,24.828012699425052,133.06292208420444
2,0.0,1.0,0.5,3,19.333333333333332,11.89531798949996,54.11523880623496
23,1.0,1.0,1.0,5,30.8,20.15794356339713,182.0089720379164
9,0.0,1.0,0.5,6,15.5,16.484308655158856,115.70074656690115
6,1.0,1.0,1.0,4,26.75,21.544962703795584,142.55102405666827
19,1.0,1.0,1.0,7,10.714285714285714,6.128875817545668,23.70189296038774
23,0.0,1.0,0.5,6,32.0,30.74913594809088,164.30578420859084
1,1.0,1.0,0.5,5,37.2,17.198315323584303,146.83430539390878
23,0.0,1.0,0.5,6,13.333333333333334,19.26836209349527,112.22032239949596
14,1.0,1.0,1.0,5,29.2,5.508598595924671,38.61852053828888
17,1.0,1.0,1.0,7,24.0,28.141462296004224,136.21483444021138
21,1.0,1.0,1.0,4,25.25,21.44182275105936,181.19414804361162
17,1.0,1.0,1.0,2,8.5,28.199945392790003,112.10654486666536
16,1.0,1.0,1.0,3,50.0,16.759845736405822,94.2860475913107
14,1.0,1.0,1.0,2,17.5,10.105808133562103,47.980960349541014
24,0.0,1.0,0.5,2,8.5,27.104509949493874,166.91266831539693
19,1.0,1.0,1.0,6,27.0,20.49736346713188,160.53625564230677
25,1.0,1.0,1.0,3,10.333333333333334,2.9913516319492,20.951037097193094
25,1.0,1.0,1.0,4,14.0,10.809724909343768,120.45026931716217
19,1.0,1.0,1.0,1,56.0,27.86258341626865,209.26320617231215
21,1.0,1.0,0.5,3,43.0,18.998819794637136,234.8840762962328
5,1.0,1.0,1.0,5,11.8,17.91210545951875,60.48099298402191
19,1.0,1.0,1.0,6,20.833333333333332,15.430099486376847,100.60146510556619
22,1.0,1.0,1.0,5,27.0,23.41222768604532,174.20781728766784
5,1.0,1.0,0.5,4,22.5,32.81461606750317,168.4149546359879
19,1.0,1.0,1.0,1,15.0,3.202024628170219,6.55762612604255
24,1.0,1.0,1.0,2,13.0,26.325770079328283,61.614915436685365
21,1.0,1.0,0.5,5,34.8,23.217994263147357,261.1455184028562
12,0.0,1.0,0.5,5,15.4,16.247793003274204,101.64340414897005
4,0.0,1.0,0.5,3,47.0,24.06208428035971,199.59905772947025
9,1.0,1.0,1.0,2,9.0,13.88905101003512,65.38264655121984
6,1.0,1.0,0.5,3,32.333333333333336,16.869467553838245,91.35867490857669
22,0.0,1.0,0.0,4,13.75,7.03686145204273,39.43270797467604
9,1.0,1.0,0.5,6,18.333333333333332,8.150158553142735,65.79817808179655
6,0.0,1.0,0.0,6,24.5,29.55438875367689,172.79620243338135
5,0.0,1.0,0.5,4,17.5,43.20229198063317,182.58260805067636
14,0.0,1.0,0.0,7,17.857142857142858,9.532570322319899,66.13571540463076
19,0.0,1.0,0.5,8,27.25,20.75623369835496,180.39574547755532
24,0.0,1.0,0.5,2,11.5,28.542094703379227,91.36493909001857
6,1.0,1.0,0.0,3,21.0,6.657061852389131,40.886232650728296
24,0.0,1.0,0.5,5,11.6,27.990054584874137,136.97935760198675
24,0.0,1.0,0.5,1,12.0,20.613277277373196,86.07371957695645
2,1.0,1.0,0.0,4,12.75,2.8051220807126676,26.28633867679068
