participant,study_status,scene_familiarity,recall_status,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude
18,1.0,0.0,,2,12.0,31.128879082317745,98.71424396146654
23,0.0,0.0,,3,16.0,24.396814799842215,141.65352770943358
19,1.0,0.0,,2,23.5,17.909723252881513,194.2602162645716
7,1.0,0.0,,1,45.0,20.67624527160342,54.6541247977406
3,1.0,0.0,,3,13.333333333333334,15.959842987328267,51.49105505138652
13,1.0,0.0,,2,11.5,11.12566043400744,102.8384494658221
18,1.0,0.0,,2,42.0,35.525229654279094,313.7051034870412
9,1.0,0.0,,1,11.0,2.393924926715931,23.939249267159134
19,0.0,0.0,,2,35.5,27.6022977685313,204.9665059079036
1,1.0,0.0,,1,7.0,4.795010438335136,22.50504732450484
24,1.0,0.0,,2,8.0,9.622626269116232,26.763459127308188
14,0.0,0.0,,1,33.0,2.2744782533258543,19.7325271201431
22,0.0,0.0,,0,0.0,0.0,0.0
26,0.0,0.0,,2,38.0,26.86868639364304,167.04424116564007
16,1.0,0.0,,1,8.0,0.6380886454305652,3.0460272642815966
22,0.0,0.0,,0,0.0,0.0,0.0
3,1.0,0.0,,2,12.0,2.072038028171625,22.792418309887616
12,1.0,0.0,,0,0.0,0.0,0.0
5,0.0,0.0,,0,0.0,0.0,0.0
9,0.0,0.0,,0,0.0,0.0,0.0
21,1.0,0.0,,2,25.0,19.826007655592257,95.90677569705132
5,0.0,0.0,,1,18.0,47.4053106112724,367.70917191783536
7,0.0,0.0,,2,24.0,0.8049858366875082,4.632935386663473
24,0.0,0.0,,2,17.0,12.631376068782991,69.50290067093326
12,1.0,0.0,,1,9.0,26.105899580279804,112.78822405189973
3,1.0,0.0,,2,24.5,24.675728510791977,120.82150222298495
15,0.0,0.0,,1,38.0,17.627772159304726,150.5282977030402
12,1.0,0.0,,1,10.0,22.515753402226363,64.87546775289118
26,0.0,0.0,,1,7.0,1.4297510764760877,7.34260054835172
18,1.0,0.0,,2,42.0,23.072694224130814,337.7013673278941
15,0.0,0.0,,2,12.0,13.639262370166762,154.7158499447236
25,0.0,0.0,,3,29.333333333333332,15.918594057139607,170.09910969415304
14,0.0,0.0,,2,26.0,3.6684799013922245,35.65923903968098
7,1.0,0.0,,1,48.0,1.657689403375553,11.287401566944528
9,0.0,0.0,,1,57.0,3.1734102313275248,19.91583650410613
18,1.0,0.0,,1,39.0,34.461648009677276,186.53075742337975
21,1.0,0.0,,3,11.0,21.19321977785673,116.8960648865448
5,0.0,0.0,,2,10.5,17.907895446027755,83.4556837837639
17,1.0,0.0,,1,22.0,15.592932544230258,38.54918610847796
14,0.0,0.0,,1,17.0,12.860167483934983,31.611223382690863
19,1.0,0.0,,1,19.0,14.260237003054822,81.22392767994995
9,0.0,0.0,,1,6.0,2.2768341252019697,5.433951290346076
6,0.0,0.0,,2,22.0,3.745384935307792,34.24722367047397
13,1.0,0.0,,1,116.0,5.927044885951828,34.06727392581938
12,1.0,0.0,,4,13.75,16.97197852792513,104.56848531576424
14,0.0,0.0,,2,21.0,13.462004230343057,49.422070043022906
4,0.0,0.0,,2,9.5,5.717722459386498,31.590219766953695
4,0.0,0.0,,2,36.5,39.573136487011666,280.44312051661075
18,1.0,0.0,,1,19.0,23.063572163712333,398.2645397830365
22,0.0,0.0,,3,15.666666666666666,18.80854034996457,92.20975891746887
18,1.0,0.0,,1,21.0,26.132472004065654,79.82116549905957
2,0.0,0.0,,4,14.0,10.018242311831283,51.20342501377823
3,0.0,0.0,,3,12.0,11.14292662108005,71.53156916286487
8,1.0,0.0,,2,12.5,26.791155564523578,164.80546058257872
4,0.0,0.0,,1,14.0,1.0703745714343464,3.639497048597198
8,1.0,0.0,,3,11.333333333333334,21.090461269589248,109.24307843518334
7,0.0,0.0,,1,46.0,13.99170789507023,32.40128046731994
7,1.0,0.0,,1,47.0,18.58759927218168,43.1505063766818
15,1.0,0.0,,4,8.75,16.97165127368576,92.54111746437295
15,0.0,0.0,,2,18.0,19.80132484732733,129.65934969023562
9,1.0,0.0,,2,22.0,12.437350279546909,31.895432587488024
2,0.0,0.0,,3,26.0,29.575919422692092,254.4684996666958
25,0.0,0.0,,3,17.666666666666668,25.63690994423439,170.9725677036145
4,0.0,0.0,,1,7.0,6.463481284357924,28.846646377873295
14,0.0,0.0,,1,27.0,5.099512036486598,30.107055090033683
14,0.0,0.0,,2,25.5,8.568547294580728,36.43685055279525
22,0.0,0.0,,1,116.0,2.5814611937152785,7.579628078848619
15,0.0,0.0,,1,18.0,23.956385707919097,302.1444363789452
24,1.0,0.0,,3,15.666666666666666,25.575577242376667,109.78252193330304
24,1.0,0.0,,1,12.0,26.02927136869165,134.96819087786488
19,1.0,0.0,,2,28.0,20.373565365744597,198.15590135955802
