participant,study_status,scene_familiarity,recall_status,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude
9,0.0,0.0,,4,8.75,11.53577722107958,59.77874803627758
17,1.0,0.0,,4,23.25,22.568439140531357,145.63015980943638
19,1.0,0.0,,2,16.0,18.754109862740478,107.0867599680052
19,1.0,0.0,,4,22.25,17.43494624764345,100.08260203005324
17,1.0,0.0,,4,17.75,25.636843057675726,142.7278523540303
8,1.0,0.0,,6,28.5,23.832394015456973,156.6887036090484
14,0.0,0.0,,3,36.0,1.7296497041088779,26.826050991395686
23,0.0,0.0,,5,21.0,19.273742289513635,114.94817337829116
23,0.0,0.0,,7,32.57142857142857,27.24105212479598,260.296006194599
16,0.0,0.0,,4,38.25,22.905455759441395,155.28978558553246
19,0.0,0.0,,3,32.666666666666664,12.103954448751027,96.866902351944
24,0.0,0.0,,6,15.0,20.239895396605576,131.75343223679315
21,0.0,0.0,,3,10.0,22.548944157322506,128.72596092057154
3,0.0,0.0,,5,20.4,21.535838663014154,126.81967740231623
6,0.0,0.0,,4,22.5,12.371933645814657,68.67790548713735
3,0.0,0.0,,6,17.5,19.373051049137374,108.8846120339302
13,0.0,0.0,,1,6.0,3.070417741651637,15.560352430161773
16,0.0,0.0,,4,14.25,13.6117303885564,68.07390740650874
25,0.0,0.0,,4,41.5,19.081784219785654,227.90368371625246
19,0.0,0.0,,6,28.333333333333332,24.31553694108706,174.27028598586966
3,0.0,0.0,,2,20.0,31.08211659916296,141.26752642461156
13,0.0,0.0,,3,30.333333333333332,16.180021114747962,97.03280762778876
14,0.0,0.0,,2,17.0,23.253820073604864,115.28912078719563
18,1.0,0.0,,6,30.5,27.3039611684101,235.05808068121976
24,0.0,0.0,,8,8.75,17.52912530389632,87.67480529798146
7,0.0,0.0,,2,9.0,24.67172040373562,88.84609931706495
12,1.0,0.0,,6,12.333333333333334,19.476767090720422,92.44314555915729
4,0.0,0.0,,10,21.7,21.707526073657455,118.6433027255046
8,1.0,0.0,,4,15.75,28.694325469192567,152.50181617822952
9,1.0,0.0,,4,25.0,15.640553289105334,92.19939290681768
15,1.0,0.0,,5,13.0,16.52750206339974,90.93107283306267
26,0.0,0.0,,4,42.25,19.21317069128178,112.15588688992294
16,1.0,0.0,,4,20.25,16.10805907927253,113.21086728906292
22,0.0,0.0,,3,18.333333333333332,16.454076191961963,149.3183293773865
26,0.0,0.0,,1,7.0,27.21828510840537,86.46591414305419
7,0.0,0.0,,0,0.0,0.0,0.0
24,1.0,0.0,,2,47.5,3.976625651234124,43.81438942677529
21,1.0,0.0,,3,39.0,27.46742562654383,277.39847103859046
22,0.0,0.0,,2,8.0,2.7169688572746393,19.018782000922258
21,1.0,0.0,,3,29.333333333333332,24.54051431992902,287.25096821563767
5,0.0,0.0,,5,22.4,22.32668954454323,146.88200613387485
21,0.0,0.0,,2,29.5,22.38265939208205,102.6541924635921
24,0.0,0.0,,7,13.857142857142858,21.08991929124159,125.22734186913328
9,1.0,0.0,,4,13.75,14.00019323138591,101.3493435231303
