participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude
25,0.0,0.0,,0.0568995475769043,225.38365030288696,-0.003304086431486608,-1.425184965133667,-1.425184965133667,-1.3746436834335327,2,8,20,14.75,0,0,0.0,4,26.0,33.746753932954284,180.52298763855956
25,0.0,0.0,,0.31361252069473267,10.918040969792536,-0.0002247733567496266,-0.052572221192629526,-0.052572221192629526,-0.06570547001034607,13,5,14,11.6,1,16,16.0,4,42.5,25.295220331873086,188.88403716018217
22,0.0,0.0,,0.4708998203277588,4.494450092315674,-0.007259257687760345,-0.08001760038142466,-0.08001760038142466,-0.0020768568199677575,43,14,33,13.214285714285714,2,26,24.0,4,7.75,8.374720491777339,43.820029748978435
19,0.0,0.0,,0.24859952926635742,24.54515027999878,-0.003258987810501259,-0.13198231160640717,-0.13198231160640717,-0.1360032707452774,99,8,39,17.25,0,0,0.0,2,39.5,37.13755667469496,293.7286290733307
23,0.0,0.0,,1.174399971961975,0.20430004596710205,0.0023755144742298603,0.5766048632593598,0.5766048632593598,0.5810882243243131,131,6,27,16.5,1,56,56.0,5,25.8,25.76658913942058,242.3102337747635
23,0.0,0.0,,0.3804001808166504,1.113800048828125,0.0006164700568359892,0.09013854712247849,0.09013854712247849,0.1021999642252922,212,2,135,105.0,0,0,0.0,1,24.0,17.651057657453556,46.51064508093856
5,0.0,0.0,,0.3962998390197754,12.24850082397461,-0.0011894610982120565,0.004002735950052738,0.004002735950052738,-0.018296701833605766,72,11,26,16.363636363636363,0,0,0.0,2,18.5,20.791470694385286,105.53610536239452
15,1.0,0.0,,0.27920007705688477,138.88328474760058,-0.00327488646629357,-0.9306520779424579,-0.9306520779424579,-0.8878207619984944,33,11,32,14.636363636363637,1,39,39.0,5,13.0,16.52750206339974,90.93107283306267
15,0.0,0.0,,0.5701498985290527,40.35885715484619,-0.004142852103160895,-0.3082800507545471,-0.3082800507545471,-0.3018067479133606,38,11,32,13.636363636363637,0,0,0.0,5,12.2,14.23270384304244,80.67445460316677
10,1.0,0.0,,0.637000322341919,29.214963078498826,0.0028473138123597925,0.013467594038082075,0.013467594038082075,0.012158722829337106,113,11,32,13.909090909090908,1,65,65.0,5,14.0,11.207219378751486,48.88121223659313
17,1.0,0.0,,0.10069990158081055,27.984647512435913,-0.0016581077703898396,-0.19763585925102234,-0.19763585925102234,-0.1928367018699646,10,7,28,13.142857142857142,0,0,0.0,5,27.2,18.91129815056936,120.80874523522989
