participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude
9,0.0,0.0,,0.29610002040863037,0.46630001068115234,-0.0013093005624775307,-0.0681694154979802,-0.0681694154979802,-0.07860435813045684,179,7,65,41.42857142857143,1,22,22.0,2,25.5,1.8803147671424372,9.366938367259095
17,1.0,0.0,,0.46605002880096436,0.06001803722787402,0.0008700067281584307,0.24038084331346826,0.24038084331346826,0.24383583584442123,272,14,48,16.714285714285715,1,46,46.0,4,23.25,29.81599512341661,140.65393410365792
19,1.0,0.0,,0.5827999114990234,57.397757758034615,-0.00269720970530129,-0.219532407632395,-0.219532407632395,-0.21826372254331805,114,12,30,15.25,2,44,30.0,5,30.4,21.494358147456847,145.54649024391836
19,1.0,0.0,,0.5989503860473633,0.007199287414550781,0.0009538534251585934,0.3613811135292053,0.3613811135292053,0.35519126057624817,356,3,311,116.0,0,0,0.0,0,0.0,0.0,0.0
17,1.0,0.0,,0.16404986381530762,28.78996181488037,-0.0011179402954828142,-0.19209438562393188,-0.19209438562393188,-0.1848761886358261,32,8,78,38.125,0,0,0.0,1,32.0,11.762458704310118,121.85283545083655
8,1.0,0.0,,0.5733499526977539,0.5447001457214355,9.33883920085914e-05,0.22289829628140317,0.22289829628140317,0.19265650529776296,264,9,69,30.444444444444443,2,67,40.5,3,22.333333333333332,15.77463070634375,105.8302552139022
14,0.0,0.0,,0.3206498622894287,7.366250038146973,-0.0022623110548208375,-0.1232572236314875,-0.1232572236314875,-0.1144133925133044,179,8,103,40.125,1,17,17.0,1,11.0,8.06770441279743,67.1701673336158
23,0.0,0.0,,0.3166501522064209,1.3510992527008057,-0.0010538876728021162,-0.037791051450563745,-0.037791051450563745,-0.02474818023430663,70,11,49,19.454545454545453,1,46,46.0,6,21.0,19.558876770078754,97.18760346210998
23,0.0,0.0,,0.16019964218139648,1.923799991607666,-0.0037862652226710062,-0.1738797426223755,-0.1738797426223755,-0.18973250687122345,126,3,152,100.33333333333333,0,0,0.0,1,52.0,33.84047189768523,209.91427616968747
16,0.0,0.0,,0.2905998229980469,68.0259096622467,-0.0030721455025984647,-0.423419713973999,-0.423419713973999,-0.41649794578552246,117,10,28,13.4,0,0,0.0,3,68.66666666666667,29.16060089191637,249.22930027883987
19,0.0,0.0,,0.6203385683206406,29.434398889541626,-0.00270102802809177,0.06853149885556944,0.06853149885556944,0.05732760979579046,107,8,76,34.75,2,27,26.0,4,16.75,14.761168038514455,95.47284287526342
24,0.0,0.0,,0.5106499195098877,6.470899343490601,-0.0008880979815048326,0.12456541852790769,0.12456541852790769,0.12771497400486528,193,9,52,29.88888888888889,1,21,21.0,5,14.8,12.249815172679273,75.27243391759328
21,0.0,0.0,,0.5138498544692993,5.354494802084601,0.0005389411664795517,0.14097861248572,0.14097861248572,0.11716398254113973,327,12,52,21.666666666666668,1,102,102.0,5,14.8,7.637779510245686,44.66387814936631
3,0.0,0.0,,0.08089995384216309,115.93820667266846,-0.001960172504630335,-0.5393336513797108,-0.5393336513797108,-0.53403670129521,2,15,39,13.8,2,68,42.0,8,16.0,17.323844123163056,89.85000017629763
6,0.0,0.0,,0.12930011749267578,45.16110503673552,-0.000287172962933385,-0.2838785668381122,-0.2838785668381122,-0.2708136322076179,41,12,48,23.583333333333332,1,122,122.0,4,13.5,4.823879705576431,39.63862503934367
3,0.0,0.0,,0.5321502058129557,0.8052994452024755,0.0009596851887595898,0.2534098411474575,0.2534098411474575,0.2314848337893628,124,13,46,18.692307692307693,1,18,18.0,7,13.142857142857142,22.055000927677984,147.60393563458518
13,0.0,0.0,,0.1054999828338623,91.21405172348022,-0.003339202009036291,-1.0346924751078714,-1.0346924751078714,-1.0325217765310537,37,12,44,23.75,0,0,0.0,2,26.5,15.365687161505328,120.94491883538956
16,0.0,0.0,,0.42075014114379883,22.623798966407776,-0.006982809845143673,-0.4608375812445034,-0.4608375812445034,-0.459199742770419,226,9,64,25.11111111111111,1,38,38.0,5,24.2,21.45623192883686,133.2706020755624
25,0.0,0.0,,0.4823000431060791,51.61218164696539,0.0014338802283563215,-0.17723445164389304,-0.17723445164389304,-0.16480599309445804,324,13,38,13.153846153846153,1,162,162.0,6,28.666666666666668,13.260932872452406,142.66161743222824
19,0.0,0.0,,0.1309499740600586,82.98449730873108,-0.001212668020601705,-0.5163321164475769,-0.5163321164475769,-0.5023192892903867,4,16,39,15.0,1,79,79.0,2,45.5,13.535102604728653,133.9504774616668
3,0.0,0.0,,0.3250000476837158,11.399416673183438,5.860754015252805e-05,0.04134104832881639,0.04134104832881639,0.03946423115937608,128,18,48,15.777777777777779,2,11,7.0,5,9.4,20.049518300678155,112.90822724871131
13,0.0,0.0,,0.40329980850219727,0.40869114170335674,-0.0008143080092182898,0.00349001373563494,0.00349001373563494,0.016059191681443853,352,10,38,24.4,2,72,44.0,5,17.2,10.585945996090263,51.2862544295509
14,0.0,0.0,,1.5238499641418457,0.06019997596740723,0.0036331940873355916,0.837954297119162,0.837954297119162,0.8148487873773232,282,10,59,21.7,2,41,31.0,3,39.333333333333336,21.226612395059576,148.4573448131685
18,1.0,0.0,,0.7797501087188721,3.2065987586975098,-0.00016497626378028822,0.140505158600687,0.140505158600687,0.15734265359045313,355,14,26,10.642857142857142,2,8,6.5,5,37.4,34.306167681059726,255.4774377389962
24,0.0,0.0,,0.3410499095916748,69.67447407543659,-0.007913256312460277,-0.7003727972674436,-0.7003727972674436,-0.703231482214045,158,11,101,25.545454545454547,2,30,18.5,4,13.0,12.444465593510555,70.75050964819339
7,0.0,0.0,,0.25174999237060547,5.661055564880371,0.00017312379618212938,0.046677425503730774,0.046677425503730774,0.04866720363497734,296,7,87,45.142857142857146,0,0,0.0,1,23.0,20.32115535920332,45.28773147867921
12,1.0,0.0,,0.4325500726699829,45.538700342178345,-0.0013988672613003525,-0.165363937031989,-0.165363937031989,-0.17632508425829255,31,17,41,13.0,1,38,38.0,9,12.222222222222221,16.357651574156332,80.97463871199902
4,0.0,0.0,,0.0,92.94871377944946,0.00011593058181585395,-0.7703498601913452,-0.7703498601913452,-0.7501674890518188,0,13,21,11.0,0,0,0.0,9,21.333333333333332,23.844061292151874,120.00608899047741
8,1.0,0.0,,0.7230501174926758,3.0434951782226562,0.0012218107199768854,0.23987658321857452,0.23987658321857452,0.22257620096206665,276,14,24,11.5,0,0,0.0,5,33.6,26.723061831681736,177.56725232935216
9,1.0,0.0,,0.5427498817443848,0.7657994031906128,0.0004073514303967241,0.23316397219478918,0.23316397219478918,0.22562534347936755,253,16,45,17.375,2,16,15.5,6,9.0,17.911345862789275,93.33839606780818
15,1.0,0.0,,0.7489995956420898,20.278905391693115,-0.0030552367758368768,0.10641174018383026,0.10641174018383026,0.09074105322360992,263,16,36,19.0,0,0,0.0,3,10.666666666666666,16.5473961891373,110.2188296482636
26,0.0,0.0,,0.06694996356964111,35.42774969339371,-0.001570199717842535,-0.2980097922958246,-0.2980097922958246,-0.28740604672454984,69,17,36,16.58823529411765,2,29,24.5,2,17.5,15.380770759087412,117.99766537806968
16,1.0,0.0,,0.3576500415802002,242.68998396396637,-0.009505871939678867,-1.3497426987362175,-1.3497426987362175,-1.3306932003872745,79,10,83,22.7,1,16,16.0,3,39.666666666666664,6.937218685484134,26.90446688871592
22,0.0,0.0,,0.8355498313903809,0.008300065994262695,0.0020464475330633143,0.42716363072395325,0.42716363072395325,0.41792601346969604,328,11,65,28.09090909090909,0,0,0.0,3,9.666666666666666,12.472067875631765,89.50482489285474
26,0.0,0.0,,0.22315025329589844,45.05004143714905,-0.004859107863920784,-0.3243158161640167,-0.3243158161640167,-0.3287975490093231,154,7,151,45.142857142857146,0,0,0.0,1,29.0,30.245379278072896,169.05097860233596
7,0.0,0.0,,0.2077503204345703,7.962987899780273,0.00013106405501695564,0.021233776584267616,0.021233776584267616,0.005617597606033087,239,7,87,41.857142857142854,0,0,0.0,1,50.0,29.315582185437105,158.4332186859937
24,1.0,0.0,,0.45709991455078125,0.2393500804901123,0.0006782775095415845,0.1391964703798294,0.1391964703798294,0.1358630657196045,281,14,45,19.642857142857142,0,0,0.0,3,17.666666666666668,26.858194912373694,117.65932991116019
21,1.0,0.0,,0.20109987258911133,18.09740436077118,-0.0019358185171487632,-0.22170419385787152,-0.22170419385787152,-0.2140761111205791,95,12,44,17.583333333333332,1,32,32.0,4,31.5,18.773862770240036,177.3744601669065
22,0.0,0.0,,0.024300098419189453,91.48147320747375,-0.001068129697886388,-0.3729635063005763,-0.3729635063005763,-0.3712822259189705,1,15,37,14.2,2,28,27.0,3,39.666666666666664,3.761736038365072,20.65199406563359
21,1.0,0.0,,0.9666498899459839,6.0842524766922,0.00344643052007583,0.4152847615276732,0.4152847615276732,0.4042102002343642,298,11,44,19.0,1,32,32.0,3,38.333333333333336,27.46742562654383,277.39847103859046
5,0.0,0.0,,0.8885998725891113,42.58315110206604,-0.0006728369652049731,-0.09169231008748714,-0.09169231008748714,-0.09488044022032933,118,8,95,32.0,1,13,13.0,3,30.666666666666668,31.115103444018036,140.29051851359972
21,0.0,0.0,,0.12545013427734375,56.00777459144592,-0.000569137353811813,-0.24989579617977142,-0.24989579617977142,-0.24337159097194672,104,4,113,81.0,0,0,0.0,2,12.0,21.31476742706876,85.53513879098449
24,0.0,0.0,,0.579399824142456,0.12960004806518555,0.0014781625242663978,0.24188523265827938,0.24188523265827938,0.23753918631018314,323,6,101,48.0,2,34,32.0,2,27.5,6.534219165867519,68.64704207277072
9,1.0,0.0,,0.29979991912841797,15.5127862278522,0.0002362870529486799,-0.019661339391179446,-0.019661339391179446,-0.021991200603696155,240,17,45,17.235294117647058,2,16,15.5,4,9.5,16.62334300919562,92.13927065052053
22,0.0,0.0,,0.021049976348876953,79.24559324979782,0.0003413749278055946,-0.30731089859783484,-0.30731089859783484,-0.3102447736466089,1,13,64,23.307692307692307,1,22,22.0,4,7.5,11.15125316284369,50.63613342160223
21,1.0,0.0,,0.24705004692077637,206.66164529323578,0.0018985513796342664,-0.5806889210094591,-0.5806889210094591,-0.5472946447818573,70,12,34,17.416666666666668,1,36,36.0,5,23.2,22.137888530304775,144.263194197604
24,0.0,0.0,,0.22204971313476562,6.114264965057373,0.00028183586263145344,0.04830782115459442,0.04830782115459442,0.04910851642489433,245,10,114,33.6,0,0,0.0,0,0.0,0.0,0.0
16,0.0,0.0,,0.2171497344970703,152.57313871383667,-0.0013553550644157895,-0.7123322486877441,-0.7123322486877441,-0.6869524121284485,23,12,24,12.416666666666666,0,0,0.0,4,47.25,27.216451340323996,202.79590112610322
14,0.0,0.0,,0.4028501510620117,6.0246498584747314,7.286403344330951e-05,-0.30819839189032544,-0.30819839189032544,-0.37344935682994973,334,10,65,22.5,1,21,21.0,2,45.0,28.39301495309134,154.59796771391757
6,0.0,0.0,,0.6834502220153809,3.880449056625366,-0.0015522929827886183,0.170908123254776,0.170908123254776,0.1610652655363083,142,8,39,17.0,0,0,0.0,4,49.5,18.559265657336073,92.12069973909225
23,0.0,0.0,,0.5651001930236816,12.553437232971191,0.002015801160368939,0.10427733510732651,0.10427733510732651,0.10977838188409805,317,12,51,19.083333333333332,0,0,0.0,3,34.666666666666664,14.916844159403972,106.8424033239395
