participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude
15,0.0,1.0,0.5,0.3706998825073242,1.6350514888763428,-0.0031001796347825284,0.07937489449977875,0.07937489449977875,0.10235595703125,65,2,36,22.5,0,0,0.0,2,34.5,30.132360297413676,172.38311462987593
25,0.0,1.0,0.5,0.28425002098083496,0.0,0.0016569435541978759,0.1271081268787384,0.1271081268787384,0.10898131132125854,65,2,30,28.0,0,0,0.0,1,58.0,26.01400243559656,70.58002794878705
3,0.0,1.0,0.5,0.20634984970092773,3.2764499187469482,-0.00495435993117862,-0.10541540333348462,-0.10541540333348462,-0.08157506585121155,49,3,41,22.0,1,1,1.0,3,15.666666666666666,24.138050655159958,150.61101038494886
4,1.0,1.0,1.0,0.7137000560760498,0.027599811553955078,0.004275817607339467,0.40424543619155884,0.40424543619155884,0.39084380865097046,115,3,12,9.333333333333334,0,0,0.0,1,78.0,34.586591650829874,332.73936899683076
24,1.0,1.0,1.0,0.3100004196166992,7.604145288467407,0.0020033801110566954,-0.16374728083610535,-0.16374728083610535,-0.14032486081123352,116,4,26,18.0,0,0,0.0,3,12.0,25.927930985340264,142.6567198090398
4,0.0,1.0,0.5,0.42149996757507324,2.192800998687744,0.002964727465431737,0.06723500788211823,0.06723500788211823,0.07946869730949402,105,3,11,9.666666666666666,0,0,0.0,1,80.0,29.862722772014074,266.1192317861855
17,1.0,1.0,0.5,0.0843498706817627,17.466755628585815,-0.004874091830164492,-0.3082476258277893,-0.3082476258277893,-0.3062564432621002,4,4,28,19.25,0,0,0.0,2,16.0,20.015759382434563,155.11648978542917
19,1.0,1.0,1.0,0.641200065612793,0.0,0.0024319986113772504,0.33602043986320496,0.33602043986320496,0.33756858110427856,81,5,28,13.4,0,0,0.0,2,20.5,20.540655091384163,118.20136365530902
6,1.0,1.0,0.5,0.5734999179840088,0.024200439453125,0.003823399856394281,0.23793497681617737,0.23793497681617737,0.25051870942115784,113,4,42,24.25,0,0,0.0,1,9.0,28.43417425443492,79.27965274250312
26,1.0,1.0,1.0,0.17580032348632812,7.358953475952148,0.001995985306701491,-0.08244071155786514,-0.08244071155786514,-0.06495004892349243,75,4,12,10.75,0,0,0.0,2,33.5,16.182765567778812,138.77193575234543
18,1.0,1.0,0.5,0.3562498092651367,5.525349140167236,-0.004386836077680364,-0.11595035344362259,-0.11595035344362259,-0.11411869525909424,16,3,12,11.0,0,0,0.0,3,26.666666666666668,26.026216493847585,193.63245273147004
