participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude
9,0.0,0.0,,10,41,26.4,3,24.666666666666668,14.40887463254254,142.51573990607903
17,1.0,0.0,,12,48,16.916666666666668,5,26.4,27.65811187620534,123.4376944378156
19,1.0,0.0,,16,29,13.0,8,16.5,20.552352943370256,148.4397699535598
19,1.0,0.0,,13,29,13.692307692307692,6,27.666666666666668,21.737516137496403,180.30121865728088
17,1.0,0.0,,12,26,15.166666666666666,5,29.6,26.555467857264933,168.34738777311196
8,1.0,0.0,,9,65,27.333333333333332,4,24.0,25.34229216520605,152.5659651084408
14,0.0,0.0,,11,40,22.727272727272727,4,20.75,3.8876250078795858,13.541685408754738
23,0.0,0.0,,10,61,21.9,6,20.333333333333332,19.648920679282952,105.23699401757091
23,0.0,0.0,,10,32,13.7,6,34.5,25.42554755549565,227.39319261204426
16,0.0,0.0,,11,33,16.272727272727273,6,27.166666666666668,22.193421172982937,111.68198973389683
19,0.0,0.0,,17,32,14.0,4,23.0,24.924654026150357,161.99651552124914
24,0.0,0.0,,9,114,36.0,2,7.0,20.15424010856446,124.8872205328623
21,0.0,0.0,,4,113,73.25,1,53.0,8.036510184811672,186.69899963984267
3,0.0,0.0,,14,30,13.5,8,18.875,20.98854553300816,145.38850840571394
6,0.0,0.0,,16,39,15.3125,4,21.0,13.994868681014228,149.79156870784894
3,0.0,0.0,,19,48,15.263157894736842,4,9.75,17.395283977828694,75.32723841434589
13,0.0,0.0,,12,30,18.416666666666668,4,30.25,29.106148611339073,164.23674243361592
16,0.0,0.0,,16,24,12.0625,4,33.5,18.712203380358403,125.24282226934528
25,0.0,0.0,,14,40,15.214285714285714,6,18.666666666666668,7.304971227360205,48.335329938073045
19,0.0,0.0,,12,28,15.0,6,25.833333333333332,28.995622154790315,190.13447171273185
3,0.0,0.0,,14,32,14.928571428571429,8,16.0,22.19285608851804,119.3111370677556
13,0.0,0.0,,8,58,29.625,3,32.666666666666664,24.986481472228125,96.64259118773192
14,0.0,0.0,,9,59,23.444444444444443,3,41.666666666666664,13.856650038328794,115.71362703158094
18,1.0,0.0,,12,26,12.416666666666666,7,26.857142857142858,29.45833516249242,204.2776237976593
24,0.0,0.0,,12,114,27.0,1,7.0,37.58594082810963,201.25458619363144
7,0.0,0.0,,7,86,47.714285714285715,0,0.0,0.0,0.0
12,1.0,0.0,,14,27,16.5,6,16.166666666666668,18.530752992034877,94.00898904475692
4,0.0,0.0,,17,26,13.470588235294118,7,13.571428571428571,28.505112539397636,133.14252754836411
8,1.0,0.0,,9,69,31.22222222222222,3,19.0,30.41612928791069,196.49357627952622
9,1.0,0.0,,11,45,20.727272727272727,4,26.75,12.033653128147021,34.91934658786385
15,1.0,0.0,,16,36,16.6875,5,13.0,16.52750206339974,90.93107283306267
26,0.0,0.0,,11,36,16.0,4,40.75,17.793586255692272,110.31316973669608
16,1.0,0.0,,12,42,18.5,6,20.333333333333332,18.883939122027794,80.49321437902461
22,0.0,0.0,,13,67,23.307692307692307,3,10.333333333333334,9.723863627914618,69.39469837706251
26,0.0,0.0,,15,24,14.666666666666666,5,21.2,27.638722089093886,102.1431201841295
7,0.0,0.0,,9,65,33.77777777777778,1,34.0,28.014020904726305,130.19032893086634
24,1.0,0.0,,13,54,20.307692307692307,4,17.75,31.149283841067327,152.42311108781752
