participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude
15,0.0,1.0,0.5,4,13,10.0,2,35.5,30.132360297413676,168.8948353142511
25,0.0,1.0,0.5,1,79,79.0,1,36.0,24.29281374064457,87.60125755813046
3,0.0,1.0,0.5,5,12,9.4,2,32.0,22.096749454328947,108.26253279119918
4,1.0,1.0,1.0,5,12,9.0,3,20.0,21.9820741986301,91.50464295526778
24,1.0,1.0,1.0,6,17,12.166666666666666,3,12.333333333333334,34.28784020580674,215.48451069576382
4,0.0,1.0,0.5,7,10,8.0,2,24.5,17.128641397451016,77.22950270376482
17,1.0,1.0,0.5,4,35,26.5,0,0.0,0.0,0.0
19,1.0,1.0,1.0,5,24,14.0,2,21.0,19.135429388158798,91.68951040099782
6,1.0,1.0,0.5,2,43,42.5,1,23.0,17.78965755863163,85.04912099451653
26,1.0,1.0,1.0,6,21,14.833333333333334,2,8.5,23.077661190945726,93.83827404617193
18,1.0,1.0,0.5,3,32,23.333333333333332,2,17.5,34.71455779055662,242.9235047277289
23,1.0,1.0,1.0,4,15,10.5,3,21.0,19.900053488507805,169.65717931101184
16,1.0,1.0,0.5,0,0,0.0,1,116.0,2.1154103208175954,19.10974790114926
18,1.0,1.0,0.5,5,19,11.2,3,18.0,19.048625122453558,151.02588279749904
22,1.0,1.0,1.0,2,54,46.0,1,22.0,6.6683741693766665,21.61078871016313
26,1.0,1.0,1.0,2,45,26.0,3,20.666666666666668,21.536186175453647,122.1885474708542
5,1.0,1.0,0.5,2,60,49.5,1,15.0,1.012845850894103,14.179841912517091
10,1.0,1.0,1.0,4,20,14.5,2,27.0,26.057896752826935,185.2712275404741
22,1.0,1.0,1.0,9,13,10.444444444444445,1,9.0,28.03818303030253,114.33718553027465
24,0.0,1.0,0.5,5,35,17.4,1,23.0,1.7850689861454843,19.694163481861015
16,1.0,1.0,1.0,5,13,10.2,3,20.0,21.85188321771508,101.53041499970197
2,0.0,1.0,0.5,2,46,42.0,2,12.5,7.197764639339172,15.890789452267265
23,1.0,1.0,1.0,2,27,17.5,3,26.333333333333332,15.864191382150864,76.58863091986905
9,0.0,1.0,0.5,3,16,13.333333333333334,2,36.5,37.517974348914976,261.5958095665561
6,1.0,1.0,1.0,8,18,10.375,2,9.5,16.407503416052045,69.67974491320524
19,1.0,1.0,1.0,3,40,31.0,2,8.5,13.451911632496058,66.63651480764653
23,0.0,1.0,0.5,3,29,21.333333333333332,2,24.5,30.645106760496837,148.85716269160287
1,1.0,1.0,0.5,2,68,44.0,1,26.0,3.5929012313443103,17.459172349501035
23,0.0,1.0,0.5,6,16,10.833333333333334,5,9.0,18.734176853744636,79.93653979271139
