participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude
18,1.0,0.0,,6,24,12.5,2,14.0,11.592135978604368,103.36118590323338
23,0.0,0.0,,3,38,26.666666666666668,2,16.5,6.592814048206218,57.29828122358242
19,1.0,0.0,,2,90,52.0,1,9.0,15.541489883944344,71.87795405847892
7,1.0,0.0,,2,61,44.0,1,23.0,9.226264097869745,18.513471887942842
3,1.0,0.0,,2,66,44.0,1,24.0,6.955349956753685,78.8365140481688
13,1.0,0.0,,1,103,103.0,1,8.0,1.3407789815768605,5.9111084171045745
18,1.0,0.0,,3,29,26.666666666666668,1,30.0,20.527628854469416,62.233606369220944
9,1.0,0.0,,4,29,17.75,2,18.0,20.438778197079273,96.03868880324985
19,0.0,0.0,,1,15,15.0,2,50.0,26.505033642167987,263.25359142252756
1,1.0,0.0,,4,25,15.0,2,23.0,11.797977044956182,102.17155972699906
24,1.0,0.0,,2,54,34.0,2,23.0,34.25674643541351,165.32980250114488
14,0.0,0.0,,3,31,19.333333333333332,2,26.5,13.462004230343057,50.05223516560334
22,0.0,0.0,,3,38,32.333333333333336,0,0.0,0.0,0.0
26,0.0,0.0,,3,18,12.333333333333334,2,36.0,35.05558858903642,236.6818403108723
16,1.0,0.0,,4,20,13.0,3,20.0,21.106484927689458,119.33844618660356
22,0.0,0.0,,5,32,20.4,1,6.0,2.3880661502866047,8.18656085835236
3,1.0,0.0,,4,41,24.0,1,11.0,14.367793991285591,143.67793991285583
12,1.0,0.0,,8,16,11.75,1,6.0,2.978976171095872,8.644781603335973
5,0.0,0.0,,0,0,0.0,1,116.0,2.4843349285255196,15.416084934360578
9,0.0,0.0,,3,24,19.333333333333332,2,25.5,3.5324319441605763,24.99635416812276
21,1.0,0.0,,4,35,15.5,2,22.5,8.044273887366,81.42570748596808
5,0.0,0.0,,2,27,21.0,1,72.0,5.126795245419089,24.452910200674673
7,0.0,0.0,,2,45,33.0,3,16.0,25.153937503561213,85.53606326600925
24,0.0,0.0,,7,26,12.285714285714286,3,6.666666666666667,11.122284758783168,44.68591041928108
12,1.0,0.0,,6,43,16.333333333333332,1,8.0,4.333493590555677,22.66981819104801
3,1.0,0.0,,5,36,19.4,1,7.0,5.180884250906194,24.852173524323323
15,0.0,0.0,,3,17,12.333333333333334,1,70.0,30.194648933784002,217.6092244291748
12,1.0,0.0,,2,55,48.0,1,15.0,7.22641196358318,19.43171845450321
26,0.0,0.0,,5,36,18.8,1,8.0,31.363880070034302,139.10919774396513
18,1.0,0.0,,5,13,9.6,3,19.666666666666668,23.194272496111136,197.23776274195305
15,0.0,0.0,,3,15,11.666666666666666,2,39.0,18.959850809930828,124.43278591869802
25,0.0,0.0,,3,31,17.666666666666668,2,28.0,14.737624184004085,63.039248857700656
14,0.0,0.0,,5,27,19.8,1,6.0,28.45038837945063,122.18746156675132
7,1.0,0.0,,2,53,31.0,1,47.0,1.6802144037998483,19.686827591293174
9,0.0,0.0,,5,31,19.4,1,11.0,28.94070552528766,289.40705525287615
18,1.0,0.0,,2,7,7.0,2,50.0,21.896886666842374,355.2491538366993
21,1.0,0.0,,7,28,14.428571428571429,0,0.0,0.0,0.0
5,0.0,0.0,,5,27,18.8,1,17.0,8.09725875749587,62.28139918179327
17,1.0,0.0,,7,23,14.428571428571429,0,0.0,0.0,0.0
14,0.0,0.0,,2,63,43.0,0,0.0,0.0,0.0
19,1.0,0.0,,0,0,0.0,1,116.0,5.235187759658249,21.590624866483523
9,0.0,0.0,,3,33,29.0,1,24.0,19.04150528739887,54.957232500602984
6,0.0,0.0,,3,33,22.0,2,21.5,6.904187229323065,33.2762948066801
13,1.0,0.0,,3,36,22.666666666666668,3,15.0,10.623275017469457,60.821396942704816
12,1.0,0.0,,3,53,28.0,1,24.0,16.42989295592591,39.07578181320305
14,0.0,0.0,,5,30,21.0,0,0.0,0.0,0.0
4,0.0,0.0,,5,26,17.8,2,9.5,45.738746788079105,159.27131670362974
4,0.0,0.0,,5,8,7.8,3,24.0,31.83580051349105,168.06544014529254
18,1.0,0.0,,3,26,14.333333333333334,1,65.0,44.705711219520424,296.6350015433562
22,0.0,0.0,,4,32,22.75,1,14.0,22.220774618039492,140.4699683508902
18,1.0,0.0,,4,16,13.75,2,25.5,29.288778717142357,113.37239900489755
2,0.0,0.0,,4,12,10.75,2,32.0,32.538293966974614,282.4320310291789
3,0.0,0.0,,4,37,22.75,2,7.0,13.038888328009541,74.22389287421257
8,1.0,0.0,,5,11,9.0,2,28.0,26.07415704112382,210.94383167149783
4,0.0,0.0,,2,83,55.0,0,0.0,0.0,0.0
8,1.0,0.0,,5,18,11.6,1,50.0,10.294657166274192,233.64149375737236
7,0.0,0.0,,2,46,32.5,1,46.0,5.797206202142647,11.817467167415085
7,1.0,0.0,,2,81,45.0,1,19.0,2.300118986504227,12.307561959662925
15,1.0,0.0,,5,29,14.6,4,8.5,17.38590334612536,75.78873339801117
