participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt
4,0.0,1.0,0.5,14,22,10.0
19,1.0,1.0,1.0,11,85,26.09090909090909
24,1.0,1.0,0.5,15,55,15.866666666666667
4,0.0,1.0,0.5,10,25,12.6
3,0.0,1.0,0.5,16,49,14.0625
23,1.0,1.0,1.0,11,45,19.545454545454547
23,1.0,1.0,1.0,12,58,17.083333333333332
5,1.0,1.0,0.5,6,70,42.166666666666664
24,0.0,1.0,0.5,12,47,23.083333333333332
5,1.0,1.0,1.0,7,60,38.0
7,1.0,1.0,1.0,3,154,106.66666666666667
17,1.0,1.0,1.0,10,77,27.9
15,1.0,1.0,0.5,14,46,19.0
5,1.0,1.0,0.5,12,57,24.5
4,1.0,1.0,0.5,15,28,13.266666666666667
25,1.0,1.0,1.0,9,51,21.444444444444443
3,0.0,1.0,0.5,11,46,21.636363636363637
1,1.0,1.0,1.0,6,43,23.166666666666668
3,0.0,1.0,0.5,13,45,19.076923076923077
8,1.0,1.0,1.0,13,42,20.615384615384617
5,1.0,1.0,0.5,12,58,26.333333333333332
7,0.0,1.0,0.5,10,57,28.0
18,0.0,1.0,0.5,14,21,11.0
6,0.0,1.0,0.0,4,120,78.25
24,0.0,1.0,0.5,8,58,16.125
9,0.0,1.0,0.0,13,83,23.692307692307693
14,1.0,1.0,1.0,4,258,88.0
1,1.0,1.0,1.0,7,85,30.142857142857142
7,1.0,1.0,1.0,4,129,82.0
8,1.0,1.0,0.5,18,34,13.333333333333334
24,0.0,1.0,0.5,8,50,26.0
13,0.0,1.0,0.0,10,38,18.0
4,0.0,1.0,0.5,15,24,14.533333333333333
9,0.0,1.0,0.5,14,33,19.071428571428573
22,1.0,1.0,0.5,13,44,21.076923076923077
18,1.0,1.0,1.0,8,76,39.0
8,1.0,1.0,0.0,14,26,12.571428571428571
24,0.0,1.0,0.5,14,23,11.5
1,1.0,1.0,1.0,10,48,21.1
21,1.0,1.0,0.5,9,39,19.88888888888889
12,0.0,1.0,0.5,20,41,14.5
22,0.0,1.0,0.5,13,55,19.53846153846154
19,1.0,1.0,1.0,7,116,43.285714285714285
15,0.0,1.0,0.5,11,34,16.545454545454547
9,0.0,1.0,0.0,17,38,16.529411764705884
7,0.0,1.0,0.5,2,166,160.5
23,1.0,1.0,1.0,8,19,11.625
16,1.0,1.0,0.0,15,37,13.8
23,0.0,1.0,0.0,14,30,12.357142857142858
17,1.0,1.0,1.0,15,34,14.4
4,1.0,1.0,0.5,11,64,20.363636363636363
4,0.0,1.0,0.5,16,30,11.625
