participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt
15,0.0,1.0,0.5,4,13,10.0
25,0.0,1.0,0.5,1,79,79.0
3,0.0,1.0,0.5,5,12,9.4
4,1.0,1.0,1.0,5,12,9.0
24,1.0,1.0,1.0,6,17,12.166666666666666
4,0.0,1.0,0.5,7,10,8.0
17,1.0,1.0,0.5,4,35,26.5
19,1.0,1.0,1.0,5,24,14.0
6,1.0,1.0,0.5,2,43,42.5
26,1.0,1.0,1.0,6,21,14.833333333333334
18,1.0,1.0,0.5,3,32,23.333333333333332
23,1.0,1.0,1.0,4,15,10.5
16,1.0,1.0,0.5,0,0,0.0
18,1.0,1.0,0.5,5,19,11.2
22,1.0,1.0,1.0,2,54,46.0
26,1.0,1.0,1.0,2,45,26.0
5,1.0,1.0,0.5,2,60,49.5
10,1.0,1.0,1.0,4,20,14.5
22,1.0,1.0,1.0,9,13,10.444444444444445
24,0.0,1.0,0.5,5,35,17.4
16,1.0,1.0,1.0,5,13,10.2
2,0.0,1.0,0.5,2,46,42.0
23,1.0,1.0,1.0,2,27,17.5
9,0.0,1.0,0.5,3,16,13.333333333333334
6,1.0,1.0,1.0,8,18,10.375
19,1.0,1.0,1.0,3,40,31.0
23,0.0,1.0,0.5,3,29,21.333333333333332
1,1.0,1.0,0.5,2,68,44.0
23,0.0,1.0,0.5,6,16,10.833333333333334
13,0.0,1.0,0.0,4,14,10.0
17,1.0,1.0,1.0,2,16,13.0
21,1.0,1.0,1.0,5,26,16.6
17,1.0,1.0,1.0,6,31,18.0
16,1.0,1.0,1.0,3,45,22.333333333333332
14,1.0,1.0,1.0,6,14,10.166666666666666
24,0.0,1.0,0.5,3,45,31.333333333333332
19,1.0,1.0,1.0,2,19,16.0
25,1.0,1.0,1.0,4,35,22.5
25,1.0,1.0,1.0,3,20,16.333333333333332
19,1.0,1.0,1.0,2,36,32.5
22,1.0,1.0,0.0,3,24,15.0
21,1.0,1.0,0.5,1,31,31.0
5,1.0,1.0,1.0,3,28,23.0
19,1.0,1.0,1.0,4,21,14.25
22,1.0,1.0,1.0,3,34,17.666666666666668
5,1.0,1.0,0.5,3,41,26.333333333333332
19,1.0,1.0,1.0,2,45,33.0
24,1.0,1.0,1.0,3,40,35.0
21,1.0,1.0,0.5,1,35,35.0
12,0.0,1.0,0.5,8,12,9.375
4,0.0,1.0,0.5,2,11,10.0
9,1.0,1.0,1.0,6,27,16.333333333333332
6,1.0,1.0,0.5,3,25,13.333333333333334
22,0.0,1.0,0.0,2,67,57.5
9,1.0,1.0,0.5,5,20,12.6
6,0.0,1.0,0.0,6,20,11.166666666666666
5,0.0,1.0,0.5,1,17,17.0
14,0.0,1.0,0.0,3,18,13.0
19,0.0,1.0,0.5,4,34,14.0
2,0.0,1.0,0.0,5,24,14.6
24,0.0,1.0,0.5,2,47,33.5
17,0.0,1.0,0.0,4,38,17.0
14,0.0,1.0,0.5,4,39,19.75
24,0.0,1.0,0.5,5,14,10.6
