participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt
15,0.0,1.0,0.5,5,39,25.4
25,0.0,1.0,0.5,7,81,31.0
3,0.0,1.0,0.5,8,40,20.75
4,1.0,1.0,1.0,7,35,15.142857142857142
24,1.0,1.0,1.0,8,31,16.125
4,0.0,1.0,0.5,8,14,9.5
17,1.0,1.0,0.5,8,28,16.375
19,1.0,1.0,1.0,7,95,23.571428571428573
6,1.0,1.0,0.5,7,42,24.142857142857142
26,1.0,1.0,1.0,9,21,12.555555555555555
18,1.0,1.0,0.5,8,33,17.625
23,1.0,1.0,1.0,6,14,10.0
16,1.0,1.0,0.5,6,31,20.5
18,1.0,1.0,0.5,7,26,12.714285714285714
22,1.0,1.0,1.0,4,96,46.0
26,1.0,1.0,1.0,2,67,56.0
5,1.0,1.0,0.5,8,55,21.375
24,0.0,1.0,0.5,8,38,23.0
16,1.0,1.0,1.0,10,45,14.2
2,0.0,1.0,0.5,5,50,34.0
23,1.0,1.0,1.0,4,42,23.25
9,0.0,1.0,0.5,12,19,12.5
23,0.0,1.0,0.5,5,31,16.4
1,1.0,1.0,0.5,5,56,22.0
23,0.0,1.0,0.5,11,32,15.727272727272727
14,1.0,1.0,1.0,4,72,29.0
17,1.0,1.0,1.0,9,22,10.0
21,1.0,1.0,1.0,7,38,23.571428571428573
17,1.0,1.0,1.0,11,47,18.636363636363637
16,1.0,1.0,1.0,6,28,15.0
14,1.0,1.0,1.0,7,80,26.428571428571427
24,0.0,1.0,0.5,11,45,17.454545454545453
19,1.0,1.0,1.0,6,30,15.5
25,1.0,1.0,1.0,9,39,20.88888888888889
25,1.0,1.0,1.0,6,64,31.333333333333332
19,1.0,1.0,1.0,3,85,58.0
22,1.0,1.0,0.0,9,39,19.11111111111111
21,1.0,1.0,0.5,6,31,21.666666666666668
5,1.0,1.0,1.0,8,31,20.75
19,1.0,1.0,1.0,5,87,24.2
22,1.0,1.0,1.0,7,26,15.285714285714286
5,1.0,1.0,0.5,11,25,14.363636363636363
19,1.0,1.0,1.0,4,121,52.5
24,1.0,1.0,1.0,6,53,32.666666666666664
21,1.0,1.0,0.5,6,31,18.333333333333332
