participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt
15,0.0,1.0,0.5,2,36,22.5
25,0.0,1.0,0.5,2,30,28.0
3,0.0,1.0,0.5,3,41,22.0
4,1.0,1.0,1.0,3,12,9.333333333333334
24,1.0,1.0,1.0,4,26,18.0
4,0.0,1.0,0.5,3,11,9.666666666666666
17,1.0,1.0,0.5,4,28,19.25
19,1.0,1.0,1.0,5,28,13.4
6,1.0,1.0,0.5,4,42,24.25
26,1.0,1.0,1.0,4,12,10.75
18,1.0,1.0,0.5,3,12,11.0
23,1.0,1.0,1.0,3,12,9.666666666666666
16,1.0,1.0,0.5,2,29,24.5
18,1.0,1.0,0.5,4,14,11.25
22,1.0,1.0,1.0,2,69,51.5
26,1.0,1.0,1.0,0,0,0.0
10,1.0,1.0,1.0,4,28,14.5
13,1.0,1.0,1.0,3,14,11.666666666666666
22,1.0,1.0,1.0,6,40,15.666666666666666
16,1.0,1.0,1.0,5,28,15.8
2,0.0,1.0,0.5,3,49,32.0
23,1.0,1.0,1.0,2,27,19.5
6,1.0,1.0,1.0,6,13,10.0
19,1.0,1.0,1.0,2,45,38.0
23,0.0,1.0,0.5,2,31,19.5
23,0.0,1.0,0.5,5,20,14.0
13,0.0,1.0,0.0,4,20,10.5
17,1.0,1.0,1.0,3,10,8.333333333333334
21,1.0,1.0,1.0,3,36,32.0
17,1.0,1.0,1.0,6,22,14.166666666666666
16,1.0,1.0,1.0,3,15,10.666666666666666
14,1.0,1.0,1.0,5,40,17.0
24,0.0,1.0,0.5,3,45,32.666666666666664
19,1.0,1.0,1.0,1,30,30.0
25,1.0,1.0,1.0,6,26,13.833333333333334
25,1.0,1.0,1.0,3,35,29.333333333333332
19,1.0,1.0,1.0,2,57,44.0
22,1.0,1.0,0.0,6,39,14.0
21,1.0,1.0,0.5,2,28,20.0
5,1.0,1.0,1.0,4,28,17.25
19,1.0,1.0,1.0,3,11,8.666666666666666
22,1.0,1.0,1.0,2,11,9.5
5,1.0,1.0,0.5,6,25,14.333333333333334
19,1.0,1.0,1.0,2,45,40.0
24,1.0,1.0,1.0,3,36,28.0
21,1.0,1.0,0.5,3,31,21.0
12,0.0,1.0,0.5,10,11,8.8
4,0.0,1.0,0.5,2,35,31.5
9,1.0,1.0,1.0,3,60,32.0
6,1.0,1.0,0.5,2,60,42.5
22,0.0,1.0,0.0,1,73,73.0
9,1.0,1.0,0.5,7,17,10.285714285714286
6,0.0,1.0,0.0,5,17,10.6
5,0.0,1.0,0.5,3,23,19.333333333333332
14,0.0,1.0,0.0,6,25,14.5
19,0.0,1.0,0.5,5,12,8.4
2,0.0,1.0,0.0,4,14,9.5
24,0.0,1.0,0.5,3,47,26.0
6,1.0,1.0,0.0,3,50,31.0
17,0.0,1.0,0.0,3,45,32.333333333333336
14,0.0,1.0,0.5,5,28,13.4
24,0.0,1.0,0.5,8,18,12.125
24,0.0,1.0,0.5,6,34,17.5
2,1.0,1.0,0.0,6,15,12.166666666666666
7,1.0,1.0,1.0,1,101,101.0
24,0.0,1.0,0.5,3,45,26.0
18,1.0,1.0,1.0,3,28,18.333333333333332
16,0.0,1.0,0.5,5,27,18.8
26,1.0,1.0,1.0,6,22,12.5
21,0.0,1.0,0.5,1,24,24.0
7,1.0,1.0,0.5,3,29,28.333333333333332
18,1.0,1.0,1.0,1,86,86.0
4,0.0,1.0,0.5,1,15,15.0
9,1.0,1.0,1.0,4,44,21.75
19,1.0,1.0,1.0,2,59,48.0
6,1.0,1.0,0.0,5,29,17.4
6,1.0,1.0,1.0,6,39,16.166666666666668
14,0.0,1.0,0.0,4,21,11.75
17,1.0,1.0,0.5,4,32,20.0
3,1.0,1.0,0.5,7,16,10.714285714285714
26,1.0,1.0,0.5,2,37,28.5
1,0.0,1.0,0.0,1,71,71.0
25,1.0,1.0,1.0,2,55,47.0
24,0.0,1.0,0.5,5,18,10.2
23,1.0,1.0,0.5,4,30,15.0
22,1.0,1.0,1.0,2,25,16.5
4,0.0,1.0,0.5,5,20,13.8
18,1.0,1.0,1.0,2,18,13.0
9,1.0,1.0,1.0,5,39,18.4
24,0.0,1.0,0.5,4,36,25.5
24,1.0,1.0,1.0,3,49,26.0
25,1.0,1.0,1.0,3,39,21.666666666666668
17,0.0,1.0,0.5,5,33,19.6
22,1.0,1.0,1.0,7,26,12.428571428571429
18,0.0,1.0,0.0,3,11,10.333333333333334
24,1.0,1.0,0.5,3,25,14.333333333333334
6,0.0,1.0,0.0,3,37,31.0
9,1.0,1.0,1.0,4,12,10.0
6,0.0,1.0,0.5,2,48,37.5
9,1.0,1.0,1.0,3,46,25.666666666666668
9,1.0,1.0,0.5,1,13,13.0
2,1.0,1.0,0.5,6,18,10.666666666666666
21,1.0,1.0,1.0,4,34,16.5
7,1.0,1.0,1.0,4,39,20.0
23,1.0,1.0,0.5,1,36,36.0
23,0.0,1.0,0.0,4,25,17.5
16,1.0,1.0,1.0,8,19,10.75
24,1.0,1.0,0.5,2,58,35.5
19,1.0,1.0,1.0,0,0,0.0
2,0.0,1.0,0.0,1,98,98.0
17,0.0,1.0,0.5,5,22,12.4
14,0.0,1.0,0.5,3,41,24.333333333333332
24,0.0,1.0,0.5,8,22,11.125
24,0.0,1.0,0.5,2,28,28.0
13,1.0,1.0,1.0,2,20,15.5
4,1.0,1.0,1.0,5,21,13.0
13,1.0,1.0,1.0,3,31,22.0
15,1.0,1.0,0.5,5,27,18.0
3,0.0,1.0,0.5,5,32,15.8
15,0.0,1.0,0.5,5,39,16.8
16,1.0,1.0,1.0,3,41,32.333333333333336
11,1.0,1.0,1.0,7,19,13.428571428571429
24,1.0,1.0,1.0,7,24,13.571428571428571
25,1.0,1.0,1.0,3,23,12.666666666666666
7,1.0,1.0,1.0,2,43,34.5
7,1.0,1.0,1.0,1,104,104.0
11,1.0,1.0,1.0,2,8,7.5
8,1.0,1.0,1.0,7,15,8.857142857142858
