participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt
18,1.0,0.0,,2,71,49.0
23,0.0,0.0,,6,15,10.833333333333334
19,1.0,0.0,,0,0,0.0
7,1.0,0.0,,4,38,21.0
3,1.0,0.0,,2,40,38.0
13,1.0,0.0,,4,47,22.25
18,1.0,0.0,,5,24,13.2
9,1.0,0.0,,4,45,27.25
19,0.0,0.0,,4,19,11.5
1,1.0,0.0,,5,33,19.0
24,1.0,0.0,,3,41,26.666666666666668
14,0.0,0.0,,3,41,27.666666666666668
22,0.0,0.0,,5,27,16.0
26,0.0,0.0,,5,25,15.0
16,1.0,0.0,,6,30,15.666666666666666
22,0.0,0.0,,5,21,10.4
3,1.0,0.0,,4,21,18.5
12,1.0,0.0,,3,27,19.0
5,0.0,0.0,,6,14,10.0
9,0.0,0.0,,3,41,26.666666666666668
21,1.0,0.0,,3,26,18.666666666666668
5,0.0,0.0,,3,70,29.666666666666668
7,0.0,0.0,,2,82,50.5
24,0.0,0.0,,6,16,10.333333333333334
12,1.0,0.0,,5,29,17.8
3,1.0,0.0,,1,63,63.0
15,0.0,0.0,,3,15,11.666666666666666
12,1.0,0.0,,6,20,15.166666666666666
26,0.0,0.0,,3,36,24.666666666666668
18,1.0,0.0,,4,31,23.25
15,0.0,0.0,,4,30,14.75
25,0.0,0.0,,3,31,19.666666666666668
14,0.0,0.0,,3,36,32.0
7,1.0,0.0,,3,55,29.0
9,0.0,0.0,,3,40,30.0
18,1.0,0.0,,6,24,12.5
21,1.0,0.0,,3,12,10.0
5,0.0,0.0,,7,20,11.571428571428571
17,1.0,0.0,,5,37,15.4
14,0.0,0.0,,4,29,20.75
19,1.0,0.0,,2,27,17.5
9,0.0,0.0,,3,37,27.666666666666668
6,0.0,0.0,,6,20,12.166666666666666
13,1.0,0.0,,4,47,23.0
12,1.0,0.0,,5,28,15.6
14,0.0,0.0,,4,50,27.0
4,0.0,0.0,,5,12,9.8
4,0.0,0.0,,6,14,11.5
18,1.0,0.0,,2,36,32.5
22,0.0,0.0,,6,32,16.0
18,1.0,0.0,,8,23,10.75
2,0.0,0.0,,4,20,13.25
3,0.0,0.0,,3,12,10.666666666666666
8,1.0,0.0,,2,69,43.5
4,0.0,0.0,,3,10,8.666666666666666
8,1.0,0.0,,8,15,10.625
7,0.0,0.0,,2,51,44.0
7,1.0,0.0,,3,38,33.333333333333336
15,1.0,0.0,,4,24,16.75
15,0.0,0.0,,2,18,15.5
9,1.0,0.0,,3,40,26.666666666666668
2,0.0,0.0,,5,12,8.6
25,0.0,0.0,,3,11,9.666666666666666
4,0.0,0.0,,3,32,22.0
14,0.0,0.0,,3,39,31.0
14,0.0,0.0,,4,30,24.75
22,0.0,0.0,,4,30,17.25
15,0.0,0.0,,6,21,13.833333333333334
24,1.0,0.0,,4,35,18.25
24,1.0,0.0,,4,24,15.5
19,1.0,0.0,,1,22,22.0
17,1.0,0.0,,3,46,32.0
14,0.0,0.0,,5,27,15.2
3,1.0,0.0,,1,10,10.0
16,1.0,0.0,,1,51,51.0
14,0.0,0.0,,2,23,17.0
21,1.0,0.0,,3,34,21.666666666666668
2,0.0,0.0,,2,25,16.0
4,0.0,0.0,,6,14,11.5
9,1.0,0.0,,5,21,14.6
23,0.0,0.0,,2,20,16.5
13,0.0,0.0,,3,32,24.666666666666668
19,1.0,0.0,,2,18,15.0
7,0.0,0.0,,2,63,46.5
14,0.0,0.0,,4,39,19.0
26,0.0,0.0,,4,25,15.75
6,0.0,0.0,,2,39,23.5
22,0.0,0.0,,2,36,35.0
4,0.0,0.0,,3,28,19.333333333333332
4,0.0,0.0,,4,42,16.25
25,0.0,0.0,,2,76,41.5
12,1.0,0.0,,4,43,23.25
17,1.0,0.0,,3,50,34.333333333333336
24,0.0,0.0,,4,30,23.5
22,0.0,0.0,,5,21,10.4
17,1.0,0.0,,3,30,15.333333333333334
6,0.0,0.0,,5,29,13.8
5,0.0,0.0,,6,22,11.5
6,0.0,0.0,,3,29,21.0
3,0.0,0.0,,4,13,11.25
1,1.0,0.0,,2,69,56.0
3,0.0,0.0,,4,15,11.75
1,1.0,0.0,,4,37,24.5
26,0.0,0.0,,5,29,15.8
19,1.0,0.0,,0,0,0.0
2,1.0,0.0,,3,45,28.666666666666668
17,1.0,0.0,,4,38,21.5
23,0.0,0.0,,4,42,17.25
22,0.0,0.0,,4,45,23.25
23,0.0,0.0,,1,106,106.0
7,1.0,0.0,,1,85,85.0
26,0.0,0.0,,3,19,13.0
24,0.0,0.0,,4,26,13.75
17,1.0,0.0,,5,31,18.8
7,1.0,0.0,,1,32,32.0
13,1.0,0.0,,3,32,23.666666666666668
17,1.0,0.0,,6,39,15.833333333333334
14,0.0,0.0,,4,34,18.0
1,1.0,0.0,,4,41,25.5
5,0.0,0.0,,3,48,33.666666666666664
6,0.0,0.0,,5,9,7.8
25,0.0,0.0,,7,18,10.714285714285714
21,0.0,0.0,,4,46,23.25
23,0.0,0.0,,3,42,23.0
7,0.0,0.0,,1,46,46.0
22,0.0,0.0,,0,0,0.0
2,0.0,0.0,,4,22,12.0
2,1.0,0.0,,2,60,47.0
3,0.0,0.0,,4,39,18.5
23,0.0,0.0,,0,0,0.0
7,0.0,0.0,,4,52,22.0
4,0.0,0.0,,3,15,11.333333333333334
16,0.0,0.0,,3,23,16.666666666666668
4,0.0,0.0,,4,36,18.0
9,1.0,0.0,,5,20,14.2
25,0.0,0.0,,3,10,9.0
14,0.0,0.0,,3,31,21.333333333333332
2,1.0,0.0,,0,0,0.0
2,1.0,0.0,,2,34,31.5
25,0.0,0.0,,2,71,48.0
23,0.0,0.0,,1,42,42.0
12,0.0,0.0,,4,25,19.0
19,0.0,0.0,,2,63,43.5
6,0.0,0.0,,6,39,14.5
19,0.0,0.0,,7,18,12.0
19,1.0,0.0,,4,30,20.25
4,0.0,0.0,,6,18,10.833333333333334
9,0.0,0.0,,5,32,18.6
18,1.0,0.0,,7,18,11.142857142857142
13,1.0,0.0,,3,36,22.666666666666668
22,0.0,0.0,,3,67,31.0
6,0.0,0.0,,5,15,9.2
5,0.0,0.0,,5,36,20.8
18,1.0,0.0,,1,104,104.0
12,0.0,0.0,,2,59,55.0
24,1.0,0.0,,4,36,20.75
24,0.0,0.0,,3,63,34.666666666666664
6,0.0,0.0,,1,76,76.0
12,0.0,0.0,,5,25,17.4
13,0.0,0.0,,4,10,9.25
18,1.0,0.0,,4,11,8.75
2,0.0,0.0,,5,15,10.6
14,0.0,0.0,,2,43,40.0
3,1.0,0.0,,1,47,47.0
15,0.0,0.0,,5,31,19.2
19,1.0,0.0,,2,47,41.5
21,1.0,0.0,,7,28,11.714285714285714
25,0.0,0.0,,2,31,22.5
6,0.0,0.0,,6,22,12.0
4,0.0,0.0,,3,32,22.0
3,0.0,0.0,,5,37,16.6
24,1.0,0.0,,5,28,20.8
16,1.0,0.0,,2,51,40.5
24,1.0,0.0,,2,91,52.0
9,0.0,0.0,,2,13,10.0
24,0.0,0.0,,2,38,31.0
21,0.0,0.0,,2,55,48.5
3,0.0,0.0,,5,29,16.2
4,0.0,0.0,,6,19,12.5
24,0.0,0.0,,2,29,26.5
18,1.0,0.0,,3,57,28.666666666666668
24,1.0,0.0,,4,45,19.25
14,0.0,0.0,,1,98,98.0
17,1.0,0.0,,6,23,11.166666666666666
24,1.0,0.0,,6,27,14.0
24,1.0,0.0,,5,35,18.2
18,1.0,0.0,,2,44,41.5
14,0.0,0.0,,3,36,32.666666666666664
13,0.0,0.0,,2,58,43.0
16,0.0,0.0,,5,30,17.0
10,1.0,0.0,,2,47,32.5
3,0.0,0.0,,2,46,38.5
25,0.0,0.0,,3,13,11.666666666666666
5,0.0,0.0,,4,37,22.75
22,0.0,0.0,,4,15,10.25
22,0.0,0.0,,4,51,21.5
21,1.0,0.0,,6,27,11.166666666666666
11,0.0,0.0,,1,74,74.0
13,0.0,0.0,,3,30,16.333333333333332
19,0.0,0.0,,10,12,9.1
7,1.0,0.0,,2,72,55.0
23,0.0,0.0,,3,8,7.333333333333333
25,0.0,0.0,,3,54,31.666666666666668
17,1.0,0.0,,4,32,19.25
18,1.0,0.0,,5,32,17.6
