participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt
15,0.0,1.0,0.5,2,11,10.0
25,0.0,1.0,0.5,2,81,54.5
3,0.0,1.0,0.5,4,18,12.5
4,1.0,1.0,1.0,4,12,9.25
24,1.0,1.0,1.0,6,26,14.0
4,0.0,1.0,0.5,4,10,8.25
17,1.0,1.0,0.5,5,28,14.8
19,1.0,1.0,1.0,5,16,10.4
6,1.0,1.0,0.5,2,42,35.5
26,1.0,1.0,1.0,5,19,12.4
18,1.0,1.0,0.5,4,32,17.0
23,1.0,1.0,1.0,3,12,9.0
16,1.0,1.0,0.5,1,23,23.0
22,1.0,1.0,1.0,2,40,38.5
26,1.0,1.0,1.0,1,45,45.0
5,1.0,1.0,0.5,2,55,34.0
10,1.0,1.0,1.0,6,23,14.333333333333334
13,1.0,1.0,1.0,4,14,10.25
22,1.0,1.0,1.0,8,18,11.125
24,0.0,1.0,0.5,5,36,21.4
16,1.0,1.0,1.0,5,22,12.0
2,0.0,1.0,0.5,2,35,35.0
23,1.0,1.0,1.0,2,27,21.0
9,0.0,1.0,0.5,5,17,11.4
6,1.0,1.0,1.0,8,13,10.125
19,1.0,1.0,1.0,2,45,42.5
23,0.0,1.0,0.5,4,31,18.5
1,1.0,1.0,0.5,1,50,50.0
23,0.0,1.0,0.5,6,20,11.5
17,1.0,1.0,1.0,1,10,10.0
21,1.0,1.0,1.0,5,35,19.4
17,1.0,1.0,1.0,7,22,13.142857142857142
14,1.0,1.0,1.0,6,16,11.5
24,0.0,1.0,0.5,3,45,34.333333333333336
19,1.0,1.0,1.0,2,33,26.0
25,1.0,1.0,1.0,5,35,20.0
25,1.0,1.0,1.0,3,35,25.0
19,1.0,1.0,1.0,2,31,28.5
22,1.0,1.0,0.0,5,39,14.6
21,1.0,1.0,0.5,2,31,22.0
5,1.0,1.0,1.0,3,28,23.0
19,1.0,1.0,1.0,3,11,8.666666666666666
22,1.0,1.0,1.0,2,11,9.5
5,1.0,1.0,0.5,4,25,17.0
19,1.0,1.0,1.0,3,45,31.666666666666668
24,1.0,1.0,1.0,3,36,27.333333333333332
21,1.0,1.0,0.5,3,31,21.0
12,0.0,1.0,0.5,8,10,8.75
4,0.0,1.0,0.5,2,28,18.5
9,1.0,1.0,1.0,5,27,20.2
6,1.0,1.0,0.5,2,31,28.0
22,0.0,1.0,0.0,1,97,97.0
9,1.0,1.0,0.5,6,17,10.5
6,0.0,1.0,0.0,5,20,11.0
5,0.0,1.0,0.5,3,18,15.0
14,0.0,1.0,0.0,5,18,12.4
19,0.0,1.0,0.5,5,12,8.0
24,0.0,1.0,0.5,3,47,32.0
6,1.0,1.0,0.0,3,29,21.0
