participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt
15,0.0,1.0,0.5,11,39,19.818181818181817
25,0.0,1.0,0.5,11,40,20.09090909090909
3,0.0,1.0,0.5,11,40,22.181818181818183
24,1.0,1.0,1.0,9,58,24.88888888888889
4,0.0,1.0,0.5,8,92,23.0
17,1.0,1.0,0.5,15,35,13.733333333333333
19,1.0,1.0,1.0,9,95,30.333333333333332
6,1.0,1.0,0.5,10,50,28.2
26,1.0,1.0,1.0,17,21,11.823529411764707
18,1.0,1.0,0.5,13,33,16.23076923076923
23,1.0,1.0,1.0,9,57,19.333333333333332
16,1.0,1.0,0.5,15,31,16.466666666666665
18,1.0,1.0,0.5,11,29,16.90909090909091
26,1.0,1.0,1.0,2,142,108.0
5,1.0,1.0,0.5,16,55,18.6875
10,1.0,1.0,1.0,12,83,23.166666666666668
13,1.0,1.0,1.0,7,168,37.0
22,1.0,1.0,1.0,10,84,31.3
24,0.0,1.0,0.5,15,36,16.666666666666668
16,1.0,1.0,1.0,15,45,12.133333333333333
23,1.0,1.0,1.0,5,130,45.4
9,0.0,1.0,0.5,18,29,14.166666666666666
6,1.0,1.0,1.0,11,52,20.636363636363637
23,0.0,1.0,0.5,9,32,15.222222222222221
14,1.0,1.0,1.0,5,96,42.8
17,1.0,1.0,1.0,16,30,12.375
21,1.0,1.0,1.0,13,38,18.615384615384617
17,1.0,1.0,1.0,11,130,29.272727272727273
16,1.0,1.0,1.0,14,24,13.285714285714286
14,1.0,1.0,1.0,8,127,40.625
24,0.0,1.0,0.5,13,87,23.307692307692307
19,1.0,1.0,1.0,13,30,11.692307692307692
25,1.0,1.0,1.0,11,67,26.90909090909091
25,1.0,1.0,1.0,8,96,36.375
19,1.0,1.0,1.0,10,85,31.1
22,1.0,1.0,0.0,14,45,18.928571428571427
21,1.0,1.0,0.5,10,32,18.3
5,1.0,1.0,1.0,10,108,27.6
22,1.0,1.0,1.0,16,28,13.375
5,1.0,1.0,0.5,14,99,19.285714285714285
19,1.0,1.0,1.0,5,123,61.6
24,1.0,1.0,1.0,9,62,34.44444444444444
21,1.0,1.0,0.5,10,54,20.2
12,0.0,1.0,0.5,19,98,14.842105263157896
4,0.0,1.0,0.5,9,36,19.88888888888889
9,1.0,1.0,1.0,12,69,24.833333333333332
6,1.0,1.0,0.5,7,67,37.42857142857143
22,0.0,1.0,0.0,9,70,22.88888888888889
9,1.0,1.0,0.5,11,90,22.727272727272727
6,0.0,1.0,0.0,12,37,15.333333333333334
5,0.0,1.0,0.5,6,142,48.833333333333336
14,0.0,1.0,0.0,18,35,12.5
19,0.0,1.0,0.5,12,32,11.166666666666666
2,0.0,1.0,0.0,11,37,16.272727272727273
24,0.0,1.0,0.5,9,48,32.666666666666664
17,0.0,1.0,0.0,12,45,23.583333333333332
24,0.0,1.0,0.5,19,33,15.473684210526315
24,0.0,1.0,0.5,12,77,28.25
2,1.0,1.0,0.0,19,28,15.631578947368421
7,1.0,1.0,1.0,2,168,149.0
23,1.0,1.0,0.0,10,33,13.8
24,0.0,1.0,0.5,14,45,21.071428571428573
18,1.0,1.0,1.0,6,129,48.0
16,0.0,1.0,0.5,18,34,16.77777777777778
26,1.0,1.0,1.0,16,22,10.0
21,0.0,1.0,0.5,6,57,35.0
7,1.0,1.0,0.5,4,127,76.0
18,1.0,1.0,1.0,5,93,62.4
4,0.0,1.0,0.5,8,29,12.875
19,1.0,1.0,1.0,7,93,42.857142857142854
6,1.0,1.0,0.0,15,52,17.866666666666667
6,1.0,1.0,1.0,10,84,31.7
14,0.0,1.0,0.0,8,56,24.375
17,1.0,1.0,0.5,7,90,44.57142857142857
3,1.0,1.0,0.5,17,57,15.705882352941176
26,1.0,1.0,0.5,11,52,23.818181818181817
1,0.0,1.0,0.0,4,104,77.0
25,1.0,1.0,1.0,10,55,30.3
24,0.0,1.0,0.5,11,54,23.545454545454547
23,1.0,1.0,0.5,13,43,13.923076923076923
22,1.0,1.0,1.0,11,93,22.818181818181817
4,0.0,1.0,0.5,15,25,12.333333333333334
18,1.0,1.0,1.0,7,56,30.714285714285715
24,0.0,1.0,0.5,15,36,17.0
24,1.0,1.0,1.0,9,77,33.22222222222222
