participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt
15,0.0,1.0,0.5,7,39,18.857142857142858
25,0.0,1.0,0.5,5,81,39.0
3,0.0,1.0,0.5,8,40,19.375
4,1.0,1.0,1.0,7,35,12.571428571428571
24,1.0,1.0,1.0,8,26,13.5
4,0.0,1.0,0.5,11,12,8.727272727272727
17,1.0,1.0,0.5,9,35,18.22222222222222
19,1.0,1.0,1.0,9,72,20.88888888888889
6,1.0,1.0,0.5,7,43,27.428571428571427
26,1.0,1.0,1.0,9,21,14.777777777777779
18,1.0,1.0,0.5,9,32,16.22222222222222
23,1.0,1.0,1.0,6,15,11.0
16,1.0,1.0,0.5,4,31,26.0
18,1.0,1.0,0.5,9,26,12.0
26,1.0,1.0,1.0,3,45,29.666666666666668
10,1.0,1.0,1.0,9,28,17.0
13,1.0,1.0,1.0,8,32,15.875
22,1.0,1.0,1.0,12,56,16.833333333333332
24,0.0,1.0,0.5,9,36,18.11111111111111
16,1.0,1.0,1.0,11,45,14.0
2,0.0,1.0,0.5,5,50,35.8
23,1.0,1.0,1.0,4,45,23.0
9,0.0,1.0,0.5,10,17,12.2
6,1.0,1.0,1.0,11,31,12.454545454545455
23,0.0,1.0,0.5,5,31,16.4
1,1.0,1.0,0.5,5,69,31.8
23,0.0,1.0,0.5,11,32,14.636363636363637
14,1.0,1.0,1.0,5,42,22.2
17,1.0,1.0,1.0,8,16,9.125
21,1.0,1.0,1.0,7,38,21.857142857142858
17,1.0,1.0,1.0,12,42,17.083333333333332
16,1.0,1.0,1.0,6,45,17.666666666666668
14,1.0,1.0,1.0,9,50,19.22222222222222
24,0.0,1.0,0.5,9,45,20.666666666666668
19,1.0,1.0,1.0,5,30,18.2
25,1.0,1.0,1.0,6,35,26.333333333333332
19,1.0,1.0,1.0,4,85,44.75
22,1.0,1.0,0.0,8,39,17.875
21,1.0,1.0,0.5,5,37,25.2
5,1.0,1.0,1.0,8,32,20.625
19,1.0,1.0,1.0,7,57,18.428571428571427
22,1.0,1.0,1.0,6,34,18.0
5,1.0,1.0,0.5,11,41,15.909090909090908
19,1.0,1.0,1.0,3,105,61.666666666666664
24,1.0,1.0,1.0,6,53,35.666666666666664
21,1.0,1.0,0.5,5,31,19.8
12,0.0,1.0,0.5,16,12,8.6875
4,0.0,1.0,0.5,5,36,21.8
9,1.0,1.0,1.0,8,63,27.25
6,1.0,1.0,0.5,6,43,23.5
22,0.0,1.0,0.0,5,113,41.0
9,1.0,1.0,0.5,11,32,12.909090909090908
6,0.0,1.0,0.0,11,20,11.0
5,0.0,1.0,0.5,4,63,30.25
14,0.0,1.0,0.0,9,23,13.222222222222221
19,0.0,1.0,0.5,7,34,13.0
2,0.0,1.0,0.0,8,30,14.375
24,0.0,1.0,0.5,5,47,35.0
17,0.0,1.0,0.0,6,45,24.333333333333332
13,1.0,1.0,1.0,7,25,12.285714285714286
14,0.0,1.0,0.5,9,39,16.11111111111111
24,0.0,1.0,0.5,14,18,10.928571428571429
24,0.0,1.0,0.5,9,49,24.11111111111111
2,1.0,1.0,0.0,11,24,14.181818181818182
7,1.0,1.0,1.0,3,161,76.66666666666667
23,1.0,1.0,0.0,6,42,26.5
24,0.0,1.0,0.5,8,57,24.375
18,1.0,1.0,1.0,5,74,37.6
16,0.0,1.0,0.5,11,42,19.272727272727273
26,1.0,1.0,1.0,11,22,10.909090909090908
21,0.0,1.0,0.5,5,35,22.8
7,1.0,1.0,0.5,7,88,28.285714285714285
18,1.0,1.0,1.0,4,92,53.0
4,0.0,1.0,0.5,6,34,13.5
9,1.0,1.0,1.0,7,44,21.142857142857142
6,1.0,1.0,0.0,7,29,16.285714285714285
6,1.0,1.0,1.0,10,80,20.1
17,1.0,1.0,0.5,4,89,34.25
3,1.0,1.0,0.5,12,35,15.0
26,1.0,1.0,0.5,8,56,28.0
1,0.0,1.0,0.0,4,104,54.0
25,1.0,1.0,1.0,5,55,39.8
24,0.0,1.0,0.5,12,25,12.166666666666666
22,1.0,1.0,1.0,8,36,18.25
4,0.0,1.0,0.5,9,20,12.333333333333334
18,1.0,1.0,1.0,5,32,21.0
9,1.0,1.0,1.0,10,39,16.2
24,0.0,1.0,0.5,9,36,20.11111111111111
24,1.0,1.0,1.0,6,52,35.666666666666664
25,1.0,1.0,1.0,8,41,19.25
