participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt
25,0.0,0.0,,4,31,15.75
25,0.0,0.0,,6,48,16.833333333333332
22,0.0,0.0,,2,106,78.5
19,0.0,0.0,,10,18,11.1
23,0.0,0.0,,7,35,14.285714285714286
23,0.0,0.0,,7,35,17.714285714285715
5,0.0,0.0,,12,23,13.5
15,1.0,0.0,,9,36,16.77777777777778
15,0.0,0.0,,8,33,15.875
10,1.0,0.0,,13,50,13.615384615384615
17,1.0,0.0,,6,47,25.0
14,0.0,0.0,,4,115,54.5
25,0.0,0.0,,6,63,29.166666666666668
26,0.0,0.0,,6,27,11.333333333333334
9,0.0,0.0,,7,41,29.0
23,0.0,0.0,,8,64,18.125
17,1.0,0.0,,4,78,40.5
1,1.0,0.0,,10,47,15.0
23,0.0,0.0,,2,89,65.5
4,0.0,0.0,,6,79,32.0
1,1.0,0.0,,7,54,29.0
5,0.0,0.0,,8,70,21.75
4,0.0,0.0,,14,19,12.571428571428571
5,0.0,0.0,,11,26,14.363636363636363
9,0.0,0.0,,6,40,27.166666666666668
25,0.0,0.0,,10,22,11.8
14,0.0,0.0,,6,39,32.666666666666664
14,0.0,0.0,,5,70,38.8
4,0.0,0.0,,10,21,11.8
10,1.0,0.0,,3,33,26.333333333333332
4,0.0,0.0,,8,43,22.25
16,1.0,0.0,,4,84,30.0
17,1.0,0.0,,10,52,21.9
24,1.0,0.0,,9,35,19.444444444444443
18,1.0,0.0,,6,33,14.166666666666666
18,1.0,0.0,,12,31,14.25
9,1.0,0.0,,10,44,15.7
18,1.0,0.0,,7,24,13.428571428571429
12,0.0,0.0,,11,66,19.0
13,0.0,0.0,,7,47,19.571428571428573
12,1.0,0.0,,6,56,34.5
14,0.0,0.0,,8,91,23.25
26,0.0,0.0,,12,30,14.333333333333334
25,0.0,0.0,,4,34,16.5
24,1.0,0.0,,8,30,21.25
1,1.0,0.0,,11,49,16.272727272727273
7,1.0,0.0,,13,52,14.23076923076923
6,0.0,0.0,,8,39,18.0
19,1.0,0.0,,7,22,15.0
15,1.0,0.0,,8,49,23.875
13,1.0,0.0,,1,157,157.0
7,1.0,0.0,,3,95,64.33333333333333
19,0.0,0.0,,7,15,11.571428571428571
13,0.0,0.0,,2,98,76.5
19,1.0,0.0,,10,29,15.4
15,1.0,0.0,,11,21,13.454545454545455
19,0.0,0.0,,7,28,15.0
22,0.0,0.0,,10,31,13.9
23,0.0,0.0,,7,25,15.428571428571429
9,0.0,0.0,,5,49,39.2
9,0.0,0.0,,5,43,35.2
26,0.0,0.0,,10,27,14.0
24,1.0,0.0,,9,35,19.444444444444443
7,1.0,0.0,,3,126,74.33333333333333
22,0.0,0.0,,9,38,21.11111111111111
13,0.0,0.0,,9,30,16.444444444444443
3,1.0,0.0,,6,40,28.333333333333332
23,0.0,0.0,,1,109,109.0
26,0.0,0.0,,3,67,62.333333333333336
17,1.0,0.0,,8,26,15.625
3,0.0,0.0,,9,32,18.666666666666668
15,1.0,0.0,,10,36,15.7
4,0.0,0.0,,8,42,12.375
1,1.0,0.0,,11,38,16.0
4,0.0,0.0,,8,19,12.25
24,0.0,0.0,,3,54,36.666666666666664
1,1.0,0.0,,13,27,13.153846153846153
24,1.0,0.0,,7,76,28.285714285714285
25,0.0,0.0,,5,14,11.6
23,0.0,0.0,,4,42,19.25
4,0.0,0.0,,7,21,12.571428571428571
24,0.0,0.0,,7,82,29.857142857142858
6,0.0,0.0,,9,39,16.666666666666668
26,0.0,0.0,,9,21,14.555555555555555
14,0.0,0.0,,5,92,43.8
6,0.0,0.0,,9,28,15.555555555555555
5,0.0,0.0,,12,26,16.916666666666668
25,0.0,0.0,,5,20,13.2
16,1.0,0.0,,10,44,20.1
4,0.0,0.0,,8,42,12.375
25,0.0,0.0,,9,18,10.333333333333334
16,1.0,0.0,,5,27,22.6
6,0.0,0.0,,7,25,11.285714285714286
4,0.0,0.0,,8,42,12.375
23,0.0,0.0,,4,118,41.5
19,1.0,0.0,,4,26,16.0
21,1.0,0.0,,11,28,12.363636363636363
23,0.0,0.0,,8,28,17.625
26,0.0,0.0,,8,36,17.625
13,1.0,0.0,,8,36,21.5
21,0.0,0.0,,3,83,67.66666666666667
11,0.0,0.0,,10,31,13.4
