participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt
9,0.0,0.0,,13,40,19.923076923076923
17,1.0,0.0,,10,57,19.4
19,1.0,0.0,,7,61,41.57142857142857
19,1.0,0.0,,12,26,13.0
17,1.0,0.0,,14,32,14.785714285714286
8,1.0,0.0,,12,65,21.0
14,0.0,0.0,,11,103,26.545454545454547
23,0.0,0.0,,9,155,27.22222222222222
23,0.0,0.0,,11,51,22.272727272727273
16,0.0,0.0,,9,92,23.666666666666668
19,0.0,0.0,,12,28,15.333333333333334
24,0.0,0.0,,10,114,31.2
21,0.0,0.0,,5,113,56.8
3,0.0,0.0,,14,32,13.428571428571429
6,0.0,0.0,,15,39,16.866666666666667
3,0.0,0.0,,17,48,17.0
13,0.0,0.0,,11,47,20.545454545454547
16,0.0,0.0,,10,89,26.5
25,0.0,0.0,,13,38,13.153846153846153
19,0.0,0.0,,13,39,15.0
3,0.0,0.0,,13,42,18.53846153846154
13,0.0,0.0,,10,38,24.7
14,0.0,0.0,,9,103,33.22222222222222
18,1.0,0.0,,10,104,26.9
24,0.0,0.0,,10,63,27.3
7,0.0,0.0,,6,87,51.166666666666664
12,1.0,0.0,,10,56,29.6
4,0.0,0.0,,12,84,22.416666666666668
8,1.0,0.0,,16,18,10.75
9,1.0,0.0,,12,104,25.75
15,1.0,0.0,,13,28,16.23076923076923
26,0.0,0.0,,16,31,16.5
16,1.0,0.0,,13,40,17.615384615384617
22,0.0,0.0,,18,60,16.333333333333332
26,0.0,0.0,,8,92,33.5
7,0.0,0.0,,8,82,40.25
24,1.0,0.0,,13,54,20.692307692307693
21,1.0,0.0,,10,44,20.0
22,0.0,0.0,,12,54,25.25
21,1.0,0.0,,16,29,12.125
5,0.0,0.0,,13,70,19.692307692307693
21,0.0,0.0,,4,113,79.25
24,0.0,0.0,,9,114,35.888888888888886
9,1.0,0.0,,12,99,22.75
22,0.0,0.0,,10,67,31.7
21,1.0,0.0,,12,44,18.25
24,0.0,0.0,,11,63,26.90909090909091
16,0.0,0.0,,11,38,17.181818181818183
14,0.0,0.0,,10,94,31.2
6,0.0,0.0,,12,30,16.5
23,0.0,0.0,,7,42,19.428571428571427
4,0.0,0.0,,11,42,11.0
1,1.0,0.0,,13,47,16.0
13,1.0,0.0,,6,169,41.666666666666664
19,0.0,0.0,,15,39,14.733333333333333
22,0.0,0.0,,10,124,31.6
24,1.0,0.0,,8,92,30.875
22,0.0,0.0,,1,11,11.0
17,1.0,0.0,,12,48,17.5
14,0.0,0.0,,11,50,22.90909090909091
15,1.0,0.0,,16,28,15.9375
21,0.0,0.0,,9,54,31.0
6,0.0,0.0,,7,62,36.714285714285715
24,0.0,0.0,,17,27,12.882352941176471
4,0.0,0.0,,18,19,11.722222222222221
23,0.0,0.0,,12,23,11.916666666666666
7,0.0,0.0,,7,81,40.857142857142854
6,0.0,0.0,,13,40,15.0
18,1.0,0.0,,12,26,12.416666666666666
25,0.0,0.0,,11,45,27.181818181818183
