participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude
18,1.0,0.0,,0.5520000457763672,9.500600099563599,0.003356677519497823,-0.14555597305297852,-0.14555597305297852,-0.1448061168193817,94,3,20.666666666666668,23.194272496111136,197.23776274195305
23,0.0,0.0,,0.037900447845458984,20.01328158378601,-0.0026866123286814077,-0.2535026967525482,-0.2535026967525482,-0.22807472944259644,16,3,13.333333333333334,15.300468112499118,65.92609794841057
19,1.0,0.0,,0.0,42.67606163024902,-0.004446092889796599,-0.589026689529419,-0.589026689529419,-0.58391273021698,0,2,30.5,32.39714066864316,292.4606999194033
7,1.0,0.0,,0.01750040054321289,2.22114896774292,-0.002575229363285044,-0.15451779961585999,-0.15451779961585999,-0.1619749665260315,9,1,20.0,24.230815198430367,77.76998061130719
3,1.0,0.0,,0.5387496948242188,0.10370063781738281,0.005010226505702976,0.27785202860832214,0.27785202860832214,0.27490609884262085,96,1,24.0,26.267038429848853,67.68735053353811
13,1.0,0.0,,0.5267505645751953,0.012749671936035156,0.0026064975442228796,0.19124898314476013,0.19124898314476013,0.23041898012161255,106,2,43.5,13.719749880102352,124.3954886276595
18,1.0,0.0,,0.9268499612808228,0.06970012187957764,0.0004537516457103871,0.3019911631559714,0.3019911631559714,0.23148120939731598,44,2,48.5,32.755910461857574,288.0462428499703
9,1.0,0.0,,0.5300502777099609,1.3354465961456299,0.003103733912507892,0.10161893184368427,0.10161893184368427,0.10926950640148592,115,3,9.0,20.557588773273704,53.200773945894326
19,0.0,0.0,,0.1723499298095703,6.260340690612793,0.0006356239890517733,-0.04423706978559494,-0.04423706978559494,-0.08335614204406738,104,3,9.0,13.82587509977075,60.738032450452785
1,1.0,0.0,,0.5664000511169434,0.05010056495666504,0.003503212020674053,0.21526092290878296,0.21526092290878296,0.22651851177215576,109,0,0.0,0.0,0.0
24,1.0,0.0,,0.05450010299682617,3.6519999504089355,-0.032408841796512225,-1.1674705264914749,-1.1674705264914749,-1.170989050897392,29,1,75.0,11.546973154035705,75.01530578759808
14,0.0,0.0,,0.466400146484375,0.7707493305206299,0.003376290315804898,0.07448123459123139,0.07448123459123139,0.09406897041105466,104,3,16.0,27.983747377360288,218.56118690175376
22,0.0,0.0,,0.4857497215270996,0.7140507698059082,0.004309041639543322,0.220465287566185,0.220465287566185,0.23063120245933533,104,1,13.0,6.9061145631641425,22.678986138074947
