participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude
9,0.0,0.0,,0.38075006008148193,0.8439509868621826,0.00010216191308577207,0.13211684901507295,0.13211684901507295,0.13611659390714534,110,4,18.25,9.251809821313165,47.95065103972799
17,1.0,0.0,,0.14074993133544922,0.33334994316101074,-0.0005681975211965993,-0.0522116981446743,-0.0522116981446743,-0.051071811467409134,53,4,13.75,22.90343463568203,112.85193855671204
19,1.0,0.0,,2.050600051879883,0.15855002403259277,0.003048506557330956,1.0600340366363525,1.0600340366363525,1.0383520126342773,244,7,26.142857142857142,21.840198972388702,174.9269021666088
19,1.0,0.0,,0.16551244258880615,20.59940016269684,-0.007303729362902817,-0.7080858648658133,-0.7080858648658133,-0.6974314413341791,165,3,39.0,24.257143342427756,259.05751867788223
17,1.0,0.0,,0.14619994163513184,12.135913696694882,0.0009539572912721482,-0.08081826191990314,-0.08081826191990314,-0.07540492188508452,302,5,22.6,25.31819449939504,116.56882938502977
8,1.0,0.0,,0.7297499179840088,0.7108872607350349,0.00039724043930274846,0.27579721900261417,0.27579721900261417,0.28217447937830636,258,2,36.5,28.715502188549912,292.7303416939159
14,0.0,0.0,,0.49654986641623733,5.7165515422821045,-2.7874130537128227e-05,0.07750945865940981,0.07750945865940981,0.08314974012290514,354,2,17.5,21.11721157677208,88.26267203098124
23,0.0,0.0,,0.39329981803894043,2.3642497062683105,0.00011583869741212128,0.14207126312896984,0.14207126312896984,0.12790707897853232,314,6,18.833333333333332,26.24194173343808,141.1844243551943
23,0.0,0.0,,0.39170026779174805,15.360339879989624,0.000760564505950328,-0.018113363534212112,-0.018113363534212112,-0.007412941660732031,352,5,20.6,21.810539039749834,110.27015552762464
16,0.0,0.0,,0.10475015640258789,33.36444013657635,-0.0015146828243800768,-0.3622600578126453,-0.3622600578126453,-0.38553746937995437,72,5,33.8,18.433059619708068,94.52277714854286
19,0.0,0.0,,0.7536887022165146,7.565048694610596,-0.0014668250735572711,0.25568051264733493,0.25568051264733493,0.2523150884871613,128,3,13.666666666666666,10.3892611883326,81.8725385462573
24,0.0,0.0,,0.3266124469893317,7.216701507568359,-0.0004360054666959283,0.00965603726918623,0.00965603726918623,0.0027220744968201012,114,8,14.75,13.342743998991782,65.83978676332246
21,0.0,0.0,,0.1669001579284668,259.10514521598816,-0.0062505789422636175,-1.1165323220715135,-1.1165323220715135,-1.0935313730424152,38,2,8.5,19.180951071610824,104.85518445283742
3,0.0,0.0,,0.200700044631958,59.6917085647583,-0.004351323298643818,-0.3422572582709689,-0.3422572582709689,-0.3432064522363893,33,8,14.5,12.842740792935807,72.30569864401791
6,0.0,0.0,,0.3847501277923584,2.9036270562402424,0.0010103156272417255,0.11069916743858188,0.11069916743858188,0.11700247850681898,353,4,13.25,0.7516431186899243,8.486463894838714
3,0.0,0.0,,0.350250244140625,5.862640857696533,0.0005153839666574237,0.07012885024233692,0.07012885024233692,0.07643554521643597,266,4,8.25,23.882977092192917,116.24823763006454
13,0.0,0.0,,0.2781999111175537,2.650251626968384,-0.00040357682281646476,0.04159210643180612,0.04159210643180612,0.03850380950571631,131,4,20.75,20.456595292317786,115.50759532141402
16,0.0,0.0,,0.36024999618530273,103.07235097885132,-0.008943849450120975,-0.7391402444251779,-0.7391402444251779,-0.7266977124807276,194,6,23.5,17.468511328643,110.57352424239696
25,0.0,0.0,,0.13305020332336426,81.40651404857635,-0.0027031528595773575,-0.37049772291958166,-0.37049772291958166,-0.3503512691463568,31,5,33.4,12.473749879449372,142.07454585206773
19,0.0,0.0,,0.306149959564209,32.73443245887757,-4.769526715095535e-05,-0.07985801823666784,-0.07985801823666784,-0.08519725220033061,26,3,30.666666666666668,25.384860713337844,220.5383464665964
3,0.0,0.0,,0.24900007247924805,36.83595108985901,-0.000812971455656784,-0.16909385028005647,-0.16909385028005647,-0.16952461320996862,93,7,20.285714285714285,21.93766677169528,158.0147576738805
13,0.0,0.0,,0.06620427263461437,28.997807145118713,-0.0005491312144538192,-0.38569095388513985,-0.38569095388513985,-0.37672731641241497,8,5,34.6,27.301133487763888,141.19820834915973
14,0.0,0.0,,1.5462498664855957,0.03780007362365723,0.004045580166734091,0.8179140034176055,0.8179140034176055,0.8100024752283869,297,3,47.666666666666664,19.588457995110215,124.54787875671975
18,1.0,0.0,,0.7200498580932617,7.760352849960327,0.0011338411528286022,0.09548202015104748,0.09548202015104748,0.1039782140565955,356,4,35.0,33.981847790227995,234.05267736558136
24,0.0,0.0,,0.8050501346588135,0.04530000686645508,0.0007530384748297131,0.27699967425744404,0.27699967425744404,0.26296773090125614,348,2,20.5,19.282368483765687,140.97673893085275
7,0.0,0.0,,0.28220033645629883,2.057887077331543,0.0005439053267372151,0.07933179289102554,0.07933179289102554,0.07343072444200516,332,2,22.0,27.04821308537248,123.9324173834367
12,1.0,0.0,,0.8886500597000122,0.20354998111724854,-0.0005276909787489894,0.42613367256330176,0.42613367256330176,0.40466449414313493,197,3,12.666666666666666,9.829116047140333,53.855206019572485
4,0.0,0.0,,0.6614499092102051,10.38316559791565,0.0017295836178551865,0.13370281457901,0.13370281457901,0.13529987633228302,305,6,10.666666666666666,21.00230198193776,92.82459202003413
8,1.0,0.0,,0.7194499969482422,3.212700843811035,0.0014802139578873415,0.2325819432735443,0.2325819432735443,0.21141305565834045,295,6,26.5,23.89890792873953,143.90939629885042
9,1.0,0.0,,0.24900007247924805,2.767549753189087,0.00039375896123557277,-0.09396602860351905,-0.09396602860351905,-0.08601815128634512,334,4,9.75,21.912606471985146,119.83437250417688
15,1.0,0.0,,0.4576500654220581,1.9545480012893677,-0.0004472592569997455,0.19216168661411404,0.19216168661411404,0.18729517918936217,120,5,17.8,24.831985287901745,99.34564348002975
