feature_subset,buffer_size,window_size,configuration,trial_id,model_name,model_params,avg_kappa,std_kappa,cv_kappa,ci_95_lower,ci_95_upper,t_statistic,p_value,standard_error,kappa_overall,avg_f1,std_f1,f1_overall,avg_accuracy,std_accuracy,accuracy_overall,balanced_accuracy,roc_avg,source_file
pupil_fixation_microsaccade_features,500ms,3sec,pupil_fixation_microsaccade_features_500ms_buff_3sec_window,605,SVC,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",0.2919670869510626,0.2029392089089401,0.6950756368746293,0.2081978986780446,0.3757362752240806,7.193461739620503,9.812879464554669e-08,0.04058784178178802,0.2825745682888539,0.6368396987344931,0.1072841454195049,0.6363126415241666,0.6459835434755312,0.10146960445447,0.641287284144427,0.641287284144427,0.6510452991726821,/home/exx/caleb/Modeling_Rec_Memory/exp_1/train_results/exp1_feature_scaling_class_weights/pupil_fixation_microsaccade_features/500ms_buff_3sec_window/full_search.csv
pupil_fixation_features,500ms,3sec,pupil_fixation_features_500ms_buff_3sec_window,479,SVC,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.2849358914900806,0.2237574176309117,0.7852903909744952,0.19257336900967278,0.37729841397048836,6.367071413920295,6.957563817300283e-07,0.04475148352618234,0.260596546310832,0.6379484773526533,0.1134849988094384,0.6301321480546394,0.6424679457450402,0.1118787088154558,0.630298273155416,0.6302982731554161,0.6600898540795378,/home/exx/caleb/Modeling_Rec_Memory/exp_1/train_results/exp1_feature_scaling_class_weights/pupil_fixation_features/500ms_buff_3sec_window/full_search.csv
pupil_fixation_blink_saccade_features,500ms,3sec,pupil_fixation_blink_saccade_features_500ms_buff_3sec_window,76,randomforest,"{'criterion': 'gini', 'max_features': None, 'n_estimators': 85}",0.2845585434501609,0.1656873803919364,0.5822611346791482,0.21616615423599445,0.35295093266432737,8.587212338593098,4.403855835555248e-09,0.03313747607838728,0.271585557299843,0.6376959905958335,0.0875315936073159,0.6352750417702182,0.6422792717250805,0.0828436901959682,0.6357927786499215,0.6357927786499216,0.6584928863466651,/home/exx/caleb/Modeling_Rec_Memory/exp_1/train_results/exp1_feature_scaling_class_weights/pupil_fixation_blink_saccade_features/500ms_buff_3sec_window/full_search.csv
pupil_fixation_blink_microsaccade_features,500ms,3sec,pupil_fixation_blink_microsaccade_features_500ms_buff_3sec_window,995,AdaBoost,"{'algorithm': 'SAMME.R', 'learning_rate': 0.42653061224489797, 'n_estimators': 74}",0.2837560463460852,0.2179572093581372,0.7681147667680147,0.19378773216794187,0.3737243605242285,6.509443922082669,4.935752720980346e-07,0.04359144187162744,0.2574568288854003,0.637220916522104,0.1088592483302141,0.6283434943366668,0.6418780231730427,0.1089786046790686,0.6287284144427001,0.6287284144427001,0.6417961943864613,/home/exx/caleb/Modeling_Rec_Memory/exp_1/train_results/exp1_feature_scaling_class_weights/pupil_fixation_blink_microsaccade_features/500ms_buff_3sec_window/full_search.csv
pupil_fixation_blink_features,250ms,2sec,pupil_fixation_blink_features_250ms_buff_2sec_window,588,randomforest,"{'criterion': 'entropy', 'max_features': 'log2', 'n_estimators': 381}",0.2828576245529722,0.2357024482283315,0.8332900645716562,0.1855644357788409,0.3801508133271035,6.0003115512606,1.702349374577139e-06,0.0471404896456663,0.2653131222667898,0.6372787131155094,0.1203331218610631,0.6324639454269084,0.6416509543831681,0.1181799333125581,0.6327160493827161,0.6326363419861871,0.6588247201714694,/home/exx/caleb/Modeling_Rec_Memory/exp_1/train_results/exp1_feature_scaling_class_weights/pupil_fixation_blink_features/250ms_buff_2sec_window/full_search.csv
