participant,study_status,scene_familiarity,recall_status,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
15,0.0,1.0,0.5,0,0.0,0.0,0.0
25,0.0,1.0,0.5,0,0.0,0.0,0.0
3,0.0,1.0,0.5,0,0.0,0.0,0.0
4,1.0,1.0,1.0,0,0.0,0.0,0.0
24,1.0,1.0,1.0,0,0.0,0.0,0.0
4,0.0,1.0,0.5,0,0.0,0.0,0.0
17,1.0,1.0,0.5,0,0.0,0.0,0.0
19,1.0,1.0,1.0,0,0.0,0.0,0.0
6,1.0,1.0,0.5,0,0.0,0.0,0.0
26,1.0,1.0,1.0,1,10.0,3.4301595774440505,21.577477384796133
18,1.0,1.0,0.5,1,8.0,3.1472864971168666,18.11620673981796
23,1.0,1.0,1.0,0,0.0,0.0,0.0
16,1.0,1.0,0.5,0,0.0,0.0,0.0
18,1.0,1.0,0.5,0,0.0,0.0,0.0
22,1.0,1.0,1.0,1,8.0,6.023650006223267,24.709306712345672
26,1.0,1.0,1.0,0,0.0,0.0,0.0
10,1.0,1.0,1.0,1,8.5,2.494404932634019,14.565195559966057
13,1.0,1.0,1.0,0,0.0,0.0,0.0
22,1.0,1.0,1.0,2,9.25,3.0070627943130637,19.433085166733342
16,1.0,1.0,1.0,0,0.0,0.0,0.0
2,0.0,1.0,0.5,0,0.0,0.0,0.0
23,1.0,1.0,1.0,0,0.0,0.0,0.0
6,1.0,1.0,1.0,0,0.0,0.0,0.0
19,1.0,1.0,1.0,0,0.0,0.0,0.0
23,0.0,1.0,0.5,0,0.0,0.0,0.0
23,0.0,1.0,0.5,0,0.0,0.0,0.0
13,0.0,1.0,0.0,0,0.0,0.0,0.0
17,1.0,1.0,1.0,0,0.0,0.0,0.0
21,1.0,1.0,1.0,0,0.0,0.0,0.0
17,1.0,1.0,1.0,0,0.0,0.0,0.0
16,1.0,1.0,1.0,0,0.0,0.0,0.0
14,1.0,1.0,1.0,0,0.0,0.0,0.0
24,0.0,1.0,0.5,0,0.0,0.0,0.0
19,1.0,1.0,1.0,0,0.0,0.0,0.0
25,1.0,1.0,1.0,0,0.0,0.0,0.0
25,1.0,1.0,1.0,0,0.0,0.0,0.0
19,1.0,1.0,1.0,0,0.0,0.0,0.0
22,1.0,1.0,0.0,0,0.0,0.0,0.0
21,1.0,1.0,0.5,0,0.0,0.0,0.0
5,1.0,1.0,1.0,0,0.0,0.0,0.0
19,1.0,1.0,1.0,0,0.0,0.0,0.0
22,1.0,1.0,1.0,0,0.0,0.0,0.0
5,1.0,1.0,0.5,0,0.0,0.0,0.0
19,1.0,1.0,1.0,0,0.0,0.0,0.0
24,1.0,1.0,1.0,0,0.0,0.0,0.0
21,1.0,1.0,0.5,0,0.0,0.0,0.0
12,0.0,1.0,0.5,0,0.0,0.0,0.0
4,0.0,1.0,0.5,0,0.0,0.0,0.0
9,1.0,1.0,1.0,0,0.0,0.0,0.0
6,1.0,1.0,0.5,0,0.0,0.0,0.0
22,0.0,1.0,0.0,1,13.5,6.784699655926632,26.625829471683076
9,1.0,1.0,0.5,0,0.0,0.0,0.0
6,0.0,1.0,0.0,0,0.0,0.0,0.0
5,0.0,1.0,0.5,0,0.0,0.0,0.0
14,0.0,1.0,0.0,0,0.0,0.0,0.0
19,0.0,1.0,0.5,0,0.0,0.0,0.0
2,0.0,1.0,0.0,0,0.0,0.0,0.0
24,0.0,1.0,0.5,0,0.0,0.0,0.0
6,1.0,1.0,0.0,1,8.0,4.416799437435534,13.401131791902003
17,0.0,1.0,0.0,0,0.0,0.0,0.0
14,0.0,1.0,0.5,1,9.0,4.171473656817069,30.714973370930956
24,0.0,1.0,0.5,0,0.0,0.0,0.0
24,0.0,1.0,0.5,0,0.0,0.0,0.0
2,1.0,1.0,0.0,1,12.5,2.655878876840064,21.130880472012628
7,1.0,1.0,1.0,0,0.0,0.0,0.0
24,0.0,1.0,0.5,0,0.0,0.0,0.0
18,1.0,1.0,1.0,0,0.0,0.0,0.0
16,0.0,1.0,0.5,0,0.0,0.0,0.0
26,1.0,1.0,1.0,0,0.0,0.0,0.0
21,0.0,1.0,0.5,0,0.0,0.0,0.0
7,1.0,1.0,0.5,0,0.0,0.0,0.0
18,1.0,1.0,1.0,0,0.0,0.0,0.0
4,0.0,1.0,0.5,0,0.0,0.0,0.0
9,1.0,1.0,1.0,0,0.0,0.0,0.0
19,1.0,1.0,1.0,1,10.0,2.0466607937111365,10.75250711871336
6,1.0,1.0,0.0,0,0.0,0.0,0.0
6,1.0,1.0,1.0,0,0.0,0.0,0.0
14,0.0,1.0,0.0,0,0.0,0.0,0.0
17,1.0,1.0,0.5,0,0.0,0.0,0.0
3,1.0,1.0,0.5,0,0.0,0.0,0.0
26,1.0,1.0,0.5,0,0.0,0.0,0.0
1,0.0,1.0,0.0,0,0.0,0.0,0.0
25,1.0,1.0,1.0,0,0.0,0.0,0.0
24,0.0,1.0,0.5,0,0.0,0.0,0.0
23,1.0,1.0,0.5,0,0.0,0.0,0.0
22,1.0,1.0,1.0,0,0.0,0.0,0.0
4,0.0,1.0,0.5,0,0.0,0.0,0.0
18,1.0,1.0,1.0,0,0.0,0.0,0.0
9,1.0,1.0,1.0,0,0.0,0.0,0.0
24,0.0,1.0,0.5,0,0.0,0.0,0.0
24,1.0,1.0,1.0,0,0.0,0.0,0.0
25,1.0,1.0,1.0,0,0.0,0.0,0.0
17,0.0,1.0,0.5,2,8.0,3.2915797296426703,18.632627259937436
22,1.0,1.0,1.0,0,0.0,0.0,0.0
18,0.0,1.0,0.0,0,0.0,0.0,0.0
24,1.0,1.0,0.5,0,0.0,0.0,0.0
6,0.0,1.0,0.0,0,0.0,0.0,0.0
9,1.0,1.0,1.0,0,0.0,0.0,0.0
6,0.0,1.0,0.5,0,0.0,0.0,0.0
9,1.0,1.0,1.0,0,0.0,0.0,0.0
9,1.0,1.0,0.5,0,0.0,0.0,0.0
2,1.0,1.0,0.5,1,7.0,3.5122812729598696,17.321118183890064
21,1.0,1.0,1.0,0,0.0,0.0,0.0
7,1.0,1.0,1.0,0,0.0,0.0,0.0
23,1.0,1.0,0.5,0,0.0,0.0,0.0
23,0.0,1.0,0.0,0,0.0,0.0,0.0
16,1.0,1.0,1.0,2,8.5,2.55961016045534,16.44879876938374
24,1.0,1.0,0.5,0,0.0,0.0,0.0
19,1.0,1.0,1.0,0,0.0,0.0,0.0
2,0.0,1.0,0.0,0,0.0,0.0,0.0
17,0.0,1.0,0.5,0,0.0,0.0,0.0
14,0.0,1.0,0.5,0,0.0,0.0,0.0
24,0.0,1.0,0.5,0,0.0,0.0,0.0
24,0.0,1.0,0.5,0,0.0,0.0,0.0
13,1.0,1.0,1.0,0,0.0,0.0,0.0
4,1.0,1.0,1.0,0,0.0,0.0,0.0
13,1.0,1.0,1.0,0,0.0,0.0,0.0
15,1.0,1.0,0.5,0,0.0,0.0,0.0
3,0.0,1.0,0.5,0,0.0,0.0,0.0
15,0.0,1.0,0.5,0,0.0,0.0,0.0
16,1.0,1.0,1.0,0,0.0,0.0,0.0
