participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,blink_cnt,peak_blink_duration,avg_blink_duration
25,0.0,0.0,,0.5925817706368184,0.9536133934469788,-0.00019606872680990128,0.19564140949571182,0.19564140949571182,0.18841036033715367,46,2,19,17.5
25,0.0,0.0,,0.24309992790222168,5.11240029335022,-0.008500670643899925,-0.4092281900880709,-0.4092281900880709,-0.37767466888871304,133,1,42,42.0
22,0.0,0.0,,0.567049503326416,2.161450147628784,-0.0010993506058398347,0.2106265425682068,0.2106265425682068,0.2149566113948822,82,0,0,0.0
19,0.0,0.0,,0.44029998779296875,6.016700029373169,-0.0032525518048546124,-0.2407143779947788,-0.2407143779947788,-0.14062374900369082,168,1,16,16.0
23,0.0,0.0,,1.1788499355316162,0.1909501552581787,0.0017715809439635495,0.5938782435429247,0.5938782435429247,0.5806839162653143,124,1,56,56.0
23,0.0,0.0,,0.22925043106079102,0.4384498596191406,0.0006962303500106797,0.059631042182445526,0.059631042182445526,0.06448669731616974,231,0,0,0.0
5,0.0,0.0,,0.33134984970092773,2.9275012016296387,-0.001394781771573247,0.009738286025822163,0.009738286025822163,0.00807987805455923,36,0,0,0.0
15,1.0,0.0,,0.5268497467041016,4.032555103302002,0.0026216341084298943,0.13039055466651917,0.13039055466651917,0.12665653228759766,221,0,0,0.0
15,0.0,0.0,,0.14514994621276855,72.99439859390259,-0.012219696252646933,-0.9896246391006663,-0.9896246391006663,-0.940366904862261,88,1,45,45.0
10,1.0,0.0,,0.13500022888183594,25.081103324890137,-0.010698675586834778,-0.5727947354316711,-0.5727947354316711,-0.5329902172088623,32,0,0,0.0
17,1.0,0.0,,0.4058501720428467,5.398449897766113,-0.0013206944843812416,0.02278595207109733,0.02278595207109733,0.15042670567830405,224,1,9,9.0
14,0.0,0.0,,0.3045501708984375,6.412400007247925,-0.00045556422298937186,0.11411412657564703,0.11411412657564703,0.1700466791788737,229,1,2,2.0
25,0.0,0.0,,0.17584991455078125,202.62881231307983,-0.005786653119152765,-1.3122762441635132,-1.3122762441635132,-1.2576234340667725,11,0,0,0.0
26,0.0,0.0,,0.042799949645996094,146.7364982366562,-0.008477920389223301,-1.0398643278371433,-1.0398643278371433,-1.011933339249854,43,1,19,19.0
9,0.0,0.0,,0.43615031242370605,0.10475015640258789,0.0005977309687928579,0.18577109277248383,0.18577109277248383,0.17149996757507324,117,0,0,0.0
23,0.0,0.0,,0.18030023574829102,20.833194255828857,0.0004556599007276557,-0.13386449217796326,-0.13386449217796326,-0.13963326811790466,135,0,0,0.0
17,1.0,0.0,,0.13540005683898926,24.001643419265747,-0.0022221032570992143,-0.15929295122623444,-0.15929295122623444,-0.14123322069644928,40,0,0,0.0
1,1.0,0.0,,0.3999500274658203,1.1530497074127197,0.0018470072635849127,0.1139863058924675,0.1139863058924675,0.12149670720100403,220,0,0,0.0
23,0.0,0.0,,0.08369970321655273,2.1033496856689453,-0.001365304201486032,-0.03560660779476166,-0.03560660779476166,0.0018967946525663137,55,0,0,0.0
4,0.0,0.0,,0.45349979400634766,4.296664476394653,0.0009258414443855808,0.06307090073823929,0.06307090073823929,0.04593982547521591,236,0,0,0.0
1,1.0,0.0,,0.4627000093460083,0.3184497356414795,0.00048222568087786285,0.13281323286048471,0.13281323286048471,0.1413715104262034,223,1,14,14.0
5,0.0,0.0,,0.09045028686523438,0.8051495552062988,-0.0017553375961758375,-0.2231595665216446,-0.2231595665216446,-0.20906305313110352,87,0,0,0.0
4,0.0,0.0,,0.4118502140045166,2.4865496158599854,-0.0005566379103090495,0.07390319555997849,0.07390319555997849,0.0680733397603035,205,0,0,0.0
5,0.0,0.0,,0.43359994888305664,22.645402193069458,0.002778848903110767,-0.053214148630069784,-0.053214148630069784,-0.054954616507591564,218,1,17,17.0
