participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,blink_cnt,peak_blink_duration,avg_blink_duration
18,1.0,0.0,,0.9359999895095825,0.12840008735656738,0.002088718198572646,0.30471683363629204,0.30471683363629204,0.29253119230270386,52,1,5,5.0
23,0.0,0.0,,0.23180007934570312,2.3438501358032227,0.0019984883962958595,0.027284573763608932,0.027284573763608932,0.01797497272491455,70,0,0,0.0
19,1.0,0.0,,1.073699951171875,0.22510099411010742,0.009177409063883833,0.44999000430107117,0.44999000430107117,0.3804624080657959,106,0,0,0.0
7,1.0,0.0,,0.05364990234375,7.374744892120361,-0.0014857248428240225,-0.09656909853219986,-0.09656909853219986,-0.04968106746673584,35,0,0,0.0
3,1.0,0.0,,0.11955022811889648,1.6475000381469727,-0.005821645528720761,-0.103251613676548,-0.103251613676548,-0.10698747634887695,68,0,0,0.0
13,1.0,0.0,,0.04719996452331543,16.930267356336117,0.00037555550036871794,-0.17374205691182715,-0.17374205691182715,-0.1418892518317294,109,1,31,31.0
18,1.0,0.0,,0.10914993286132812,1.99299955368042,-0.003974689673637129,-0.12204008549451828,-0.12204008549451828,-0.1347561478614807,46,0,0,0.0
9,1.0,0.0,,0.24214982986450195,2.0947036743164062,0.00339206502103486,0.08337542414665222,0.08337542414665222,0.09709984064102173,111,0,0,0.0
19,0.0,0.0,,0.5268001556396484,0.0,0.003112544478058707,0.23801559209823608,0.23801559209823608,0.21093755960464478,116,0,0,0.0
1,1.0,0.0,,0.3771998882293701,2.2043979167938232,0.003466704606734772,-0.03451321471450675,-0.03451321471450675,-0.015374559164047286,112,1,14,14.0
24,1.0,0.0,,0.2172999382019043,0.07130002975463867,0.0006716795260799024,0.08427051091805482,0.08427051091805482,0.05962804045856096,99,1,71,71.0
14,0.0,0.0,,0.2572002410888672,1.1483488082885742,0.0015992791683871192,0.04128766804933548,0.04128766804933548,0.054743826389312744,109,0,0,0.0
22,0.0,0.0,,0.2921004295349121,0.19389963150024414,0.0020840357186334125,0.10372879356145859,0.10372879356145859,0.10037517547607422,104,0,0,0.0
26,0.0,0.0,,0.24454975128173828,0.04455089569091797,0.0014145483808645082,0.08455751836299896,0.08455751836299896,0.07318735122680664,111,0,0,0.0
16,1.0,0.0,,0.14339110430549162,2.654200792312622,-0.00015824371449976062,-0.23269902895658445,-0.23269902895658445,-0.16164417133903974,49,1,16,16.0
22,0.0,0.0,,0.5184495449066162,0.18214988708496094,0.004527151869567049,0.18958503007888794,0.18958503007888794,0.19326242804527283,90,0,0,0.0
3,1.0,0.0,,0.0,21.574405193328857,-0.007581335799858308,-0.669416069984436,-0.669416069984436,-0.6339377164840698,0,0,0,0.0
12,1.0,0.0,,0.05820012092590332,22.165892839431763,-0.0024249935252332513,-0.19241447746753693,-0.19241447746753693,-0.1593811810016632,7,0,0,0.0
5,0.0,0.0,,0.31644999980926514,5.038148999214172,0.0028692758955676323,0.006586758499471554,0.006586758499471554,0.017680931248162945,79,1,17,17.0
9,0.0,0.0,,0.18935000896453857,13.692641936937969,0.0009460982521429209,-0.13635471335843077,-0.13635471335843077,-0.125059529542923,116,1,23,23.0
21,1.0,0.0,,1.2895498275756836,0.1110999584197998,0.006527544788301771,0.4347328543663025,0.4347328543663025,0.46970611810684204,115,0,0,0.0
5,0.0,0.0,,0.3187999725341797,0.7745494842529297,0.0034147364880748573,0.177366241812706,0.177366241812706,0.18173128366470337,114,0,0,0.0
7,0.0,0.0,,0.33694982528686523,0.15505218505859375,0.0022371261822889533,0.15608783066272736,0.15608783066272736,0.1591935157775879,115,0,0,0.0
24,0.0,0.0,,0.4597001075744629,0.009900093078613281,0.004046611825619742,0.27016371488571167,0.27016371488571167,0.2686437964439392,96,0,0,0.0
12,1.0,0.0,,0.2857499122619629,7.6785272598266605,-0.0025804072114253623,0.016112334707863316,0.016112334707863316,-0.04134832419253681,35,1,39,39.0
3,1.0,0.0,,0.16479992866516113,4.819397211074828,-0.0008428364259242816,-0.030611877767448743,-0.030611877767448743,0.007056325674057007,4,1,8,8.0
15,0.0,0.0,,0.17235016822814941,3.46394419670105,0.0014133562057914264,0.011870655231177807,0.011870655231177807,0.007225066423416138,77,0,0,0.0
12,1.0,0.0,,0.2714998722076416,1.3566999435424805,0.0005126020727529322,-0.02248844876885414,-0.02248844876885414,-0.058462440967559814,76,0,0,0.0
26,0.0,0.0,,0.3800499439239502,0.020050525665283203,0.0022136042732343922,0.19631608938559508,0.19631608938559508,0.15566989429304579,87,1,28,28.0
18,1.0,0.0,,0.5625,0.18729948997497559,0.0029511451596138587,0.190098375082016,0.190098375082016,0.148706316947937,109,0,0,0.0
15,0.0,0.0,,0.27997086509581504,0.02390003204345703,0.0009722364233049238,0.14722714719609317,0.14722714719609317,0.13305687730968824,79,1,30,30.0
25,0.0,0.0,,0.2620999813079834,1.2788994312286377,-7.037345486518744e-05,0.025665806606411934,0.025665806606411934,0.026643753051757812,30,0,0,0.0
14,0.0,0.0,,0.5137498378753662,0.22420048713684082,0.0016679529322867202,0.17085638005509335,0.17085638005509335,0.19233724339441816,62,1,21,21.0
7,1.0,0.0,,1.0682001113891602,0.0,0.009210600610935487,0.5806937217712402,0.5806937217712402,0.5454937815666199,103,0,0,0.0
9,0.0,0.0,,0.42929983139038086,0.11007818222045884,0.00017289729550601222,0.2155358159643972,0.2155358159643972,0.20694467010705364,68,1,22,22.0
18,1.0,0.0,,0.22624969482421875,1.3130078315734863,0.0010303210964910895,0.030952828004956245,0.030952828004956245,0.04921233654022217,103,0,0,0.0
21,1.0,0.0,,0.06790018081665039,5.520447254180908,-0.0010788059293215324,-0.14600121974945068,-0.14600121974945068,-0.11504369974136353,6,0,0,0.0
5,0.0,0.0,,0.28675007820129395,4.524649977684021,-0.026306607353085664,-0.6245437987849245,-0.6245437987849245,-0.6828410242930119,26,1,65,65.0
17,1.0,0.0,,0.23634982109069824,5.905951448108839,0.0035273731161273997,0.061703423149565347,0.061703423149565347,0.07095626968404523,70,1,22,22.0
14,0.0,0.0,,0.02299976348876953,11.77240514755249,-0.004320694214058356,-0.22902067005634308,-0.22902067005634308,-0.22667503356933594,5,0,0,0.0
19,1.0,0.0,,0.16411244869232178,0.17770004272460938,0.0009526376320215338,0.025751700768103965,0.025751700768103965,0.03846591309859204,101,1,12,12.0
9,0.0,0.0,,0.20770001411437988,0.7205500602722168,-0.0003934744909345638,0.02255599945783615,0.02255599945783615,0.006012558937072754,6,0,0,0.0
6,0.0,0.0,,0.38555002212524414,0.020450115203857422,-4.953666468576582e-05,0.1647123545408249,0.1647123545408249,0.15786868333816528,30,0,0,0.0
13,1.0,0.0,,0.42600011825561523,6.163399934768677,-0.029520076352240226,-0.5837868869814098,-0.5837868869814098,-0.7378357621756467,55,1,10,10.0
12,1.0,0.0,,0.5871002674102783,0.3784499168395996,0.0008832888314588517,0.22321334659543812,0.22321334659543812,0.19413622362273075,115,1,27,27.0
14,0.0,0.0,,0.5733001232147217,0.34364962577819824,0.003340093899320568,0.17383463158566728,0.17383463158566728,0.1581666873347375,106,1,30,30.0
4,0.0,0.0,,0.2285001277923584,1.3633983135223389,0.0010709589946743224,0.042453523725271225,0.042453523725271225,0.03306880593299866,104,0,0,0.0
4,0.0,0.0,,0.3891000747680664,1.1253483295440674,0.0003180598009995558,0.07832448184490204,0.07832448184490204,0.08683761954307556,35,0,0,0.0
18,1.0,0.0,,0.5537500381469727,0.0894007682800293,0.001949898233253486,0.18127082288265228,0.18127082288265228,0.16486239433288574,115,0,0,0.0
22,0.0,0.0,,0.0,28.697749853134155,-0.004321008137749519,-0.5593316555023193,-0.5593316555023193,-0.5203249454498291,0,0,0,0.0
18,1.0,0.0,,0.6919999122619629,3.7481513023376465,-0.0022648767572437147,0.03829646416199513,0.03829646416199513,0.02609712878863013,45,1,17,17.0
2,0.0,0.0,,0.019350051879882812,6.815749406814575,-0.0029386630042782026,-0.48687427268069017,-0.48687427268069017,-0.4695332561220442,1,1,48,48.0
3,0.0,0.0,,0.17534995079040527,0.17425036430358887,-0.0007074584027781373,0.06942022050547804,0.06942022050547804,0.0627861837546031,12,1,14,14.0
8,1.0,0.0,,0.36869990825653076,10.2387121245265,-0.0033754489880573994,-0.031000846980983376,-0.031000846980983376,-0.08906095195561647,42,1,15,15.0
4,0.0,0.0,,0.24685001373291016,1.5657253723878126,-0.00029556887540940313,0.039662453863355845,0.039662453863355845,0.037390420070061325,69,1,12,12.0
8,1.0,0.0,,0.6080503463745117,0.05149984359741211,0.0030122389995838657,0.29962649941444397,0.29962649941444397,0.29138126969337463,80,0,0,0.0
7,0.0,0.0,,0.17589998245239258,0.0,0.0008520752843158143,0.07222560048103333,0.07222560048103333,0.06456869840621948,70,0,0,0.0
7,1.0,0.0,,0.11280012130737305,19.34399652481079,0.004984585927193703,-0.3157179057598114,-0.3157179057598114,-0.280462384223938,116,0,0,0.0
15,1.0,0.0,,0.3474998474121094,0.1518380455672741,0.0025576277264308324,0.14437213718381703,0.14437213718381703,0.1484873965382576,84,1,63,63.0
15,0.0,0.0,,0.005700111389160156,14.704299688339233,-0.009896878240120246,-0.6351731419563293,-0.6351731419563293,-0.6151686906814575,10,0,0,0.0
9,1.0,0.0,,0.0,10.55899453163147,0.0004884519658703729,-0.1809016221608871,-0.1809016221608871,-0.15330595719186868,0,1,18,18.0
2,0.0,0.0,,0.0,5.562751650810242,-0.0009821355919001243,-0.23249322226923755,-0.23249322226923755,-0.23146245846537505,0,1,48,48.0
25,0.0,0.0,,0.0022499561309814453,33.27234947681427,-0.01035361718757383,-0.5866281797743251,-0.5866281797743251,-0.5462300534311093,23,1,18,18.0
4,0.0,0.0,,0.33245015144348145,6.2469000816345215,-0.0037576658918784377,-0.0909166932106018,-0.0909166932106018,-0.06002497673034668,12,0,0,0.0
14,0.0,0.0,,0.3832998275756836,0.0,0.0017741712065891667,0.21232762932777405,0.21232762932777405,0.19806241989135742,62,0,0,0.0
14,0.0,0.0,,0.28694987297058105,1.8772995471954346,0.002480906179938859,0.059736098998632185,0.059736098998632185,0.07098527690943546,90,1,17,17.0
22,0.0,0.0,,0.09094977378845215,6.79065203666687,-0.0046971616755856855,-0.2019791603088379,-0.2019791603088379,-0.1988125443458557,4,0,0,0.0
15,0.0,0.0,,0.1614999771118164,9.936028139994427,0.001520902097951389,-0.10300689426242796,-0.10300689426242796,-0.09375409606625051,88,1,16,16.0
24,1.0,0.0,,0.1392500400543213,1.5638997554779053,-0.001450472603786922,-0.0034260544925928116,-0.0034260544925928116,0.008362531661987305,12,0,0,0.0
24,1.0,0.0,,0.003300189971923828,6.1412951946258545,-0.0012542928652717704,-0.1428024023771286,-0.1428024023771286,-0.13589978218078613,4,0,0,0.0
19,1.0,0.0,,0.8889002799987793,0.6891489028930664,0.00923702505631028,0.34818047285079956,0.34818047285079956,0.3386375904083252,116,0,0,0.0
17,1.0,0.0,,0.6486499309539795,0.4770514965057373,0.004390261235381682,0.18484394252300262,0.18484394252300262,0.1617749035358429,116,0,0,0.0
14,0.0,0.0,,0.5435500144958496,0.3574502468109131,-0.002526835241693003,0.23710955106295073,0.23710955106295073,0.19424840514407016,19,1,21,21.0
3,1.0,0.0,,0.11955022811889648,1.6475000381469727,-0.005821645528720761,-0.103251613676548,-0.103251613676548,-0.10698747634887695,68,0,0,0.0
16,1.0,0.0,,0.16350007057189941,21.93994304112026,0.0005175646585252589,-0.1900139853485629,-0.1900139853485629,-0.18871070870331352,9,1,27,27.0
14,0.0,0.0,,0.14419984817504883,4.604996204376221,-0.0013407540593965268,-0.02032346837222576,-0.02032346837222576,-0.01344364881515503,25,0,0,0.0
21,1.0,0.0,,0.0,7.747753143310547,-0.002637244487102115,-0.291293740272522,-0.291293740272522,-0.26556265354156494,0,0,0,0.0
2,0.0,0.0,,0.49510014057159424,2.574497938156128,0.005479187590163118,0.11255457054855478,0.11255457054855478,0.07823757827281952,110,1,9,9.0
4,0.0,0.0,,0.40794992446899414,0.245100736618042,0.0030180239095397607,0.22026188671588898,0.22026188671588898,0.2431374192237854,99,0,0,0.0
9,1.0,0.0,,0.15125012397766113,6.5490498542785645,-0.055421153302369845,-1.5973169620220475,-1.5973169620220475,-1.6529686152935028,59,1,55,55.0
23,0.0,0.0,,0.32399988174438477,0.9265501499176025,-6.323418703499254e-05,0.07656279951334,0.07656279951334,0.07191240787506104,116,0,0,0.0
13,0.0,0.0,,0.2915501594543457,0.8991003036499023,0.0013020979466497106,0.04383585602045059,0.04383585602045059,0.045387446880340576,72,0,0,0.0
19,1.0,0.0,,0.7902998924255371,0.17154979705810547,0.0060984575881892844,0.3671105206012726,0.3671105206012726,0.37081241607666016,114,0,0,0.0
7,0.0,0.0,,0.2767000198364258,0.016900062561035156,0.0018324723828460412,0.13749870657920837,0.13749870657920837,0.13243752717971802,98,0,0,0.0
14,0.0,0.0,,0.10994982719421387,1.5622501373291016,-0.0030876753879712842,-0.07905070394532293,-0.07905070394532293,-0.09487096527043515,10,1,17,17.0
26,0.0,0.0,,0.21990013122558594,0.7143466472625732,0.0004810734389274143,0.0644116997718811,0.0644116997718811,0.07391884922981262,95,0,0,0.0
6,0.0,0.0,,0.08174991607666016,0.6740503311157227,-0.005887339974755972,-0.3385644257068634,-0.3385644257068634,-0.33375656604766846,1,0,0,0.0
22,0.0,0.0,,0.0489501953125,0.017600536346435547,-5.744055911040438e-05,0.016083313152194023,0.016083313152194023,0.01553112268447876,13,0,0,0.0
4,0.0,0.0,,0.42980003356933594,0.024399995803833008,-0.0001429929514469645,0.2072201818227768,0.2072201818227768,0.20583757758140564,73,0,0,0.0
4,0.0,0.0,,0.122650146484375,2.17799973487854,-0.005965864703553378,-0.30520081520080566,-0.30520081520080566,-0.30818748474121094,9,0,0,0.0
25,0.0,0.0,,0.24490010738372803,0.3244867843130361,-0.00012175513917377346,0.04387820989657672,0.04387820989657672,0.05116047463488815,54,1,38,38.0
12,1.0,0.0,,0.23180007934570312,4.805856704711914,0.0023958804422348897,0.008826814591884613,0.008826814591884613,0.003537476062774658,105,0,0,0.0
17,1.0,0.0,,0.2761499881744385,5.829350233078003,0.002169188227750187,-0.047740593552589417,-0.047740593552589417,-0.03961247205734253,109,0,0,0.0
