participant,study_status,scene_familiarity,recall_status,blink_cnt,peak_blink_duration,avg_blink_duration
19,1.0,0.0,,1,12,12.0
25,0.0,0.0,,2,24,20.5
14,0.0,0.0,,2,24,22.5
21,0.0,0.0,,1,21,21.0
7,1.0,0.0,,1,26,26.0
4,0.0,0.0,,0,0,0.0
19,1.0,0.0,,1,16,16.0
14,0.0,0.0,,0,0,0.0
2,0.0,0.0,,2,21,12.5
14,0.0,0.0,,2,9,7.5
3,0.0,0.0,,1,11,11.0
4,0.0,0.0,,1,85,85.0
21,1.0,0.0,,0,0,0.0
5,0.0,0.0,,0,0,0.0
8,1.0,0.0,,0,0,0.0
24,1.0,0.0,,1,27,27.0
21,1.0,0.0,,1,152,152.0
24,1.0,0.0,,0,0,0.0
6,0.0,0.0,,0,0,0.0
26,0.0,0.0,,0,0,0.0
7,0.0,0.0,,0,0,0.0
4,0.0,0.0,,0,0,0.0
23,0.0,0.0,,0,0,0.0
18,1.0,0.0,,0,0,0.0
6,0.0,0.0,,2,15,11.0
4,0.0,0.0,,0,0,0.0
12,1.0,0.0,,1,38,38.0
2,1.0,0.0,,1,23,23.0
13,1.0,0.0,,1,120,120.0
17,1.0,0.0,,0,0,0.0
14,0.0,0.0,,1,102,102.0
18,1.0,0.0,,0,0,0.0
14,0.0,0.0,,0,0,0.0
7,0.0,0.0,,0,0,0.0
23,0.0,0.0,,0,0,0.0
3,1.0,0.0,,0,0,0.0
18,1.0,0.0,,0,0,0.0
9,0.0,0.0,,1,64,64.0
14,0.0,0.0,,1,41,41.0
24,1.0,0.0,,0,0,0.0
17,1.0,0.0,,1,22,22.0
11,0.0,0.0,,0,0,0.0
13,1.0,0.0,,1,16,16.0
7,0.0,0.0,,0,0,0.0
3,1.0,0.0,,2,7,4.0
17,1.0,0.0,,0,0,0.0
24,0.0,0.0,,1,7,7.0
24,1.0,0.0,,1,74,74.0
24,0.0,0.0,,1,30,30.0
6,0.0,0.0,,0,0,0.0
4,0.0,0.0,,0,0,0.0
16,0.0,0.0,,1,36,36.0
5,0.0,0.0,,1,25,25.0
6,0.0,0.0,,1,99,99.0
24,0.0,0.0,,1,7,7.0
19,0.0,0.0,,1,18,18.0
21,0.0,0.0,,0,0,0.0
25,0.0,0.0,,1,19,19.0
14,0.0,0.0,,0,0,0.0
26,0.0,0.0,,0,0,0.0
3,1.0,0.0,,0,0,0.0
3,1.0,0.0,,1,135,135.0
21,0.0,0.0,,1,21,21.0
24,1.0,0.0,,1,27,27.0
22,0.0,0.0,,1,39,39.0
6,0.0,0.0,,1,20,20.0
22,0.0,0.0,,0,0,0.0
6,0.0,0.0,,1,72,72.0
9,1.0,0.0,,1,11,11.0
13,0.0,0.0,,1,104,104.0
