participant,study_status,scene_familiarity,recall_status,blink_cnt,peak_blink_duration,avg_blink_duration
15,0.0,1.0,0.5,0,0,0.0
25,0.0,1.0,0.5,0,0,0.0
3,0.0,1.0,0.5,1,16,16.0
4,1.0,1.0,1.0,0,0,0.0
24,1.0,1.0,1.0,0,0,0.0
4,0.0,1.0,0.5,0,0,0.0
17,1.0,1.0,0.5,0,0,0.0
19,1.0,1.0,1.0,0,0,0.0
6,1.0,1.0,0.5,0,0,0.0
26,1.0,1.0,1.0,0,0,0.0
18,1.0,1.0,0.5,0,0,0.0
23,1.0,1.0,1.0,0,0,0.0
16,1.0,1.0,0.5,0,0,0.0
18,1.0,1.0,0.5,1,7,7.0
22,1.0,1.0,1.0,0,0,0.0
26,1.0,1.0,1.0,0,0,0.0
5,1.0,1.0,0.5,1,16,16.0
10,1.0,1.0,1.0,1,18,18.0
22,1.0,1.0,1.0,0,0,0.0
24,0.0,1.0,0.5,0,0,0.0
16,1.0,1.0,1.0,0,0,0.0
2,0.0,1.0,0.5,0,0,0.0
23,1.0,1.0,1.0,1,51,51.0
9,0.0,1.0,0.5,0,0,0.0
6,1.0,1.0,1.0,0,0,0.0
19,1.0,1.0,1.0,0,0,0.0
23,0.0,1.0,0.5,0,0,0.0
1,1.0,1.0,0.5,1,19,19.0
23,0.0,1.0,0.5,0,0,0.0
13,0.0,1.0,0.0,0,0,0.0
17,1.0,1.0,1.0,0,0,0.0
21,1.0,1.0,1.0,0,0,0.0
17,1.0,1.0,1.0,0,0,0.0
16,1.0,1.0,1.0,0,0,0.0
14,1.0,1.0,1.0,1,26,26.0
24,0.0,1.0,0.5,0,0,0.0
19,1.0,1.0,1.0,1,18,18.0
25,1.0,1.0,1.0,0,0,0.0
25,1.0,1.0,1.0,1,13,13.0
19,1.0,1.0,1.0,0,0,0.0
22,1.0,1.0,0.0,0,0,0.0
21,1.0,1.0,0.5,0,0,0.0
5,1.0,1.0,1.0,1,20,20.0
19,1.0,1.0,1.0,0,0,0.0
22,1.0,1.0,1.0,0,0,0.0
5,1.0,1.0,0.5,0,0,0.0
19,1.0,1.0,1.0,0,0,0.0
24,1.0,1.0,1.0,0,0,0.0
21,1.0,1.0,0.5,1,26,26.0
12,0.0,1.0,0.5,0,0,0.0
4,0.0,1.0,0.5,0,0,0.0
9,1.0,1.0,1.0,0,0,0.0
6,1.0,1.0,0.5,0,0,0.0
22,0.0,1.0,0.0,0,0,0.0
9,1.0,1.0,0.5,1,20,20.0
6,0.0,1.0,0.0,0,0,0.0
5,0.0,1.0,0.5,0,0,0.0
14,0.0,1.0,0.0,1,80,80.0
19,0.0,1.0,0.5,1,15,15.0
2,0.0,1.0,0.0,1,32,32.0
24,0.0,1.0,0.5,0,0,0.0
17,0.0,1.0,0.0,0,0,0.0
14,0.0,1.0,0.5,0,0,0.0
24,0.0,1.0,0.5,0,0,0.0
24,0.0,1.0,0.5,0,0,0.0
2,1.0,1.0,0.0,1,28,28.0
7,1.0,1.0,1.0,0,0,0.0
23,1.0,1.0,0.0,0,0,0.0
24,0.0,1.0,0.5,0,0,0.0
18,1.0,1.0,1.0,0,0,0.0
16,0.0,1.0,0.5,0,0,0.0
26,1.0,1.0,1.0,0,0,0.0
21,0.0,1.0,0.5,0,0,0.0
7,1.0,1.0,0.5,0,0,0.0
18,1.0,1.0,1.0,0,0,0.0
4,0.0,1.0,0.5,0,0,0.0
9,1.0,1.0,1.0,0,0,0.0
19,1.0,1.0,1.0,0,0,0.0
6,1.0,1.0,0.0,0,0,0.0
6,1.0,1.0,1.0,0,0,0.0
17,1.0,1.0,0.5,0,0,0.0
3,1.0,1.0,0.5,1,16,16.0
26,1.0,1.0,0.5,0,0,0.0
1,0.0,1.0,0.0,1,17,17.0
25,1.0,1.0,1.0,0,0,0.0
24,0.0,1.0,0.5,0,0,0.0
23,1.0,1.0,0.5,0,0,0.0
22,1.0,1.0,1.0,0,0,0.0
4,0.0,1.0,0.5,1,14,14.0
18,1.0,1.0,1.0,0,0,0.0
9,1.0,1.0,1.0,1,18,18.0
24,0.0,1.0,0.5,0,0,0.0
24,1.0,1.0,1.0,0,0,0.0
25,1.0,1.0,1.0,0,0,0.0
17,0.0,1.0,0.5,0,0,0.0
22,1.0,1.0,1.0,1,29,29.0
18,0.0,1.0,0.0,0,0,0.0
24,1.0,1.0,0.5,0,0,0.0
6,0.0,1.0,0.0,0,0,0.0
9,1.0,1.0,1.0,0,0,0.0
6,0.0,1.0,0.5,1,7,7.0
9,1.0,1.0,0.5,1,18,18.0
2,1.0,1.0,0.5,0,0,0.0
21,1.0,1.0,1.0,0,0,0.0
23,0.0,1.0,0.5,0,0,0.0
7,1.0,1.0,1.0,0,0,0.0
23,1.0,1.0,0.5,0,0,0.0
16,1.0,1.0,1.0,0,0,0.0
24,1.0,1.0,0.5,0,0,0.0
19,1.0,1.0,1.0,0,0,0.0
2,0.0,1.0,0.0,0,0,0.0
17,0.0,1.0,0.5,0,0,0.0
23,1.0,1.0,1.0,0,0,0.0
14,0.0,1.0,0.5,1,57,57.0
24,0.0,1.0,0.5,0,0,0.0
24,0.0,1.0,0.5,1,9,9.0
13,1.0,1.0,1.0,1,32,32.0
4,1.0,1.0,1.0,0,0,0.0
13,1.0,1.0,1.0,0,0,0.0
15,0.0,1.0,0.5,0,0,0.0
6,1.0,1.0,1.0,0,0,0.0
16,1.0,1.0,1.0,0,0,0.0
11,1.0,1.0,1.0,0,0,0.0
24,1.0,1.0,1.0,0,0,0.0
25,1.0,1.0,1.0,1,23,23.0
7,1.0,1.0,1.0,0,0,0.0
7,1.0,1.0,1.0,0,0,0.0
11,1.0,1.0,1.0,0,0,0.0
8,1.0,1.0,1.0,0,0,0.0
21,1.0,1.0,0.0,1,9,9.0
26,1.0,1.0,1.0,0,0,0.0
4,0.0,1.0,0.5,0,0,0.0
19,1.0,1.0,1.0,0,0,0.0
24,1.0,1.0,0.5,0,0,0.0
4,0.0,1.0,0.5,0,0,0.0
3,0.0,1.0,0.5,0,0,0.0
23,1.0,1.0,1.0,0,0,0.0
23,1.0,1.0,1.0,0,0,0.0
5,1.0,1.0,0.5,0,0,0.0
24,0.0,1.0,0.5,0,0,0.0
5,1.0,1.0,1.0,1,113,113.0
7,1.0,1.0,1.0,0,0,0.0
17,1.0,1.0,1.0,0,0,0.0
15,1.0,1.0,0.5,0,0,0.0
5,1.0,1.0,0.5,0,0,0.0
4,1.0,1.0,0.5,0,0,0.0
25,1.0,1.0,1.0,0,0,0.0
3,0.0,1.0,0.5,1,13,13.0
1,1.0,1.0,1.0,0,0,0.0
3,0.0,1.0,0.5,0,0,0.0
8,1.0,1.0,1.0,0,0,0.0
5,1.0,1.0,0.5,0,0,0.0
7,0.0,1.0,0.5,0,0,0.0
18,0.0,1.0,0.5,0,0,0.0
6,0.0,1.0,0.0,0,0,0.0
24,0.0,1.0,0.5,0,0,0.0
9,0.0,1.0,0.0,1,15,15.0
13,0.0,1.0,0.5,0,0,0.0
14,1.0,1.0,1.0,0,0,0.0
1,1.0,1.0,1.0,0,0,0.0
7,1.0,1.0,1.0,0,0,0.0
8,1.0,1.0,0.5,0,0,0.0
24,0.0,1.0,0.5,0,0,0.0
4,0.0,1.0,0.5,1,7,7.0
9,0.0,1.0,0.5,0,0,0.0
18,1.0,1.0,1.0,0,0,0.0
8,1.0,1.0,0.0,0,0,0.0
24,0.0,1.0,0.5,0,0,0.0
1,1.0,1.0,1.0,0,0,0.0
21,1.0,1.0,0.5,0,0,0.0
12,0.0,1.0,0.5,0,0,0.0
22,0.0,1.0,0.5,1,24,24.0
19,1.0,1.0,1.0,0,0,0.0
15,0.0,1.0,0.5,0,0,0.0
9,0.0,1.0,0.0,1,15,15.0
7,0.0,1.0,0.5,0,0,0.0
23,1.0,1.0,1.0,0,0,0.0
16,1.0,1.0,0.0,0,0,0.0
23,0.0,1.0,0.0,0,0,0.0
17,1.0,1.0,1.0,0,0,0.0
4,1.0,1.0,0.5,1,17,17.0
4,0.0,1.0,0.5,0,0,0.0
12,1.0,1.0,1.0,0,0,0.0
8,1.0,1.0,1.0,0,0,0.0
3,0.0,1.0,0.5,0,0,0.0
6,0.0,1.0,0.0,0,0,0.0
14,1.0,1.0,1.0,0,0,0.0
14,1.0,1.0,0.5,1,14,14.0
24,1.0,1.0,0.5,0,0,0.0
3,1.0,1.0,1.0,0,0,0.0
13,1.0,1.0,1.0,0,0,0.0
18,1.0,1.0,1.0,0,0,0.0
21,0.0,1.0,0.5,0,0,0.0
1,1.0,1.0,1.0,1,12,12.0
4,1.0,1.0,1.0,0,0,0.0
6,0.0,1.0,0.5,0,0,0.0
1,1.0,1.0,1.0,0,0,0.0
13,1.0,1.0,1.0,0,0,0.0
16,1.0,1.0,1.0,0,0,0.0
14,1.0,1.0,1.0,0,0,0.0
14,0.0,1.0,0.5,1,18,18.0
21,1.0,1.0,1.0,0,0,0.0
18,1.0,1.0,0.0,0,0,0.0
3,0.0,1.0,0.5,0,0,0.0
7,1.0,1.0,1.0,0,0,0.0
12,0.0,1.0,0.5,0,0,0.0
5,1.0,1.0,0.0,0,0,0.0
13,0.0,1.0,0.5,0,0,0.0
3,1.0,1.0,0.5,0,0,0.0
24,1.0,1.0,1.0,0,0,0.0
14,1.0,1.0,1.0,0,0,0.0
22,1.0,1.0,1.0,1,19,19.0
1,1.0,1.0,1.0,0,0,0.0
24,1.0,1.0,0.5,0,0,0.0
2,1.0,1.0,1.0,1,20,20.0
4,1.0,1.0,1.0,0,0,0.0
13,1.0,1.0,1.0,1,11,11.0
21,1.0,1.0,0.0,1,25,25.0
23,1.0,1.0,0.5,0,0,0.0
26,1.0,1.0,1.0,0,0,0.0
26,1.0,1.0,1.0,0,0,0.0
21,0.0,1.0,1.0,0,0,0.0
23,0.0,1.0,0.5,0,0,0.0
6,0.0,1.0,0.5,1,19,19.0
6,1.0,1.0,1.0,1,21,21.0
3,1.0,1.0,1.0,0,0,0.0
24,0.0,1.0,0.5,0,0,0.0
23,0.0,1.0,0.5,0,0,0.0
3,0.0,1.0,0.5,0,0,0.0
9,1.0,1.0,0.5,1,20,20.0
4,1.0,1.0,0.5,0,0,0.0
6,0.0,1.0,0.5,0,0,0.0
2,1.0,1.0,1.0,1,20,20.0
9,1.0,1.0,1.0,1,13,13.0
22,1.0,1.0,1.0,0,0,0.0
15,1.0,1.0,1.0,0,0,0.0
18,1.0,1.0,1.0,0,0,0.0
26,1.0,1.0,1.0,0,0,0.0
25,1.0,1.0,1.0,0,0,0.0
23,1.0,1.0,1.0,0,0,0.0
23,0.0,1.0,0.5,0,0,0.0
17,0.0,1.0,0.5,0,0,0.0
15,0.0,1.0,0.5,0,0,0.0
5,1.0,1.0,0.5,1,12,12.0
13,1.0,1.0,1.0,0,0,0.0
1,1.0,1.0,1.0,0,0,0.0
3,1.0,1.0,1.0,1,19,19.0
4,0.0,1.0,0.5,0,0,0.0
4,0.0,1.0,0.5,0,0,0.0
23,0.0,1.0,0.0,1,39,39.0
14,0.0,1.0,0.5,1,48,48.0
1,1.0,1.0,1.0,1,18,18.0
17,0.0,1.0,0.5,0,0,0.0
19,1.0,1.0,1.0,0,0,0.0
14,1.0,1.0,0.5,0,0,0.0
23,0.0,1.0,0.5,0,0,0.0
24,1.0,1.0,1.0,0,0,0.0
23,0.0,1.0,0.5,1,23,23.0
15,1.0,1.0,0.5,0,0,0.0
25,1.0,1.0,1.0,0,0,0.0
24,1.0,1.0,0.5,0,0,0.0
18,1.0,1.0,0.0,0,0,0.0
14,0.0,1.0,0.5,1,27,27.0
17,1.0,1.0,1.0,0,0,0.0
6,1.0,1.0,0.0,0,0,0.0
14,1.0,1.0,1.0,1,33,33.0
3,1.0,1.0,1.0,1,11,11.0
1,1.0,1.0,1.0,0,0,0.0
19,1.0,1.0,1.0,0,0,0.0
6,1.0,1.0,1.0,1,19,19.0
21,1.0,1.0,1.0,1,28,28.0
25,0.0,1.0,0.5,1,23,23.0
17,1.0,1.0,0.5,0,0,0.0
21,0.0,1.0,0.5,1,26,26.0
23,0.0,1.0,0.0,0,0,0.0
15,1.0,1.0,1.0,0,0,0.0
4,1.0,1.0,1.0,0,0,0.0
8,0.0,1.0,0.0,0,0,0.0
3,1.0,1.0,0.5,1,13,13.0
4,1.0,1.0,0.5,0,0,0.0
12,1.0,1.0,1.0,0,0,0.0
13,1.0,1.0,1.0,1,13,13.0
4,1.0,1.0,0.5,0,0,0.0
9,1.0,1.0,1.0,0,0,0.0
9,0.0,1.0,0.5,1,21,21.0
21,0.0,1.0,0.0,0,0,0.0
24,0.0,1.0,0.5,0,0,0.0
2,1.0,1.0,1.0,0,0,0.0
22,1.0,1.0,1.0,1,18,18.0
9,0.0,1.0,0.5,1,14,14.0
25,1.0,1.0,1.0,1,27,27.0
22,1.0,1.0,1.0,0,0,0.0
23,1.0,1.0,1.0,0,0,0.0
24,0.0,1.0,0.5,0,0,0.0
19,1.0,1.0,1.0,0,0,0.0
9,1.0,1.0,1.0,0,0,0.0
3,1.0,1.0,1.0,0,0,0.0
9,0.0,1.0,0.0,0,0,0.0
3,1.0,1.0,1.0,0,0,0.0
26,0.0,1.0,0.5,0,0,0.0
8,1.0,1.0,0.5,0,0,0.0
18,1.0,1.0,1.0,0,0,0.0
24,0.0,1.0,0.5,0,0,0.0
16,1.0,1.0,0.0,0,0,0.0
4,0.0,1.0,0.5,0,0,0.0
4,0.0,1.0,0.5,0,0,0.0
19,1.0,1.0,1.0,1,17,17.0
8,1.0,1.0,1.0,0,0,0.0
9,1.0,1.0,1.0,1,21,21.0
23,0.0,1.0,0.5,0,0,0.0
22,1.0,1.0,1.0,1,20,20.0
14,0.0,1.0,0.5,0,0,0.0
