participant,study_status,scene_familiarity,recall_status,blink_cnt,peak_blink_duration,avg_blink_duration
9,0.0,0.0,,1,23,23.0
17,1.0,0.0,,1,30,30.0
19,1.0,0.0,,1,12,12.0
19,1.0,0.0,,0,0,0.0
17,1.0,0.0,,1,46,46.0
8,1.0,0.0,,1,67,67.0
14,0.0,0.0,,2,44,42.5
23,0.0,0.0,,0,0,0.0
23,0.0,0.0,,1,56,56.0
16,0.0,0.0,,0,0,0.0
19,0.0,0.0,,2,27,26.0
24,0.0,0.0,,1,27,27.0
21,0.0,0.0,,1,21,21.0
3,0.0,0.0,,2,16,15.0
6,0.0,0.0,,2,106,68.0
3,0.0,0.0,,1,11,11.0
13,0.0,0.0,,1,24,24.0
16,0.0,0.0,,1,26,26.0
25,0.0,0.0,,3,18,16.333333333333332
19,0.0,0.0,,1,79,79.0
3,0.0,0.0,,0,0,0.0
13,0.0,0.0,,2,72,44.0
14,0.0,0.0,,0,0,0.0
18,1.0,0.0,,1,5,5.0
24,0.0,0.0,,0,0,0.0
7,0.0,0.0,,0,0,0.0
12,1.0,0.0,,1,39,39.0
4,0.0,0.0,,1,21,21.0
8,1.0,0.0,,1,15,15.0
9,1.0,0.0,,2,155,83.0
15,1.0,0.0,,2,39,29.5
26,0.0,0.0,,1,19,19.0
16,1.0,0.0,,2,25,15.0
22,0.0,0.0,,1,23,23.0
26,0.0,0.0,,0,0,0.0
7,0.0,0.0,,0,0,0.0
24,1.0,0.0,,0,0,0.0
21,1.0,0.0,,1,36,36.0
22,0.0,0.0,,1,39,39.0
21,1.0,0.0,,1,32,32.0
5,0.0,0.0,,1,25,25.0
21,0.0,0.0,,2,23,15.5
24,0.0,0.0,,0,0,0.0
9,1.0,0.0,,1,16,16.0
22,0.0,0.0,,1,16,16.0
21,1.0,0.0,,1,23,23.0
24,0.0,0.0,,1,27,27.0
16,0.0,0.0,,1,38,38.0
14,0.0,0.0,,1,122,122.0
6,0.0,0.0,,2,108,62.0
23,0.0,0.0,,1,56,56.0
4,0.0,0.0,,0,0,0.0
1,1.0,0.0,,1,14,14.0
13,1.0,0.0,,1,14,14.0
19,0.0,0.0,,1,79,79.0
