participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
9,0.0,0.0,,13,61,21.923076923076923,1,26,26.0,4,11.5,9.25439471311813,51.21298357084356,0,0.0,0.0,0.0
17,1.0,0.0,,11,57,18.636363636363637,0,0,0.0,4,31.75,25.06821314259966,184.10281713117791,2,7.25,3.8774898241552447,20.002845988163152
19,1.0,0.0,,10,59,22.9,1,16,16.0,5,22.0,22.6287977731844,131.22166688919336,1,7.0,2.0552868801726216,9.625571333470456
19,1.0,0.0,,15,29,13.8,1,10,10.0,6,21.5,22.394125931701996,184.4137120818087,0,0.0,0.0,0.0
17,1.0,0.0,,9,57,27.444444444444443,1,15,15.0,3,29.0,28.141384446006143,185.76028888868836,1,10.5,7.91859150945475,34.11428498737356
8,1.0,0.0,,12,65,17.583333333333332,0,0,0.0,2,57.5,18.234478733104837,138.15516521620074,0,0.0,0.0,0.0
14,0.0,0.0,,12,65,16.916666666666668,1,21,21.0,3,44.0,26.072753758486716,161.4053834740857,1,7.5,9.25896316858049,10.231483032142938
23,0.0,0.0,,12,18,10.25,0,0,0.0,7,31.142857142857142,24.351431187380722,151.35066928852046,0,0.0,0.0,0.0
23,0.0,0.0,,8,27,12.125,1,56,56.0,7,35.57142857142857,27.02572127361429,270.02467578470856,0,0.0,0.0,0.0
16,0.0,0.0,,16,21,13.3125,1,26,26.0,3,40.0,30.998501039123354,186.93859652576703,0,0.0,0.0,0.0
19,0.0,0.0,,19,32,13.894736842105264,1,17,17.0,3,21.333333333333332,20.089929785247275,130.41905761178293,2,7.25,3.6671658134430105,17.967681956924274
24,0.0,0.0,,18,32,14.555555555555555,1,7,7.0,7,9.0,17.79908782046267,84.63709083625747,1,7.0,4.08260761624911,19.07706036396269
21,0.0,0.0,,9,54,32.77777777777778,1,8,8.0,3,13.666666666666666,22.548944157322506,125.10456715589237,0,0.0,0.0,0.0
3,0.0,0.0,,13,30,13.461538461538462,2,17,16.5,9,18.666666666666668,18.56597065215612,127.97911929009771,0,0.0,0.0,0.0
6,0.0,0.0,,7,48,36.142857142857146,1,122,122.0,4,11.25,17.200115438196146,225.93699717892332,0,0.0,0.0,0.0
3,0.0,0.0,,14,30,13.5,1,17,17.0,7,21.285714285714285,23.420733069259427,162.92027025245434,0,0.0,0.0,0.0
13,0.0,0.0,,9,38,22.0,2,104,60.0,3,44.666666666666664,16.687659632830297,91.8331155943519,0,0.0,0.0,0.0
16,0.0,0.0,,9,38,16.0,0,0,0.0,2,100.0,41.09086286293188,361.35679893989624,0,0.0,0.0,0.0
25,0.0,0.0,,12,27,12.916666666666666,1,162,162.0,6,31.5,15.012443918070607,141.80471590004112,0,0.0,0.0,0.0
19,0.0,0.0,,12,28,12.416666666666666,1,18,18.0,6,31.166666666666668,24.404534368582834,188.88629029501215,0,0.0,0.0,0.0
3,0.0,0.0,,18,48,16.055555555555557,2,11,7.0,5,8.4,18.83666991019147,100.11121068580361,1,8.0,3.1299262371675636,15.475253290042025
13,0.0,0.0,,10,47,24.5,1,72,72.0,5,17.4,8.533915899580574,61.43537962985003,0,0.0,0.0,0.0
14,0.0,0.0,,10,103,29.6,1,17,17.0,2,19.0,12.68426579724362,88.51604342073568,0,0.0,0.0,0.0
18,1.0,0.0,,16,31,13.375,0,0,0.0,4,26.75,22.86601618483703,141.04430206500174,0,0.0,0.0,0.0
24,0.0,0.0,,11,52,26.545454545454547,1,21,21.0,4,12.0,17.604258696709582,112.1457064829465,1,7.5,11.91822685984244,25.05876190429203
7,0.0,0.0,,8,69,41.75,0,0,0.0,1,6.0,29.022285448267915,132.4044671554507,0,0.0,0.0,0.0
12,1.0,0.0,,18,34,16.11111111111111,1,33,33.0,3,11.0,15.413637147540916,75.52350607208068,0,0.0,0.0,0.0
4,0.0,0.0,,16,28,14.6875,0,0,0.0,4,23.75,19.514626534650017,86.13113415115208,0,0.0,0.0,0.0
8,1.0,0.0,,15,28,12.2,1,15,15.0,5,30.0,22.55267167787185,191.1877697640632,0,0.0,0.0,0.0
9,1.0,0.0,,12,99,22.083333333333332,1,11,11.0,5,14.4,23.19052028416605,95.07911379947029,2,8.0,3.4416713884913595,15.930884439961034
15,1.0,0.0,,13,49,21.615384615384617,1,42,42.0,4,7.75,7.125761974934445,37.281656531692036,0,0.0,0.0,0.0
26,0.0,0.0,,8,99,41.0,1,19,19.0,1,15.0,2.245070856264681,31.430991987705376,0,0.0,0.0,0.0
16,1.0,0.0,,6,151,51.666666666666664,0,0,0.0,1,33.0,14.896483052741193,44.07085781443886,0,0.0,0.0,0.0
22,0.0,0.0,,12,51,25.416666666666668,1,30,30.0,1,18.0,23.72482096967193,96.44525609316051,0,0.0,0.0,0.0
26,0.0,0.0,,14,27,16.071428571428573,0,0,0.0,3,33.666666666666664,23.081875185252485,111.48868029214817,0,0.0,0.0,0.0
7,0.0,0.0,,8,56,36.0,0,0,0.0,1,52.0,29.022285448267915,137.99368126419537,0,0.0,0.0,0.0
24,1.0,0.0,,11,65,26.90909090909091,0,0,0.0,3,13.666666666666666,11.310479994538673,35.54088963624523,2,9.0,2.830218079368315,17.947698383774373
21,1.0,0.0,,16,28,12.3125,0,0,0.0,6,22.333333333333332,21.217131325514984,131.94050715864628,1,8.0,3.642798978783072,18.20700401450663
