participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
18,1.0,0.0,,4,29,17.25,0,0,0.0,1,33.0,36.33031982550147,317.6984751744798,0,0.0,0.0,0.0
23,0.0,0.0,,4,25,15.5,0,0,0.0,3,15.666666666666666,18.74182129167367,131.07434493616935,0,0.0,0.0,0.0
19,1.0,0.0,,5,17,13.8,0,0,0.0,2,21.0,20.793178523070242,194.86971801492695,0,0.0,0.0,0.0
7,1.0,0.0,,2,52,30.5,1,24,24.0,2,24.0,8.459445842255889,18.88337663790219,0,0.0,0.0,0.0
3,1.0,0.0,,3,32,26.666666666666668,1,22,22.0,1,33.0,8.411507397819527,181.45555139845018,0,0.0,0.0,0.0
13,1.0,0.0,,2,64,43.0,1,16,16.0,1,28.0,14.689327924921225,223.6649524527886,0,0.0,0.0,0.0
18,1.0,0.0,,2,16,12.5,1,9,9.0,2,44.5,12.823763865888722,159.588467983951,0,0.0,0.0,0.0
9,1.0,0.0,,4,22,13.5,1,63,63.0,3,18.0,3.044340855703776,20.46620667621774,0,0.0,0.0,0.0
19,0.0,0.0,,2,63,42.0,1,27,27.0,1,27.0,6.177338627885128,77.83163094373367,0,0.0,0.0,0.0
1,1.0,0.0,,2,59,43.0,1,18,18.0,2,14.0,10.416499758847456,51.553426669240935,1,8.0,6.998712484981279,11.10491684557364
24,1.0,0.0,,4,30,21.0,0,0,0.0,2,11.5,18.44838816117888,51.08573037665484,0,0.0,0.0,0.0
14,0.0,0.0,,6,22,11.333333333333334,0,0,0.0,1,39.0,17.261803651327035,39.40055465266991,0,0.0,0.0,0.0
22,0.0,0.0,,5,30,15.8,1,11,11.0,3,10.666666666666666,9.964850782718,64.88959621049663,0,0.0,0.0,0.0
26,0.0,0.0,,4,31,22.5,0,0,0.0,2,9.0,14.225833413892492,51.59194524675801,0,0.0,0.0,0.0
16,1.0,0.0,,4,12,9.75,1,25,25.0,2,36.5,12.3154104053827,82.3676900548224,0,0.0,0.0,0.0
22,0.0,0.0,,2,54,43.0,0,0,0.0,1,24.0,8.763367864731315,18.182704063186264,0,0.0,0.0,0.0
3,1.0,0.0,,4,27,22.25,0,0,0.0,1,18.0,1.6597744693026175,16.02145271828284,0,0.0,0.0,0.0
12,1.0,0.0,,6,16,13.5,0,0,0.0,1,24.0,2.7663042088938057,23.74943474689847,0,0.0,0.0,0.0
5,0.0,0.0,,5,20,13.8,0,0,0.0,4,10.0,21.60852416514804,74.3849258728675,0,0.0,0.0,0.0
9,0.0,0.0,,5,28,17.4,0,0,0.0,2,12.0,19.79592190324136,69.93793823676086,0,0.0,0.0,0.0
21,1.0,0.0,,8,9,8.25,0,0,0.0,3,12.333333333333334,21.19321977785673,117.0837600959892,0,0.0,0.0,0.0
5,0.0,0.0,,4,37,25.75,0,0,0.0,1,9.0,2.8899867538830017,17.1814509242874,0,0.0,0.0,0.0
7,0.0,0.0,,1,35,35.0,0,0,0.0,1,80.0,8.006404654561765,17.56097473628409,0,0.0,0.0,0.0
24,0.0,0.0,,4,26,14.25,0,0,0.0,3,18.333333333333332,18.906209885987554,65.52641735063501,1,7.0,3.569077684921334,17.907432894014484
12,1.0,0.0,,7,18,14.142857142857142,0,0,0.0,0,0.0,0.0,0.0,1,8.5,2.7158198082012595,14.174001384487205
3,1.0,0.0,,3,38,30.333333333333332,1,80,80.0,2,11.0,1.9450639226157473,19.450639226157115,0,0.0,0.0,0.0
15,0.0,0.0,,4,43,23.75,0,0,0.0,1,12.0,14.687151066576792,134.07715351827892,1,7.0,7.787800571031965,31.077545167268426
12,1.0,0.0,,7,18,11.857142857142858,0,0,0.0,2,11.0,17.56754479801507,64.22898851583439,0,0.0,0.0,0.0
26,0.0,0.0,,5,15,9.8,0,0,0.0,3,20.666666666666668,25.68159653105108,108.91235013246724,0,0.0,0.0,0.0
18,1.0,0.0,,2,10,8.5,1,5,5.0,1,89.0,37.64380087579974,502.4721110182955,0,0.0,0.0,0.0
15,0.0,0.0,,4,33,15.5,1,16,16.0,2,22.5,17.779138154171342,133.13664465247592,0,0.0,0.0,0.0
25,0.0,0.0,,3,15,11.0,1,10,10.0,2,38.0,31.084508852821237,250.80146355337132,0,0.0,0.0,0.0
14,0.0,0.0,,1,84,84.0,1,18,18.0,1,31.0,3.9550839967735785,16.844740457587143,1,10.5,7.269451842064805,11.405481248120822
7,1.0,0.0,,1,17,17.0,1,23,23.0,1,98.0,3.733039856060115,20.31051007023626,0,0.0,0.0,0.0
9,0.0,0.0,,2,48,45.5,1,22,22.0,1,16.0,0.5286273514901115,7.92941027235101,0,0.0,0.0,0.0
18,1.0,0.0,,1,20,20.0,1,9,9.0,1,95.0,31.98028555805415,326.45460862870675,0,0.0,0.0,0.0
21,1.0,0.0,,4,29,15.75,0,0,0.0,3,16.0,18.090405879057826,111.43891938380706,0,0.0,0.0,0.0
5,0.0,0.0,,6,17,10.0,0,0,0.0,2,21.0,19.74039609817263,205.7567272446228,0,0.0,0.0,0.0
17,1.0,0.0,,4,31,14.0,0,0,0.0,2,23.5,14.080089669094626,75.48563403459161,0,0.0,0.0,0.0
14,0.0,0.0,,4,34,26.25,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
19,1.0,0.0,,3,13,10.0,1,16,16.0,1,74.0,24.808260968505287,284.4332557136412,0,0.0,0.0,0.0
9,0.0,0.0,,4,33,25.5,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
6,0.0,0.0,,4,40,27.25,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
13,1.0,0.0,,3,36,22.666666666666668,1,31,31.0,2,20.0,3.9294917219380436,40.814259807109245,0,0.0,0.0,0.0
12,1.0,0.0,,6,20,13.833333333333334,0,0,0.0,1,19.0,25.079264160511574,129.08960784210714,0,0.0,0.0,0.0
14,0.0,0.0,,4,43,21.0,0,0,0.0,1,21.0,8.067700686864741,127.8268472933966,0,0.0,0.0,0.0
4,0.0,0.0,,1,46,46.0,0,0,0.0,1,69.0,11.259606316149165,54.44918459645514,0,0.0,0.0,0.0
4,0.0,0.0,,6,19,12.0,0,0,0.0,1,31.0,17.227933376746755,161.10917503988307,0,0.0,0.0,0.0
18,1.0,0.0,,6,26,11.5,0,0,0.0,4,10.25,24.48522011341918,112.09892481998229,0,0.0,0.0,0.0
22,0.0,0.0,,4,37,20.5,1,28,28.0,1,24.0,12.38373140519149,36.25983297263173,0,0.0,0.0,0.0
18,1.0,0.0,,2,18,17.0,1,5,5.0,2,40.0,41.12601828617737,319.8417643736244,0,0.0,0.0,0.0
2,0.0,0.0,,5,31,18.6,1,14,14.0,2,9.0,26.209191822574716,189.21566471546427,0,0.0,0.0,0.0
3,0.0,0.0,,5,30,18.2,0,0,0.0,2,8.0,26.846993010707756,158.92807786116128,0,0.0,0.0,0.0
8,1.0,0.0,,3,51,28.666666666666668,1,67,67.0,2,12.5,13.630381339956827,30.181587272500725,0,0.0,0.0,0.0
4,0.0,0.0,,5,17,10.0,0,0,0.0,3,19.333333333333332,21.366269564885126,97.80024972725823,0,0.0,0.0,0.0
8,1.0,0.0,,5,14,10.6,0,0,0.0,1,53.0,9.665277325234447,49.5628696603522,0,0.0,0.0,0.0
7,0.0,0.0,,2,51,41.5,0,0,0.0,1,26.0,12.797011339331169,27.53675938065996,0,0.0,0.0,0.0
