participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
25,0.0,0.0,,8,36,23.625,1,42,42.0,2,16.0,2.438015717466989,29.816677192523336,0,0.0,0.0,0.0
25,0.0,0.0,,9,22,14.777777777777779,0,0,0.0,2,40.5,34.28984568503488,226.50214279735582,0,0.0,0.0,0.0
22,0.0,0.0,,2,66,58.5,0,0,0.0,1,117.0,7.3904838913981585,26.505763635019047,0,0.0,0.0,0.0
19,0.0,0.0,,4,75,46.5,2,25,23.0,2,21.5,4.77692901344488,96.65235637733801,0,0.0,0.0,0.0
23,0.0,0.0,,8,32,12.625,0,0,0.0,5,25.4,28.40086624552158,164.40492701297921,1,10.0,2.5071485016493233,20.950700766918622
23,0.0,0.0,,2,186,105.5,0,0,0.0,1,23.0,26.29002607439207,89.90959046766255,0,0.0,0.0,0.0
5,0.0,0.0,,10,56,18.0,1,17,17.0,4,10.0,20.475969961790728,111.27503733562037,1,8.0,3.4534878775174174,19.72428263386395
15,1.0,0.0,,9,36,17.88888888888889,0,0,0.0,4,13.25,19.145159121873004,90.73023944020653,1,9.0,3.7403221909139535,22.61579052256323
15,0.0,0.0,,10,34,19.8,1,161,161.0,2,7.5,8.602441111120052,24.37132261658249,0,0.0,0.0,0.0
10,1.0,0.0,,13,50,13.615384615384615,1,20,20.0,4,10.25,23.74883158152499,114.61824446220623,2,10.0,3.866146501948707,23.564896916430953
17,1.0,0.0,,5,51,38.6,0,0,0.0,1,37.0,28.808282117451228,97.04382440512403,1,9.0,2.211532236902193,7.552429809911834
14,0.0,0.0,,4,69,53.5,1,16,16.0,1,17.0,4.755415869718536,18.07222359016248,1,7.0,6.605932414616589,22.624901381921436
25,0.0,0.0,,8,27,14.375,1,18,18.0,3,37.0,36.07510953182376,239.64361086997533,0,0.0,0.0,0.0
26,0.0,0.0,,11,36,16.90909090909091,1,20,20.0,2,14.5,12.10617068889051,83.8147116050568,1,9.0,3.0377942688802078,20.149784165000383
9,0.0,0.0,,7,40,20.285714285714285,1,18,18.0,3,28.0,14.171975545269232,144.0333862624651,0,0.0,0.0,0.0
23,0.0,0.0,,2,98,70.0,0,0,0.0,1,66.0,33.66551648513699,265.0042868482578,0,0.0,0.0,0.0
17,1.0,0.0,,8,49,26.125,0,0,0.0,1,11.0,8.405348316888222,64.33815527572274,1,9.0,3.3050458388036352,16.817721869332164
1,1.0,0.0,,10,47,15.0,0,0,0.0,4,17.0,11.2231323243649,87.36450777059797,0,0.0,0.0,0.0
23,0.0,0.0,,10,34,19.5,1,42,42.0,1,23.0,5.839373077846413,45.83969664881573,0,0.0,0.0,0.0
4,0.0,0.0,,9,21,13.444444444444445,0,0,0.0,5,19.2,23.228466426559997,106.34678255970375,0,0.0,0.0,0.0
1,1.0,0.0,,10,37,18.4,2,78,46.0,2,18.5,1.7556850807647468,20.077929091755113,0,0.0,0.0,0.0
5,0.0,0.0,,7,63,23.857142857142858,0,0,0.0,1,62.0,2.3016926153398,16.681721314071066,0,0.0,0.0,0.0
4,0.0,0.0,,12,19,12.75,0,0,0.0,4,15.0,17.656465651832875,90.50687705832252,0,0.0,0.0,0.0
5,0.0,0.0,,10,36,20.1,0,0,0.0,2,9.0,21.434579931670466,98.84865640869505,0,0.0,0.0,0.0
9,0.0,0.0,,5,49,23.0,1,125,125.0,2,54.5,2.697619951498126,24.14496985651593,0,0.0,0.0,0.0
25,0.0,0.0,,8,18,12.0,1,15,15.0,2,59.5,30.679654605701394,350.6321978576667,0,0.0,0.0,0.0
14,0.0,0.0,,10,40,18.0,1,33,33.0,4,8.75,10.66796421179888,65.08026246036508,0,0.0,0.0,0.0
14,0.0,0.0,,3,132,65.33333333333333,1,18,18.0,2,18.0,9.785833531062373,34.17716859545284,1,9.5,6.490862827131245,8.740709254780338
4,0.0,0.0,,13,26,12.923076923076923,0,0,0.0,4,11.25,29.411915820975118,110.35672895790799,0,0.0,0.0,0.0
10,1.0,0.0,,7,46,27.428571428571427,1,13,13.0,3,8.666666666666666,24.17494282921496,102.25884431181686,0,0.0,0.0,0.0
4,0.0,0.0,,3,99,62.666666666666664,1,4,4.0,1,40.0,14.0982048461248,86.41570005737532,0,0.0,0.0,0.0
16,1.0,0.0,,5,53,33.4,0,0,0.0,1,60.0,22.718872316641512,74.28445730202986,0,0.0,0.0,0.0
17,1.0,0.0,,6,48,29.666666666666668,1,15,15.0,3,14.333333333333334,22.92505792160257,100.50176322327157,1,10.5,7.91859150945475,34.11428498737356
24,1.0,0.0,,12,25,14.666666666666666,0,0,0.0,2,19.5,10.1554263873348,50.071137289667526,1,10.0,3.6798419678102574,19.486688539151167
18,1.0,0.0,,10,33,18.0,0,0,0.0,2,18.5,21.29337815530405,125.47606498038544,0,0.0,0.0,0.0
18,1.0,0.0,,8,26,15.5,0,0,0.0,5,20.6,20.392200560147472,94.04922616259685,0,0.0,0.0,0.0
9,1.0,0.0,,11,41,15.818181818181818,1,16,16.0,4,12.0,16.207909733219466,93.0001328285022,1,7.0,3.8174901920559474,18.586122795807242
18,1.0,0.0,,13,26,11.076923076923077,1,8,8.0,4,17.0,26.7682769809531,176.0832301563167,0,0.0,0.0,0.0
12,0.0,0.0,,7,25,16.428571428571427,1,33,33.0,4,26.25,34.48750713193003,196.19420272748448,0,0.0,0.0,0.0
13,0.0,0.0,,5,38,27.8,2,20,18.0,3,29.0,22.849651286097473,108.13341207096147,0,0.0,0.0,0.0
12,1.0,0.0,,9,55,23.0,1,27,27.0,1,18.0,0.7127398493095517,12.116577438261952,0,0.0,0.0,0.0
14,0.0,0.0,,9,65,19.0,0,0,0.0,2,23.5,27.064264228874386,147.1335508568625,1,7.5,9.25896316858049,10.231483032142938
26,0.0,0.0,,7,19,10.0,0,0,0.0,3,50.333333333333336,21.076075123321996,137.9840810249141,0,0.0,0.0,0.0
25,0.0,0.0,,7,20,15.0,1,18,18.0,2,57.5,34.25891889398459,275.7021217538042,0,0.0,0.0,0.0
24,1.0,0.0,,9,30,21.0,0,0,0.0,2,15.5,18.44838816117888,51.08573037665484,0,0.0,0.0,0.0
1,1.0,0.0,,8,33,18.375,1,14,14.0,3,23.333333333333332,9.162913674158757,73.79163891678803,0,0.0,0.0,0.0
7,1.0,0.0,,6,82,27.833333333333332,1,143,143.0,2,26.5,1.3770165744547218,9.947759682210984,0,0.0,0.0,0.0
6,0.0,0.0,,5,48,34.0,1,122,122.0,3,19.0,3.717832107218543,11.089343769063928,0,0.0,0.0,0.0
19,1.0,0.0,,3,208,77.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
15,1.0,0.0,,8,31,24.125,1,30,30.0,1,17.0,18.1606653618154,50.30530102938913,0,0.0,0.0,0.0
13,1.0,0.0,,8,36,18.625,1,31,31.0,4,18.5,14.25045180261425,77.91019206604858,0,0.0,0.0,0.0
7,1.0,0.0,,6,82,32.0,1,143,143.0,2,14.0,1.3770165744547218,8.056024511052902,0,0.0,0.0,0.0
19,0.0,0.0,,4,76,52.5,1,25,25.0,1,16.0,5.148187716258522,77.2228157438775,0,0.0,0.0,0.0
13,0.0,0.0,,7,31,18.285714285714285,2,20,18.0,3,31.666666666666668,23.534581149784852,119.35417080296163,0,0.0,0.0,0.0
19,1.0,0.0,,10,29,15.6,1,10,10.0,2,32.0,23.824008634372355,179.61936707397183,0,0.0,0.0,0.0
15,1.0,0.0,,8,49,23.75,1,42,42.0,3,8.0,8.536750822394291,45.31350814569975,0,0.0,0.0,0.0
19,0.0,0.0,,6,63,26.166666666666668,1,27,27.0,3,22.0,17.965494812599765,112.06922364479205,2,8.25,3.411943296639702,20.824978803018855
22,0.0,0.0,,8,64,27.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
23,0.0,0.0,,5,137,34.8,0,0,0.0,3,19.0,17.39565861392111,119.84333534345166,1,6.5,3.0795016187115403,15.247944770523912
9,0.0,0.0,,4,87,50.0,1,22,22.0,2,13.5,1.4027307383460406,6.7248905384727955,2,8.5,6.768512229455467,26.404865824215587
9,0.0,0.0,,9,31,15.88888888888889,2,23,20.5,3,27.333333333333332,16.36669228686986,180.82452266609184,0,0.0,0.0,0.0
26,0.0,0.0,,9,22,13.777777777777779,0,0,0.0,2,45.5,35.05558858903642,251.9718206064887,0,0.0,0.0,0.0
24,1.0,0.0,,6,50,32.5,1,27,27.0,2,15.0,18.462821098396816,181.9864552714165,1,10.0,2.2373860223751287,12.743944131175994
7,1.0,0.0,,5,87,39.0,2,26,23.5,2,13.0,0.9821319855415154,11.63191562501838,0,0.0,0.0,0.0
22,0.0,0.0,,9,54,22.77777777777778,1,38,38.0,2,8.5,10.822544891479685,58.56286887508418,1,8.5,3.130402768927077,18.98758387914414
13,0.0,0.0,,5,104,36.8,0,0,0.0,2,20.0,11.321412282866568,29.955802985934493,0,0.0,0.0,0.0
3,1.0,0.0,,5,54,32.4,1,143,143.0,4,17.25,1.7701396512117422,16.50056955348105,0,0.0,0.0,0.0
23,0.0,0.0,,9,49,19.444444444444443,1,42,42.0,2,21.0,4.334258589386594,31.413530633325056,0,0.0,0.0,0.0
26,0.0,0.0,,12,34,16.25,1,29,29.0,1,15.0,1.8748861164038713,16.042339512425347,0,0.0,0.0,0.0
