participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
15,0.0,1.0,0.5,2,11,10.0,2,47.0,30.132360297413676,209.9495116590628,0,0.0,0.0,0.0
25,0.0,1.0,0.5,2,81,54.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0
3,0.0,1.0,0.5,4,18,12.5,3,20.666666666666668,23.304405816393068,150.90279942131812,0,0.0,0.0,0.0
4,1.0,1.0,1.0,4,12,9.25,2,34.5,30.71221483350024,154.7224522107552,0,0.0,0.0,0.0
24,1.0,1.0,1.0,6,26,14.0,2,11.5,22.59983673901107,175.7074984154952,0,0.0,0.0,0.0
4,0.0,1.0,0.5,4,10,8.25,2,39.5,17.128641397451016,92.27370848088476,0,0.0,0.0,0.0
17,1.0,1.0,0.5,5,28,14.8,1,37.0,26.490905198429594,121.66399944493688,0,0.0,0.0,0.0
19,1.0,1.0,1.0,5,16,10.4,3,19.666666666666668,13.734594005077701,69.6203537735944,0,0.0,0.0,0.0
6,1.0,1.0,0.5,2,42,35.5,1,39.0,28.43417425443492,79.27965274250312,0,0.0,0.0,0.0
26,1.0,1.0,1.0,5,19,12.4,3,15.666666666666666,22.887909138413036,110.50732713280983,1,10.0,3.4301595774440505,21.577477384796133
18,1.0,1.0,0.5,4,32,17.0,3,13.333333333333334,26.929100588765237,187.40944567913235,0,0.0,0.0,0.0
23,1.0,1.0,1.0,3,12,9.0,3,28.0,20.794106337842305,213.12512824958966,0,0.0,0.0,0.0
16,1.0,1.0,0.5,1,23,23.0,1,92.0,24.364966471485435,78.9868531153422,0,0.0,0.0,0.0
22,1.0,1.0,1.0,2,40,38.5,2,18.5,7.1368660367720835,19.575554279887687,0,0.0,0.0,0.0
26,1.0,1.0,1.0,1,45,45.0,2,35.0,29.660352351965116,198.7238462063599,0,0.0,0.0,0.0
5,1.0,1.0,0.5,2,55,34.0,1,46.0,9.799335004948631,21.575198193681445,0,0.0,0.0,0.0
10,1.0,1.0,1.0,6,23,14.333333333333334,2,12.0,31.310590720698343,141.99658037795717,0,0.0,0.0,0.0
13,1.0,1.0,1.0,4,14,10.25,3,23.0,10.94184959601859,70.89415663731931,0,0.0,0.0,0.0
22,1.0,1.0,1.0,8,18,11.125,2,7.0,13.607660134063776,67.27377972102303,2,9.25,3.0070627943130637,19.433085166733342
24,0.0,1.0,0.5,5,36,21.4,0,0.0,0.0,0.0,0,0.0,0.0,0.0
16,1.0,1.0,1.0,5,22,12.0,2,23.5,15.631900713896055,85.27418821899583,0,0.0,0.0,0.0
2,0.0,1.0,0.5,2,35,35.0,1,40.0,24.43887028799045,126.47978769328301,0,0.0,0.0,0.0
23,1.0,1.0,1.0,2,27,21.0,3,24.0,22.02196264610755,138.02053033678808,0,0.0,0.0,0.0
9,0.0,1.0,0.5,5,17,11.4,3,16.666666666666668,16.665750452666803,154.66466170143883,0,0.0,0.0,0.0
6,1.0,1.0,1.0,8,13,10.125,2,10.5,33.15747718176525,99.13484697748245,0,0.0,0.0,0.0
19,1.0,1.0,1.0,2,45,42.5,3,9.666666666666666,22.86367708827285,82.70983459658257,0,0.0,0.0,0.0
23,0.0,1.0,0.5,4,31,18.5,3,12.666666666666666,22.341699696822285,101.53142767603786,0,0.0,0.0,0.0
1,1.0,1.0,0.5,1,50,50.0,1,65.0,1.3655583953202106,21.378917237552027,0,0.0,0.0,0.0
