participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
9,0.0,0.0,,5,109,49.6,2,51.5,17.09246135147216,64.27318863280901,3,7.333333333333333,5.460245964667021,18.362918679235495
17,1.0,0.0,,6,97,51.166666666666664,2,19.0,22.388963977163353,130.36211959392062,2,9.75,6.110979805740049,24.51720541920021
19,1.0,0.0,,8,27,15.75,4,55.5,20.619120461932283,213.2067778206537,0,0.0,0.0,0.0
19,1.0,0.0,,8,89,24.375,5,30.6,24.701156380822347,223.2117497951794,0,0.0,0.0,0.0
17,1.0,0.0,,8,78,37.75,2,19.5,27.717049874139096,185.19401643720605,0,0.0,0.0,0.0
8,1.0,0.0,,12,65,21.5,2,36.0,38.50887828692807,199.62409740451074,0,0.0,0.0,0.0
14,0.0,0.0,,9,94,31.22222222222222,3,19.0,15.563175338776214,100.12487123915173,0,0.0,0.0,0.0
23,0.0,0.0,,9,25,15.666666666666666,7,29.428571428571427,20.85412264093897,145.33994033236633,0,0.0,0.0,0.0
23,0.0,0.0,,5,139,43.2,3,42.666666666666664,28.615029738776272,225.06244188955804,0,0.0,0.0,0.0
16,0.0,0.0,,15,23,13.466666666666667,4,32.25,17.366804230742424,128.95871819867597,0,0.0,0.0,0.0
19,0.0,0.0,,18,33,11.333333333333334,4,30.75,26.85729846081979,180.21716961262854,0,0.0,0.0,0.0
24,0.0,0.0,,16,36,16.6875,5,12.0,13.353801366730659,70.63245528424207,1,7.0,4.08260761624911,19.07706036396269
21,0.0,0.0,,7,127,41.57142857142857,3,15.666666666666666,16.737549376525276,167.53124535948976,0,0.0,0.0,0.0
3,0.0,0.0,,18,48,17.0,4,6.25,16.032534549798246,70.48911005001234,1,8.0,3.1299262371675636,15.475253290042025
6,0.0,0.0,,11,59,20.818181818181817,5,23.2,18.613488346264138,103.94570013037522,0,0.0,0.0,0.0
3,0.0,0.0,,13,33,16.384615384615383,8,15.5,10.612727594618704,50.98995392759791,0,0.0,0.0,0.0
13,0.0,0.0,,8,77,36.25,2,24.5,10.612565569602486,126.36399906712634,0,0.0,0.0,0.0
16,0.0,0.0,,8,38,15.75,4,55.25,29.520556774031025,212.4926851419902,0,0.0,0.0,0.0
25,0.0,0.0,,16,38,14.875,4,24.5,20.39698891157442,199.98064510027677,0,0.0,0.0,0.0
19,0.0,0.0,,12,39,14.916666666666666,5,31.0,28.661533160699793,217.16084639276824,0,0.0,0.0,0.0
3,0.0,0.0,,17,37,15.294117647058824,4,18.75,18.946297549457306,86.04679907884908,1,8.0,3.1299262371675636,15.475253290042025
13,0.0,0.0,,10,47,21.2,6,21.0,15.939093620480733,85.46673650813273,0,0.0,0.0,0.0
14,0.0,0.0,,13,65,16.692307692307693,3,38.0,26.854717046713233,165.96823858067094,1,7.5,9.25896316858049,10.231483032142938
