participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
15,0.0,1.0,0.5,7,39,18.857142857142858,2,45.0,30.132360297413676,210.1388440285338,0,0.0,0.0,0.0
25,0.0,1.0,0.5,5,81,39.0,1,35.0,25.233217701876786,62.558357635216815,0,0.0,0.0,0.0
3,0.0,1.0,0.5,8,40,19.375,3,24.0,28.132600100734923,158.6488197362267,0,0.0,0.0,0.0
4,1.0,1.0,1.0,7,35,12.571428571428571,4,33.75,20.73442269248802,144.11986952532644,0,0.0,0.0,0.0
24,1.0,1.0,1.0,8,26,13.5,6,19.333333333333332,29.626179177760466,188.20452922424488,0,0.0,0.0,0.0
4,0.0,1.0,0.5,11,12,8.727272727272727,4,31.25,20.567002238815963,141.8209569947921,1,8.0,3.1259571170415614,19.44690324457715
17,1.0,1.0,0.5,9,35,18.22222222222222,2,27.5,34.19048177065873,219.28881591320152,0,0.0,0.0,0.0
19,1.0,1.0,1.0,9,72,20.88888888888889,2,18.5,20.968363288122532,118.20136365530902,0,0.0,0.0,0.0
6,1.0,1.0,0.5,7,43,27.428571428571427,1,23.0,17.78965755863163,85.04912099451653,1,9.0,1.957910799884133,13.509036620818659
26,1.0,1.0,1.0,9,21,14.777777777777779,3,28.666666666666668,27.55441758372132,172.5286239774938,1,10.0,3.4301595774440505,21.577477384796133
18,1.0,1.0,0.5,9,32,16.22222222222222,3,23.0,33.26738644696681,254.01742226962037,1,8.0,3.1472864971168666,18.11620673981796
23,1.0,1.0,1.0,6,15,11.0,5,31.4,26.788989596055057,227.16603183193075,0,0.0,0.0,0.0
16,1.0,1.0,0.5,4,31,26.0,1,122.0,24.364966471485435,78.9868531153422,0,0.0,0.0,0.0
18,1.0,1.0,0.5,9,26,12.0,4,28.5,19.545073394431476,176.1457656911434,0,0.0,0.0,0.0
26,1.0,1.0,1.0,3,45,29.666666666666668,3,48.0,22.316741563720868,149.0486140339863,0,0.0,0.0,0.0
10,1.0,1.0,1.0,9,28,17.0,3,24.666666666666668,26.485458767217114,171.9509387705009,2,7.75,3.344945449993785,16.468283516943217
13,1.0,1.0,1.0,8,32,15.875,3,32.0,15.577382623646637,115.85850439030581,0,0.0,0.0,0.0
22,1.0,1.0,1.0,12,56,16.833333333333332,2,8.5,25.966419243527007,117.46403800764872,3,9.5,2.994092776514035,19.69118083580329
24,0.0,1.0,0.5,9,36,18.11111111111111,2,31.5,5.630671534884679,60.01751917433502,0,0.0,0.0,0.0
16,1.0,1.0,1.0,11,45,14.0,5,13.6,20.999518580339654,96.48916663618456,0,0.0,0.0,0.0
2,0.0,1.0,0.5,5,50,35.8,3,13.333333333333334,10.115437613744211,35.002233502426726,0,0.0,0.0,0.0
23,1.0,1.0,1.0,4,45,23.0,5,28.0,16.913854073935966,139.448597671311,0,0.0,0.0,0.0
9,0.0,1.0,0.5,10,17,12.2,4,24.5,20.786038435062927,142.23807767223582,1,7.0,4.361183130175707,17.778558533684475
6,1.0,1.0,1.0,11,31,12.454545454545455,3,26.666666666666668,28.63675484164986,191.98880272742088,0,0.0,0.0,0.0
23,0.0,1.0,0.5,5,31,16.4,4,37.25,32.470467734787626,196.43663782812476,0,0.0,0.0,0.0
1,1.0,1.0,0.5,5,69,31.8,2,36.0,10.98269292503834,152.11957770755632,1,10.5,2.4675575543405506,18.221708049901256
23,0.0,1.0,0.5,11,32,14.636363636363637,6,9.5,17.290225703846684,81.2684920369452,0,0.0,0.0,0.0
14,1.0,1.0,1.0,5,42,22.2,4,29.0,8.21519004122042,57.58963288524383,0,0.0,0.0,0.0
17,1.0,1.0,1.0,8,16,9.125,6,25.833333333333332,30.4099782658321,158.56290277735377,0,0.0,0.0,0.0
21,1.0,1.0,1.0,7,38,21.857142857142858,2,34.5,12.926592716818364,170.28150419765853,0,0.0,0.0,0.0
17,1.0,1.0,1.0,12,42,17.083333333333332,1,10.0,33.36649652471796,178.14630121160664,0,0.0,0.0,0.0
16,1.0,1.0,1.0,6,45,17.666666666666668,2,60.5,22.504233858604128,115.04715519604699,1,8.0,6.29344171621117,7.729964704733879
14,1.0,1.0,1.0,9,50,19.22222222222222,3,15.0,3.63727411873406,31.749474053669644,0,0.0,0.0,0.0
24,0.0,1.0,0.5,9,45,20.666666666666668,3,7.333333333333333,17.286618264685185,71.45695962379892,0,0.0,0.0,0.0
19,1.0,1.0,1.0,5,30,18.2,3,46.0,24.6565661774407,191.57882811255433,0,0.0,0.0,0.0
25,1.0,1.0,1.0,6,35,26.333333333333332,2,31.0,21.77274171827554,245.75753050836636,0,0.0,0.0,0.0
19,1.0,1.0,1.0,4,85,44.75,1,51.0,27.86258341626865,229.7467237754384,0,0.0,0.0,0.0
22,1.0,1.0,0.0,8,39,17.875,2,41.5,11.839200233521705,65.76526734702728,0,0.0,0.0,0.0
21,1.0,1.0,0.5,5,37,25.2,2,49.5,13.658174395577689,161.32505072135947,0,0.0,0.0,0.0
5,1.0,1.0,1.0,8,32,20.625,5,12.0,24.645997898534343,86.50856880890896,1,8.5,4.404543128222929,16.17280961413634
19,1.0,1.0,1.0,7,57,18.428571428571427,5,20.0,22.90747686561341,150.16550425078822,0,0.0,0.0,0.0
22,1.0,1.0,1.0,6,34,18.0,4,29.75,19.011260008555993,153.37696128674594,0,0.0,0.0,0.0
5,1.0,1.0,0.5,11,41,15.909090909090908,4,9.5,27.151897032947332,106.74285833455151,1,13.0,3.1561741226653477,20.128869997881885
19,1.0,1.0,1.0,3,105,61.666666666666664,1,45.0,3.202024628170219,7.001875634875256,0,0.0,0.0,0.0
24,1.0,1.0,1.0,6,53,35.666666666666664,2,6.5,13.505335148453561,30.110918508658195,0,0.0,0.0,0.0
21,1.0,1.0,0.5,5,31,19.8,2,66.0,28.114163534765314,373.5948129730219,0,0.0,0.0,0.0
12,0.0,1.0,0.5,16,12,8.6875,4,19.0,18.983437334885107,121.34221712104876,0,0.0,0.0,0.0
4,0.0,1.0,0.5,5,36,21.8,3,38.333333333333336,26.331664744899815,164.76327570090473,0,0.0,0.0,0.0
9,1.0,1.0,1.0,8,63,27.25,0,0.0,0.0,0.0,0,0.0,0.0,0.0
6,1.0,1.0,0.5,6,43,23.5,4,21.5,22.13333785026941,99.42255901833427,0,0.0,0.0,0.0
22,0.0,1.0,0.0,5,113,41.0,2,13.5,9.685992049294018,65.70928536546106,1,7.0,6.515590762318357,25.607347846123115
9,1.0,1.0,0.5,11,32,12.909090909090908,4,17.75,11.557894495956251,82.3323115158895,0,0.0,0.0,0.0
6,0.0,1.0,0.0,11,20,11.0,5,19.0,31.158958109865758,143.51500592440567,0,0.0,0.0,0.0
5,0.0,1.0,0.5,4,63,30.25,2,8.0,48.1665518043177,248.88215239872156,0,0.0,0.0,0.0
14,0.0,1.0,0.0,9,23,13.222222222222221,4,26.25,20.53188199437608,127.13078817282747,1,8.0,4.823018144181947,17.728780538725733
19,0.0,1.0,0.5,7,34,13.0,6,23.0,21.625119062669473,155.65588109250982,0,0.0,0.0,0.0
2,0.0,1.0,0.0,8,30,14.375,4,27.5,12.6450939083395,165.26138880095448,0,0.0,0.0,0.0
24,0.0,1.0,0.5,5,47,35.0,1,47.0,29.010738897906087,79.54387031066824,0,0.0,0.0,0.0
17,0.0,1.0,0.0,6,45,24.333333333333332,4,20.25,32.43520565569418,196.06381916113617,0,0.0,0.0,0.0
13,1.0,1.0,1.0,7,25,12.285714285714286,4,35.5,25.494632133304528,195.60006619279804,0,0.0,0.0,0.0
14,0.0,1.0,0.5,9,39,16.11111111111111,3,25.0,16.314035925723218,118.49485157044762,1,9.0,4.171473656817069,30.714973370930956
24,0.0,1.0,0.5,14,18,10.928571428571429,3,21.333333333333332,22.98405977292421,94.34864982005372,0,0.0,0.0,0.0
24,0.0,1.0,0.5,9,49,24.11111111111111,0,0.0,0.0,0.0,1,9.0,4.2284885426022765,27.65449337123372
2,1.0,1.0,0.0,11,24,14.181818181818182,4,16.25,2.27397178977408,28.54453493380602,1,12.5,2.655878876840064,21.130880472012628
7,1.0,1.0,1.0,3,161,76.66666666666667,0,0.0,0.0,0.0,0,0.0,0.0,0.0
