participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
9,0.0,0.0,,0.39309990406036377,3.8343576255597562,0.0014376999013401685,0.13662144483304492,0.13662144483304492,0.1352176807789707,156,3,37.0,14.24204931426353,49.69963228066852,3,7.333333333333333,5.460245964667021,18.362918679235495
17,1.0,0.0,,0.019550085067749023,47.98700261116028,-0.0006356956394112346,-0.3167228400707245,-0.3167228400707245,-0.3138695955276489,3,1,24.0,6.439911871205814,121.36624341959114,2,7.5,4.17037705983323,16.300894253577333
19,1.0,0.0,,0.2577500343322754,43.23205292224884,-0.004012511365695521,-0.878327852537652,-0.878327852537652,-0.8695660259055233,6,4,41.25,22.53910787180942,245.5469701592978,0,0.0,0.0,0.0
19,1.0,0.0,,0.5196001529693604,67.45450127124786,0.0023466578859221137,-0.37815479871605623,-0.37815479871605623,-0.3723355272184426,339,5,44.8,16.798598929608396,191.19729055553094,0,0.0,0.0,0.0
17,1.0,0.0,,0.10864973068237305,23.213898420333862,-0.002276065647020274,-1.0524442195892334,-1.0524442195892334,-1.0294499397277832,15,6,23.666666666666668,20.872945271166365,132.87740475705814,2,7.25,3.8774898241552447,20.002845988163152
8,1.0,0.0,,0.4396998882293701,36.50986497849226,-0.0009812725645043858,-0.0697726977973425,-0.0697726977973425,-0.06296197422172713,101,5,20.6,17.047373729788276,139.50948461542563,0,0.0,0.0,0.0
14,0.0,0.0,,0.16244983673095703,57.07955396175383,0.00012926446439735453,-0.4171587161991109,-0.4171587161991109,-0.4006745487804941,352,3,46.0,20.622311998343275,117.7454242010905,1,7.5,9.25896316858049,10.231483032142938
23,0.0,0.0,,0.6510000228881836,0.0,0.0003795347952418573,0.40285785525452855,0.40285785525452855,0.39842634332981036,190,6,27.166666666666668,20.25144406905935,129.99036480088606,1,9.0,5.260120818725636,31.550166634787338
23,0.0,0.0,,0.6410999298095703,6.896105766296387,0.0014629180881912795,0.1313655823469162,0.1313655823469162,0.13709765672683716,355,5,23.8,21.339991770062323,112.11249779975067,0,0.0,0.0,0.0
16,0.0,0.0,,0.18285000324249268,49.79933272975765,-0.0004681367338320599,-0.3424922805540368,-0.3424922805540368,-0.34076115686315517,1,6,27.166666666666668,22.193421172982937,111.8495460535629,0,0.0,0.0,0.0
19,0.0,0.0,,0.5600502490997314,0.16972410678863525,0.0007290210956175651,0.17905699739269182,0.17905699739269182,0.17768163266389267,264,3,21.666666666666668,11.812266986184545,99.80822287397143,1,7.0,4.477117743059004,19.767317787137742
24,0.0,0.0,,0.21239995956420898,43.02824318408966,-0.0017776980700247524,-0.19090232745606026,-0.19090232745606026,-0.1825259111929631,112,5,11.8,25.44362415377062,142.09010329460867,1,7.5,11.91822685984244,25.05876190429203
21,0.0,0.0,,0.26869964599609375,0.8960504531860352,-0.0012404870083060455,-0.25143787264823914,-0.25143787264823914,-0.2578503489494324,21,2,32.5,22.38265939208205,103.25978437360038,1,8.0,4.708007586986607,14.494987972716933
3,0.0,0.0,,0.01604938507080078,93.52215528488159,-0.0006734844697057072,-0.34265050292015076,-0.34265050292015076,-0.3271871507167816,8,8,14.375,20.10460609454861,99.04770353668407,0,0.0,0.0,0.0
6,0.0,0.0,,0.0,69.53927421569824,-0.0010713647703748876,-0.4826275110244751,-0.4826275110244751,-0.47145411372184753,0,5,21.4,22.0991690637603,179.00901897343766,0,0.0,0.0,0.0
3,0.0,0.0,,0.34384989738464355,13.112961053848267,-0.0010296168507992285,-0.015920776279032732,-0.015920776279032732,-0.021284944769264968,166,7,17.571428571428573,19.68469781952233,141.87944686759508,0,0.0,0.0,0.0
13,0.0,0.0,,0.4486503601074219,165.1443853378296,-0.004967646480601972,-0.43195316195487976,-0.43195316195487976,-0.443584680557251,123,2,8.0,3.0708747110140515,15.091281370614176,0,0.0,0.0,0.0
16,0.0,0.0,,1.1109498739242554,0.0,0.0015051223011262043,0.6069046863320828,0.6069046863320828,0.5905008904127315,313,4,25.75,17.228739909539847,106.3440570604459,0,0.0,0.0,0.0
25,0.0,0.0,,0.36446111069785214,4.4009000062942505,-0.012922557587967445,-1.2241886588705686,-1.2241886588705686,-1.2145923558673188,18,6,28.666666666666668,9.833467508164896,112.05380624346263,0,0.0,0.0,0.0
19,0.0,0.0,,0.06210017204284668,105.44190347194672,-0.0025015651938034528,-0.42397136614770115,-0.42397136614770115,-0.40531342573787854,16,3,52.666666666666664,25.608142520712693,262.10116523682433,0,0.0,0.0,0.0
3,0.0,0.0,,0.3598001003265381,7.8085997104644775,-0.0010071222845662105,0.0248620593581213,0.0248620593581213,0.003937676908889271,200,8,19.875,22.840084113437687,157.80177006338923,0,0.0,0.0,0.0
13,0.0,0.0,,0.06404995918273926,127.87110447883606,-0.0023091723859950354,-1.1683679875873385,-1.1683679875873385,-1.1533384806867957,12,3,23.333333333333332,23.238743472416076,109.48882066769734,0,0.0,0.0,0.0
14,0.0,0.0,,0.3301999568939209,1.963053849053737,0.0002321374898487928,0.09917141543049104,0.09917141543049104,0.09354714781118263,151,4,29.0,3.8876250078795858,13.931363542236406,0,0.0,0.0,0.0
18,1.0,0.0,,0.47369956970214844,4.9477009773254395,-0.005014079232044138,-0.2584913671016693,-0.2584913671016693,-0.28868719935417175,219,4,15.5,25.639859729725803,131.7847082819244,0,0.0,0.0,0.0
24,0.0,0.0,,0.12919998168945312,82.66078531742096,-0.0010850587397536076,-0.35266505152571437,-0.35266505152571437,-0.3495911549830782,38,5,10.8,18.99314237934313,118.2748869761627,1,7.5,11.91822685984244,25.05876190429203
7,0.0,0.0,,0.2222003936767578,6.995635986328125,0.00015648807260228243,0.03581647947430611,0.03581647947430611,0.03824370726943016,246,1,43.0,29.315582185437105,158.4332186859937,1,7.5,2.6377400609662764,10.82227282909825
12,1.0,0.0,,0.13735008239746094,25.764599084854126,-0.0009435429496835874,-0.20830368678442904,-0.20830368678442904,-0.19538286410464795,45,2,11.5,14.121044795543831,66.57442817163837,0,0.0,0.0,0.0
4,0.0,0.0,,0.6883001327514648,7.492290258407593,0.001742037507295701,0.14801786839962006,0.14801786839962006,0.15616314113140106,324,6,11.166666666666666,23.258385354475408,97.06751062798492,0,0.0,0.0,0.0
8,1.0,0.0,,0.48255014419555664,16.94003915786743,0.0014498504527837154,-0.04353390261530876,-0.04353390261530876,-0.02375641092658043,352,6,21.333333333333332,22.431251343747686,138.09588341451328,0,0.0,0.0,0.0
9,1.0,0.0,,0.7739002704620361,1.7318499088287354,0.00097263360552928,0.2958946274776085,0.2958946274776085,0.2540571975446642,292,4,12.25,4.718772654130242,30.827832892760505,0,0.0,0.0,0.0
15,1.0,0.0,,0.02629995346069336,92.09640836715698,0.0001855094785190899,-0.29833923701812576,-0.29833923701812576,-0.28589873001889893,9,4,15.0,11.372322362939919,65.89045369461242,0,0.0,0.0,0.0
26,0.0,0.0,,0.41750001907348633,0.12504911422729492,0.00014326990928375863,0.21661922335624695,0.21661922335624695,0.22333277761936188,261,4,16.75,20.032483880880793,95.0017980660662,0,0.0,0.0,0.0
16,1.0,0.0,,1.0350501537322998,0.0,0.002530446271133504,0.4971943497657776,0.4971943497657776,0.485271692276001,332,2,11.0,15.393432814063074,82.02695664730277,0,0.0,0.0,0.0
22,0.0,0.0,,0.3134000301361084,32.456043004989624,-0.002498944988462419,-0.14862159787773752,-0.14862159787773752,-0.14339210182490061,114,3,24.666666666666668,22.915973809594576,214.0162262704671,0,0.0,0.0,0.0
26,0.0,0.0,,0.09235000610351562,341.98363876342773,-0.004297786160646545,-1.2335282564163208,-1.2335282564163208,-1.2050976753234863,46,4,43.25,24.71815075090702,191.15104990287358,0,0.0,0.0,0.0
7,0.0,0.0,,0.26200008392333984,18.40946340560913,0.0007220256623300172,-0.0252809077501297,-0.0252809077501297,-0.022410890087485313,329,1,25.0,28.014020904726305,130.19032893086634,1,9.5,3.5334913694876717,14.06372727755522
24,1.0,0.0,,0.27445006370544434,5.673446416854858,0.0006471770565461865,0.048657894134521484,0.048657894134521484,0.05520658940076828,320,2,21.0,13.429098446172043,44.79130942964074,1,10.0,2.2373860223751287,12.743944131175994
21,1.0,0.0,,0.6398499011993408,0.9177508354187012,-0.0014179533163438081,0.2541878517268419,0.2541878517268419,0.2583364392906489,144,3,35.666666666666664,15.813259115286938,188.475457853275,0,0.0,0.0,0.0
