participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude
15,0.0,1.0,0.5,12,39,18.75,0,0,0.0,4,26.5,23.424687938383453,131.12216448832498
25,0.0,1.0,0.5,8,81,32.375,1,19,19.0,2,41.0,19.20754768156067,172.48345278502154
3,0.0,1.0,0.5,12,40,18.75,2,20,18.0,4,29.25,26.156739107226347,168.45769180766118
4,1.0,1.0,1.0,8,115,25.375,0,0,0.0,4,33.75,20.73442269248802,144.11986952532644
24,1.0,1.0,1.0,10,58,19.8,1,32,32.0,7,20.142857142857142,25.71335433869756,163.94176059191008
4,0.0,1.0,0.5,14,33,12.357142857142858,0,0,0.0,4,39.75,25.511711877823032,158.2821194687062
17,1.0,1.0,0.5,14,35,17.428571428571427,0,0,0.0,4,21.0,26.33480032205894,163.61739730630046
6,1.0,1.0,0.5,10,43,28.5,1,16,16.0,3,14.666666666666666,18.660039454037516,86.5180097989123
26,1.0,1.0,1.0,16,21,12.8125,0,0,0.0,6,21.0,24.994275890636697,126.63730540981021
18,1.0,1.0,0.5,13,33,17.307692307692307,0,0,0.0,4,24.5,29.73841379163786,239.39184193854635
23,1.0,1.0,1.0,9,57,16.444444444444443,0,0,0.0,7,26.857142857142858,24.620006174241553,202.44109979764897
16,1.0,1.0,0.5,10,31,20.3,0,0,0.0,2,66.5,27.528710483152576,116.23898461752238
18,1.0,1.0,0.5,11,29,13.636363636363637,2,98,65.5,4,47.0,21.045502590054628,244.2128393634159
22,1.0,1.0,1.0,7,96,45.0,1,32,32.0,2,16.0,3.5549656614898364,12.792401546294954
26,1.0,1.0,1.0,4,82,52.0,0,0,0.0,3,48.0,22.316741563720868,149.0486140339863
5,1.0,1.0,0.5,13,60,23.846153846153847,2,67,41.5,2,11.0,4.417049118636502,16.627420629866474
10,1.0,1.0,1.0,12,65,21.0,2,28,23.0,4,22.5,20.740048467228846,142.10251995511572
13,1.0,1.0,1.0,9,110,26.666666666666668,1,106,106.0,4,25.5,17.180597556776437,106.99725578648149
22,1.0,1.0,1.0,14,80,21.928571428571427,1,30,30.0,3,8.666666666666666,18.596181648921387,88.5912195088248
24,0.0,1.0,0.5,16,36,15.9375,1,26,26.0,4,20.5,8.47317448433668,50.138301418344085
16,1.0,1.0,1.0,18,45,11.722222222222221,0,0,0.0,8,15.125,26.222112396347093,120.59959425550915
2,0.0,1.0,0.5,10,50,29.9,1,21,21.0,2,14.5,3.116994738800873,11.642520893767461
23,1.0,1.0,1.0,6,71,29.333333333333332,1,51,51.0,6,29.0,17.486492269070865,155.13593100545083
9,0.0,1.0,0.5,16,29,13.0625,2,19,18.0,6,20.5,21.555961240522873,130.82517123024408
6,1.0,1.0,1.0,14,52,16.571428571428573,1,19,19.0,4,25.0,22.280761564063443,152.6324196331755
23,0.0,1.0,0.5,8,32,16.75,0,0,0.0,6,35.666666666666664,31.237349485065852,181.79508377233404
1,1.0,1.0,0.5,8,69,25.625,2,19,16.5,4,35.0,17.0713681707362,161.3673382489578
23,0.0,1.0,0.5,14,33,17.785714285714285,0,0,0.0,7,11.571428571428571,19.47297082059684,110.3669698674061
14,1.0,1.0,1.0,7,96,28.428571428571427,1,264,264.0,5,29.2,6.256116167153572,36.75053320250123
17,1.0,1.0,1.0,15,23,10.666666666666666,0,0,0.0,8,22.625,28.297704608891674,140.5663826833329
21,1.0,1.0,1.0,12,38,19.083333333333332,1,15,15.0,4,27.0,19.748595032427076,174.75258727945825
17,1.0,1.0,1.0,12,135,27.0,0,0,0.0,1,10.0,33.36649652471796,178.14630121160664
16,1.0,1.0,1.0,11,45,18.0,1,25,25.0,4,34.75,18.999263492765923,97.82431158902132
14,1.0,1.0,1.0,10,127,29.1,1,26,26.0,4,13.0,4.99300011868786,28.45604707651907
24,0.0,1.0,0.5,15,45,19.466666666666665,0,0,0.0,3,8.666666666666666,30.376919166078917,166.30798788557158
19,1.0,1.0,1.0,13,30,13.076923076923077,1,18,18.0,6,27.833333333333332,24.18166623058219,156.7163699505997
25,1.0,1.0,1.0,12,42,23.0,1,43,43.0,5,11.6,6.416419683814558,31.651243525331175
