participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude
9,0.0,0.0,,12,40,20.0,2,23,20.5,4,25.0,12.838722660029127,133.9650879824145
17,1.0,0.0,,8,78,33.875,0,0,0.0,3,25.333333333333332,30.220070158396407,183.14940736480355
19,1.0,0.0,,11,60,25.545454545454547,0,0,0.0,6,10.166666666666666,13.555897382528675,59.669714770340164
19,1.0,0.0,,9,27,15.222222222222221,1,20,20.0,4,52.5,20.619120461932283,210.01940175541048
17,1.0,0.0,,12,26,15.416666666666666,1,46,46.0,5,28.6,20.607041242043493,154.17324254134334
8,1.0,0.0,,16,46,14.3125,1,15,15.0,5,21.4,21.495699609757622,159.8100739062975
14,0.0,0.0,,8,63,37.75,2,44,36.5,2,19.0,7.587470183129689,167.58420413786922
23,0.0,0.0,,9,95,26.666666666666668,1,46,46.0,6,16.666666666666668,22.27336160427591,136.38776315599665
23,0.0,0.0,,14,65,16.571428571428573,0,0,0.0,4,24.75,26.441883398348256,123.88614428844912
16,0.0,0.0,,16,24,13.25,1,26,26.0,3,40.0,30.998501039123354,186.93859652576703
19,0.0,0.0,,17,33,11.294117647058824,1,18,18.0,4,35.0,26.85729846081979,198.05837223466455
24,0.0,0.0,,11,99,25.181818181818183,2,30,18.5,5,11.0,10.816494669038564,56.620700795551784
21,0.0,0.0,,7,36,25.857142857142858,1,31,31.0,3,50.666666666666664,17.038760932445523,158.52757020523958
3,0.0,0.0,,17,37,15.294117647058824,1,11,11.0,4,18.75,18.946297549457306,84.96286373448439
6,0.0,0.0,,15,39,15.733333333333333,1,30,30.0,4,22.75,14.35217457004592,178.2598606239995
3,0.0,0.0,,13,39,17.307692307692307,2,136,75.0,8,14.5,13.122105906433555,75.5519003276282
13,0.0,0.0,,12,30,14.666666666666666,1,104,104.0,5,33.4,23.94829602795475,137.49982156425625
16,0.0,0.0,,14,20,13.214285714285714,1,145,145.0,4,38.5,16.48651159803773,94.67237845824222
25,0.0,0.0,,17,38,14.058823529411764,2,51,34.0,3,31.666666666666668,17.441877154183533,159.23850997975828
19,0.0,0.0,,21,34,11.80952380952381,1,17,17.0,5,15.4,21.660324774499276,102.29234284856784
3,0.0,0.0,,13,42,18.76923076923077,2,16,15.0,4,21.25,25.996369164913816,147.11762553601577
13,0.0,0.0,,7,104,44.285714285714285,1,26,26.0,2,10.5,11.321413591020526,29.45455525355244
14,0.0,0.0,,11,65,18.181818181818183,1,21,21.0,3,45.333333333333336,20.214476340533768,137.40353715757954
18,1.0,0.0,,5,116,59.0,0,0,0.0,2,25.0,30.890012821259006,111.2438491467187
24,0.0,0.0,,16,27,13.3125,1,27,27.0,7,15.285714285714286,21.326215218718037,132.8540598491842
7,0.0,0.0,,8,59,40.5,0,0,0.0,2,7.5,16.32231267957172,69.95323873160012
12,1.0,0.0,,16,49,18.6875,1,33,33.0,3,11.333333333333334,14.060915519017085,63.348185005006314
4,0.0,0.0,,20,26,12.85,0,0,0.0,6,10.666666666666666,21.00230198193776,92.82459202003413
8,1.0,0.0,,15,24,11.6,0,0,0.0,5,31.6,26.723061831681736,166.6895889750646
9,1.0,0.0,,8,115,31.25,1,18,18.0,5,19.0,19.74064925904281,94.420128526571
15,1.0,0.0,,14,49,18.571428571428573,1,42,42.0,4,15.5,11.372322362939919,91.44951135432663
26,0.0,0.0,,11,53,21.818181818181817,0,0,0.0,3,28.666666666666668,20.637323900445782,120.6631066479547
16,1.0,0.0,,10,91,23.5,1,16,16.0,3,37.0,6.937218685484134,26.90446688871592
22,0.0,0.0,,12,65,26.666666666666668,0,0,0.0,2,10.0,17.689585987202964,129.77973961454256
26,0.0,0.0,,16,33,12.5,0,0,0.0,4,29.75,25.891126025168926,168.6828136674129
7,0.0,0.0,,8,56,39.375,0,0,0.0,2,12.5,20.909648393799543,79.97061326805533
24,1.0,0.0,,16,35,17.75,0,0,0.0,3,16.0,27.220491356897057,135.21993010614435
21,1.0,0.0,,14,44,14.357142857142858,1,32,32.0,4,32.75,18.773862770240036,186.52518133964998
22,0.0,0.0,,13,58,24.846153846153847,1,39,39.0,1,13.0,2.0929146049199057,20.748762893854305
21,1.0,0.0,,12,44,17.833333333333332,1,32,32.0,5,24.6,20.64420277201351,170.13899756689764
5,0.0,0.0,,9,130,32.888888888888886,0,0,0.0,2,20.0,36.022804336536204,223.1207732985054
21,0.0,0.0,,11,54,26.545454545454547,1,91,91.0,3,13.333333333333334,5.219263501070123,64.3709165131979
24,0.0,0.0,,15,42,15.466666666666667,1,27,27.0,7,13.428571428571429,21.308473845559178,132.1346348538237
9,1.0,0.0,,17,30,13.411764705882353,2,16,13.5,7,15.0,20.048343554032527,99.39170807592359
22,0.0,0.0,,16,60,18.0625,2,23,17.0,5,8.0,13.619625173687322,66.16731630850796
21,1.0,0.0,,12,32,17.75,1,152,152.0,5,24.2,14.668838176630809,117.0687583875834
24,0.0,0.0,,5,101,55.8,2,34,32.0,4,17.25,5.830076883531934,42.76284039026155
16,0.0,0.0,,16,24,12.1875,1,26,26.0,5,27.8,21.28337626978132,121.56322962881163
14,0.0,0.0,,8,63,39.5,1,44,44.0,2,11.5,15.134946593159004,46.45309878910114
6,0.0,0.0,,12,77,23.083333333333332,2,19,18.5,5,12.2,11.185000897663691,54.650139235561085
23,0.0,0.0,,12,65,17.416666666666668,0,0,0.0,6,21.333333333333332,22.08238568454499,141.18541480241822
4,0.0,0.0,,14,42,12.857142857142858,0,0,0.0,11,13.727272727272727,18.341848815705085,84.77259218174329
1,1.0,0.0,,11,45,17.545454545454547,1,39,39.0,4,37.0,21.263036375447832,97.68675221864896
13,1.0,0.0,,6,133,50.166666666666664,1,14,14.0,2,23.0,8.894931235899165,85.55983373514478
19,0.0,0.0,,11,28,15.0,1,18,18.0,6,28.5,28.995622154790315,195.23374662988488
22,0.0,0.0,,10,85,30.2,1,38,38.0,3,12.333333333333334,10.136152549230228,45.10281393778487
24,1.0,0.0,,13,54,19.923076923076923,0,0,0.0,4,19.75,31.149283841067327,152.39408081532102
22,0.0,0.0,,2,224,137.0,0,0,0.0,1,80.0,7.3904838913981585,26.29486826836163
17,1.0,0.0,,9,57,27.555555555555557,1,15,15.0,3,29.0,28.141384446006143,185.76028888868836
14,0.0,0.0,,8,63,37.25,2,44,37.0,2,21.0,7.360458804901267,175.98449699120025
15,1.0,0.0,,15,33,14.8,2,42,38.0,6,17.0,14.905838408279829,75.76627441356986
21,0.0,0.0,,9,54,35.22222222222222,1,8,8.0,2,8.5,19.180951071610824,110.30246783952181
6,0.0,0.0,,10,48,30.0,1,122,122.0,3,10.666666666666666,0.39779609108283837,3.280487265682394
24,0.0,0.0,,6,101,48.0,2,34,32.0,2,27.5,6.534219165867519,68.64704207277072
4,0.0,0.0,,14,20,11.428571428571429,0,0,0.0,6,27.333333333333332,24.364120883565928,182.49644848169444
23,0.0,0.0,,14,137,20.0,0,0,0.0,4,14.25,19.32007502726166,108.05766162989937
7,0.0,0.0,,8,73,41.5,0,0,0.0,0,0.0,0.0,0.0
6,0.0,0.0,,14,40,14.142857142857142,1,15,15.0,5,26.2,23.328439439908383,133.48588739225235
18,1.0,0.0,,12,26,13.25,1,5,5.0,6,29.0,31.849107932705138,213.87190492075203
25,0.0,0.0,,11,45,28.09090909090909,1,42,42.0,3,8.666666666666666,12.447022557125202,66.28692404390029
23,0.0,0.0,,13,137,21.384615384615383,0,0,0.0,4,15.0,19.32007502726166,109.1111691156649
24,1.0,0.0,,13,54,20.0,0,0,0.0,4,19.5,31.149283841067327,152.39408081532102
26,0.0,0.0,,12,23,12.166666666666666,0,0,0.0,5,38.8,23.175642958880317,132.8827902195381
24,1.0,0.0,,16,41,17.5,1,27,27.0,3,17.0,18.07017601612733,149.27024522621036
14,0.0,0.0,,10,63,25.7,1,122,122.0,4,21.0,4.753985422309137,23.31054234357181
22,0.0,0.0,,12,54,25.833333333333332,2,38,32.0,3,7.666666666666667,8.376186072154946,44.847693305898495
4,0.0,0.0,,19,19,12.105263157894736,0,0,0.0,6,15.833333333333334,16.47234350604648,85.85313984878034
23,0.0,0.0,,16,35,12.625,1,46,46.0,7,18.714285714285715,18.951565298623514,114.86589691396317
6,0.0,0.0,,8,62,32.125,1,244,244.0,5,17.4,3.049564012847104,10.66995214555398
24,1.0,0.0,,17,35,17.352941176470587,0,0,0.0,2,16.5,27.81610135099976,135.34579972028408
19,1.0,0.0,,12,27,13.25,0,0,0.0,7,25.857142857142858,20.18333171234743,169.69435324753098
14,0.0,0.0,,7,112,43.57142857142857,1,17,17.0,2,16.0,8.753263082370434,80.48420903993858
1,1.0,0.0,,11,53,16.0,1,99,99.0,7,23.714285714285715,13.900652777342628,85.13856994125365
9,1.0,0.0,,16,45,16.125,1,16,16.0,6,12.666666666666666,20.1813914609324,103.36252704298448
7,1.0,0.0,,12,82,25.75,1,141,141.0,2,9.5,14.260415176408822,79.42692277136052
12,1.0,0.0,,13,47,20.307692307692307,1,39,39.0,4,17.75,19.81414802730986,99.97576378269667
25,0.0,0.0,,14,38,13.214285714285714,2,17,16.0,4,37.25,16.94529847295592,210.21139650061318
17,1.0,0.0,,11,51,23.636363636363637,0,0,0.0,4,20.0,17.682177816016992,100.83044301379648
14,0.0,0.0,,10,53,30.4,2,33,25.5,3,9.333333333333334,5.2075424456125,35.432412956589495
22,0.0,0.0,,10,59,31.7,2,34,32.0,1,15.0,6.150975524582118,67.68785125588542
14,0.0,0.0,,6,136,54.666666666666664,1,18,18.0,2,8.0,10.800769621543445,46.39940778646182
