participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude
15,0.0,1.0,0.5,11,39,19.818181818181817,0,0,0.0,5,23.6,26.69201951907497,136.1806697201323
25,0.0,1.0,0.5,11,40,20.09090909090909,1,19,19.0,4,29.5,19.692390373984832,115.22618785588459
3,0.0,1.0,0.5,11,40,22.181818181818183,2,20,10.5,3,30.0,30.66416280933255,230.28914135089644
24,1.0,1.0,1.0,9,58,24.88888888888889,1,36,36.0,5,23.2,23.0889923635076,146.18986860194155
4,0.0,1.0,0.5,8,92,23.0,0,0,0.0,3,51.0,31.107209393185922,200.49854487799203
17,1.0,1.0,0.5,15,35,13.733333333333333,0,0,0.0,7,18.714285714285715,28.0448568153929,155.25246265422578
19,1.0,1.0,1.0,9,95,30.333333333333332,1,63,63.0,4,17.25,11.048316225800946,64.51387626443048
6,1.0,1.0,0.5,10,50,28.2,1,86,86.0,4,12.25,16.091241577625844,58.64033855259558
26,1.0,1.0,1.0,17,21,11.823529411764707,0,0,0.0,5,25.2,22.48668764023767,121.02521552831395
18,1.0,1.0,0.5,13,33,16.23076923076923,0,0,0.0,5,23.0,24.645277317702618,177.33205454915066
23,1.0,1.0,1.0,9,57,19.333333333333332,0,0,0.0,7,23.857142857142858,27.960316419399785,192.486065434687
16,1.0,1.0,0.5,15,31,16.466666666666665,0,0,0.0,4,21.75,25.97596670687032,111.38087101284003
18,1.0,1.0,0.5,11,29,16.90909090909091,2,33,24.5,3,49.666666666666664,38.605251130146506,342.3171921511196
26,1.0,1.0,1.0,2,142,108.0,0,0,0.0,1,138.0,30.120913360590077,223.20131871911784
5,1.0,1.0,0.5,16,55,18.6875,1,67,67.0,2,11.5,8.810293695663766,20.32509877044865
10,1.0,1.0,1.0,12,83,23.166666666666668,1,28,28.0,4,16.0,19.38945125347809,92.72253463869198
13,1.0,1.0,1.0,7,168,37.0,1,10,10.0,3,27.0,21.03735054269887,146.59676927780276
22,1.0,1.0,1.0,10,84,31.3,1,30,30.0,2,8.5,13.875180958230814,75.71823649809988
24,0.0,1.0,0.5,15,36,16.666666666666668,2,26,25.5,4,20.75,9.890575686314131,74.64127254244622
16,1.0,1.0,1.0,15,45,12.133333333333333,0,0,0.0,6,25.5,28.18499115086216,145.13284855261028
23,1.0,1.0,1.0,5,130,45.4,1,47,47.0,5,24.8,13.32797183095173,154.01273238321227
9,0.0,1.0,0.5,18,29,14.166666666666666,2,19,18.0,6,11.166666666666666,18.726644169948575,110.215413353053
6,1.0,1.0,1.0,11,52,20.636363636363637,1,126,126.0,4,26.75,21.66110151289061,145.98132517897812
23,0.0,1.0,0.5,9,32,15.222222222222221,0,0,0.0,6,35.0,26.89817064405298,170.9064757999678
14,1.0,1.0,1.0,5,96,42.8,1,264,264.0,4,34.25,0.9698611867856712,25.042880418885847
17,1.0,1.0,1.0,16,30,12.375,0,0,0.0,7,19.714285714285715,23.825419087815636,117.35149185195304
21,1.0,1.0,1.0,13,38,18.615384615384617,1,15,15.0,4,24.5,19.41549709265334,173.7932103363435
17,1.0,1.0,1.0,11,130,29.272727272727273,0,0,0.0,1,10.0,33.36649652471796,178.14630121160664
16,1.0,1.0,1.0,14,24,13.285714285714286,1,25,25.0,3,45.333333333333336,18.043103444982112,118.82434046206248
14,1.0,1.0,1.0,8,127,40.625,1,26,26.0,2,11.5,18.90554721557717,81.21326461130224
24,0.0,1.0,0.5,13,87,23.307692307692307,0,0,0.0,3,8.0,28.025424061475558,145.5086153436982
19,1.0,1.0,1.0,13,30,11.692307692307692,1,18,18.0,5,36.4,26.44729179345905,205.1035325397605
