participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude
18,1.0,0.0,,4,44,17.5,0,0,0.0,1,37.0,30.05126052851352,109.129436280532
23,0.0,0.0,,3,44,25.0,0,0,0.0,2,17.5,26.72589785813653,81.4563426224473
19,1.0,0.0,,5,17,13.8,0,0,0.0,2,20.0,30.079555576005,243.841635577763
7,1.0,0.0,,1,66,66.0,1,26,26.0,1,49.0,4.093924490029022,18.883826092073505
3,1.0,0.0,,2,46,37.0,0,0,0.0,1,36.0,25.633142807320386,84.46423743644351
13,1.0,0.0,,2,16,13.5,1,18,18.0,2,43.5,13.719749171385814,157.78878631248875
18,1.0,0.0,,1,33,33.0,0,0,0.0,1,82.0,40.04000671967884,137.7040939378801
9,1.0,0.0,,4,21,15.0,1,15,15.0,3,15.666666666666666,16.42985624092492,69.70959350434613
19,0.0,0.0,,5,21,17.8,0,0,0.0,2,8.5,18.193609332867222,53.01683848527553
1,1.0,0.0,,3,35,28.333333333333332,0,0,0.0,1,25.0,23.09009426410933,69.97350794732175
24,1.0,0.0,,5,34,17.4,0,0,0.0,1,18.0,2.3001596598821683,14.58391798675332
14,0.0,0.0,,1,32,32.0,0,0,0.0,1,83.0,13.977835833428578,37.97239888332295
22,0.0,0.0,,5,45,21.2,0,0,0.0,0,0.0,0.0,0.0
26,0.0,0.0,,2,9,9.0,0,0,0.0,1,93.0,28.95171093667155,237.51890844974403
16,1.0,0.0,,3,25,17.666666666666668,1,27,27.0,2,30.0,10.186062692402585,115.81967343545816
22,0.0,0.0,,0,0,0.0,0,0,0.0,1,116.0,2.5814611937152785,9.51865739865793
3,1.0,0.0,,7,13,10.0,0,0,0.0,3,13.0,18.636061187389277,65.70094608480082
12,1.0,0.0,,5,29,16.8,1,27,27.0,2,13.0,3.815693980885706,17.677257466068426
5,0.0,0.0,,4,33,22.25,0,0,0.0,1,12.0,18.296500700278745,40.792645137103776
9,0.0,0.0,,2,55,31.0,1,22,22.0,1,50.0,4.003526414788191,29.70791126329705
21,1.0,0.0,,2,37,22.0,1,35,35.0,3,23.333333333333332,12.430356273767359,49.22528929257146
5,0.0,0.0,,3,55,36.0,0,0,0.0,0,0.0,0.0,0.0
7,0.0,0.0,,2,78,49.5,0,0,0.0,1,12.0,18.668762546659767,52.975997143490744
24,0.0,0.0,,2,54,38.5,1,34,34.0,1,33.0,8.737147118851043,58.89701577066546
12,1.0,0.0,,4,54,25.0,0,0,0.0,1,12.0,27.016506840446574,86.46944465975224
3,1.0,0.0,,3,40,32.666666666666664,0,0,0.0,1,15.0,27.433873290778234,107.53848593869844
15,0.0,0.0,,3,13,10.0,1,16,16.0,4,20.75,11.694922964343617,91.44830734293117
12,1.0,0.0,,5,34,18.0,1,27,27.0,1,18.0,0.7127398493095517,12.116577438261952
26,0.0,0.0,,2,67,54.5,0,0,0.0,0,0.0,0.0,0.0
18,1.0,0.0,,3,52,35.0,0,0,0.0,0,0.0,0.0,0.0
15,0.0,0.0,,7,17,9.142857142857142,0,0,0.0,4,10.0,14.796909145087406,69.31427069000458
25,0.0,0.0,,2,36,30.5,1,8,8.0,1,48.0,44.7139340598638,270.1273954226367
14,0.0,0.0,,5,25,17.0,0,0,0.0,2,13.0,10.669960408592338,32.31104254487942
