participant,study_status,scene_familiarity,recall_status,blink_cnt,peak_blink_duration,avg_blink_duration,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
9,0.0,0.0,,2,22,20.0,1,7.0,6.2907091437571525,14.439816613762257
17,1.0,0.0,,0,0,0.0,2,7.5,4.17037705983323,16.300894253577333
19,1.0,0.0,,1,16,16.0,1,7.0,2.0552868801726216,9.625571333470456
19,1.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
17,1.0,0.0,,0,0,0.0,2,7.5,4.17037705983323,16.300894253577333
8,1.0,0.0,,1,19,19.0,0,0.0,0.0,0.0
14,0.0,0.0,,1,23,23.0,0,0.0,0.0,0.0
23,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
23,0.0,0.0,,1,42,42.0,0,0.0,0.0,0.0
16,0.0,0.0,,1,36,36.0,0,0.0,0.0,0.0
19,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
24,0.0,0.0,,1,21,21.0,2,7.25,7.795909162929004,21.818963945357993
21,0.0,0.0,,1,24,24.0,0,0.0,0.0,0.0
3,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
6,0.0,0.0,,2,30,22.0,1,9.0,3.1892879272949752,21.920385134884604
3,0.0,0.0,,2,16,15.0,1,7.0,3.859526759224662,21.253241051091752
13,0.0,0.0,,1,26,26.0,0,0.0,0.0,0.0
16,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
25,0.0,0.0,,1,115,115.0,0,0.0,0.0,0.0
19,0.0,0.0,,1,18,18.0,0,0.0,0.0,0.0
3,0.0,0.0,,1,212,212.0,0,0.0,0.0,0.0
13,0.0,0.0,,1,26,26.0,0,0.0,0.0,0.0
14,0.0,0.0,,1,44,44.0,2,9.5,2.9246976162219247,18.54930415490258
18,1.0,0.0,,1,5,5.0,0,0.0,0.0,0.0
24,0.0,0.0,,1,27,27.0,0,0.0,0.0,0.0
7,0.0,0.0,,0,0,0.0,1,9.0,10.223207255775847,39.32510125723425
12,1.0,0.0,,1,27,27.0,0,0.0,0.0,0.0
4,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
8,1.0,0.0,,2,67,40.5,0,0.0,0.0,0.0
9,1.0,0.0,,1,11,11.0,2,8.0,3.4416713884913595,15.930884439961034
15,1.0,0.0,,1,20,20.0,1,9.0,3.7403221909139535,22.61579052256323
26,0.0,0.0,,1,19,19.0,0,0.0,0.0,0.0
16,1.0,0.0,,1,16,16.0,0,0.0,0.0,0.0
22,0.0,0.0,,1,16,16.0,0,0.0,0.0,0.0
26,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
7,0.0,0.0,,2,29,25.0,1,9.0,4.0158585503654205,20.630492197951003
24,1.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
21,1.0,0.0,,1,24,24.0,0,0.0,0.0,0.0
22,0.0,0.0,,2,28,27.0,2,8.0,3.7143526588068427,19.67916952680666
21,1.0,0.0,,1,32,32.0,0,0.0,0.0,0.0
5,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
21,0.0,0.0,,0,0,0.0,1,8.0,4.708007586986607,14.494987972716933
24,0.0,0.0,,1,27,27.0,0,0.0,0.0,0.0
9,1.0,0.0,,2,16,15.5,1,7.0,3.8174901920559474,18.586122795807242
22,0.0,0.0,,1,23,23.0,1,8.0,6.307549479088679,14.556600044648615
21,1.0,0.0,,0,0,0.0,1,8.0,3.642798978783072,18.20700401450663
24,0.0,0.0,,0,0,0.0,2,8.75,2.6809860816074274,15.402275221974351
16,0.0,0.0,,1,26,26.0,0,0.0,0.0,0.0
14,0.0,0.0,,2,44,37.0,0,0.0,0.0,0.0
6,0.0,0.0,,1,108,108.0,1,10.5,2.1895456517579683,17.156604675508984
23,0.0,0.0,,1,56,56.0,0,0.0,0.0,0.0
4,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
1,1.0,0.0,,1,39,39.0,1,10.0,3.787347173349594,25.003279452604424
13,1.0,0.0,,1,16,16.0,0,0.0,0.0,0.0
19,0.0,0.0,,1,18,18.0,0,0.0,0.0,0.0
22,0.0,0.0,,1,30,30.0,0,0.0,0.0,0.0
24,1.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
22,0.0,0.0,,1,38,38.0,1,8.5,3.130402768927077,18.98758387914414
17,1.0,0.0,,1,40,40.0,2,7.25,3.8774898241552447,20.002845988163152
14,0.0,0.0,,1,122,122.0,0,0.0,0.0,0.0
15,1.0,0.0,,1,63,63.0,0,0.0,0.0,0.0
21,0.0,0.0,,1,102,102.0,0,0.0,0.0,0.0
6,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
24,0.0,0.0,,2,34,32.0,0,0.0,0.0,0.0
4,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
23,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
7,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
6,0.0,0.0,,2,19,18.5,1,9.0,3.725714886517573,22.508808225440895
18,1.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
25,0.0,0.0,,1,42,42.0,0,0.0,0.0,0.0
23,0.0,0.0,,0,0,0.0,2,7.25,3.666524982133138,16.989688523771974
24,1.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
26,0.0,0.0,,0,0,0.0,1,7.0,4.324179415825486,22.62061383915018
24,1.0,0.0,,0,0,0.0,1,10.0,2.2373860223751287,12.743944131175994
14,0.0,0.0,,1,122,122.0,0,0.0,0.0,0.0
22,0.0,0.0,,2,34,32.0,0,0.0,0.0,0.0
4,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
23,0.0,0.0,,1,46,46.0,0,0.0,0.0,0.0
6,0.0,0.0,,1,27,27.0,0,0.0,0.0,0.0
24,1.0,0.0,,1,74,74.0,0,0.0,0.0,0.0
19,1.0,0.0,,1,4,4.0,2,7.5,2.5467692798807966,12.100436858299666
14,0.0,0.0,,2,89,53.0,0,0.0,0.0,0.0
