participant,study_status,scene_familiarity,recall_status,blink_cnt,peak_blink_duration,avg_blink_duration,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
25,0.0,0.0,,1,18,18.0,0,0.0,0.0,0.0
25,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
22,0.0,0.0,,0,0,0.0,1,9.0,2.9862785196216204,8.76547694076579
19,0.0,0.0,,1,15,15.0,0,0.0,0.0,0.0
23,0.0,0.0,,1,42,42.0,0,0.0,0.0,0.0
23,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
5,0.0,0.0,,1,16,16.0,0,0.0,0.0,0.0
15,1.0,0.0,,1,39,39.0,0,0.0,0.0,0.0
15,0.0,0.0,,1,45,45.0,0,0.0,0.0,0.0
10,1.0,0.0,,1,111,111.0,1,8.0,4.219148929481853,18.739925656583758
17,1.0,0.0,,1,22,22.0,2,7.0,3.7631077151223806,18.95864707886738
14,0.0,0.0,,1,20,20.0,0,0.0,0.0,0.0
25,0.0,0.0,,1,13,13.0,0,0.0,0.0,0.0
26,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
9,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
23,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
17,1.0,0.0,,1,15,15.0,0,0.0,0.0,0.0
1,1.0,0.0,,1,14,14.0,1,7.0,3.1030416090608495,15.50552517285536
23,0.0,0.0,,1,42,42.0,0,0.0,0.0,0.0
4,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
1,1.0,0.0,,1,11,11.0,1,10.0,3.0142293244898406,19.651699212562725
5,0.0,0.0,,1,25,25.0,0,0.0,0.0,0.0
4,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
5,0.0,0.0,,1,28,28.0,0,0.0,0.0,0.0
9,0.0,0.0,,1,16,16.0,0,0.0,0.0,0.0
25,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
14,0.0,0.0,,1,20,20.0,1,8.5,2.919447984136573,10.959493285595626
14,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
4,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
10,1.0,0.0,,1,18,18.0,0,0.0,0.0,0.0
4,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
16,1.0,0.0,,1,16,16.0,0,0.0,0.0,0.0
