participant,study_status,scene_familiarity,recall_status,blink_cnt,peak_blink_duration,avg_blink_duration,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
18,1.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
23,0.0,0.0,,1,46,46.0,0,0.0,0.0,0.0
19,1.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
7,1.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
3,1.0,0.0,,0,0,0.0,1,9.0,2.427503575238038,17.31488920998055
13,1.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
18,1.0,0.0,,1,5,5.0,0,0.0,0.0,0.0
9,1.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
19,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
1,1.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
24,1.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
14,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
22,0.0,0.0,,1,16,16.0,0,0.0,0.0,0.0
26,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
16,1.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
22,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
3,1.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
12,1.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
5,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
9,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
21,1.0,0.0,,1,32,32.0,0,0.0,0.0,0.0
5,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
7,0.0,0.0,,1,21,21.0,1,9.0,4.0158585503654205,20.630492197951003
24,0.0,0.0,,1,27,27.0,0,0.0,0.0,0.0
12,1.0,0.0,,0,0,0.0,1,8.5,2.7158198082012595,14.174001384487205
3,1.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
15,0.0,0.0,,1,30,30.0,0,0.0,0.0,0.0
12,1.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
26,0.0,0.0,,0,0,0.0,2,8.25,3.4361957756472314,20.121577766588253
18,1.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
15,0.0,0.0,,1,28,28.0,0,0.0,0.0,0.0
25,0.0,0.0,,1,18,18.0,0,0.0,0.0,0.0
14,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
7,1.0,0.0,,1,32,32.0,0,0.0,0.0,0.0
9,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
18,1.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
21,1.0,0.0,,1,32,32.0,0,0.0,0.0,0.0
5,0.0,0.0,,0,0,0.0,1,8.5,4.698951902369565,22.008543353884704
17,1.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
14,0.0,0.0,,1,9,9.0,0,0.0,0.0,0.0
19,1.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
9,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
6,0.0,0.0,,1,25,25.0,0,0.0,0.0,0.0
13,1.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
12,1.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
14,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
4,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
4,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0
