participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,fix_cnt,max_fix_cnt,avg_fix_cnt,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
15,0.0,1.0,0.5,0.4512500762939453,4.991201639175415,-0.0018182273239982206,0.0810699313879013,0.0810699313879013,0.07260318100452423,55,5,39,25.4,0,0.0,0.0,0.0
25,0.0,1.0,0.5,0.23330020904541016,5.492730140686035,0.0009048418625017766,0.02608289197087288,0.02608289197087288,0.01920018158853054,155,7,81,31.0,0,0.0,0.0,0.0
3,0.0,1.0,0.5,0.37505006790161133,0.5751497745513916,-0.0013209354024676712,0.019711590517422318,0.019711590517422318,0.012935966837639867,139,8,40,20.75,0,0.0,0.0,0.0
4,1.0,1.0,1.0,0.18060016632080078,116.07567095756531,-0.0007198567341516694,-0.6780215501785278,-0.6780215501785278,-0.6445997953414917,22,7,35,15.142857142857142,0,0.0,0.0,0.0
24,1.0,1.0,1.0,0.01055002212524414,142.14094614982605,-0.0028858230747917405,-1.6481802463531494,-1.6481802463531494,-1.599853277206421,1,8,31,16.125,0,0.0,0.0,0.0
4,0.0,1.0,0.5,0.32235002517700195,6.744898796081543,0.0003983801039261111,-0.014903570525348186,-0.014903570525348186,-0.0510467067360878,195,8,14,9.5,0,0.0,0.0,0.0
17,1.0,1.0,0.5,0.2826998233795166,0.452850341796875,-0.001991045585068462,-0.09199005365371704,-0.09199005365371704,-0.0852801501750946,94,8,28,16.375,0,0.0,0.0,0.0
19,1.0,1.0,1.0,0.8282003402709961,5.429989576339722,0.003318422678125993,0.3026132583618164,0.3026132583618164,0.28710681200027466,171,7,95,23.571428571428573,0,0.0,0.0,0.0
6,1.0,1.0,0.5,0.0,71.96985912322998,0.000168398856796893,-0.41862809658050537,-0.41862809658050537,-0.41234347224235535,0,7,42,24.142857142857142,0,0.0,0.0,0.0
26,1.0,1.0,1.0,0.4071502685546875,0.6448516845703125,0.0008302023944929462,0.14694435894489288,0.14694435894489288,0.11756648868322372,165,9,21,12.555555555555555,1,10.0,3.4301595774440505,21.577477384796133
18,1.0,1.0,0.5,0.5192499160766602,5.329344272613525,-0.0009178400769123431,0.045163221657276154,0.045163221657276154,0.03761348873376846,106,8,33,17.625,1,8.0,3.1472864971168666,18.11620673981796
23,1.0,1.0,1.0,0.140899658203125,220.5378885269165,-0.003914021642767258,-1.482864499092102,-1.482864499092102,-1.4182301759719849,7,6,14,10.0,0,0.0,0.0,0.0
16,1.0,1.0,0.5,0.3571000099182129,0.6390001773834229,0.0011104412418642981,0.10167047381401062,0.10167047381401062,0.11867335438728333,150,6,31,20.5,0,0.0,0.0,0.0
18,1.0,1.0,0.5,0.0,41.00449228286743,1.2577769936103692e-05,-0.3246699903584734,-0.3246699903584734,-0.3281132430939901,0,7,26,12.714285714285714,0,0.0,0.0,0.0
22,1.0,1.0,1.0,0.12009978294372559,50.00880444049835,-0.011629840735777768,-0.9046166119193226,-0.9046166119193226,-0.8680917923997491,88,4,96,46.0,0,0.0,0.0,0.0
26,1.0,1.0,1.0,0.1305999755859375,162.0774791240692,-0.004873440903673313,-0.9432635307312012,-0.9432635307312012,-0.9081165194511414,38,2,67,56.0,1,9.0,3.872069254227181,17.378052177222692
5,1.0,1.0,0.5,0.8686500787734985,0.2357996702194214,0.0019748540634655963,0.5246245202132921,0.5246245202132921,0.5051737643924414,98,8,55,21.375,0,0.0,0.0,0.0
24,0.0,1.0,0.5,0.18130016326904297,22.604849934577942,-0.012658368179720565,-0.8496282251575326,-0.8496282251575326,-0.7607149238939639,34,8,38,23.0,0,0.0,0.0,0.0
16,1.0,1.0,1.0,0.5891499519348145,0.02435016632080078,0.00028251946235616525,0.3539690673351288,0.3539690673351288,0.33515650033950806,139,10,45,14.2,0,0.0,0.0,0.0
2,0.0,1.0,0.5,0.7414000034332275,1.44039785861969,0.003015111521283197,0.37642762102658234,0.37642762102658234,0.3639470060666402,184,5,50,34.0,1,7.0,2.6695134162101457,15.59730359550274
23,1.0,1.0,1.0,0.1495000123977661,66.11780560016632,0.0021427026549519367,-0.5109420139578325,-0.5109420139578325,-0.4784185914432301,227,4,42,23.25,0,0.0,0.0,0.0
9,0.0,1.0,0.5,0.0,131.5465402007103,0.001342817984152065,-0.7989158074564069,-0.7989158074564069,-0.7760384645337373,0,12,19,12.5,2,8.25,4.056683821950124,16.833265256192902
23,0.0,1.0,0.5,0.5121500492095947,0.1707000732421875,0.0004805099231703829,0.23811323940753937,0.23811323940753937,0.24549995362758636,114,5,31,16.4,0,0.0,0.0,0.0
1,1.0,1.0,0.5,0.6967998743057251,0.0,-0.0001161997436004384,0.24352991254017825,0.24352991254017825,0.24320802207977052,97,5,56,22.0,0,0.0,0.0,0.0
23,0.0,1.0,0.5,0.2675001621246338,3.497994899749756,-0.0006596173143469115,0.043846309185028076,0.043846309185028076,0.023556804284453392,90,11,32,15.727272727272727,0,0.0,0.0,0.0
14,1.0,1.0,1.0,0.3948497772216797,12.281256897598023,0.0018771528734962443,-0.020701393296446966,-0.020701393296446966,-0.015374441724266438,210,4,72,29.0,0,0.0,0.0,0.0
17,1.0,1.0,1.0,0.23479986190795898,1.0710034370422363,0.0008556966318378558,0.04141739383339882,0.04141739383339882,0.034623194485902786,149,9,22,10.0,0,0.0,0.0,0.0
21,1.0,1.0,1.0,0.3200998306274414,1.2461504936218262,0.000937539389067519,0.12575278402883797,0.12575278402883797,0.1195036937793096,225,7,38,23.571428571428573,0,0.0,0.0,0.0
17,1.0,1.0,1.0,0.14555025100708008,121.67333459854126,-0.00742554622572767,-0.7180144190788269,-0.7180144190788269,-0.6898165345191956,53,11,47,18.636363636363637,0,0.0,0.0,0.0
16,1.0,1.0,1.0,0.041500091552734375,37.36824655532837,-0.0003993940133655703,-0.24338699971573263,-0.24338699971573263,-0.227522445947696,18,6,28,15.0,0,0.0,0.0,0.0
14,1.0,1.0,1.0,0.0937502384185791,204.37931728363037,-0.010891668861239896,-1.3141346344967935,-1.3141346344967935,-1.2695089564752327,33,7,80,26.428571428571427,1,8.0,1.256732752321848,6.437413979355846
24,0.0,1.0,0.5,0.6048998832702637,15.006146430969238,0.002851205885762461,0.004910167306661606,0.004910167306661606,-0.002983315847814083,234,11,45,17.454545454545453,0,0.0,0.0,0.0
19,1.0,1.0,1.0,0.03390002250671387,19.51015067100525,-0.0029924917443386267,-0.38634899296338043,-0.38634899296338043,-0.3695190659558655,1,6,30,15.5,0,0.0,0.0,0.0
25,1.0,1.0,1.0,0.0849001407623291,110.28293776512146,-0.009132428479548533,-0.7624173652270675,-0.7624173652270675,-0.7279145256678262,40,9,39,20.88888888888889,0,0.0,0.0,0.0
25,1.0,1.0,1.0,0.21039998531341553,102.71450936794282,-0.007832286824409923,-0.6769226789474487,-0.6769226789474487,-0.6625933583711042,70,6,64,31.333333333333332,0,0.0,0.0,0.0
19,1.0,1.0,1.0,0.10244989395141602,2.2144486904144287,-9.787175046267311e-05,-0.15623052418231964,-0.15623052418231964,-0.13196665048599243,224,3,85,58.0,0,0.0,0.0,0.0
22,1.0,1.0,0.0,0.5919500589370728,0.19319963455200195,0.0009448394530681524,0.20595246528271383,0.20595246528271383,0.2101915166362172,115,9,39,19.11111111111111,0,0.0,0.0,0.0
21,1.0,1.0,0.5,0.6883001327514648,1.1065983772277832,0.0015847896453651702,0.303691029548645,0.303691029548645,0.29815673828125,113,6,31,21.666666666666668,0,0.0,0.0,0.0
5,1.0,1.0,1.0,0.9923999309539795,0.1279505491256714,0.00432039293861043,0.33461288661393435,0.33461288661393435,0.3055126383191063,236,8,31,20.75,2,8.0,3.7990410950545512,21.044343656820637
19,1.0,1.0,1.0,0.3205995559692383,17.413568258285522,0.0022651364587578243,-0.0983717069029808,-0.0983717069029808,-0.09857678413391113,220,5,87,24.2,0,0.0,0.0,0.0
22,1.0,1.0,1.0,0.5585999488830566,2.58636034320999,0.0011351382788121036,0.04511485346258944,0.04511485346258944,0.03990190710340228,171,7,26,15.285714285714286,0,0.0,0.0,0.0
5,1.0,1.0,0.5,1.1015000343322754,0.17524957656860352,0.00497668900945041,0.49453651905059814,0.49453651905059814,0.47879669070243835,212,11,25,14.363636363636363,1,13.0,3.1561741226653477,20.128869997881885
19,1.0,1.0,1.0,0.42150020599365234,2.4551029205322266,-0.0001852155481188959,0.07835358381271362,0.07835358381271362,0.07666648179292679,139,4,121,52.5,0,0.0,0.0,0.0
24,1.0,1.0,1.0,0.18215036392211914,2.506899833679199,-0.009815901425612103,-0.4975931644439697,-0.4975931644439697,-0.45017310976982117,147,6,53,32.666666666666664,0,0.0,0.0,0.0
21,1.0,1.0,0.5,0.5498001575469971,9.84244332222081,-0.00047363083033231945,-0.046425431338040654,-0.046425431338040654,-0.027155393940220898,226,6,31,18.333333333333332,0,0.0,0.0,0.0
