trial_id,model_name,params,avg_f1,std_f1,avg_kappa,std_kappa,avg_accuracy,std_accuracy,f1_overall,kappa_overall,accuracy_overall,balanced_accuracy,roc_auc_overall,weighted_roc,roc_avg,confusion_matrix,y_pred,y_actual
210,randomforest,"{'criterion': 'gini', 'max_features': 'sqrt', 'n_estimators': 477}",0.5475408210044953,0.08400416346080879,0.10126155184470317,0.16846044289536127,0.5511445849093589,0.08434391788303225,0.5387733278822388,0.07917635229122588,0.53998476770754,0.5395568518802122,"{0: 0.5262679772230499, 1: 0.5262679772230497}","{0: 0.5262679772230499, 1: 0.5262679772230497}",0.5262679772230497,"[[318 333]
 [271 391]]",[1. 0. 1. ... 0. 1. 1.],[1. 1. 1. ... 0. 0. 0.]
63,randomforest,"{'criterion': 'gini', 'max_features': 'sqrt', 'n_estimators': 509}",0.545549220155737,0.08327482833949736,0.09747903070674582,0.1664671867149199,0.54915437680003,0.08374724737860562,0.534117314437054,0.07000534126007285,0.5354150799695354,0.5349740812415016,"{0: 0.5300977812428939, 1: 0.5300977812428939}","{0: 0.5300977812428939, 1: 0.5300977812428939}",0.5300977812428939,"[[314 337]
 [273 389]]",[1. 0. 1. ... 0. 1. 0.],[1. 1. 1. ... 0. 0. 0.]
266,randomforest,"{'criterion': 'gini', 'max_features': 'sqrt', 'n_estimators': 167}",0.544422492130699,0.0747063206664686,0.09569960806555326,0.15149977508309062,0.5477476321653767,0.07611011711385081,0.5403005685183903,0.08222543721741393,0.5415079969535415,0.5410801880444216,"{0: 0.5286765422473444, 1: 0.5286765422473443}","{0: 0.5286765422473444, 1: 0.5286765422473443}",0.5286765422473443,"[[319 332]
 [270 392]]",[1. 0. 1. ... 0. 1. 0.],[1. 1. 1. ... 0. 0. 0.]
468,randomforest,"{'criterion': 'gini', 'max_features': 'sqrt', 'n_estimators': 307}",0.5443592669064283,0.08725107909244036,0.0952164636640218,0.17466300631715145,0.5479693600004719,0.08786491810287142,0.541522549782845,0.0851810477568472,0.543031226199543,0.542552475624301,"{0: 0.5242712814586901, 1: 0.5242712814586901}","{0: 0.5242712814586901, 1: 0.5242712814586901}",0.5242712814586901,"[[316 335]
 [265 397]]",[1. 0. 1. ... 0. 1. 0.],[1. 1. 1. ... 0. 0. 0.]
94,randomforest,"{'criterion': 'entropy', 'max_features': 'sqrt', 'n_estimators': 255}",0.5434693256224559,0.07402010834814264,0.09394507043864316,0.14426320717199456,0.5469047078752927,0.07251454680891874,0.5310623460071331,0.06390701562899137,0.5323686214775324,0.5319274089130828,"{0: 0.5282124642079812, 1: 0.5282113040128829}","{0: 0.5282124642079812, 1: 0.5282113040128829}",0.5282113040128829,"[[312 339]
 [275 387]]",[1. 0. 1. ... 0. 1. 0.],[1. 1. 1. ... 0. 0. 0.]
304,randomforest,"{'criterion': 'gini', 'max_features': 'sqrt', 'n_estimators': 295}",0.5431397039894871,0.08454329143736349,0.09339466985977453,0.16913502127742647,0.5471609118066993,0.08467853526087585,0.5294576226122675,0.06083386166711946,0.5308453922315308,0.5303913106027909,"{0: 0.5231574941642186, 1: 0.5231574941642186}","{0: 0.5231574941642186, 1: 0.5231574941642186}",0.5231574941642186,"[[310 341]
 [275 387]]",[1. 0. 1. ... 0. 1. 0.],[1. 1. 1. ... 0. 0. 0.]
440,randomforest,"{'criterion': 'entropy', 'max_features': 'sqrt', 'n_estimators': 91}",0.5432892997470505,0.07628257736488209,0.09322407132831145,0.15073796747034118,0.5473694329372476,0.07555759615612502,0.5335354874246951,0.06854024556616656,0.5346534653465347,0.5342443185246031,"{0: 0.5349682802660095, 1: 0.5349682802660096}","{0: 0.5349682802660095, 1: 0.5349682802660096}",0.5349682802660096,"[[316 335]
 [276 386]]",[1. 0. 1. ... 0. 1. 1.],[1. 1. 1. ... 0. 0. 0.]
148,randomforest,"{'criterion': 'entropy', 'max_features': 'sqrt', 'n_estimators': 357}",0.5424921807665691,0.09479292112059795,0.09313574842803309,0.18708044245101463,0.546732378531171,0.09450805885051784,0.5292964844437209,0.060785875697029756,0.5308453922315308,0.530365786310626,"{0: 0.5277031385597802, 1: 0.5277031385597801}","{0: 0.5277031385597802, 1: 0.5277031385597801}",0.5277031385597801,"[[308 343]
 [273 389]]",[0. 0. 1. ... 0. 1. 0.],[1. 1. 1. ... 0. 0. 0.]
204,randomforest,"{'criterion': 'gini', 'max_features': 'sqrt', 'n_estimators': 227}",0.5433156180707239,0.056633143590868476,0.09306621340125311,0.11173139272921921,0.5468477493272779,0.056441681781184735,0.5407532986629242,0.08238951655220128,0.5415079969535415,0.541169523066999,"{0: 0.5346271829070777, 1: 0.5346271829070777}","{0: 0.5346271829070777, 1: 0.5346271829070777}",0.5346271829070777,"[[326 325]
 [277 385]]",[1. 0. 1. ... 0. 1. 0.],[1. 1. 1. ... 0. 0. 0.]
291,randomforest,"{'criterion': 'entropy', 'max_features': 'sqrt', 'n_estimators': 343}",0.5416803279183171,0.0925976287722262,0.09099354718749679,0.1858408547281405,0.5457288839060017,0.09315367303150726,0.5344338847499731,0.07139945581170115,0.5361766945925361,0.5356655575201525,"{0: 0.5314331658011611, 1: 0.5314331658011612}","{0: 0.5314331658011611, 1: 0.5314331658011612}",0.5314331658011612,"[[309 342]
 [267 395]]",[1. 0. 1. ... 0. 1. 0.],[1. 1. 1. ... 0. 0. 0.]
146,randomforest,"{'criterion': 'entropy', 'max_features': 'sqrt', 'n_estimators': 479}",0.5406816893062671,0.08032451353320609,0.09059413916767872,0.15894407864925889,0.5453713515704002,0.08010350003559889,0.5306552609701379,0.06378743714508006,0.5323686214775324,0.5318635981826704,"{0: 0.5287380325875599, 1: 0.5287380325875599}","{0: 0.5287380325875599, 1: 0.5287380325875599}",0.5287380325875599,"[[307 344]
 [270 392]]",[1. 0. 1. ... 0. 1. 1.],[1. 1. 1. ... 0. 0. 0.]
446,randomforest,"{'criterion': 'entropy', 'max_features': 'sqrt', 'n_estimators': 503}",0.5410536777973926,0.08120784496260976,0.09015116181467128,0.1629948867410308,0.545424008629075,0.08158717046992976,0.5293781642694018,0.06080986929501053,0.5308453922315308,0.5303785484567085,"{0: 0.5285593625424051, 1: 0.5285593625424051}","{0: 0.5285593625424051, 1: 0.5285593625424051}",0.5285593625424051,"[[309 342]
 [274 388]]",[1. 0. 1. ... 0. 1. 0.],[1. 1. 1. ... 0. 0. 0.]
86,randomforest,"{'criterion': 'gini', 'max_features': 'sqrt', 'n_estimators': 379}",0.5414367812218353,0.08284185677877089,0.09009218925947358,0.16197158241556817,0.5451094215059595,0.08163649715231809,0.5358603867730405,0.07312553553639545,0.536938309215537,0.5365357038439584,"{0: 0.5284340614717771, 1: 0.5284340614717771}","{0: 0.5284340614717771, 1: 0.5284340614717771}",0.5284340614717771,"[[318 333]
 [275 387]]",[1. 0. 1. ... 0. 1. 1.],[1. 1. 1. ... 0. 0. 0.]
395,randomforest,"{'criterion': 'gini', 'max_features': 'sqrt', 'n_estimators': 153}",0.5404731160654611,0.07885675137684373,0.08956239053345698,0.15861928645534865,0.5450684673818442,0.07998943165691805,0.5294576226122675,0.06083386166711946,0.5308453922315308,0.5303913106027909,"{0: 0.5317139330149758, 1: 0.5317139330149758}","{0: 0.5317139330149758, 1: 0.5317139330149758}",0.5317139330149758,"[[310 341]
 [275 387]]",[1. 0. 1. ... 0. 1. 1.],[1. 1. 1. ... 0. 0. 0.]
102,randomforest,"{'criterion': 'entropy', 'max_features': 'sqrt', 'n_estimators': 255}",0.5400416051827386,0.09126509303623113,0.08947193474003182,0.18043278751325303,0.5446918126309411,0.09111068577397924,0.5279298876207488,0.057784620958246435,0.5293221629855294,0.5288679744385816,"{0: 0.526692608629067, 1: 0.5266914484339686}","{0: 0.526692608629067, 1: 0.5266914484339686}",0.5266914484339686,"[[309 342]
 [276 386]]",[1. 0. 1. ... 0. 1. 0.],[1. 1. 1. ... 0. 0. 0.]
125,randomforest,"{'criterion': 'gini', 'max_features': None, 'n_estimators': 221}",0.5417222001552635,0.07067883133414586,0.08833146636199035,0.13931180173809946,0.5449749538190871,0.07020097833065336,0.5336044128478699,0.06856403772450148,0.5346534653465347,0.5342570806706856,"{0: 0.5190144374678045, 1: 0.5190144374678045}","{0: 0.5190144374678045, 1: 0.5190144374678045}",0.5190144374678045,"[[317 334]
 [277 385]]",[1. 0. 1. ... 0. 1. 0.],[1. 1. 1. ... 0. 0. 0.]
