participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,fix_cnt,max_fix_cnt,avg_fix_cnt,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude
9,0.0,0.0,,0.09929990768432617,469.1283452510834,-0.004846419609971171,-1.7797564268112183,-1.7797564268112183,-1.762260913848877,26,14,30,18.0,4,21.5,12.731366983811851,54.28352501785002
17,1.0,0.0,,0.21304941177368164,142.37982416152954,-0.005280101195953384,-0.5526097416877747,-0.5526097416877747,-0.5339175462722778,140,10,57,23.2,4,26.25,28.881773392623295,207.78455008836548
19,1.0,0.0,,0.5525000095367432,0.2440500259399414,0.00044668977863238253,0.1919185313857904,0.1919185313857904,0.18203711936540917,341,7,59,38.57142857142857,1,74.0,24.808260968505287,284.4332557136412
19,1.0,0.0,,1.0497000217437744,2.069676541662833,-0.0010912629575533267,0.2351611822593112,0.2351611822593112,0.20391857846183067,122,15,29,13.8,6,21.5,22.148354979310266,183.96571887544155
17,1.0,0.0,,0.06614971160888672,186.35773730278015,-0.004667140307369842,-0.7661396265029907,-0.7661396265029907,-0.7470998167991638,111,10,57,23.1,4,26.5,25.49331914442566,205.30430820830395
8,1.0,0.0,,0.771700382232666,2.387998342514038,0.0014001865281936376,0.2483525574207306,0.2483525574207306,0.25265437364578247,333,13,65,18.0,4,23.25,21.98024094818515,148.3111181805206
14,0.0,0.0,,0.24554967880249023,0.8993010520935059,-0.0002616909514759107,-0.04425894841551781,-0.04425894841551781,-0.05412410572171211,268,9,94,37.333333333333336,0,0.0,0.0,0.0
23,0.0,0.0,,0.35234975814819336,1.6362007856369019,-0.0003967230922876981,0.09480355667466876,0.09480355667466876,0.09200174206390521,274,10,95,24.0,4,24.5,24.446446703620058,177.06486509311975
23,0.0,0.0,,0.01744985580444336,140.37815392017365,-0.006476813534135647,-1.0142929340277065,-1.0142929340277065,-0.9870364378563501,32,4,155,56.0,3,42.0,28.615029738776272,220.52293401402414
16,0.0,0.0,,0.07446991907407163,61.99408643784588,-4.873182232524658e-06,-0.42216620792527826,-0.42216620792527826,-0.39267561393099365,208,11,33,16.272727272727273,6,27.166666666666668,22.193421172982937,111.74627332875747
19,0.0,0.0,,0.35865020751953125,10.822197437286377,-0.00043152483952138505,-0.027681562746940207,-0.027681562746940207,-0.008820555060382054,119,19,34,13.421052631578947,3,25.0,18.411729606468132,118.31901310796538
24,0.0,0.0,,0.3059124691145758,3.9939024448394775,0.0001511367819444428,0.03354219829334931,0.03354219829334931,0.04799699921045245,206,16,27,14.0625,6,15.0,20.239895396605576,131.75343223679315
21,0.0,0.0,,1.0236999988555908,17.051251769065857,-0.0037693838821043052,0.23284504694097183,0.23284504694097183,0.2396888250732924,174,7,84,41.0,4,14.25,18.49517448645599,123.01496966595396
3,0.0,0.0,,0.06760001182556152,3.6740500926971436,-0.0007799209363326142,-0.28554813734957485,-0.28554813734957485,-0.24808488721432892,28,16,37,16.25,6,12.0,23.104899032765303,110.02548308426879
6,0.0,0.0,,0.243499755859375,66.78780508041382,-0.0047372178967298745,-0.30558584918494985,-0.30558584918494985,-0.30279321867370235,180,7,62,33.714285714285715,4,28.25,11.733003152157526,64.29596871827879
3,0.0,0.0,,0.29760026931762695,42.36890935897827,-0.000829757197821196,-0.14075367152690887,-0.14075367152690887,-0.13886956870555878,29,14,32,14.928571428571429,8,16.0,22.19285608851804,118.17961975741991
13,0.0,0.0,,0.6225384565500107,0.9726502895355225,0.0006248615514330818,0.3147538639918095,0.3147538639918095,0.31327080710220157,349,8,100,38.125,2,18.0,22.73197516759688,168.08456582326005
16,0.0,0.0,,0.9951496124267578,4.258704423904419,-0.0016063207562573296,0.3031310439109802,0.3031310439109802,0.2648584246635437,202,9,38,17.88888888888889,2,92.5,41.09086286293188,357.9457678512166
25,0.0,0.0,,1.292600154876709,0.04409980773925781,0.0015788841083778492,0.7123852824630523,0.7123852824630523,0.6892622790224144,218,11,20,11.454545454545455,6,36.5,14.83358935037253,144.23147649080684
19,0.0,0.0,,0.5767500400543213,0.4394998550415039,4.726999392701756e-05,0.17924850194060168,0.17924850194060168,0.16620324514550533,129,16,33,11.5625,4,36.5,27.899076926844256,203.90876342153234
3,0.0,0.0,,0.13645005226135254,23.18249797821045,0.00014406656962994468,-0.14592960368351443,-0.14592960368351443,-0.1371282598246699,317,17,37,15.941176470588236,5,12.8,25.664083164130204,134.44271382001233
13,0.0,0.0,,0.6235554699945931,6.399649500846863,0.00010605267363040534,0.11798684837437477,0.11798684837437477,0.12502849452789794,230,12,33,21.25,3,29.0,35.117889936981406,208.70784594634293
14,0.0,0.0,,0.18800020217895508,14.560839176177979,-0.00044691933078834593,-0.14443014562129974,-0.14443014562129974,-0.1447845995426178,219,9,94,36.888888888888886,1,6.0,3.6000948963204396,14.329884618794319
18,1.0,0.0,,0.5766000747680664,20.583796501159668,-0.0019713158799745632,0.05474133417010307,0.05474133417010307,0.04349377006292343,271,9,104,34.55555555555556,2,9.0,34.91241320118239,139.32749375093886
24,0.0,0.0,,0.6444000005722046,0.592000275850296,0.0013836194166925609,0.35242000998569134,0.35242000998569134,0.35322497655516083,336,17,42,13.823529411764707,8,12.125,17.261212042814318,93.54970801434771
7,0.0,0.0,,0.41555023193359375,0.0,0.00024167994863197035,0.23149360716342926,0.23149360716342926,0.2214391678571701,352,8,62,41.625,1,6.0,29.022285448267915,132.4044671554507
