participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,fix_cnt,max_fix_cnt,avg_fix_cnt,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude
15,0.0,1.0,0.5,0.4512500762939453,4.991201639175415,-0.0018182273239982206,0.0810699313879013,0.0810699313879013,0.07260318100452423,55,5,39,25.4,2,47.5,30.132360297413676,210.1388440285338
25,0.0,1.0,0.5,0.23330020904541016,5.492730140686035,0.0009048418625017766,0.02608289197087288,0.02608289197087288,0.01920018158853054,155,7,81,31.0,0,0.0,0.0,0.0
3,0.0,1.0,0.5,0.37505006790161133,0.5751497745513916,-0.0013209354024676712,0.019711590517422318,0.019711590517422318,0.012935966837639867,139,8,40,20.75,3,20.666666666666668,23.304405816393068,150.90279942131812
4,1.0,1.0,1.0,0.18060016632080078,116.07567095756531,-0.0007198567341516694,-0.6780215501785278,-0.6780215501785278,-0.6445997953414917,22,7,35,15.142857142857142,3,38.0,26.138632613687424,176.9350196513776
24,1.0,1.0,1.0,0.01055002212524414,142.14094614982605,-0.0028858230747917405,-1.6481802463531494,-1.6481802463531494,-1.599853277206421,1,8,31,16.125,4,24.0,28.613749832950123,208.06084666911084
4,0.0,1.0,0.5,0.32235002517700195,6.744898796081543,0.0003983801039261111,-0.014903570525348186,-0.014903570525348186,-0.0510467067360878,195,8,14,9.5,4,38.0,25.511711877823032,157.75040510137325
17,1.0,1.0,0.5,0.2826998233795166,0.452850341796875,-0.001991045585068462,-0.09199005365371704,-0.09199005365371704,-0.0852801501750946,94,8,28,16.375,3,30.333333333333332,31.898557198171062,182.57835720731717
19,1.0,1.0,1.0,0.8282003402709961,5.429989576339722,0.003318422678125993,0.3026132583618164,0.3026132583618164,0.28710681200027466,171,7,95,23.571428571428573,4,15.25,13.830775246059947,70.99788444628479
6,1.0,1.0,0.5,0.0,71.96985912322998,0.000168398856796893,-0.41862809658050537,-0.41862809658050537,-0.41234347224235535,0,7,42,24.142857142857142,2,24.0,31.377747291942057,105.6120070872021
26,1.0,1.0,1.0,0.4071502685546875,0.6448516845703125,0.0008302023944929462,0.14694435894489288,0.14694435894489288,0.11756648868322372,165,9,21,12.555555555555555,5,22.0,24.18593476114191,144.17166264938265
18,1.0,1.0,0.5,0.5192499160766602,5.329344272613525,-0.0009178400769123431,0.045163221657276154,0.045163221657276154,0.03761348873376846,106,8,33,17.625,4,19.75,31.744560450284,237.11706201216117
23,1.0,1.0,1.0,0.140899658203125,220.5378885269165,-0.003914021642767258,-1.482864499092102,-1.482864499092102,-1.4182301759719849,7,6,14,10.0,6,28.0,23.269659878917448,193.37834876651598
