participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,fix_cnt,max_fix_cnt,avg_fix_cnt,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude
18,1.0,0.0,,0.33555030822753906,0.799095869064331,0.002440323451491122,0.07405071705579758,0.07405071705579758,0.07125657796859741,109,3,18,11.666666666666666,2,39.0,20.348666423590828,149.07341227813635
23,0.0,0.0,,0.008000373840332031,56.105491638183594,-0.002794076306325171,-0.7363096475601196,-0.7363096475601196,-0.6938061714172363,1,3,8,7.666666666666667,4,22.5,16.83490500699212,98.41545885965454
19,1.0,0.0,,0.6485497951507568,9.492446899414062,0.006326652691153449,0.031830839812755585,0.031830839812755585,0.004449993371963501,116,1,28,28.0,2,43.5,24.367390712941635,228.0089006064961
7,1.0,0.0,,0.05115032196044922,1.5592551231384277,0.0007751577326983786,-0.0062543428502976894,-0.0062543428502976894,-0.00838768482208252,5,0,0,0.0,1,116.0,0.9857883586353636,7.716702936180496
3,1.0,0.0,,0.1415996551513672,5.131009101867676,-0.0008505052996338469,-0.06964978575706482,-0.06964978575706482,-0.04938769340515137,20,8,17,10.875,2,9.5,6.471300972714545,38.809147244819826
13,1.0,0.0,,0.22160005569458008,0.41516365323747983,0.0024612457111111707,0.07255328007233448,0.07255328007233448,0.06390474239985144,116,3,13,10.333333333333334,2,41.0,24.51951333067166,93.863430479371
18,1.0,0.0,,0.744999885559082,0.15620040893554688,0.006528902140298108,0.39253363013267517,0.39253363013267517,0.3707374334335327,112,5,26,16.4,2,13.5,11.355513819796839,101.80660403587432
9,1.0,0.0,,0.2261500358581543,0.2611997127532959,0.001147738444199354,0.09259619366409433,0.09259619366409433,0.08304524264837565,52,2,49,29.0,3,18.666666666666668,19.619827856152806,88.54580551931865
19,0.0,0.0,,0.3787054388146647,0.1110997200012207,-0.0013246871959203966,0.13072791772011,0.13072791772011,0.13419098289389364,18,3,28,18.333333333333332,2,27.5,22.986614375138057,206.89673051847961
1,1.0,0.0,,0.0,7.857348203659058,-0.005670230556819549,-0.4218302369117737,-0.4218302369117737,-0.392531156539917,0,3,47,20.666666666666668,2,24.0,18.608481533822328,99.97291639596303
24,1.0,0.0,,0.09379959106445312,7.413351058959961,-0.02646795886100517,-1.032740592956543,-1.032740592956543,-1.019219160079956,26,4,40,25.25,0,0.0,0.0,0.0
14,0.0,0.0,,0.0,15.060732364654541,0.0005888096119195631,-0.1641981154680252,-0.1641981154680252,-0.15700608491897583,0,3,40,28.0,1,26.0,13.977835833428578,27.955671666857157
22,0.0,0.0,,0.22214984893798828,2.3228492736816406,0.002955946863134393,-0.010008076205849648,-0.010008076205849648,-0.01720002293586731,100,4,29,19.25,2,17.5,18.35804912537853,77.8177286292867
26,0.0,0.0,,0.20399999618530273,0.07674980163574219,0.001773225732165447,0.12442872673273087,0.12442872673273087,0.11531263589859009,79,0,0,0.0,1,116.0,2.4071870566750215,16.492685400039612
