trial_id,model_name,params,avg_f1,std_f1,avg_kappa,std_kappa,avg_accuracy,std_accuracy,f1_overall,kappa_overall,accuracy_overall,balanced_accuracy,roc_auc_overall,weighted_roc,roc_avg,confusion_matrix,y_pred,y_actual
488,AdaBoost,"{'algorithm': 'SAMME', 'learning_rate': 0.3448979591836735, 'n_estimators': 96}",0.574042954357963,0.10329782008409877,0.16289431978028154,0.20299501416290286,0.581777323007328,0.1007804526421197,0.5845075962389338,0.1788446705163752,0.5887281035795887,0.5895798237431606,"{0: 0.5698019779006038, 1: 0.5698019779006037}","{0: 0.5698019779006038, 1: 0.5698019779006037}",0.5698019779006037,"[[450 201]
 [339 323]]",[0. 0. 0. ... 1. 0. 1.],[1. 1. 1. ... 0. 0. 0.]
494,AdaBoost,"{'algorithm': 'SAMME', 'learning_rate': 0.3448979591836735, 'n_estimators': 96}",0.574042954357963,0.10329782008409877,0.16289431978028154,0.20299501416290286,0.581777323007328,0.1007804526421197,0.5845075962389338,0.1788446705163752,0.5887281035795887,0.5895798237431606,"{0: 0.5698019779006038, 1: 0.5698019779006037}","{0: 0.5698019779006038, 1: 0.5698019779006037}",0.5698019779006037,"[[450 201]
 [339 323]]",[0. 0. 0. ... 1. 0. 1.],[1. 1. 1. ... 0. 0. 0.]
487,AdaBoost,"{'algorithm': 'SAMME', 'learning_rate': 0.3448979591836735, 'n_estimators': 96}",0.574042954357963,0.10329782008409877,0.16289431978028154,0.20299501416290286,0.581777323007328,0.1007804526421197,0.5845075962389338,0.1788446705163752,0.5887281035795887,0.5895798237431606,"{0: 0.5698019779006038, 1: 0.5698019779006037}","{0: 0.5698019779006038, 1: 0.5698019779006037}",0.5698019779006037,"[[450 201]
 [339 323]]",[0. 0. 0. ... 1. 0. 1.],[1. 1. 1. ... 0. 0. 0.]
495,AdaBoost,"{'algorithm': 'SAMME', 'learning_rate': 0.3448979591836735, 'n_estimators': 96}",0.574042954357963,0.10329782008409877,0.16289431978028154,0.20299501416290286,0.581777323007328,0.1007804526421197,0.5845075962389338,0.1788446705163752,0.5887281035795887,0.5895798237431606,"{0: 0.5698019779006038, 1: 0.5698019779006037}","{0: 0.5698019779006038, 1: 0.5698019779006037}",0.5698019779006037,"[[450 201]
 [339 323]]",[0. 0. 0. ... 1. 0. 1.],[1. 1. 1. ... 0. 0. 0.]
485,AdaBoost,"{'algorithm': 'SAMME', 'learning_rate': 0.3448979591836735, 'n_estimators': 96}",0.574042954357963,0.10329782008409877,0.16289431978028154,0.20299501416290286,0.581777323007328,0.1007804526421197,0.5845075962389338,0.1788446705163752,0.5887281035795887,0.5895798237431606,"{0: 0.5698019779006038, 1: 0.5698019779006037}","{0: 0.5698019779006038, 1: 0.5698019779006037}",0.5698019779006037,"[[450 201]
 [339 323]]",[0. 0. 0. ... 1. 0. 1.],[1. 1. 1. ... 0. 0. 0.]
489,AdaBoost,"{'algorithm': 'SAMME', 'learning_rate': 0.3448979591836735, 'n_estimators': 96}",0.574042954357963,0.10329782008409877,0.16289431978028154,0.20299501416290286,0.581777323007328,0.1007804526421197,0.5845075962389338,0.1788446705163752,0.5887281035795887,0.5895798237431606,"{0: 0.5698019779006038, 1: 0.5698019779006037}","{0: 0.5698019779006038, 1: 0.5698019779006037}",0.5698019779006037,"[[450 201]
 [339 323]]",[0. 0. 0. ... 1. 0. 1.],[1. 1. 1. ... 0. 0. 0.]
498,AdaBoost,"{'algorithm': 'SAMME', 'learning_rate': 0.3448979591836735, 'n_estimators': 96}",0.574042954357963,0.10329782008409877,0.16289431978028154,0.20299501416290286,0.581777323007328,0.1007804526421197,0.5845075962389338,0.1788446705163752,0.5887281035795887,0.5895798237431606,"{0: 0.5698019779006038, 1: 0.5698019779006037}","{0: 0.5698019779006038, 1: 0.5698019779006037}",0.5698019779006037,"[[450 201]
 [339 323]]",[0. 0. 0. ... 1. 0. 1.],[1. 1. 1. ... 0. 0. 0.]
492,AdaBoost,"{'algorithm': 'SAMME', 'learning_rate': 0.3448979591836735, 'n_estimators': 96}",0.574042954357963,0.10329782008409877,0.16289431978028154,0.20299501416290286,0.581777323007328,0.1007804526421197,0.5845075962389338,0.1788446705163752,0.5887281035795887,0.5895798237431606,"{0: 0.5698019779006038, 1: 0.5698019779006037}","{0: 0.5698019779006038, 1: 0.5698019779006037}",0.5698019779006037,"[[450 201]
 [339 323]]",[0. 0. 0. ... 1. 0. 1.],[1. 1. 1. ... 0. 0. 0.]
497,AdaBoost,"{'algorithm': 'SAMME', 'learning_rate': 0.3448979591836735, 'n_estimators': 96}",0.574042954357963,0.10329782008409877,0.16289431978028154,0.20299501416290286,0.581777323007328,0.1007804526421197,0.5845075962389338,0.1788446705163752,0.5887281035795887,0.5895798237431606,"{0: 0.5698019779006038, 1: 0.5698019779006037}","{0: 0.5698019779006038, 1: 0.5698019779006037}",0.5698019779006037,"[[450 201]
 [339 323]]",[0. 0. 0. ... 1. 0. 1.],[1. 1. 1. ... 0. 0. 0.]
496,AdaBoost,"{'algorithm': 'SAMME', 'learning_rate': 0.3448979591836735, 'n_estimators': 96}",0.574042954357963,0.10329782008409877,0.16289431978028154,0.20299501416290286,0.581777323007328,0.1007804526421197,0.5845075962389338,0.1788446705163752,0.5887281035795887,0.5895798237431606,"{0: 0.5698019779006038, 1: 0.5698019779006037}","{0: 0.5698019779006038, 1: 0.5698019779006037}",0.5698019779006037,"[[450 201]
 [339 323]]",[0. 0. 0. ... 1. 0. 1.],[1. 1. 1. ... 0. 0. 0.]
